"","date","GOOG"
"1",2020-11-10,0.1162
"2",2020-11-11,0.1078
"3",2020-11-12,0.0942
"4",2020-11-13,0.1012
"5",2020-11-16,0.1136
"6",2020-11-17,0.1192
"7",2020-11-18,0.1091
"8",2020-11-19,0.1069
"9",2020-11-20,0.1093
"10",2020-11-23,0.1034
"11",2020-11-24,0.107
"12",2020-11-25,0.1045
"13",2020-11-27,0.0962000000000001
"14",2020-11-30,0.1032
"15",2020-12-01,0.1014
"16",2020-12-02,0.1115
"17",2020-12-03,0.1156
"18",2020-12-04,0.1172
"19",2020-12-07,0.128
"20",2020-12-08,0.1232
"21",2020-12-09,0.1171
"22",2020-12-10,0.0997
"23",2020-12-11,0.0943000000000001
"24",2020-12-14,0.1048
"25",2020-12-15,0.094
"26",2020-12-16,0.0899
"27",2020-12-17,0.0846
"28",2020-12-18,0.0783
"29",2020-12-21,0.0903
"30",2020-12-22,0.0919
"31",2020-12-23,0.0938
"32",2020-12-24,0.1044
"33",2020-12-28,0.0904
"34",2020-12-29,0.0922
"35",2020-12-30,0.1037
"36",2020-12-31,0.1076
"37",2021-01-04,0.1061
"38",2021-01-05,0.1024
"39",2021-01-06,0.1024
"40",2021-01-07,0.0966
"41",2021-01-08,0.0984
"42",2021-01-11,0.1021
"43",2021-01-12,0.0973
"44",2021-01-13,0.1032
"45",2021-01-14,0.1066
"46",2021-01-15,0.1041
"47",2021-01-19,0.0965
"48",2021-01-20,0.0883
"49",2021-01-21,0.0891
"50",2021-01-22,0.0879
"51",2021-01-25,0.0832999999999999
"52",2021-01-26,0.0806999999999999
"53",2021-01-27,0.069
"54",2021-01-28,0.0749
"55",2021-01-29,0.0767
"56",2021-02-01,0.0831
"57",2021-02-02,0.0808
"58",2021-02-03,0.0825
"59",2021-02-04,0.097
"60",2021-02-05,0.0914
"61",2021-02-08,0.0929
"62",2021-02-09,0.0905
"63",2021-02-10,0.0859
"64",2021-02-11,0.0861
"65",2021-02-12,0.0999
"66",2021-02-16,0.1108
"67",2021-02-17,0.1031
"68",2021-02-18,0.1097
"69",2021-02-19,0.1081
"70",2021-02-22,0.0954
"71",2021-02-23,0.099
"72",2021-02-24,0.0944
"73",2021-02-25,0.0787
"74",2021-02-26,0.0859
"75",2021-03-01,0.0851
"76",2021-03-02,0.1051
"77",2021-03-03,0.1058
"78",2021-03-04,0.1114
"79",2021-03-05,0.1233
"80",2021-03-08,0.1197
"81",2021-03-09,0.121
"82",2021-03-10,0.1083
"83",2021-03-11,0.1064
"84",2021-03-12,0.1174
"85",2021-03-15,0.1177
"86",2021-03-16,0.1126
"87",2021-03-17,0.1158
"88",2021-03-18,0.1108
"89",2021-03-19,0.1247
"90",2021-03-22,0.1243
"91",2021-03-23,0.1196
"92",2021-03-24,0.1207
"93",2021-03-25,0.1068
"94",2021-03-26,0.1124
"95",2021-03-29,0.1198
"96",2021-03-30,0.1233
"97",2021-03-31,0.1179
"98",2021-04-01,0.1176
"99",2021-04-05,0.1195
"100",2021-04-06,0.1197
"101",2021-04-07,0.1264
"102",2021-04-08,0.123
"103",2021-04-09,0.109
"104",2021-04-12,0.1199
"105",2021-04-13,0.123
"106",2021-04-14,0.128
"107",2021-04-15,0.1333
"108",2021-04-16,0.1254
"109",2021-04-19,0.1321
"110",2021-04-20,0.1347
"111",2021-04-21,0.136
"112",2021-04-22,0.1297
"113",2021-04-23,0.1181
"114",2021-04-26,0.1218
"115",2021-04-27,0.1225
"116",2021-04-28,0.1205
"117",2021-04-29,0.1238
"118",2021-04-30,0.1186
"119",2021-05-03,0.1242
"120",2021-05-04,0.1336
"121",2021-05-05,0.1315
"122",2021-05-06,0.1384
"123",2021-05-07,0.1319
"124",2021-05-10,0.1361
"125",2021-05-11,0.1399
"126",2021-05-12,0.1427
"127",2021-05-13,0.1411
"128",2021-05-14,0.1352
"129",2021-05-17,0.1378
"130",2021-05-18,0.1228
"131",2021-05-19,0.1329
"132",2021-05-20,0.1303
"133",2021-05-21,0.1254
"134",2021-05-24,0.135
