"","date","HD"
"1",2020-11-10,0.366
"2",2020-11-11,0.3792
"3",2020-11-12,0.363
"4",2020-11-13,0.3769
"5",2020-11-16,0.3859
"6",2020-11-17,0.387
"7",2020-11-18,0.3635
"8",2020-11-19,0.371
"9",2020-11-20,0.3738
"10",2020-11-23,0.3889
"11",2020-11-24,0.3728
"12",2020-11-25,0.371
"13",2020-11-27,0.3424
"14",2020-11-30,0.3658
"15",2020-12-01,0.3721
"16",2020-12-02,0.3903
"17",2020-12-03,0.3897
"18",2020-12-04,0.3688
"19",2020-12-07,0.3467
"20",2020-12-08,0.3537
"21",2020-12-09,0.3422
"22",2020-12-10,0.3445
"23",2020-12-11,0.3164
"24",2020-12-14,0.3166
"25",2020-12-15,0.2735
"26",2020-12-16,0.2769
"27",2020-12-17,0.295
"28",2020-12-18,0.2902
"29",2020-12-21,0.3089
"30",2020-12-22,0.3029
"31",2020-12-23,0.2894
"32",2020-12-24,0.3039
"33",2020-12-28,0.287
"34",2020-12-29,0.303
"35",2020-12-30,0.3036
"36",2020-12-31,0.3036
"37",2021-01-04,0.3006
"38",2021-01-05,0.295
"39",2021-01-06,0.2931
"40",2021-01-07,0.2889
"41",2021-01-08,0.2857
"42",2021-01-11,0.3066
"43",2021-01-12,0.292
"44",2021-01-13,0.3087
"45",2021-01-14,0.3068
"46",2021-01-15,0.2971
"47",2021-01-19,0.2758
"48",2021-01-20,0.2812
"49",2021-01-21,0.2599
"50",2021-01-22,0.2995
"51",2021-01-25,0.3001
"52",2021-01-26,0.3102
"53",2021-01-27,0.3041
"54",2021-01-28,0.3171
"55",2021-01-29,0.3168
"56",2021-02-01,0.3344
"57",2021-02-02,0.3253
"58",2021-02-03,0.3118
"59",2021-02-04,0.3126
"60",2021-02-05,0.3313
"61",2021-02-08,0.3331
"62",2021-02-09,0.343
"63",2021-02-10,0.3172
"64",2021-02-11,0.3206
"65",2021-02-12,0.3353
"66",2021-02-16,0.3456
"67",2021-02-17,0.336
"68",2021-02-18,0.3433
"69",2021-02-19,0.3435
"70",2021-02-22,0.3463
"71",2021-02-23,0.3346
"72",2021-02-24,0.3256
"73",2021-02-25,0.294
"74",2021-02-26,0.3069
"75",2021-03-01,0.2948
"76",2021-03-02,0.3088
"77",2021-03-03,0.3016
"78",2021-03-04,0.2964
"79",2021-03-05,0.3121
"80",2021-03-08,0.3301
"81",2021-03-09,0.3467
"82",2021-03-10,0.3465
"83",2021-03-11,0.3277
"84",2021-03-12,0.3355
"85",2021-03-15,0.31
"86",2021-03-16,0.3292
"87",2021-03-17,0.336
"88",2021-03-18,0.3255
"89",2021-03-19,0.3189
"90",2021-03-22,0.3206
"91",2021-03-23,0.2834
"92",2021-03-24,0.3096
"93",2021-03-25,0.3009
"94",2021-03-26,0.3058
"95",2021-03-29,0.3102
"96",2021-03-30,0.314
"97",2021-03-31,0.3053
"98",2021-04-01,0.3143
"99",2021-04-05,0.322
"100",2021-04-06,0.3268
"101",2021-04-07,0.3216
"102",2021-04-08,0.3093
"103",2021-04-09,0.2888
