"","date","XOM"
"209",2021-09-09,0.1817
"210",2021-09-10,0.1869
"211",2021-09-13,0.1875
"212",2021-09-14,0.1842
"213",2021-09-15,0.1907
"214",2021-09-16,0.195
"215",2021-09-17,0.1902
"216",2021-09-20,0.2014
"217",2021-09-21,0.1978
"218",2021-09-22,0.1849
"219",2021-09-23,0.1943
"220",2021-09-24,0.1954
"221",2021-09-27,0.2044
"222",2021-09-28,0.2138
"223",2021-09-29,0.2017
"224",2021-09-30,0.2053
"225",2021-10-01,0.222
"226",2021-10-04,0.2356
"227",2021-10-05,0.2305
"228",2021-10-06,0.2222
"229",2021-10-07,0.2182
"230",2021-10-08,0.215
"231",2021-10-11,0.223
"232",2021-10-12,0.2226
"233",2021-10-13,0.2138
"234",2021-10-14,0.219
"235",2021-10-15,0.2228
"236",2021-10-18,0.2209
"237",2021-10-19,0.2422
"238",2021-10-20,0.2432
"239",2021-10-21,0.2498
"240",2021-10-22,0.2521
"241",2021-10-25,0.2702
"242",2021-10-26,0.2712
"243",2021-10-27,0.2714
"244",2021-10-28,0.2723
"245",2021-10-29,0.269
"246",2021-11-01,0.2765
"247",2021-11-02,0.2628
"248",2021-11-03,0.2558
"249",2021-11-04,0.2572
"250",2021-11-05,0.2601
"251",2021-11-08,0.2472
"252",2021-11-09,0.2518
"253",2021-11-10,0.2523
"254",2021-11-11,0.2489
"255",2021-11-12,0.2532
"256",2021-11-15,0.2525
"257",2021-11-16,0.2517
"258",2021-11-17,0.2501
"259",2021-11-18,0.2435
"260",2021-11-19,0.2312
"261",2021-11-22,0.2362
"262",2021-11-23,0.2266
"263",2021-11-24,0.2263
"264",2021-11-26,0.2285
"265",2021-11-29,0.2187
"266",2021-11-30,0.2001
"267",2021-12-01,0.1857
"268",2021-12-02,0.1689
"269",2021-12-03,0.1621
"270",2021-12-06,0.1476
"271",2021-12-07,0.1352
"272",2021-12-08,0.1268
"273",2021-12-09,0.1236
"274",2021-12-10,0.13
"275",2021-12-13,0.1252
"276",2021-12-14,0.1275
"277",2021-12-15,0.1267
"278",2021-12-16,0.1092
"279",2021-12-17,0.1087
"280",2021-12-20,0.1025
"281",2021-12-21,0.1017
"282",2021-12-22,0.12
"283",2021-12-23,0.0978
"284",2021-12-27,0.0908
"285",2021-12-28,0.0933999999999999
"286",2021-12-29,0.0943999999999999
"287",2021-12-30,0.0889
"288",2021-12-31,0.091
"289",2022-01-03,0.094
"290",2022-01-04,0.0948
"291",2022-01-05,0.0954999999999999
"292",2022-01-06,0.1015
"293",2022-01-07,0.1
"294",2022-01-10,0.1013
"295",2022-01-11,0.0939
"296",2022-01-12,0.092
"297",2022-01-13,0.0959
"298",2022-01-14,0.0922000000000001
"299",2022-01-18,0.0846
"300",2022-01-19,0.0842999999999999
"301",2022-01-20,0.0867
"302",2022-01-21,0.0868
"303",2022-01-24,0.0823999999999999
"304",2022-01-25,0.0783
"305",2022-01-26,0.0825
"306",2022-01-27,0.0852000000000001
"307",2022-01-28,0.0905
"308",2022-01-31,0.0847
"309",2022-02-01,0.0882000000000001
"310",2022-02-02,0.0899
"311",2022-02-03,0.085
"312",2022-02-04,0.087
"313",2022-02-07,0.0817
"314",2022-02-08,0.0836
"315",2022-02-09,0.0848
"316",2022-02-10,0.081
"317",2022-02-11,0.0737
"318",2022-02-14,0.0737
"319",2022-02-15,0.0707
"320",2022-02-16,0.0690999999999999
"321",2022-02-17,0.0747
"322",2022-02-18,0.0810999999999999
"323",2022-02-22,0.0798
"324",2022-02-23,0.0809000000000001
"325",2022-02-24,0.0783
"326",2022-02-25,0.0735
"327",2022-02-28,0.0728
"328",2022-03-01,0.0763999999999999
"329",2022-03-02,0.0783
"330",2022-03-03,0.0756
"331",2022-03-04,0.0708000000000001
"332",2022-03-07,0.074
"333",2022-03-08,0.0700999999999999
"334",2022-03-09,0.0657
"335",2022-03-10,0.0644
"336",2022-03-11,0.0693
"337",2022-03-14,0.0726
"338",2022-03-15,0.0680999999999999
"339",2022-03-16,0.0669999999999999
"340",2022-03-17,0.0695
"341",2022-03-18,0.0705
"342",2022-03-21,0.0702999999999999
"343",2022-03-22,0.0631
"344",2022-03-23,0.0616
"345",2022-03-24,0.0662999999999999
"346",2022-03-25,0.0684
"347",2022-03-28,0.0646
"348",2022-03-29,0.0624
"349",2022-03-30,0.0620000000000001
"350",2022-03-31,0.0576
"351",2022-04-01,0.0640000000000001
"352",2022-04-04,0.0693
"353",2022-04-05,0.0711000000000001
"354",2022-04-06,0.0781000000000001
"355",2022-04-07,0.0739
"356",2022-04-08,0.0727
"357",2022-04-11,0.0755
"358",2022-04-12,0.074
"359",2022-04-13,0.0678
"360",2022-04-14,0.0648
"361",2022-04-18,0.0625
