"","date","GOOGL"
"1",2019-06-10,0.2522
"2",2019-06-11,0.2357
"3",2019-06-12,0.2034
"4",2019-06-13,0.2141
"5",2019-06-14,0.2283
"6",2019-06-17,0.2295
"7",2019-06-18,0.2272
"8",2019-06-19,0.222
"9",2019-06-20,0.2189
"10",2019-06-21,0.2211
"11",2019-06-24,0.211
"12",2019-06-25,0.1893
"13",2019-06-26,0.1562
"14",2019-06-27,0.1557
"15",2019-06-28,0.1777
"16",2019-07-01,0.1822
"17",2019-07-02,0.2088
"18",2019-07-03,0.2355
"19",2019-07-05,0.2682
"20",2019-07-08,0.2556
"21",2019-07-09,0.2227
"22",2019-07-10,0.1763
"23",2019-07-11,0.1709
"24",2019-07-12,0.164
"25",2019-07-15,0.1349
"26",2019-07-16,0.1548
"27",2019-07-17,0.1552
"28",2019-07-18,0.1516
"29",2019-07-19,0.1506
"30",2019-07-22,0.164
"31",2019-07-23,0.1839
"32",2019-07-24,0.1815
"33",2019-07-25,0.1453
"34",2019-07-26,0.1279
"35",2019-07-29,0.1574
"36",2019-07-30,0.15
"37",2019-07-31,0.1597
"38",2019-08-01,0.1646
"39",2019-08-02,0.1514
"40",2019-08-05,0.1717
"41",2019-08-06,0.1788
"42",2019-08-07,0.1609
"43",2019-08-08,0.1606
"44",2019-08-09,0.1614
"45",2019-08-12,0.1562
"46",2019-08-13,0.1589
"47",2019-08-14,0.1649
"48",2019-08-15,0.1647
"49",2019-08-16,0.1563
"50",2019-08-19,0.1714
"51",2019-08-20,0.203
"52",2019-08-21,0.1759
"53",2019-08-22,0.1318
"54",2019-08-23,0.1319
"55",2019-08-26,0.1263
"56",2019-08-27,0.1278
"57",2019-08-28,0.1239
"58",2019-08-29,0.1204
"59",2019-08-30,0.129
"60",2019-09-03,0.116
"61",2019-09-04,0.1106
"62",2019-09-05,0.1056
"63",2019-09-06,0.0957
"64",2019-09-09,0.1016
"65",2019-09-10,0.1372
"66",2019-09-11,0.1457
"67",2019-09-12,0.1384
"68",2019-09-13,0.1347
"69",2019-09-16,0.1226
"70",2019-09-17,0.1432
"71",2019-09-18,0.1654
"72",2019-09-19,0.1419
"73",2019-09-20,0.1203
"74",2019-09-23,0.1305
"75",2019-09-24,0.1241
"76",2019-09-25,0.1478
"77",2019-09-26,0.1574
"78",2019-09-27,0.1599
"79",2019-09-30,0.1595
"80",2019-10-01,0.1518
"81",2019-10-02,0.1413
"82",2019-10-03,0.1369
"83",2019-10-04,0.1466
"84",2019-10-07,0.1513
"85",2019-10-08,0.1485
"86",2019-10-09,0.1385
"87",2019-10-10,0.1539
"88",2019-10-11,0.1589
"89",2019-10-14,0.1676
"90",2019-10-15,0.1657
"91",2019-10-16,0.1706
"92",2019-10-17,0.1674
"93",2019-10-18,0.134
"94",2019-10-21,0.1355
"95",2019-10-22,0.1462
"96",2019-10-23,0.1535
"97",2019-10-24,0.156
"98",2019-10-25,0.1719
"99",2019-10-28,0.161
"100",2019-10-29,0.1699
"101",2019-10-30,0.1752
"102",2019-10-31,0.156
