"","date","PG"
"1",2019-06-10,0.0897
"2",2019-06-11,0.0732
"3",2019-06-12,0.0956
"4",2019-06-13,0.0532
"5",2019-06-14,0.0565
"6",2019-06-17,0.0495
"7",2019-06-18,0.0656
"8",2019-06-19,0.0692
"9",2019-06-20,0.0704
"10",2019-06-21,0.0601
"11",2019-06-24,0.0676
"12",2019-06-25,0.0588
"13",2019-06-26,0.0895
"14",2019-06-27,0.1085
"15",2019-06-28,0.0752
"16",2019-07-01,0.0643
"17",2019-07-02,0.106
"18",2019-07-03,0.1066
"19",2019-07-05,0.106
"20",2019-07-08,0.0546
"21",2019-07-09,0.0723
"22",2019-07-10,0.067
"23",2019-07-11,0.1064
"24",2019-07-12,0.1184
"25",2019-07-15,0.1391
"26",2019-07-16,0.1138
"27",2019-07-17,0.1578
"28",2019-07-18,0.1402
"29",2019-07-19,0.1347
"30",2019-07-22,0.1153
"31",2019-07-23,0.1244
"32",2019-07-24,0.1009
"33",2019-07-25,0.1015
"34",2019-07-26,0.09
"35",2019-07-29,0.1208
"36",2019-07-30,0.15
"37",2019-07-31,0.1938
"38",2019-08-01,0.1954
"39",2019-08-02,0.1867
"40",2019-08-05,0.1611
"41",2019-08-06,0.1422
"42",2019-08-07,0.1218
"43",2019-08-08,0.1328
"44",2019-08-09,0.1304
"45",2019-08-12,0.1371
"46",2019-08-13,0.1252
"47",2019-08-14,0.1867
"48",2019-08-15,0.1578
"49",2019-08-16,0.1904
"50",2019-08-19,0.1891
"51",2019-08-20,0.1822
"52",2019-08-21,0.1683
"53",2019-08-22,0.1754
"54",2019-08-23,0.1732
"55",2019-08-26,0.1699
"56",2019-08-27,0.1461
"57",2019-08-28,0.1595
"58",2019-08-29,0.142
"59",2019-08-30,0.154
"60",2019-09-03,0.1728
"61",2019-09-04,0.1976
"62",2019-09-05,0.1854
"63",2019-09-06,0.1963
"64",2019-09-09,0.1672
"65",2019-09-10,0.1603
"66",2019-09-11,0.1696
"67",2019-09-12,0.2184
"68",2019-09-13,0.2142
"69",2019-09-16,0.2191
"70",2019-09-17,0.2099
"71",2019-09-18,0.2322
"72",2019-09-19,0.2203
"73",2019-09-20,0.2417
"74",2019-09-23,0.1588
"75",2019-09-24,0.0908
"76",2019-09-25,0.0267
"77",2019-09-26,0.0521
"78",2019-09-27,0.0466
"79",2019-09-30,0.0600000000000001
"80",2019-10-01,0.0508
"81",2019-10-02,0.0257
"82",2019-10-03,0.0292
"83",2019-10-04,0.0356
"84",2019-10-07,0.0366
"85",2019-10-08,0.0297
"86",2019-10-09,0.0276
"87",2019-10-10,0.0499
"88",2019-10-11,0.0339
"89",2019-10-14,0.0382
"90",2019-10-15,0.025
"91",2019-10-16,0.0531
"92",2019-10-17,0.0479
"93",2019-10-18,0.0628
"94",2019-10-21,0.0476
"95",2019-10-22,0.0525
"96",2019-10-23,0.0321
"97",2019-10-24,0.065
"98",2019-10-25,0.0647
"99",2019-10-28,0.0687
"100",2019-10-29,0.0562
"101",2019-10-30,0.0779
"102",2019-10-31,0.0998000000000001
"103",2019-11-01,0.0945
"104",2019-11-04,0.0761
"105",2019-11-05,0.0748
"106",2019-11-06,0.0661
"107",2019-11-07,0.0853
"108",2019-11-08,0.0621
"109",2019-11-11,0.0981
"110",2019-11-12,0.0947
"111",2019-11-13,0.0819
"112",2019-11-14,0.0943
"113",2019-11-15,0.129
"114",2019-11-18,0.1297
"115",2019-11-19,0.1701
"116",2019-11-20,0.1609
"117",2019-11-21,0.1756
"118",2019-11-22,0.1616
"119",2019-11-25,0.1903
"120",2019-11-26,0.1844
"121",2019-11-27,0.1971
"122",2019-11-29,0.1898
"123",2019-12-02,0.2087
"124",2019-12-03,0.2075
"125",2019-12-04,0.1991
"126",2019-12-05,0.2124
"127",2019-12-06,0.2623
"128",2019-12-09,0.2503
"129",2019-12-10,0.2478
"130",2019-12-11,0.217
"131",2019-12-12,0.238
"132",2019-12-13,0.2233
"133",2019-12-16,0.2494
"134",2019-12-17,0.2516
"135",2019-12-18,0.2511
"136",2019-12-19,0.2316
"137",2019-12-20,0.2521
"138",2019-12-23,0.2618
"139",2019-12-24,0.2646
"140",2019-12-26,0.2588
"141",2019-12-27,0.2491
"142",2019-12-30,0.2446
"143",2019-12-31,0.2844
"144",2020-01-02,0.2789
"145",2020-01-03,0.2769
"146",2020-01-06,0.2673
"147",2020-01-07,0.2678
"148",2020-01-08,0.2496
"149",2020-01-09,0.2431
"150",2020-01-10,0.2251
"151",2020-01-13,0.2388
"152",2020-01-14,0.225
"153",2020-01-15,0.2234
"154",2020-01-16,0.2104
"155",2020-01-17,0.2096
"156",2020-01-21,0.2148
"157",2020-01-22,0.3016
"158",2020-01-23,0.277
"159",2020-01-24,0.264
"160",2020-01-27,0.2198
"161",2020-01-28,0.2276
"162",2020-01-29,0.2134
"163",2020-01-30,0.2107
"164",2020-01-31,0.2219
"165",2020-02-03,0.2032
"166",2020-02-04,0.1856
"167",2020-02-05,0.201
"168",2020-02-06,0.1821
"169",2020-02-07,0.1944
"170",2020-02-10,0.2032
"171",2020-02-11,0.1988
"172",2020-02-12,0.1792
