"","date","MSFT"
"1",2019-06-10,0.261
"2",2019-06-11,0.2621
"3",2019-06-12,0.2532
"4",2019-06-13,0.2496
"5",2019-06-14,0.249
"6",2019-06-17,0.2434
"7",2019-06-18,0.2265
"8",2019-06-19,0.2255
"9",2019-06-20,0.2329
"10",2019-06-21,0.2235
"11",2019-06-24,0.2351
"12",2019-06-25,0.2568
"13",2019-06-26,0.2486
"14",2019-06-27,0.2462
"15",2019-06-28,0.2475
"16",2019-07-01,0.2345
"17",2019-07-02,0.2452
"18",2019-07-03,0.2494
"19",2019-07-05,0.2467
"20",2019-07-08,0.2678
"21",2019-07-09,0.2922
"22",2019-07-10,0.257
"23",2019-07-11,0.2528
"24",2019-07-12,0.2561
"25",2019-07-15,0.2583
"26",2019-07-16,0.2679
"27",2019-07-17,0.2407
"28",2019-07-18,0.2251
"29",2019-07-19,0.2301
"30",2019-07-22,0.2391
"31",2019-07-23,0.2496
"32",2019-07-24,0.2359
"33",2019-07-25,0.2338
"34",2019-07-26,0.2453
"35",2019-07-29,0.2644
"36",2019-07-30,0.2749
"37",2019-07-31,0.2656
"38",2019-08-01,0.2718
"39",2019-08-02,0.268
"40",2019-08-05,0.2583
"41",2019-08-06,0.2617
"42",2019-08-07,0.2524
"43",2019-08-08,0.236
"44",2019-08-09,0.2445
"45",2019-08-12,0.2513
"46",2019-08-13,0.2482
"47",2019-08-14,0.2517
"48",2019-08-15,0.2444
"49",2019-08-16,0.2361
"50",2019-08-19,0.2344
"51",2019-08-20,0.2527
"52",2019-08-21,0.2404
"53",2019-08-22,0.2216
"54",2019-08-23,0.2329
"55",2019-08-26,0.2309
"56",2019-08-27,0.2256
"57",2019-08-28,0.1941
"58",2019-08-29,0.1775
"59",2019-08-30,0.219
"60",2019-09-03,0.2149
"61",2019-09-04,0.2089
"62",2019-09-05,0.1977
"63",2019-09-06,0.198
"64",2019-09-09,0.1916
"65",2019-09-10,0.2027
"66",2019-09-11,0.2028
"67",2019-09-12,0.1829
"68",2019-09-13,0.1976
"69",2019-09-16,0.1998
"70",2019-09-17,0.2097
"71",2019-09-18,0.2364
"72",2019-09-19,0.2499
"73",2019-09-20,0.2241
"74",2019-09-23,0.2068
"75",2019-09-24,0.207
"76",2019-09-25,0.1997
"77",2019-09-26,0.208
"78",2019-09-27,0.212
"79",2019-09-30,0.192
"80",2019-10-01,0.1978
"81",2019-10-02,0.2281
"82",2019-10-03,0.2365
"83",2019-10-04,0.2287
"84",2019-10-07,0.2309
"85",2019-10-08,0.2512
"86",2019-10-09,0.2534
"87",2019-10-10,0.2321
"88",2019-10-11,0.2023
"89",2019-10-14,0.1996
"90",2019-10-15,0.2133
"91",2019-10-16,0.2258
"92",2019-10-17,0.2131
"93",2019-10-18,0.1999
"94",2019-10-21,0.1924
"95",2019-10-22,0.1967
"96",2019-10-23,0.2028
"97",2019-10-24,0.1851
"98",2019-10-25,0.189
"99",2019-10-28,0.189
"100",2019-10-29,0.1817
"101",2019-10-30,0.1926
"102",2019-10-31,0.1962
"103",2019-11-01,0.1994
"104",2019-11-04,0.2217
"105",2019-11-05,0.2133
"106",2019-11-06,0.1905
"107",2019-11-07,0.1846
"108",2019-11-08,0.1876
"109",2019-11-11,0.181
"110",2019-11-12,0.1748
"111",2019-11-13,0.2
"112",2019-11-14,0.1811
"113",2019-11-15,0.1783
"114",2019-11-18,0.1906
"115",2019-11-19,0.2092
"116",2019-11-20,0.2136
"117",2019-11-21,0.1991
"118",2019-11-22,0.1803
"119",2019-11-25,0.2154
"120",2019-11-26,0.2237
"121",2019-11-27,0.2378
"122",2019-11-29,0.2266
"123",2019-12-02,0.2016
"124",2019-12-03,0.195
"125",2019-12-04,0.2059
"126",2019-12-05,0.2071
"127",2019-12-06,0.1804
"128",2019-12-09,0.1708
"129",2019-12-10,0.1963
"130",2019-12-11,0.2056
"131",2019-12-12,0.2269
"132",2019-12-13,0.2111
"133",2019-12-16,0.1923
"134",2019-12-17,0.1926
"135",2019-12-18,0.2046
"136",2019-12-19,0.2026
"137",2019-12-20,0.2082
"138",2019-12-23,0.2033
"139",2019-12-24,0.2012
"140",2019-12-26,0.2138
"141",2019-12-27,0.2336
"142",2019-12-30,0.2406
"143",2019-12-31,0.2377
"144",2020-01-02,0.2315
"145",2020-01-03,0.2344
"146",2020-01-06,0.2423
"147",2020-01-07,0.2263
"148",2020-01-08,0.2059
"149",2020-01-09,0.2077
"150",2020-01-10,0.2107
"151",2020-01-13,0.2364
"152",2020-01-14,0.2427
"153",2020-01-15,0.2372
"154",2020-01-16,0.2327
"155",2020-01-17,0.2495
"156",2020-01-21,0.2534
"157",2020-01-22,0.2451
"158",2020-01-23,0.2367
"159",2020-01-24,0.2512
"160",2020-01-27,0.2382
"161",2020-01-28,0.2484
"162",2020-01-29,0.2505
"163",2020-01-30,0.2364
"164",2020-01-31,0.2379
"165",2020-02-03,0.2375
"166",2020-02-04,0.2336
"167",2020-02-05,0.2394
"168",2020-02-06,0.2455
"169",2020-02-07,0.2397
"170",2020-02-10,0.2477
"171",2020-02-11,0.2607
"172",2020-02-12,0.2422
"173",2020-02-13,0.2578
"174",2020-02-14,0.2672
"175",2020-02-18,0.2751
"176",2020-02-19,0.272
"177",2020-02-20,0.2507
"178",2020-02-21,0.25
"179",2020-02-24,0.2559
"180",2020-02-25,0.2788
"181",2020-02-26,0.3019
"182",2020-02-27,0.3122
"183",2020-02-28,0.2763
"184",2020-03-02,0.2603
"185",2020-03-03,0.2671
"186",2020-03-04,0.268
"187",2020-03-05,0.2491
"188",2020-03-06,0.2424
"189",2020-03-09,0.2666
"190",2020-03-10,0.2686
"191",2020-03-11,0.2933
"192",2020-03-12,0.3277
"193",2020-03-13,0.3186
"194",2020-03-16,0.3368
"195",2020-03-17,0.3457
"196",2020-03-18,0.3141
"197",2020-03-19,0.3012
"198",2020-03-20,0.2809
"199",2020-03-23,0.267
"200",2020-03-24,0.2732
"201",2020-03-25,0.3026
"202",2020-03-26,0.3269
"203",2020-03-27,0.32
"204",2020-03-30,0.3443
"205",2020-03-31,0.3338
"206",2020-04-01,0.3181
"207",2020-04-02,0.3001
"208",2020-04-03,0.2818
"209",2020-04-06,0.2844
"210",2020-04-07,0.2942
"211",2020-04-08,0.302
