"","date","PG"
"1",2020-11-10,0.2825
"2",2020-11-11,0.2839
"3",2020-11-12,0.2898
"4",2020-11-13,0.2837
"5",2020-11-16,0.2736
"6",2020-11-17,0.2688
"7",2020-11-18,0.2864
"8",2020-11-19,0.2952
"9",2020-11-20,0.2884
"10",2020-11-23,0.2764
"11",2020-11-24,0.2725
"12",2020-11-25,0.2815
"13",2020-11-27,0.3028
"14",2020-11-30,0.3274
"15",2020-12-01,0.3233
"16",2020-12-02,0.3139
"17",2020-12-03,0.3238
"18",2020-12-04,0.3337
"19",2020-12-07,0.3462
"20",2020-12-08,0.3391
"21",2020-12-09,0.3421
"22",2020-12-10,0.3433
"23",2020-12-11,0.345
"24",2020-12-14,0.3548
"25",2020-12-15,0.357
"26",2020-12-16,0.3528
"27",2020-12-17,0.3571
"28",2020-12-18,0.3381
"29",2020-12-21,0.3328
"30",2020-12-22,0.3267
"31",2020-12-23,0.3416
"32",2020-12-24,0.3437
"33",2020-12-28,0.3373
"34",2020-12-29,0.3431
"35",2020-12-30,0.3444
"36",2020-12-31,0.3576
"37",2021-01-04,0.366
"38",2021-01-05,0.3599
"39",2021-01-06,0.3648
"40",2021-01-07,0.3543
"41",2021-01-08,0.3531
"42",2021-01-11,0.3585
"43",2021-01-12,0.3561
"44",2021-01-13,0.356
"45",2021-01-14,0.354
"46",2021-01-15,0.3548
"47",2021-01-19,0.3683
"48",2021-01-20,0.3614
"49",2021-01-21,0.3631
"50",2021-01-22,0.3585
"51",2021-01-25,0.349
"52",2021-01-26,0.3448
"53",2021-01-27,0.3415
"54",2021-01-28,0.3517
"55",2021-01-29,0.3489
"56",2021-02-01,0.3382
"57",2021-02-02,0.3439
"58",2021-02-03,0.3502
"59",2021-02-04,0.3578
"60",2021-02-05,0.3559
"61",2021-02-08,0.3574
"62",2021-02-09,0.3481
"63",2021-02-10,0.3455
"64",2021-02-11,0.3447
"65",2021-02-12,0.3427
"66",2021-02-16,0.3441
"67",2021-02-17,0.349
"68",2021-02-18,0.3492
"69",2021-02-19,0.3494
"70",2021-02-22,0.3399
"71",2021-02-23,0.3364
"72",2021-02-24,0.3328
"73",2021-02-25,0.3365
"74",2021-02-26,0.3262
"75",2021-03-01,0.3102
"76",2021-03-02,0.3017
"77",2021-03-03,0.3015
"78",2021-03-04,0.311
"79",2021-03-05,0.3238
"80",2021-03-08,0.3188
"81",2021-03-09,0.3162
"82",2021-03-10,0.3142
"83",2021-03-11,0.3223
"84",2021-03-12,0.3311
"85",2021-03-15,0.3322
"86",2021-03-16,0.3255
"87",2021-03-17,0.3315
"88",2021-03-18,0.3215
"89",2021-03-19,0.3211
"90",2021-03-22,0.3162
"91",2021-03-23,0.3228
"92",2021-03-24,0.3217
"93",2021-03-25,0.3143
"94",2021-03-26,0.3113
"95",2021-03-29,0.3049
"96",2021-03-30,0.3074
"97",2021-03-31,0.3152
"98",2021-04-01,0.3103
"99",2021-04-05,0.3111
"100",2021-04-06,0.2988
"101",2021-04-07,0.3007
"102",2021-04-08,0.3171
"103",2021-04-09,0.3202
"104",2021-04-12,0.324
"105",2021-04-13,0.3165
"106",2021-04-14,0.3092
"107",2021-04-15,0.3099
"108",2021-04-16,0.3069
"109",2021-04-19,0.3205
"110",2021-04-20,0.3215
"111",2021-04-21,0.321
"112",2021-04-22,0.3242
"113",2021-04-23,0.3215
"114",2021-04-26,0.3205
"115",2021-04-27,0.3229
"116",2021-04-28,0.3191
"117",2021-04-29,0.3191
"118",2021-04-30,0.3148
"119",2021-05-03,0.3207
"120",2021-05-04,0.318
"121",2021-05-05,0.3152
"122",2021-05-06,0.3156
"123",2021-05-07,0.3167
"124",2021-05-10,0.3163
"125",2021-05-11,0.304
"126",2021-05-12,0.308
"127",2021-05-13,0.3232
"128",2021-05-14,0.3104
"129",2021-05-17,0.3121
"130",2021-05-18,0.3011
"131",2021-05-19,0.3032
"132",2021-05-20,0.3054
"133",2021-05-21,0.3135
"134",2021-05-24,0.3196
"135",2021-05-25,0.3177
"136",2021-05-26,0.3021
"137",2021-05-27,0.2968
"138",2021-05-28,0.2984
"139",2021-06-01,0.2999
"140",2021-06-02,0.2921
"141",2021-06-03,0.2912
"142",2021-06-04,0.2972
"143",2021-06-07,0.3017
"144",2021-06-08,0.3115
"145",2021-06-09,0.3142
"146",2021-06-10,0.3208
"147",2021-06-11,0.3182
"148",2021-06-14,0.3143
"149",2021-06-15,0.3095
"150",2021-06-16,0.3034
"151",2021-06-17,0.3097
"152",2021-06-18,0.3081
"153",2021-06-21,0.305
"154",2021-06-22,0.3
"155",2021-06-23,0.2977
"156",2021-06-24,0.303
"157",2021-06-25,0.3268
"158",2021-06-28,0.321
"159",2021-06-29,0.3212
"160",2021-06-30,0.3039
"161",2021-07-01,0.3062
"162",2021-07-02,0.3131
"163",2021-07-06,0.3176
"164",2021-07-07,0.3243
"165",2021-07-08,0.3134
"166",2021-07-09,0.3091
"167",2021-07-12,0.3205
"168",2021-07-13,0.3293
"169",2021-07-14,0.3395
"170",2021-07-15,0.3341
"171",2021-07-16,0.3294
"172",2021-07-19,0.3231
"173",2021-07-20,0.3284
"174",2021-07-21,0.3404
"175",2021-07-22,0.341
"176",2021-07-23,0.3376
"177",2021-07-26,0.3366
"178",2021-07-27,0.3368
"179",2021-07-28,0.3433
"180",2021-07-29,0.3476
"181",2021-07-30,0.343
"182",2021-08-02,0.338
"183",2021-08-03,0.338
"184",2021-08-04,0.3503
"185",2021-08-05,0.3598
"186",2021-08-06,0.3637
"187",2021-08-09,0.3703
"188",2021-08-10,0.366
"189",2021-08-11,0.3732
"190",2021-08-12,0.3726
"191",2021-08-13,0.3714
"192",2021-08-16,0.3726
"193",2021-08-17,0.3727
"194",2021-08-18,0.3814
"195",2021-08-19,0.3779
"196",2021-08-20,0.3719
"197",2021-08-23,0.3701
"198",2021-08-24,0.3616
"199",2021-08-25,0.3674
"200",2021-08-26,0.3616
"201",2021-08-27,0.3521
"202",2021-08-30,0.344
"203",2021-08-31,0.3491
"204",2021-09-01,0.3595
"205",2021-09-02,0.3461
"206",2021-09-03,0.351
"207",2021-09-07,0.3578
"208",2021-09-08,0.3532
"209",2021-09-09,0.3558
"210",2021-09-10,0.353
"211",2021-09-13,0.3644
"212",2021-09-14,0.3672
"213",2021-09-15,0.3751
"214",2021-09-16,0.3726
"215",2021-09-17,0.3681
"216",2021-09-20,0.3652
"217",2021-09-21,0.3659
"218",2021-09-22,0.3697
"219",2021-09-23,0.3597
"220",2021-09-24,0.3369
"221",2021-09-27,0.3362
"222",2021-09-28,0.3508
"223",2021-09-29,0.3625
"224",2021-09-30,0.364
"225",2021-10-01,0.3571
"226",2021-10-04,0.3563
"227",2021-10-05,0.3587
"228",2021-10-06,0.3662
"229",2021-10-07,0.3741
"230",2021-10-08,0.3678
"231",2021-10-11,0.3586
"232",2021-10-12,0.3486
"233",2021-10-13,0.3458
"234",2021-10-14,0.3461
"235",2021-10-15,0.3388
"236",2021-10-18,0.3365
"237",2021-10-19,0.3358
"238",2021-10-20,0.3268
"239",2021-10-21,0.3401
"240",2021-10-22,0.3333
"241",2021-10-25,0.3247
"242",2021-10-26,0.3223
"243",2021-10-27,0.3192
"244",2021-10-28,0.3223
"245",2021-10-29,0.3249
"246",2021-11-01,0.331
"247",2021-11-02,0.3263
"248",2021-11-03,0.3218
"249",2021-11-04,0.3197
"250",2021-11-05,0.3107
"251",2021-11-08,0.3085
"252",2021-11-09,0.3156
"253",2021-11-10,0.3112
"254",2021-11-11,0.3155
"255",2021-11-12,0.3161
"256",2021-11-15,0.3099
"257",2021-11-16,0.3017
"258",2021-11-17,0.3005
"259",2021-11-18,0.3094
"260",2021-11-19,0.3053
"261",2021-11-22,0.2959
"262",2021-11-23,0.2785
"263",2021-11-24,0.2785
"264",2021-11-26,0.279
"265",2021-11-29,0.2764
"266",2021-11-30,0.2755
"267",2021-12-01,0.2719
"268",2021-12-02,0.2648
"269",2021-12-03,0.2648
"270",2021-12-06,0.2616
"271",2021-12-07,0.2614
