"","date","TSLA"
"1",2019-06-10,0.1907
"2",2019-06-11,0.1608
"3",2019-06-12,0.1615
"4",2019-06-13,0.2027
"5",2019-06-14,0.2062
"6",2019-06-17,0.1791
"7",2019-06-18,0.1741
"8",2019-06-19,0.1645
"9",2019-06-20,0.1677
"10",2019-06-21,0.1499
"11",2019-06-24,0.1511
"12",2019-06-25,0.1474
"13",2019-06-26,0.1316
"14",2019-06-27,0.1418
"15",2019-06-28,0.1634
"16",2019-07-01,0.1759
"17",2019-07-02,0.1882
"18",2019-07-03,0.1763
"19",2019-07-05,0.1813
"20",2019-07-08,0.1796
"21",2019-07-09,0.1714
"22",2019-07-10,0.1549
"23",2019-07-11,0.176
"24",2019-07-12,0.1736
"25",2019-07-15,0.1963
"26",2019-07-16,0.1964
"27",2019-07-17,0.1938
"28",2019-07-18,0.1881
"29",2019-07-19,0.2012
"30",2019-07-22,0.2009
"31",2019-07-23,0.2217
"32",2019-07-24,0.2238
"33",2019-07-25,0.1916
"34",2019-07-26,0.1839
"35",2019-07-29,0.2017
"36",2019-07-30,0.1861
"37",2019-07-31,0.1737
"38",2019-08-01,0.1773
"39",2019-08-02,0.1835
"40",2019-08-05,0.1925
"41",2019-08-06,0.1953
"42",2019-08-07,0.1805
"43",2019-08-08,0.1656
"44",2019-08-09,0.1613
"45",2019-08-12,0.1913
"46",2019-08-13,0.1799
"47",2019-08-14,0.1892
"48",2019-08-15,0.1753
"49",2019-08-16,0.1698
"50",2019-08-19,0.1649
"51",2019-08-20,0.1673
"52",2019-08-21,0.1588
"53",2019-08-22,0.1594
"54",2019-08-23,0.1706
"55",2019-08-26,0.1844
"56",2019-08-27,0.1894
"57",2019-08-28,0.1523
"58",2019-08-29,0.1399
"59",2019-08-30,0.1349
"60",2019-09-03,0.1265
"61",2019-09-04,0.1306
"62",2019-09-05,0.1204
"63",2019-09-06,0.127
"64",2019-09-09,0.1489
"65",2019-09-10,0.1552
"66",2019-09-11,0.1346
"67",2019-09-12,0.1463
"68",2019-09-13,0.1586
"69",2019-09-16,0.1545
"70",2019-09-17,0.1326
"71",2019-09-18,0.1489
"72",2019-09-19,0.1437
"73",2019-09-20,0.1298
"74",2019-09-23,0.1342
"75",2019-09-24,0.1601
"76",2019-09-25,0.1478
"77",2019-09-26,0.1518
"78",2019-09-27,0.1368
"79",2019-09-30,0.1386
"80",2019-10-01,0.1422
"81",2019-10-02,0.1352
"82",2019-10-03,0.1334
"83",2019-10-04,0.1512
"84",2019-10-07,0.1668
"85",2019-10-08,0.1674
"86",2019-10-09,0.158
"87",2019-10-10,0.1447
"88",2019-10-11,0.1543
"89",2019-10-14,0.1589
"90",2019-10-15,0.1456
"91",2019-10-16,0.1515
"92",2019-10-17,0.143
"93",2019-10-18,0.1302
"94",2019-10-21,0.1306
"95",2019-10-22,0.1614
"96",2019-10-23,0.1593
"97",2019-10-24,0.1591
"98",2019-10-25,0.1642
"99",2019-10-28,0.1458
"100",2019-10-29,0.1601
"101",2019-10-30,0.1717
"102",2019-10-31,0.1715
"103",2019-11-01,0.173
"104",2019-11-04,0.1852
"105",2019-11-05,0.2007
"106",2019-11-06,0.202
"107",2019-11-07,0.2018
"108",2019-11-08,0.2048
"109",2019-11-11,0.2006
"110",2019-11-12,0.1853
"111",2019-11-13,0.2169
"112",2019-11-14,0.206
"113",2019-11-15,0.2002
"114",2019-11-18,0.1824
"115",2019-11-19,0.1977
"116",2019-11-20,0.2067
"117",2019-11-21,0.2191
"118",2019-11-22,0.2149
"119",2019-11-25,0.2203
"120",2019-11-26,0.199
"121",2019-11-27,0.1916
"122",2019-11-29,0.2064
"123",2019-12-02,0.1947
"124",2019-12-03,0.1995
"125",2019-12-04,0.2014
"126",2019-12-05,0.1813
"127",2019-12-06,0.1796
"128",2019-12-09,0.2086
"129",2019-12-10,0.2073
"130",2019-12-11,0.1925
"131",2019-12-12,0.1941
"132",2019-12-13,0.175
"133",2019-12-16,0.1684
"134",2019-12-17,0.1605
"135",2019-12-18,0.1797
"136",2019-12-19,0.1718
"137",2019-12-20,0.1628
"138",2019-12-23,0.1501
"139",2019-12-24,0.1731
"140",2019-12-26,0.1828
"141",2019-12-27,0.1867
"142",2019-12-30,0.1665
"143",2019-12-31,0.168
"144",2020-01-02,0.1794
"145",2020-01-03,0.1591
"146",2020-01-06,0.1206
"147",2020-01-07,0.1145
"148",2020-01-08,0.1062
"149",2020-01-09,0.1167
"150",2020-01-10,0.1116
"151",2020-01-13,0.1153
"152",2020-01-14,0.1288
"153",2020-01-15,0.121
"154",2020-01-16,0.1227
"155",2020-01-17,0.1498
"156",2020-01-21,0.1271
"157",2020-01-22,0.1254
"158",2020-01-23,0.1376
"159",2020-01-24,0.1324
"160",2020-01-27,0.148
"161",2020-01-28,0.1807
"162",2020-01-29,0.1695
"163",2020-01-30,0.1603
"164",2020-01-31,0.152
"165",2020-02-03,0.1721
"166",2020-02-04,0.1862
"167",2020-02-05,0.1875
"168",2020-02-06,0.1901
"169",2020-02-07,0.1876
"170",2020-02-10,0.1781
"171",2020-02-11,0.2017
"172",2020-02-12,0.2049
"173",2020-02-13,0.2204
"174",2020-02-14,0.2231
"175",2020-02-18,0.2459
"176",2020-02-19,0.2427
"177",2020-02-20,0.2419
"178",2020-02-21,0.2263
"179",2020-02-24,0.2389
"180",2020-02-25,0.256
"181",2020-02-26,0.2618
"182",2020-02-27,0.2654
"183",2020-02-28,0.2651
"184",2020-03-02,0.2607
"185",2020-03-03,0.2872
"186",2020-03-04,0.2612
"187",2020-03-05,0.2517
"188",2020-03-06,0.272
"189",2020-03-09,0.2581
"190",2020-03-10,0.248
"191",2020-03-11,0.2648
"192",2020-03-12,0.2551
"193",2020-03-13,0.2197
"194",2020-03-16,0.2283
"195",2020-03-17,0.2455
"196",2020-03-18,0.2629
"197",2020-03-19,0.2668
"198",2020-03-20,0.2497
"199",2020-03-23,0.2773
"200",2020-03-24,0.2983
"201",2020-03-25,0.3313
"202",2020-03-26,0.3279
"203",2020-03-27,0.3085
"204",2020-03-30,0.3078
"205",2020-03-31,0.3061
"206",2020-04-01,0.3004
"207",2020-04-02,0.3152
"208",2020-04-03,0.2943
"209",2020-04-06,0.2983
"210",2020-04-07,0.3011
"211",2020-04-08,0.2938
"212",2020-04-09,0.2895
"213",2020-04-13,0.2657
"214",2020-04-14,0.2314
"215",2020-04-15,0.2215
"216",2020-04-16,0.2134
"217",2020-04-17,0.184
"218",2020-04-20,0.1929
"219",2020-04-21,0.2151
"220",2020-04-22,0.226
"221",2020-04-23,0.2433
"222",2020-04-24,0.2043
"223",2020-04-27,0.1696
"224",2020-04-28,0.2044
"225",2020-04-29,0.2127
"226",2020-04-30,0.181
"227",2020-05-01,0.1698
"228",2020-05-04,0.1355
"229",2020-05-05,0.1103
"230",2020-05-06,0.1117
"231",2020-05-07,0.1182
"232",2020-05-08,0.1212
"233",2020-05-11,0.0818
"234",2020-05-12,0.0639999999999999
"235",2020-05-13,0.0832999999999999
"236",2020-05-14,0.0808000000000001
"237",2020-05-15,0.1026
"238",2020-05-18,0.0948
"239",2020-05-19,0.0767
"240",2020-05-20,0.0656
"241",2020-05-21,0.0564
"242",2020-05-22,0.0602
"243",2020-05-26,0.0648
"244",2020-05-27,0.0533999999999999
"245",2020-05-28,0.0583
"246",2020-05-29,0.0493
"247",2020-06-01,0.0383
"248",2020-06-02,0.0299999999999999
"249",2020-06-03,0.0325
"250",2020-06-04,0.0384
"251",2020-06-05,0.0351
"252",2020-06-08,0.0344
"253",2020-06-09,0.0528
"254",2020-06-10,0.0426
"255",2020-06-11,0.0362
"256",2020-06-12,0.0293
"257",2020-06-15,0.0274
"258",2020-06-16,0.0443
"259",2020-06-17,0.0468000000000001
"260",2020-06-18,0.0337999999999999
"261",2020-06-19,0.0494
"262",2020-06-22,0.053
"263",2020-06-23,0.0512
"264",2020-06-24,0.0445
"265",2020-06-25,0.0369999999999999
"266",2020-06-26,0.0471999999999999
"267",2020-06-29,0.047
"268",2020-06-30,0.0458
"269",2020-07-01,0.0454
"270",2020-07-02,0.0366000000000001
"271",2020-07-06,0.0287999999999999
"272",2020-07-07,0.0297999999999999
"273",2020-07-08,0.0306999999999999
"274",2020-07-09,0.0515
"275",2020-07-10,0.0819
"276",2020-07-13,0.1103
"277",2020-07-14,0.0925
"278",2020-07-15,0.0783
"279",2020-07-16,0.0991
"280",2020-07-17,0.1049
"281",2020-07-20,0.1127
"282",2020-07-21,0.1059
"283",2020-07-22,0.0927
"284",2020-07-23,0.1203
"285",2020-07-24,0.1345
"286",2020-07-27,0.1427
"287",2020-07-28,0.1617
"288",2020-07-29,0.1548
"289",2020-07-30,0.1598
"290",2020-07-31,0.2077
"291",2020-08-03,0.2207
"292",2020-08-04,0.2199
"293",2020-08-05,0.2095
"294",2020-08-06,0.2132
"295",2020-08-07,0.2126
"296",2020-08-10,0.2354
"297",2020-08-11,0.2425
"298",2020-08-12,0.2177
"299",2020-08-13,0.2048
"300",2020-08-14,0.2047
"301",2020-08-17,0.2196
"302",2020-08-18,0.2353
"303",2020-08-19,0.2254
"304",2020-08-20,0.2469
"305",2020-08-21,0.2466
"306",2020-08-24,0.2473
"307",2020-08-25,0.2578
"308",2020-08-26,0.2714
"309",2020-08-27,0.2987
"310",2020-08-28,0.2809
"311",2020-08-31,0.2859
"312",2020-09-01,0.2799
"313",2020-09-02,0.2051
"314",2020-09-03,0.223
"315",2020-09-04,0.2433
"316",2020-09-08,0.2757
"317",2020-09-09,0.2828
"318",2020-09-10,0.2695
"319",2020-09-11,0.2487
"320",2020-09-14,0.2776
"321",2020-09-15,0.2851
"322",2020-09-16,0.2697
"323",2020-09-17,0.272
"324",2020-09-18,0.2582
"325",2020-09-21,0.2343
"326",2020-09-22,0.2351
"327",2020-09-23,0.2236
"328",2020-09-24,0.2259
"329",2020-09-25,0.2358
"330",2020-09-28,0.2333
"331",2020-09-29,0.2616
"332",2020-09-30,0.2614
"333",2020-10-01,0.2428
"334",2020-10-02,0.2429
"335",2020-10-05,0.2282
"336",2020-10-06,0.2322
"337",2020-10-07,0.2036
"338",2020-10-08,0.2029
"339",2020-10-09,0.2213
"340",2020-10-12,0.2659
"341",2020-10-13,0.2621
"342",2020-10-14,0.2347
"343",2020-10-15,0.1684
"344",2020-10-16,0.1711
"345",2020-10-19,0.18
"346",2020-10-20,0.1888
"347",2020-10-21,0.1954
"348",2020-10-22,0.182
"349",2020-10-23,0.1746
"350",2020-10-26,0.2059
"351",2020-10-27,0.2423
"352",2020-10-28,0.2409
"353",2020-10-29,0.2437
"354",2020-10-30,0.2273
"355",2020-11-02,0.1862
"356",2020-11-03,0.2037
"357",2020-11-04,0.2064
"358",2020-11-05,0.1798
"359",2020-11-06,0.161
"360",2020-11-09,0.1494
"361",2020-11-10,0.1419
"362",2020-11-11,0.1598
"363",2020-11-12,0.1523
"364",2020-11-13,0.1705
"365",2020-11-16,0.1648
"366",2020-11-17,0.1721
"367",2020-11-18,0.1771
"368",2020-11-19,0.2092
"369",2020-11-20,0.2099
"370",2020-11-23,0.2136
"371",2020-11-24,0.2348
"372",2020-11-25,0.2417
"373",2020-11-27,0.2196
"374",2020-11-30,0.2256
"375",2020-12-01,0.2348
"376",2020-12-02,0.2284
"377",2020-12-03,0.2357
"378",2020-12-04,0.2489
"379",2020-12-07,0.2719
"380",2020-12-08,0.3039
"381",2020-12-09,0.349
"382",2020-12-10,0.3293
"383",2020-12-11,0.3034
"384",2020-12-14,0.3132
"385",2020-12-15,0.2969
"386",2020-12-16,0.3003
"387",2020-12-17,0.3042
"388",2020-12-18,0.2931
"389",2020-12-21,0.297
"390",2020-12-22,0.2753
"391",2020-12-23,0.268
"392",2020-12-24,0.2738
"393",2020-12-28,0.2882
"394",2020-12-29,0.3102
"395",2020-12-30,0.321
"396",2020-12-31,0.3171
"397",2021-01-04,0.2743
"398",2021-01-05,0.2367
"399",2021-01-06,0.2281
"400",2021-01-07,0.247
"401",2021-01-08,0.2514
"402",2021-01-11,0.238
"403",2021-01-12,0.1891
"404",2021-01-13,0.1904
"405",2021-01-14,0.2136
