"","date","JPM"
"1",2020-11-10,0.1602
"2",2020-11-11,0.167
"3",2020-11-12,0.1631
"4",2020-11-13,0.1655
"5",2020-11-16,0.1642
"6",2020-11-17,0.169
"7",2020-11-18,0.1584
"8",2020-11-19,0.1564
"9",2020-11-20,0.1572
"10",2020-11-23,0.1758
"11",2020-11-24,0.1843
"12",2020-11-25,0.1987
"13",2020-11-27,0.1821
"14",2020-11-30,0.1986
"15",2020-12-01,0.1854
"16",2020-12-02,0.1817
"17",2020-12-03,0.1935
"18",2020-12-04,0.1942
"19",2020-12-07,0.1915
"20",2020-12-08,0.1915
"21",2020-12-09,0.2028
"22",2020-12-10,0.2186
"23",2020-12-11,0.2124
"24",2020-12-14,0.2267
"25",2020-12-15,0.2063
"26",2020-12-16,0.2017
"27",2020-12-17,0.1959
"28",2020-12-18,0.1856
"29",2020-12-21,0.1859
"30",2020-12-22,0.2011
"31",2020-12-23,0.1865
"32",2020-12-24,0.2026
"33",2020-12-28,0.2126
"34",2020-12-29,0.2296
"35",2020-12-30,0.2279
"36",2020-12-31,0.2167
"37",2021-01-04,0.2138
"38",2021-01-05,0.2037
"39",2021-01-06,0.1967
"40",2021-01-07,0.1972
"41",2021-01-08,0.1933
"42",2021-01-11,0.1995
"43",2021-01-12,0.1937
"44",2021-01-13,0.2221
"45",2021-01-14,0.2198
"46",2021-01-15,0.2036
"47",2021-01-19,0.1951
"48",2021-01-20,0.1974
"49",2021-01-21,0.1811
"50",2021-01-22,0.1859
"51",2021-01-25,0.1746
"52",2021-01-26,0.1854
"53",2021-01-27,0.1679
"54",2021-01-28,0.1841
"55",2021-01-29,0.1789
"56",2021-02-01,0.1819
"57",2021-02-02,0.19
"58",2021-02-03,0.1882
"59",2021-02-04,0.1808
"60",2021-02-05,0.1818
"61",2021-02-08,0.1797
"62",2021-02-09,0.1887
"63",2021-02-10,0.1928
"64",2021-02-11,0.1816
"65",2021-02-12,0.1823
"66",2021-02-16,0.194
"67",2021-02-17,0.1902
"68",2021-02-18,0.1916
