"","date","META"
"1",2019-06-10,0.345
"2",2019-06-11,0.308
"3",2019-06-12,0.3333
"4",2019-06-13,0.3357
"5",2019-06-14,0.3425
"6",2019-06-17,0.3298
"7",2019-06-18,0.3477
"8",2019-06-19,0.3393
"9",2019-06-20,0.3553
"10",2019-06-21,0.3231
"11",2019-06-24,0.3244
"12",2019-06-25,0.327
"13",2019-06-26,0.3598
"14",2019-06-27,0.3506
"15",2019-06-28,0.3538
"16",2019-07-01,0.3479
"17",2019-07-02,0.3485
"18",2019-07-03,0.3434
"19",2019-07-05,0.3843
"20",2019-07-08,0.3747
"21",2019-07-09,0.3471
"22",2019-07-10,0.2921
"23",2019-07-11,0.3398
"24",2019-07-12,0.3421
"25",2019-07-15,0.3665
"26",2019-07-16,0.3824
"27",2019-07-17,0.3826
"28",2019-07-18,0.3706
"29",2019-07-19,0.3802
"30",2019-07-22,0.3507
"31",2019-07-23,0.3582
"32",2019-07-24,0.3443
"33",2019-07-25,0.3761
"34",2019-07-26,0.3577
"35",2019-07-29,0.3693
"36",2019-07-30,0.3743
"37",2019-07-31,0.3753
"38",2019-08-01,0.3597
"39",2019-08-02,0.3831
"40",2019-08-05,0.4116
"41",2019-08-06,0.4308
"42",2019-08-07,0.3963
"43",2019-08-08,0.4251
"44",2019-08-09,0.4208
"45",2019-08-12,0.43
"46",2019-08-13,0.4136
"47",2019-08-14,0.4447
"48",2019-08-15,0.464
"49",2019-08-16,0.4969
"50",2019-08-19,0.4754
"51",2019-08-20,0.4502
"52",2019-08-21,0.3799
"53",2019-08-22,0.371
"54",2019-08-23,0.3372
"55",2019-08-26,0.3185
"56",2019-08-27,0.3204
"57",2019-08-28,0.2954
"58",2019-08-29,0.2757
"59",2019-08-30,0.3034
"60",2019-09-03,0.3151
"61",2019-09-04,0.333
"62",2019-09-05,0.3065
"63",2019-09-06,0.3326
"64",2019-09-09,0.3021
"65",2019-09-10,0.3082
"66",2019-09-11,0.313
"67",2019-09-12,0.3119
"68",2019-09-13,0.3024
"69",2019-09-16,0.2986
"70",2019-09-17,0.2832
"71",2019-09-18,0.3096
"72",2019-09-19,0.2987
"73",2019-09-20,0.3369
"74",2019-09-23,0.3234
"75",2019-09-24,0.3193
"76",2019-09-25,0.3042
"77",2019-09-26,0.2968
"78",2019-09-27,0.2901
"79",2019-09-30,0.3203
"80",2019-10-01,0.3281
"81",2019-10-02,0.3309
"82",2019-10-03,0.305
"83",2019-10-04,0.3173
"84",2019-10-07,0.3444
"85",2019-10-08,0.3637
"86",2019-10-09,0.3668
"87",2019-10-10,0.3463
"88",2019-10-11,0.3564
"89",2019-10-14,0.3851
"90",2019-10-15,0.3375
"91",2019-10-16,0.3704
"92",2019-10-17,0.3801
"93",2019-10-18,0.3981
"94",2019-10-21,0.3746
"95",2019-10-22,0.3905
"96",2019-10-23,0.3936
"97",2019-10-24,0.3881
"98",2019-10-25,0.3694
"99",2019-10-28,0.3664
"100",2019-10-29,0.3634
"101",2019-10-30,0.3592
"102",2019-10-31,0.3332
"103",2019-11-01,0.375
"104",2019-11-04,0.4009
"105",2019-11-05,0.4053
"106",2019-11-06,0.3747
"107",2019-11-07,0.3744
"108",2019-11-08,0.3739
"109",2019-11-11,0.3703
"110",2019-11-12,0.3749
"111",2019-11-13,0.3925
"112",2019-11-14,0.3634
"113",2019-11-15,0.3935
"114",2019-11-18,0.3833
"115",2019-11-19,0.3942
"116",2019-11-20,0.387
"117",2019-11-21,0.4046
"118",2019-11-22,0.3983
"119",2019-11-25,0.4238
"120",2019-11-26,0.4106
"121",2019-11-27,0.4436
"122",2019-11-29,0.4233
"123",2019-12-02,0.4247
"124",2019-12-03,0.4328
"125",2019-12-04,0.4344
"126",2019-12-05,0.4408
"127",2019-12-06,0.4386
"128",2019-12-09,0.4426
"129",2019-12-10,0.4554
"130",2019-12-11,0.4629
"131",2019-12-12,0.4623
"132",2019-12-13,0.4351
"133",2019-12-16,0.4796
"134",2019-12-17,0.4579
"135",2019-12-18,0.4487
"136",2019-12-19,0.459
"137",2019-12-20,0.4806
"138",2019-12-23,0.4666
"139",2019-12-24,0.4737
"140",2019-12-26,0.4525
"141",2019-12-27,0.3852
"142",2019-12-30,0.237
"143",2019-12-31,0.2409
"144",2020-01-02,0.2219
"145",2020-01-03,0.2085
"146",2020-01-06,0.2047
"147",2020-01-07,0.1922
"148",2020-01-08,0.1922
"149",2020-01-09,0.1911
"150",2020-01-10,0.1651
"151",2020-01-13,0.1732
"152",2020-01-14,0.1854
"153",2020-01-15,0.2002
"154",2020-01-16,0.2001
"155",2020-01-17,0.1844
"156",2020-01-21,0.1889
"157",2020-01-22,0.2161
"158",2020-01-23,0.2155
"159",2020-01-24,0.2181
"160",2020-01-27,0.2022
"161",2020-01-28,0.2104
"162",2020-01-29,0.1978
"163",2020-01-30,0.2076
"164",2020-01-31,0.2222
"165",2020-02-03,0.2204
"166",2020-02-04,0.2236
"167",2020-02-05,0.2137
"168",2020-02-06,0.2039
"169",2020-02-07,0.2342
"170",2020-02-10,0.2454
"171",2020-02-11,0.2292
"172",2020-02-12,0.2078
"173",2020-02-13,0.2111
"174",2020-02-14,0.1947
"175",2020-02-18,0.2075
"176",2020-02-19,0.2201
"177",2020-02-20,0.2208
"178",2020-02-21,0.2081
"179",2020-02-24,0.2047
"180",2020-02-25,0.1981
"181",2020-02-26,0.2165
"182",2020-02-27,0.2234
"183",2020-02-28,0.2172
"184",2020-03-02,0.2241
"185",2020-03-03,0.2111
"186",2020-03-04,0.1949
"187",2020-03-05,0.1723
"188",2020-03-06,0.1693
"189",2020-03-09,0.1853
"190",2020-03-10,0.1763
"191",2020-03-11,0.1765
"192",2020-03-12,0.1703
"193",2020-03-13,0.1807
"194",2020-03-16,0.1756
"195",2020-03-17,0.1642
"196",2020-03-18,0.1687
"197",2020-03-19,0.1486
"198",2020-03-20,0.1115
"199",2020-03-23,0.1216
"200",2020-03-24,0.1382
"201",2020-03-25,0.1683
"202",2020-03-26,0.191
"203",2020-03-27,0.1988
"204",2020-03-30,0.1894
"205",2020-03-31,0.1849
"206",2020-04-01,0.1793
"207",2020-04-02,0.1813
"208",2020-04-03,0.19
"209",2020-04-06,0.2069
"210",2020-04-07,0.1961
"211",2020-04-08,0.1776
"212",2020-04-09,0.1865
"213",2020-04-13,0.2021
"214",2020-04-14,0.2057
"215",2020-04-15,0.193
"216",2020-04-16,0.2139
"217",2020-04-17,0.2358
"218",2020-04-20,0.226
"219",2020-04-21,0.2156
"220",2020-04-22,0.212
"221",2020-04-23,0.2188
"222",2020-04-24,0.2162
"223",2020-04-27,0.2027
"224",2020-04-28,0.2262
"225",2020-04-29,0.2189
"226",2020-04-30,0.202
"227",2020-05-01,0.1851
"228",2020-05-04,0.1568
"229",2020-05-05,0.1642
"230",2020-05-06,0.1646
"231",2020-05-07,0.1486
"232",2020-05-08,0.138
"233",2020-05-11,0.1299
"234",2020-05-12,0.1205
"235",2020-05-13,0.1293
"236",2020-05-14,0.1254
"237",2020-05-15,0.1254
"238",2020-05-18,0.1238
"239",2020-05-19,0.1115
"240",2020-05-20,0.0983999999999999
"241",2020-05-21,0.1171
"242",2020-05-22,0.1085
"243",2020-05-26,0.08
"244",2020-05-27,0.0509999999999999
"245",2020-05-28,0.033
"246",2020-05-29,0.0216999999999999
"247",2020-06-01,0.0223
"248",2020-06-02,0.0224
"249",2020-06-03,0.0281
"250",2020-06-04,0.0229999999999999
"251",2020-06-05,0.0348999999999999
"252",2020-06-08,0.0321
"253",2020-06-09,0.0497
"254",2020-06-10,0.0493
"255",2020-06-11,0.0538
"256",2020-06-12,0.0566
