"","date","CVX"
"1",2020-11-10,0.2224
"2",2020-11-11,0.2321
"3",2020-11-12,0.2138
"4",2020-11-13,0.2049
"5",2020-11-16,0.1992
"6",2020-11-17,0.2219
"7",2020-11-18,0.2008
"8",2020-11-19,0.1897
"9",2020-11-20,0.1748
"10",2020-11-23,0.2035
"11",2020-11-24,0.2154
"12",2020-11-25,0.2399
"13",2020-11-27,0.2177
"14",2020-11-30,0.2035
"15",2020-12-01,0.1948
"16",2020-12-02,0.2307
"17",2020-12-03,0.2385
"18",2020-12-04,0.2421
"19",2020-12-07,0.2312
"20",2020-12-08,0.2309
"21",2020-12-09,0.2376
"22",2020-12-10,0.2467
"23",2020-12-11,0.2391
"24",2020-12-14,0.2425
"25",2020-12-15,0.2155
"26",2020-12-16,0.2074
"27",2020-12-17,0.1907
"28",2020-12-18,0.1956
"29",2020-12-21,0.2098
"30",2020-12-22,0.2157
"31",2020-12-23,0.2207
"32",2020-12-24,0.2338
"33",2020-12-28,0.2304
"34",2020-12-29,0.2302
"35",2020-12-30,0.2225
"36",2020-12-31,0.2434
"37",2021-01-04,0.231
"38",2021-01-05,0.228
"39",2021-01-06,0.2323
"40",2021-01-07,0.2469
"41",2021-01-08,0.2489
"42",2021-01-11,0.2593
"43",2021-01-12,0.2528
"44",2021-01-13,0.2564
"45",2021-01-14,0.2532
"46",2021-01-15,0.2638
"47",2021-01-19,0.2343
"48",2021-01-20,0.2233
"49",2021-01-21,0.1956
"50",2021-01-22,0.2117
"51",2021-01-25,0.2183
"52",2021-01-26,0.2381
"53",2021-01-27,0.2288
"54",2021-01-28,0.2267
"55",2021-01-29,0.2278
"56",2021-02-01,0.2516
"57",2021-02-02,0.2468
"58",2021-02-03,0.2392
"59",2021-02-04,0.2183
"60",2021-02-05,0.2127
"61",2021-02-08,0.2168
"62",2021-02-09,0.2203
"63",2021-02-10,0.212
"64",2021-02-11,0.198
"65",2021-02-12,0.1887
"66",2021-02-16,0.2115
"67",2021-02-17,0.202
"68",2021-02-18,0.2025
"69",2021-02-19,0.1892
"70",2021-02-22,0.1885
"71",2021-02-23,0.1825
"72",2021-02-24,0.1823
"73",2021-02-25,0.1596
"74",2021-02-26,0.1476
"75",2021-03-01,0.1298
"76",2021-03-02,0.1553
"77",2021-03-03,0.1505
"78",2021-03-04,0.1466
"79",2021-03-05,0.1414
"80",2021-03-08,0.1598
"81",2021-03-09,0.1837
"82",2021-03-10,0.1957
"83",2021-03-11,0.19
"84",2021-03-12,0.1905
"85",2021-03-15,0.177
"86",2021-03-16,0.1824
"87",2021-03-17,0.1797
"88",2021-03-18,0.1871
"89",2021-03-19,0.1799
"90",2021-03-22,0.1759
"91",2021-03-23,0.1598
"92",2021-03-24,0.1673
"93",2021-03-25,0.1538
"94",2021-03-26,0.1622
"95",2021-03-29,0.1524
"96",2021-03-30,0.1618
"97",2021-03-31,0.1575
"98",2021-04-01,0.1607
"99",2021-04-05,0.1584
"100",2021-04-06,0.1752
"101",2021-04-07,0.1852
"102",2021-04-08,0.1902
"103",2021-04-09,0.1783
"104",2021-04-12,0.1714
"105",2021-04-13,0.1624
"106",2021-04-14,0.1877
"107",2021-04-15,0.183
"108",2021-04-16,0.1901
"109",2021-04-19,0.1835
"110",2021-04-20,0.1863
"111",2021-04-21,0.1793
"112",2021-04-22,0.1895
"113",2021-04-23,0.172
"114",2021-04-26,0.1792
"115",2021-04-27,0.1663
"116",2021-04-28,0.1733
"117",2021-04-29,0.171
"118",2021-04-30,0.1687
"119",2021-05-03,0.1641
"120",2021-05-04,0.1778
"121",2021-05-05,0.1752
"122",2021-05-06,0.1831
"123",2021-05-07,0.1709
"124",2021-05-10,0.173
"125",2021-05-11,0.1702
"126",2021-05-12,0.1721
"127",2021-05-13,0.1835
"128",2021-05-14,0.1872
"129",2021-05-17,0.1906
"130",2021-05-18,0.2
"131",2021-05-19,0.2132
"132",2021-05-20,0.2184
"133",2021-05-21,0.1978
"134",2021-05-24,0.1839
"135",2021-05-25,0.1526
"136",2021-05-26,0.1671
"137",2021-05-27,0.1526
"138",2021-05-28,0.1568
"139",2021-06-01,0.1404
"140",2021-06-02,0.1622
"141",2021-06-03,0.1743
"142",2021-06-04,0.1998
"143",2021-06-07,0.1962
"144",2021-06-08,0.2083
"145",2021-06-09,0.1954
"146",2021-06-10,0.1997
"147",2021-06-11,0.1869
"148",2021-06-14,0.1848
"149",2021-06-15,0.1827
"150",2021-06-16,0.185
"151",2021-06-17,0.1913
"152",2021-06-18,0.1862
"153",2021-06-21,0.184
"154",2021-06-22,0.1834
"155",2021-06-23,0.1747
"156",2021-06-24,0.1892
"157",2021-06-25,0.1852
"158",2021-06-28,0.1821
"159",2021-06-29,0.1691
"160",2021-06-30,0.1868
"161",2021-07-01,0.1874
"162",2021-07-02,0.1888
"163",2021-07-06,0.1686
"164",2021-07-07,0.1751
"165",2021-07-08,0.179
"166",2021-07-09,0.2069
"167",2021-07-12,0.2032
"168",2021-07-13,0.1973
"169",2021-07-14,0.1813
"170",2021-07-15,0.1878
"171",2021-07-16,0.2083
"172",2021-07-19,0.233
"173",2021-07-20,0.2162
"174",2021-07-21,0.203
"175",2021-07-22,0.1796
"176",2021-07-23,0.188
"177",2021-07-26,0.1885
"178",2021-07-27,0.1931
"179",2021-07-28,0.1789
"180",2021-07-29,0.1807
"181",2021-07-30,0.1805
"182",2021-08-02,0.1956
"183",2021-08-03,0.1992
"184",2021-08-04,0.2048
"185",2021-08-05,0.1992
"186",2021-08-06,0.2255
"187",2021-08-09,0.2186
"188",2021-08-10,0.2319
"189",2021-08-11,0.2295
"190",2021-08-12,0.2252
"191",2021-08-13,0.2167
"192",2021-08-16,0.2184
"193",2021-08-17,0.2081
"194",2021-08-18,0.197
"195",2021-08-19,0.1734
"196",2021-08-20,0.1977
"197",2021-08-23,0.2063
"198",2021-08-24,0.2166
"199",2021-08-25,0.2177
"200",2021-08-26,0.2298
"201",2021-08-27,0.2379
"202",2021-08-30,0.2371
"203",2021-08-31,0.2191
"204",2021-09-01,0.2281
"205",2021-09-02,0.2242
"206",2021-09-03,0.2341
"207",2021-09-07,0.2203
"208",2021-09-08,0.219
"209",2021-09-09,0.2243
"210",2021-09-10,0.2444
"211",2021-09-13,0.2544
"212",2021-09-14,0.2504
"213",2021-09-15,0.2434
"214",2021-09-16,0.2359
"215",2021-09-17,0.2246
"216",2021-09-20,0.2415
"217",2021-09-21,0.2149
"218",2021-09-22,0.2102
"219",2021-09-23,0.2027
"220",2021-09-24,0.2358
"221",2021-09-27,0.2468
"222",2021-09-28,0.2552
"223",2021-09-29,0.2326
"224",2021-09-30,0.2412
"225",2021-10-01,0.2431
"226",2021-10-04,0.2756
"227",2021-10-05,0.2681
"228",2021-10-06,0.2577
"229",2021-10-07,0.2391
"230",2021-10-08,0.2361
"231",2021-10-11,0.24
"232",2021-10-12,0.2451
"233",2021-10-13,0.2338
"234",2021-10-14,0.229
"235",2021-10-15,0.222
"236",2021-10-18,0.2385
"237",2021-10-19,0.2519
"238",2021-10-20,0.253
"239",2021-10-21,0.2581
"240",2021-10-22,0.2717
"241",2021-10-25,0.2901
"242",2021-10-26,0.3016
"243",2021-10-27,0.2897
"244",2021-10-28,0.2863
"245",2021-10-29,0.2673
"246",2021-11-01,0.2785
"247",2021-11-02,0.2508
"248",2021-11-03,0.2591
"249",2021-11-04,0.2547
"250",2021-11-05,0.2744
"251",2021-11-08,0.2638
"252",2021-11-09,0.2768
"253",2021-11-10,0.2607
"254",2021-11-11,0.2446
"255",2021-11-12,0.2243
"256",2021-11-15,0.2411
"257",2021-11-16,0.2448
"258",2021-11-17,0.2453
"259",2021-11-18,0.2343
"260",2021-11-19,0.2398
"261",2021-11-22,0.2557
"262",2021-11-23,0.2729
"263",2021-11-24,0.276
"264",2021-11-26,0.2715
"265",2021-11-29,0.2441
"266",2021-11-30,0.2384
"267",2021-12-01,0.2159
"268",2021-12-02,0.2193
"269",2021-12-03,0.203
"270",2021-12-06,0.2103
"271",2021-12-07,0.2178
"272",2021-12-08,0.2292
"273",2021-12-09,0.2209
"274",2021-12-10,0.2374
"275",2021-12-13,0.2351
"276",2021-12-14,0.2632
"277",2021-12-15,0.2636
"278",2021-12-16,0.2487
"279",2021-12-17,0.2332
"280",2021-12-20,0.2305
"281",2021-12-21,0.2303
"282",2021-12-22,0.2289
"283",2021-12-23,0.2119
"284",2021-12-27,0.2154
"285",2021-12-28,0.2117
"286",2021-12-29,0.2291
"287",2021-12-30,0.2243
"288",2021-12-31,0.2252
"289",2022-01-03,0.2105
"290",2022-01-04,0.229
"291",2022-01-05,0.2286
"292",2022-01-06,0.2475
"293",2022-01-07,0.2336
"294",2022-01-10,0.2363
"295",2022-01-11,0.2226
"296",2022-01-12,0.2451
"297",2022-01-13,0.2501
"298",2022-01-14,0.2494
"299",2022-01-18,0.2304
"300",2022-01-19,0.2278
"301",2022-01-20,0.2242
"302",2022-01-21,0.2174
"303",2022-01-24,0.2003
"304",2022-01-25,0.2081
"305",2022-01-26,0.2064
"306",2022-01-27,0.2124
"307",2022-01-28,0.2168
"308",2022-01-31,0.2227
"309",2022-02-01,0.2389
"310",2022-02-02,0.2575
"311",2022-02-03,0.2527
"312",2022-02-04,0.2491
"313",2022-02-07,0.2226
"314",2022-02-08,0.219
"315",2022-02-09,0.194
"316",2022-02-10,0.2107
"317",2022-02-11,0.2014
"318",2022-02-14,0.2119
"319",2022-02-15,0.1964
"320",2022-02-16,0.2089
"321",2022-02-17,0.2136
"322",2022-02-18,0.2356
"323",2022-02-22,0.2318
"324",2022-02-23,0.2289
"325",2022-02-24,0.2171
"326",2022-02-25,0.2231
"327",2022-02-28,0.2169
"328",2022-03-01,0.2222
"329",2022-03-02,0.2132
"330",2022-03-03,0.2144
"331",2022-03-04,0.2141
"332",2022-03-07,0.2187
"333",2022-03-08,0.2057
"334",2022-03-09,0.1933
"335",2022-03-10,0.1795
"336",2022-03-11,0.201
"337",2022-03-14,0.1995
"338",2022-03-15,0.1969
"339",2022-03-16,0.1909
"340",2022-03-17,0.2181
"341",2022-03-18,0.233
"342",2022-03-21,0.2384
"343",2022-03-22,0.2136
"344",2022-03-23,0.1997
"345",2022-03-24,0.1769
"346",2022-03-25,0.1878
"347",2022-03-28,0.184
"348",2022-03-29,0.1885
"349",2022-03-30,0.1778
"350",2022-03-31,0.179
"351",2022-04-01,0.1842
"352",2022-04-04,0.2117
"353",2022-04-05,0.2145
"354",2022-04-06,0.2206
"355",2022-04-07,0.1983
"356",2022-04-08,0.2053
"357",2022-04-11,0.1963
"358",2022-04-12,0.2023
"359",2022-04-13,0.1899
"360",2022-04-14,0.1918
"361",2022-04-18,0.1891
"362",2022-04-19,0.1956
"363",2022-04-20,0.181
"364",2022-04-21,0.1872
"365",2022-04-22,0.1896
"366",2022-04-25,0.2014
"367",2022-04-26,0.206
"368",2022-04-27,0.2067
"369",2022-04-28,0.215
"370",2022-04-29,0.2336
"371",2022-05-02,0.2323
"372",2022-05-03,0.2282
"373",2022-05-04,0.2144
"374",2022-05-05,0.2193
"375",2022-05-06,0.2051
"376",2022-05-09,0.2318
"377",2022-05-10,0.2175
"378",2022-05-11,0.2296
"379",2022-05-12,0.22
"380",2022-05-13,0.2543
"381",2022-05-16,0.2784
"382",2022-05-17,0.2918
"383",2022-05-18,0.2798
"384",2022-05-19,0.2809
"385",2022-05-20,0.2702
"386",2022-05-23,0.2853
"387",2022-05-24,0.2692
"388",2022-05-25,0.2647
"389",2022-05-26,0.2603
"390",2022-05-27,0.259
"391",2022-05-31,0.2712
"392",2022-06-01,0.287
"393",2022-06-02,0.2897
"394",2022-06-03,0.3036
"395",2022-06-06,0.3037
"396",2022-06-07,0.329
"397",2022-06-08,0.322
"398",2022-06-09,0.3146
"399",2022-06-10,0.2849
"400",2022-06-13,0.3028
"401",2022-06-14,0.3009
"402",2022-06-15,0.317
"403",2022-06-16,0.3045
"404",2022-06-17,0.3135
"405",2022-06-21,0.3143
"406",2022-06-22,0.3551
"407",2022-06-23,0.3564
"408",2022-06-24,0.3567
"409",2022-06-27,0.3488
"410",2022-06-28,0.3525
"411",2022-06-29,0.3445
"412",2022-06-30,0.3567
"413",2022-07-01,0.3581
"414",2022-07-05,0.3507
"415",2022-07-06,0.3326
"416",2022-07-07,0.3481
"417",2022-07-08,0.357
"418",2022-07-11,0.3657
"419",2022-07-12,0.3582
"420",2022-07-13,0.3666
"421",2022-07-14,0.3665
"422",2022-07-15,0.3679
"423",2022-07-18,0.3398
"424",2022-07-19,0.3428
"425",2022-07-20,0.3321
"426",2022-07-21,0.3495
"427",2022-07-22,0.3289
"428",2022-07-25,0.337
"429",2022-07-26,0.335
"430",2022-07-27,0.3589
"431",2022-07-28,0.3647
"432",2022-07-29,0.3657
"433",2022-08-01,0.3504
"434",2022-08-02,0.3445
"435",2022-08-03,0.3313
"436",2022-08-04,0.3503
"437",2022-08-05,0.3503
"438",2022-08-08,0.3455
"439",2022-08-09,0.3413
"440",2022-08-10,0.3571
"441",2022-08-11,0.3595
"442",2022-08-12,0.3709
"443",2022-08-15,0.3588
"444",2022-08-16,0.3642
"445",2022-08-17,0.353
"446",2022-08-18,0.3597
"447",2022-08-19,0.3355
"448",2022-08-22,0.3396
"449",2022-08-23,0.335
"450",2022-08-24,0.3534
"451",2022-08-25,0.3552
"452",2022-08-26,0.3688
"453",2022-08-29,0.3639
"454",2022-08-30,0.3597
"455",2022-08-31,0.34
"456",2022-09-01,0.3489
"457",2022-09-02,0.3393
"458",2022-09-06,0.3397
"459",2022-09-07,0.3183
"460",2022-09-08,0.3282
"461",2022-09-09,0.3417
"462",2022-09-12,0.3574
"463",2022-09-13,0.3569
"464",2022-09-14,0.351
"465",2022-09-15,0.3377
"466",2022-09-16,0.3569
"467",2022-09-19,0.3359
"468",2022-09-20,0.3228
"469",2022-09-21,0.3057
"470",2022-09-22,0.3084
"471",2022-09-23,0.3101
"472",2022-09-26,0.333
"473",2022-09-27,0.3379
"474",2022-09-28,0.3306
"475",2022-09-29,0.3078
"476",2022-09-30,0.3203
"477",2022-10-03,0.314
"478",2022-10-04,0.312
"479",2022-10-05,0.303
"480",2022-10-06,0.3106
"481",2022-10-07,0.318
"482",2022-10-10,0.3195
"483",2022-10-11,0.2994
"484",2022-10-12,0.2975
"485",2022-10-13,0.2811
"486",2022-10-14,0.2875
"487",2022-10-17,0.2669
"488",2022-10-18,0.263
"489",2022-10-19,0.2504
"490",2022-10-20,0.2668
"491",2022-10-21,0.2624
"492",2022-10-24,0.2679
"493",2022-10-25,0.2498
"494",2022-10-26,0.2459
"495",2022-10-27,0.231
"496",2022-10-28,0.2524
"497",2022-10-31,0.25
"498",2022-11-01,0.2504
"499",2022-11-02,0.2307
"500",2022-11-03,0.2364
"501",2022-11-04,0.2424
"502",2022-11-07,0.2561
"503",2022-11-08,0.2441
"504",2022-11-09,0.2404
"505",2022-11-10,0.2384
"506",2022-11-11,0.245
"507",2022-11-14,0.2275
"508",2022-11-15,0.2369
"509",2022-11-16,0.2247
"510",2022-11-17,0.2389
"511",2022-11-18,0.2293
"512",2022-11-21,0.2461
"513",2022-11-22,0.2447
"514",2022-11-23,0.2486
"515",2022-11-25,0.241
"516",2022-11-28,0.2518
"517",2022-11-29,0.2564
"518",2022-11-30,0.2652
"519",2022-12-01,0.255
"520",2022-12-02,0.2629
"521",2022-12-05,0.2699
"522",2022-12-06,0.2804
"523",2022-12-07,0.2777
"524",2022-12-08,0.2894
"525",2022-12-09,0.2829
"526",2022-12-12,0.2884
"527",2022-12-13,0.291
"528",2022-12-14,0.3045
"529",2022-12-15,0.292
"530",2022-12-16,0.3063
"531",2022-12-19,0.3006
"532",2022-12-20,0.3143
"533",2022-12-21,0.3186
"534",2022-12-22,0.3357
"535",2022-12-23,0.3377
"536",2022-12-27,0.3613
"537",2022-12-28,0.372
"538",2022-12-29,0.3924
"539",2022-12-30,0.3949
"540",2023-01-03,0.4036
"541",2023-01-04,0.4111
"542",2023-01-05,0.4122
"543",2023-01-06,0.4027
"544",2023-01-09,0.402
"545",2023-01-10,0.4039
"546",2023-01-11,0.4106
"547",2023-01-12,0.4021
"548",2023-01-13,0.3897
"549",2023-01-17,0.3901
"550",2023-01-18,0.3784
"551",2023-01-19,0.3474
"552",2023-01-20,0.3267
"553",2023-01-23,0.2435
"554",2023-01-24,0.2218
"555",2023-01-25,0.1673
"556",2023-01-26,0.1772
"557",2023-01-27,0.1934
"558",2023-01-30,0.209
"559",2023-01-31,0.1771
"560",2023-02-01,0.1899
"561",2023-02-02,0.1973
"562",2023-02-03,0.1798
"563",2023-02-06,0.1868
"564",2023-02-07,0.1938
"565",2023-02-08,0.2042
"566",2023-02-09,0.1968
"567",2023-02-10,0.1906
"568",2023-02-13,0.19
"569",2023-02-14,0.1943
"570",2023-02-15,0.2002
"571",2023-02-16,0.1991
"572",2023-02-17,0.1929
"573",2023-02-21,0.1936
"574",2023-02-22,0.1921
"575",2023-02-23,0.1969
"576",2023-02-24,0.1977
"577",2023-02-27,0.2002
"578",2023-02-28,0.2089
"579",2023-03-01,0.1953
"580",2023-03-02,0.1924
"581",2023-03-03,0.1943
"582",2023-03-06,0.1972
"583",2023-03-07,0.1912
"584",2023-03-08,0.1919
"585",2023-03-09,0.1959
"586",2023-03-10,0.1882
"587",2023-03-13,0.1936
"588",2023-03-14,0.1929
"589",2023-03-15,0.1816
"590",2023-03-16,0.1737
"591",2023-03-17,0.1727
"592",2023-03-20,0.1771
"593",2023-03-21,0.1854
"594",2023-03-22,0.1869
"595",2023-03-23,0.1839
"596",2023-03-24,0.1811
"597",2023-03-27,0.1772
"598",2023-03-28,0.1794
"599",2023-03-29,0.1776
"600",2023-03-30,0.1714
"601",2023-03-31,0.178
"602",2023-04-03,0.1811
"603",2023-04-04,0.1763
"604",2023-04-05,0.1766
"605",2023-04-06,0.1734
"606",2023-04-10,0.1619
"607",2023-04-11,0.1502
"608",2023-04-12,0.1505
"609",2023-04-13,0.1466
"610",2023-04-14,0.1444
"611",2023-04-17,0.1437
"612",2023-04-18,0.1385
"613",2023-04-19,0.1408
"614",2023-04-20,0.1472
"615",2023-04-21,0.1427
"616",2023-04-24,0.1361
"617",2023-04-25,0.1366
"618",2023-04-26,0.1372
"619",2023-04-27,0.1298
"620",2023-04-28,0.1312
"621",2023-05-01,0.1292
"622",2023-05-02,0.1234
"623",2023-05-03,0.1237
"624",2023-05-04,0.1291
"625",2023-05-05,0.1293
"626",2023-05-08,0.1248
"627",2023-05-09,0.1118
"628",2023-05-10,0.1027
"629",2023-05-11,0.1004
"630",2023-05-12,0.1004
"631",2023-05-15,0.0972000000000001
"632",2023-05-16,0.0966
"633",2023-05-17,0.0978
"634",2023-05-18,0.0917
"635",2023-05-19,0.0878
"636",2023-05-22,0.0874
"637",2023-05-23,0.0908
"638",2023-05-24,0.0947
"639",2023-05-25,0.0843
"640",2023-05-26,0.0805
"641",2023-05-30,0.0838
"642",2023-05-31,0.0809
"643",2023-06-01,0.0824
"644",2023-06-02,0.0833
"645",2023-06-05,0.0841000000000001
"646",2023-06-06,0.0808
"647",2023-06-07,0.0839
"648",2023-06-08,0.0921
"649",2023-06-09,0.0903
"650",2023-06-12,0.0917
"651",2023-06-13,0.0920000000000001
"652",2023-06-14,0.0935999999999999
"653",2023-06-15,0.1003
"654",2023-06-16,0.1045
"655",2023-06-20,0.1039
"656",2023-06-21,0.1071
"657",2023-06-22,0.1109
"658",2023-06-23,0.1214
"659",2023-06-26,0.1254
"660",2023-06-27,0.1246
"661",2023-06-28,0.1285
"662",2023-06-29,0.1338
