"","date","MSFT"
"1",2020-11-10,0.1879
"2",2020-11-11,0.1998
"3",2020-11-12,0.1868
"4",2020-11-13,0.1883
"5",2020-11-16,0.1942
"6",2020-11-17,0.1969
"7",2020-11-18,0.1868
"8",2020-11-19,0.1854
"9",2020-11-20,0.1812
"10",2020-11-23,0.1788
"11",2020-11-24,0.1828
"12",2020-11-25,0.1998
"13",2020-11-27,0.1927
"14",2020-11-30,0.2032
"15",2020-12-01,0.2026
"16",2020-12-02,0.2024
"17",2020-12-03,0.2064
"18",2020-12-04,0.2046
"19",2020-12-07,0.2011
"20",2020-12-08,0.2094
"21",2020-12-09,0.2099
"22",2020-12-10,0.1948
"23",2020-12-11,0.1806
"24",2020-12-14,0.1957
"25",2020-12-15,0.1886
"26",2020-12-16,0.1867
"27",2020-12-17,0.1729
"28",2020-12-18,0.1637
"29",2020-12-21,0.1743
"30",2020-12-22,0.1805
"31",2020-12-23,0.1809
"32",2020-12-24,0.1954
"33",2020-12-28,0.1876
"34",2020-12-29,0.1977
"35",2020-12-30,0.2075
"36",2020-12-31,0.2182
"37",2021-01-04,0.2169
"38",2021-01-05,0.2138
"39",2021-01-06,0.2168
"40",2021-01-07,0.216
"41",2021-01-08,0.2161
"42",2021-01-11,0.2231
"43",2021-01-12,0.2022
"44",2021-01-13,0.2051
"45",2021-01-14,0.2146
"46",2021-01-15,0.2035
"47",2021-01-19,0.1955
"48",2021-01-20,0.1976
"49",2021-01-21,0.1912
"50",2021-01-22,0.1999
"51",2021-01-25,0.2022
"52",2021-01-26,0.2034
"53",2021-01-27,0.1918
"54",2021-01-28,0.2029
"55",2021-01-29,0.2
"56",2021-02-01,0.205
"57",2021-02-02,0.1977
"58",2021-02-03,0.201
"59",2021-02-04,0.2178
"60",2021-02-05,0.2263
"61",2021-02-08,0.2263
"62",2021-02-09,0.2311
"63",2021-02-10,0.2194
"64",2021-02-11,0.2223
"65",2021-02-12,0.2292
"66",2021-02-16,0.2254
"67",2021-02-17,0.2176
"68",2021-02-18,0.2299
"69",2021-02-19,0.2264
"70",2021-02-22,0.2216
"71",2021-02-23,0.2312
"72",2021-02-24,0.241
"73",2021-02-25,0.2291
"74",2021-02-26,0.2261
"75",2021-03-01,0.2218
"76",2021-03-02,0.2285
"77",2021-03-03,0.2315
"78",2021-03-04,0.2361
"79",2021-03-05,0.2348
"80",2021-03-08,0.2391
"81",2021-03-09,0.2599
"82",2021-03-10,0.2641
"83",2021-03-11,0.2556
"84",2021-03-12,0.2717
"85",2021-03-15,0.2647
"86",2021-03-16,0.2645
"87",2021-03-17,0.2591
"88",2021-03-18,0.2416
"89",2021-03-19,0.2388
"90",2021-03-22,0.2509
"91",2021-03-23,0.2459
"92",2021-03-24,0.2493
"93",2021-03-25,0.2389
"94",2021-03-26,0.2345
"95",2021-03-29,0.2394
"96",2021-03-30,0.2401
"97",2021-03-31,0.2373
"98",2021-04-01,0.2473
"99",2021-04-05,0.2455
"100",2021-04-06,0.2437
"101",2021-04-07,0.2564
"102",2021-04-08,0.2608
"103",2021-04-09,0.254
"104",2021-04-12,0.2732
"105",2021-04-13,0.2683
"106",2021-04-14,0.2632
"107",2021-04-15,0.2596
"108",2021-04-16,0.2598
"109",2021-04-19,0.2471
"110",2021-04-20,0.2458
"111",2021-04-21,0.2405
"112",2021-04-22,0.2496
"113",2021-04-23,0.2338
"114",2021-04-26,0.2438
"115",2021-04-27,0.2483
"116",2021-04-28,0.2429
"117",2021-04-29,0.2485
"118",2021-04-30,0.2316
"119",2021-05-03,0.2331
"120",2021-05-04,0.2518
"121",2021-05-05,0.2492
"122",2021-05-06,0.255
"123",2021-05-07,0.2445
"124",2021-05-10,0.2396
"125",2021-05-11,0.2511
"126",2021-05-12,0.2483
"127",2021-05-13,0.2434
"128",2021-05-14,0.2396
"129",2021-05-17,0.2401
"130",2021-05-18,0.2366
"131",2021-05-19,0.2399
"132",2021-05-20,0.2433
"133",2021-05-21,0.2227
"134",2021-05-24,0.2223
"135",2021-05-25,0.218
"136",2021-05-26,0.2172
"137",2021-05-27,0.2192
"138",2021-05-28,0.2228
"139",2021-06-01,0.2109
"140",2021-06-02,0.2144
"141",2021-06-03,0.2151
"142",2021-06-04,0.2252
"143",2021-06-07,0.2209
"144",2021-06-08,0.2357
"145",2021-06-09,0.2321
"146",2021-06-10,0.2334
"147",2021-06-11,0.2237
"148",2021-06-14,0.2163
"149",2021-06-15,0.2203
"150",2021-06-16,0.2141
"151",2021-06-17,0.2134
"152",2021-06-18,0.2097
"153",2021-06-21,0.2015
"154",2021-06-22,0.2006
"155",2021-06-23,0.2091
"156",2021-06-24,0.2211
"157",2021-06-25,0.2182
"158",2021-06-28,0.2185
"159",2021-06-29,0.2196
"160",2021-06-30,0.2106
"161",2021-07-01,0.2168
"162",2021-07-02,0.2165
"163",2021-07-06,0.2008
"164",2021-07-07,0.2156
"165",2021-07-08,0.2176
"166",2021-07-09,0.2144
"167",2021-07-12,0.2203
"168",2021-07-13,0.2274
"169",2021-07-14,0.2162
"170",2021-07-15,0.221
"171",2021-07-16,0.2253
"172",2021-07-19,0.223
"173",2021-07-20,0.2158
"174",2021-07-21,0.2232
"175",2021-07-22,0.2279
"176",2021-07-23,0.226
"177",2021-07-26,0.2266
"178",2021-07-27,0.2238
"179",2021-07-28,0.2152
"180",2021-07-29,0.2308
"181",2021-07-30,0.2411
"182",2021-08-02,0.2443
"183",2021-08-03,0.2355
"184",2021-08-04,0.2372
"185",2021-08-05,0.2469
"186",2021-08-06,0.2506
"187",2021-08-09,0.2478
"188",2021-08-10,0.254
"189",2021-08-11,0.2558
"190",2021-08-12,0.2522
"191",2021-08-13,0.256
"192",2021-08-16,0.2691
"193",2021-08-17,0.2554
"194",2021-08-18,0.2708
"195",2021-08-19,0.2702
"196",2021-08-20,0.263
