"","date","LLY"
"1",2019-06-10,0.3595
"2",2019-06-11,0.3683
"3",2019-06-12,0.3638
"4",2019-06-13,0.365
"5",2019-06-14,0.3526
"6",2019-06-17,0.3501
"7",2019-06-18,0.3645
"8",2019-06-19,0.3686
"9",2019-06-20,0.3682
"10",2019-06-21,0.3585
"11",2019-06-24,0.382
"12",2019-06-25,0.3986
"13",2019-06-26,0.4107
"14",2019-06-27,0.4239
"15",2019-06-28,0.4215
"16",2019-07-01,0.4228
"17",2019-07-02,0.4558
"18",2019-07-03,0.4709
"19",2019-07-05,0.4354
"20",2019-07-08,0.3806
"21",2019-07-09,0.3737
"22",2019-07-10,0.3429
"23",2019-07-11,0.3131
"24",2019-07-12,0.3096
"25",2019-07-15,0.3181
"26",2019-07-16,0.3302
"27",2019-07-17,0.331
"28",2019-07-18,0.3437
"29",2019-07-19,0.3453
"30",2019-07-22,0.3362
"31",2019-07-23,0.3394
"32",2019-07-24,0.3459
"33",2019-07-25,0.333
"34",2019-07-26,0.3295
"35",2019-07-29,0.3194
"36",2019-07-30,0.3122
"37",2019-07-31,0.3245
"38",2019-08-01,0.3126
"39",2019-08-02,0.3015
"40",2019-08-05,0.2997
"41",2019-08-06,0.3064
"42",2019-08-07,0.3069
"43",2019-08-08,0.3056
"44",2019-08-09,0.3066
"45",2019-08-12,0.3046
"46",2019-08-13,0.3033
"47",2019-08-14,0.3033
"48",2019-08-15,0.2899
"49",2019-08-16,0.2669
"50",2019-08-19,0.2714
"51",2019-08-20,0.2818
"52",2019-08-21,0.2606
"53",2019-08-22,0.255
"54",2019-08-23,0.2592
"55",2019-08-26,0.2586
"56",2019-08-27,0.2727
"57",2019-08-28,0.2785
"58",2019-08-29,0.284
"59",2019-08-30,0.2854
"60",2019-09-03,0.2782
"61",2019-09-04,0.2879
"62",2019-09-05,0.2961
"63",2019-09-06,0.2944
"64",2019-09-09,0.2878
"65",2019-09-10,0.2966
"66",2019-09-11,0.3109
"67",2019-09-12,0.3303
"68",2019-09-13,0.3311
"69",2019-09-16,0.3308
"70",2019-09-17,0.3303
"71",2019-09-18,0.3189
"72",2019-09-19,0.3171
"73",2019-09-20,0.3343
