"","date","MA"
"1",2022-04-18,0.2896
"2",2022-04-19,0.3054
"3",2022-04-20,0.2866
"4",2022-04-21,0.2813
"5",2022-04-22,0.2813
"6",2022-04-25,0.2884
"7",2022-04-26,0.285
"8",2022-04-27,0.2802
"9",2022-04-28,0.2747
"10",2022-04-29,0.2794
"11",2022-05-02,0.2871
"12",2022-05-03,0.2927
"13",2022-05-04,0.2744
"14",2022-05-05,0.2756
"15",2022-05-06,0.2814
"16",2022-05-09,0.2899
"17",2022-05-10,0.2971
"18",2022-05-11,0.3026
"19",2022-05-12,0.2994
"20",2022-05-13,0.3022
"21",2022-05-16,0.304
"22",2022-05-17,0.3121
"23",2022-05-18,0.3045
"24",2022-05-19,0.3126
"25",2022-05-20,0.2934
"26",2022-05-23,0.2984
"27",2022-05-24,0.2934
"28",2022-05-25,0.2897
"29",2022-05-26,0.2949
"30",2022-05-27,0.3014
"31",2022-05-31,0.3089
"32",2022-06-01,0.3199
"33",2022-06-02,0.3018
"34",2022-06-03,0.2987
"35",2022-06-06,0.3029
"36",2022-06-07,0.3028
"37",2022-06-08,0.3047
"38",2022-06-09,0.3032
"39",2022-06-10,0.2976
"40",2022-06-13,0.3036
"41",2022-06-14,0.3117
"42",2022-06-15,0.3195
"43",2022-06-16,0.3125
"44",2022-06-17,0.3185
"45",2022-06-21,0.3171
"46",2022-06-22,0.3202
"47",2022-06-23,0.3061
"48",2022-06-24,0.3044
"49",2022-06-27,0.2932
"50",2022-06-28,0.3045
"51",2022-06-29,0.3186
"52",2022-06-30,0.3199
"53",2022-07-01,0.3009
"54",2022-07-05,0.3035
"55",2022-07-06,0.3072
"56",2022-07-07,0.3175
"57",2022-07-08,0.3193
"58",2022-07-11,0.3153
"59",2022-07-12,0.3125
"60",2022-07-13,0.3134
"61",2022-07-14,0.3169
"62",2022-07-15,0.3265
"63",2022-07-18,0.3134
"64",2022-07-19,0.3107
"65",2022-07-20,0.3135
"66",2022-07-21,0.3243
"67",2022-07-22,0.3176
"68",2022-07-25,0.3267
"69",2022-07-26,0.3139
"70",2022-07-27,0.3142
"71",2022-07-28,0.3245
"72",2022-07-29,0.3261
"73",2022-08-01,0.3081
"74",2022-08-02,0.3104
"75",2022-08-03,0.311
"76",2022-08-04,0.3204
"77",2022-08-05,0.3191
"78",2022-08-08,0.3123
"79",2022-08-09,0.3126
"80",2022-08-10,0.3136
"81",2022-08-11,0.323
"82",2022-08-12,0.3292
"83",2022-08-15,0.3215
"84",2022-08-16,0.3252
"85",2022-08-17,0.3234
"86",2022-08-18,0.3268
"87",2022-08-19,0.3322
"88",2022-08-22,0.3275
"89",2022-08-23,0.3241
"90",2022-08-24,0.3342
"91",2022-08-25,0.3292
"92",2022-08-26,0.3321
"93",2022-08-29,0.3116
"94",2022-08-30,0.3182
"95",2022-08-31,0.3128
"96",2022-09-01,0.3179
"97",2022-09-02,0.3096
"98",2022-09-06,0.3123
"99",2022-09-07,0.3101
"100",2022-09-08,0.3148
"101",2022-09-09,0.33
"102",2022-09-12,0.3281
"103",2022-09-13,0.3153
"104",2022-09-14,0.319
"105",2022-09-15,0.3195
"106",2022-09-16,0.3288
"107",2022-09-19,0.337
"108",2022-09-20,0.331
"109",2022-09-21,0.3135
"110",2022-09-22,0.3201
"111",2022-09-23,0.3283
"112",2022-09-26,0.3295
"113",2022-09-27,0.3119
