"","date","UNH"
"1",2022-04-18,0.3017
"2",2022-04-19,0.3144
"3",2022-04-20,0.3121
"4",2022-04-21,0.3224
"5",2022-04-22,0.3147
"6",2022-04-25,0.3179
"7",2022-04-26,0.3102
"8",2022-04-27,0.3141
"9",2022-04-28,0.3
"10",2022-04-29,0.3051
"11",2022-05-02,0.3087
"12",2022-05-03,0.3163
"13",2022-05-04,0.3039
"14",2022-05-05,0.3038
"15",2022-05-06,0.2986
"16",2022-05-09,0.3045
"17",2022-05-10,0.3049
"18",2022-05-11,0.3002
"19",2022-05-12,0.2811
"20",2022-05-13,0.272
"21",2022-05-16,0.2734
"22",2022-05-17,0.2813
"23",2022-05-18,0.2764
"24",2022-05-19,0.2824
"25",2022-05-20,0.268
"26",2022-05-23,0.2707
"27",2022-05-24,0.2673
"28",2022-05-25,0.2676
"29",2022-05-26,0.2737
"30",2022-05-27,0.2816
"31",2022-05-31,0.2799
"32",2022-06-01,0.2896
"33",2022-06-02,0.2841
"34",2022-06-03,0.2912
"35",2022-06-06,0.2903
"36",2022-06-07,0.2985
"37",2022-06-08,0.2992
"38",2022-06-09,0.2991
"39",2022-06-10,0.2951
"40",2022-06-13,0.2928
"41",2022-06-14,0.2954
"42",2022-06-15,0.3039
"43",2022-06-16,0.2974
"44",2022-06-17,0.3072
"45",2022-06-21,0.3038
"46",2022-06-22,0.3105
"47",2022-06-23,0.3028
"48",2022-06-24,0.3037
"49",2022-06-27,0.2823
"50",2022-06-28,0.2871
"51",2022-06-29,0.2974
"52",2022-06-30,0.317
"53",2022-07-01,0.3166
"54",2022-07-05,0.3251
"55",2022-07-06,0.3192
"56",2022-07-07,0.3195
"57",2022-07-08,0.3144
"58",2022-07-11,0.312
"59",2022-07-12,0.3078
"60",2022-07-13,0.311
"61",2022-07-14,0.3081
"62",2022-07-15,0.3127
"63",2022-07-18,0.31
"64",2022-07-19,0.3129
"65",2022-07-20,0.3144
"66",2022-07-21,0.3181
"67",2022-07-22,0.3138
"68",2022-07-25,0.3187
"69",2022-07-26,0.3085
"70",2022-07-27,0.3105
"71",2022-07-28,0.3127
"72",2022-07-29,0.3175
"73",2022-08-01,0.31
"74",2022-08-02,0.3166
"75",2022-08-03,0.3042
"76",2022-08-04,0.3105
"77",2022-08-05,0.3108
"78",2022-08-08,0.3147
"79",2022-08-09,0.3068
"80",2022-08-10,0.3031
"81",2022-08-11,0.3173
"82",2022-08-12,0.3256
"83",2022-08-15,0.324
"84",2022-08-16,0.3295
"85",2022-08-17,0.3191
"86",2022-08-18,0.3251
"87",2022-08-19,0.3265
"88",2022-08-22,0.3308
"89",2022-08-23,0.3265
"90",2022-08-24,0.3308
"91",2022-08-25,0.323
"92",2022-08-26,0.3258
"93",2022-08-29,0.3169
"94",2022-08-30,0.3183
"95",2022-08-31,0.3146
"96",2022-09-01,0.3237
"97",2022-09-02,0.3195
"98",2022-09-06,0.3241
"99",2022-09-07,0.3228
"100",2022-09-08,0.3266
"101",2022-09-09,0.3328
"102",2022-09-12,0.3332
"103",2022-09-13,0.3218
"104",2022-09-14,0.3258
"105",2022-09-15,0.3137
"106",2022-09-16,0.3251
"107",2022-09-19,0.3317
"108",2022-09-20,0.3327
"109",2022-09-21,0.3223
"110",2022-09-22,0.32
"111",2022-09-23,0.3168
"112",2022-09-26,0.3292
"113",2022-09-27,0.3206
"114",2022-09-28,0.3309
"115",2022-09-29,0.3252
"116",2022-09-30,0.3294
"117",2022-10-03,0.3328
"118",2022-10-04,0.326
"119",2022-10-05,0.3152
"120",2022-10-06,0.3272
"121",2022-10-07,0.3259
"122",2022-10-10,0.3305
"123",2022-10-11,0.3235
"124",2022-10-12,0.3207
"125",2022-10-13,0.3205
"126",2022-10-14,0.3247
"127",2022-10-17,0.3251
"128",2022-10-18,0.3202
"129",2022-10-19,0.3171
"130",2022-10-20,0.3194
"131",2022-10-21,0.3181
"132",2022-10-24,0.324
"133",2022-10-25,0.3085
"134",2022-10-26,0.324
"135",2022-10-27,0.3161
"136",2022-10-28,0.3187
"137",2022-10-31,0.3156
"138",2022-11-01,0.3161
"139",2022-11-02,0.2992
"140",2022-11-03,0.3003
"141",2022-11-04,0.301
"142",2022-11-07,0.3115
"143",2022-11-08,0.3111
"144",2022-11-09,0.3158
"145",2022-11-10,0.2998
"146",2022-11-11,0.3006
"147",2022-11-14,0.3007
"148",2022-11-15,0.2966
"149",2022-11-16,0.2899
"150",2022-11-17,0.2896
"151",2022-11-18,0.2884
"152",2022-11-21,0.2802
"153",2022-11-22,0.2693
"154",2022-11-23,0.2714
"155",2022-11-25,0.266
"156",2022-11-28,0.2804
"157",2022-11-29,0.2725
"158",2022-11-30,0.2784
"159",2022-12-01,0.267
"160",2022-12-02,0.2667
"161",2022-12-05,0.2634
"162",2022-12-06,0.2692
"163",2022-12-07,0.2553
"164",2022-12-08,0.2605
"165",2022-12-09,0.2615
"166",2022-12-12,0.2708
"167",2022-12-13,0.2694
"168",2022-12-14,0.2687
"169",2022-12-15,0.2569
"170",2022-12-16,0.2521
"171",2022-12-19,0.2598
"172",2022-12-20,0.277
"173",2022-12-21,0.2737
"174",2022-12-22,0.2729
"175",2022-12-23,0.2544
"176",2022-12-27,0.2561
"177",2022-12-28,0.2548
"178",2022-12-29,0.2586
"179",2022-12-30,0.2495
"180",2023-01-03,0.2542
"181",2023-01-04,0.2541
"182",2023-01-05,0.2611
"183",2023-01-06,0.2524
"184",2023-01-09,0.2631
"185",2023-01-10,0.2609
"186",2023-01-11,0.2756
"187",2023-01-12,0.2715
"188",2023-01-13,0.269
"189",2023-01-17,0.26
"190",2023-01-18,0.2592
"191",2023-01-19,0.2602
"192",2023-01-20,0.2618
"193",2023-01-23,0.2471
"194",2023-01-24,0.253
"195",2023-01-25,0.2512
"196",2023-01-26,0.2582
"197",2023-01-27,0.2671
"198",2023-01-30,0.2794
"199",2023-01-31,0.2684
"200",2023-02-01,0.2649
"201",2023-02-02,0.2614
"202",2023-02-03,0.2679
"203",2023-02-06,0.2596
"204",2023-02-07,0.2706
"205",2023-02-08,0.2676
"206",2023-02-09,0.276
"207",2023-02-10,0.2764
"208",2023-02-13,0.2772
"209",2023-02-14,0.2698
"210",2023-02-15,0.2699
"211",2023-02-16,0.2711
"212",2023-02-17,0.2757
"213",2023-02-21,0.2696
"214",2023-02-22,0.2768
"215",2023-02-23,0.2626
"216",2023-02-24,0.2744
"217",2023-02-27,0.2685
"218",2023-02-28,0.2715
"219",2023-03-01,0.2645
"220",2023-03-02,0.2717
"221",2023-03-03,0.2796
"222",2023-03-06,0.2871
"223",2023-03-07,0.2733
"224",2023-03-08,0.285
"225",2023-03-09,0.2843
"226",2023-03-10,0.2932
"227",2023-03-13,0.2917
"228",2023-03-14,0.2925
"229",2023-03-15,0.2776
"230",2023-03-16,0.2747
"231",2023-03-17,0.277
"232",2023-03-20,0.2828
"233",2023-03-21,0.2754
"234",2023-03-22,0.2807
"235",2023-03-23,0.2738
"236",2023-03-24,0.2751
"237",2023-03-27,0.2796
"238",2023-03-28,0.2828
"239",2023-03-29,0.2797
"240",2023-03-30,0.2849
"241",2023-03-31,0.2882
"242",2023-04-03,0.2986
"243",2023-04-04,0.2884
"244",2023-04-05,0.2932
"245",2023-04-06,0.2801
"246",2023-04-10,0.2901
"247",2023-04-11,0.2816
"248",2023-04-12,0.2783
"249",2023-04-13,0.2724
"250",2023-04-14,0.2844
"251",2023-04-17,0.2834
"252",2023-04-18,0.2921
"253",2023-04-19,0.2793
"254",2023-04-20,0.2791
"255",2023-04-21,0.2726
"256",2023-04-24,0.2764
"257",2023-04-25,0.279
"258",2023-04-26,0.2826
"259",2023-04-27,0.2701
"260",2023-04-28,0.275
"261",2023-05-01,0.2815
"262",2023-05-02,0.2866
"263",2023-05-03,0.2872
"264",2023-05-04,0.2922
"265",2023-05-05,0.2754
"266",2023-05-08,0.2809
"267",2023-05-09,0.274
"268",2023-05-10,0.2818
"269",2023-05-11,0.2764
"270",2023-05-12,0.2797
"271",2023-05-15,0.2784
"272",2023-05-16,0.2804
"273",2023-05-17,0.2723
"274",2023-05-18,0.2815
"275",2023-05-19,0.2807
"276",2023-05-22,0.2963
"277",2023-05-23,0.299
"278",2023-05-24,0.2967
"279",2023-05-25,0.2872
"280",2023-05-26,0.2828
"281",2023-05-30,0.2847
"282",2023-05-31,0.2977
"283",2023-06-01,0.2854
"284",2023-06-02,0.2909
"285",2023-06-05,0.2901
"286",2023-06-06,0.3045
"287",2023-06-07,0.2942
"288",2023-06-08,0.298
"289",2023-06-09,0.2825
"290",2023-06-12,0.2851
"291",2023-06-13,0.2879
"292",2023-06-14,0.2992
"293",2023-06-15,0.2935
"294",2023-06-16,0.3061
"295",2023-06-20,0.2948
"296",2023-06-21,0.2988
"297",2023-06-22,0.3001
"298",2023-06-23,0.2984
"299",2023-06-26,0.2911
"300",2023-06-27,0.2843
"301",2023-06-28,0.2818
"302",2023-06-29,0.2861
