"","date","JPM"
"214",2023-02-22,0.1521
"215",2023-02-23,0.1509
"216",2023-02-24,0.1508
"217",2023-02-27,0.1439
"218",2023-02-28,0.134
"219",2023-03-01,0.1362
"220",2023-03-02,0.14
"221",2023-03-03,0.1468
"222",2023-03-06,0.1529
"223",2023-03-07,0.1352
"224",2023-03-08,0.1315
"225",2023-03-09,0.1313
"226",2023-03-10,0.1354
"227",2023-03-13,0.1319
"228",2023-03-14,0.1266
"229",2023-03-15,0.1189
"230",2023-03-16,0.1155
"231",2023-03-17,0.1131
"232",2023-03-20,0.1057
"233",2023-03-21,0.0937000000000001
"234",2023-03-22,0.0896
"235",2023-03-23,0.0873
"236",2023-03-24,0.0913
"237",2023-03-27,0.1024
"238",2023-03-28,0.0989
"239",2023-03-29,0.0982
"240",2023-03-30,0.1011
"241",2023-03-31,0.1016
"242",2023-04-03,0.1088
"243",2023-04-04,0.1146
"244",2023-04-05,0.1076
"245",2023-04-06,0.1083
"246",2023-04-10,0.1046
"247",2023-04-11,0.0976000000000001
"248",2023-04-12,0.1007
"249",2023-04-13,0.0994999999999999
"250",2023-04-14,0.0988000000000001
"251",2023-04-17,0.0956
"252",2023-04-18,0.1106
"253",2023-04-19,0.1142
"254",2023-04-20,0.1172
"255",2023-04-21,0.1198
"256",2023-04-24,0.1178
"257",2023-04-25,0.1212
"258",2023-04-26,0.1247
"259",2023-04-27,0.1209
"260",2023-04-28,0.1163
"261",2023-05-01,0.1246
"262",2023-05-02,0.1256
"263",2023-05-03,0.13
"264",2023-05-04,0.1379
"265",2023-05-05,0.1358
"266",2023-05-08,0.1363
"267",2023-05-09,0.1252
"268",2023-05-10,0.1186
"269",2023-05-11,0.1218
"270",2023-05-12,0.1244
"271",2023-05-15,0.1246
"272",2023-05-16,0.1349
"273",2023-05-17,0.1426
"274",2023-05-18,0.1466
"275",2023-05-19,0.1501
"276",2023-05-22,0.1525
"277",2023-05-23,0.157
"278",2023-05-24,0.1548
"279",2023-05-25,0.1597
"280",2023-05-26,0.155
"281",2023-05-30,0.1611
"282",2023-05-31,0.179
"283",2023-06-01,0.1716
"284",2023-06-02,0.1753
"285",2023-06-05,0.1795
"286",2023-06-06,0.1833
"287",2023-06-07,0.1869
"288",2023-06-08,0.1863
"289",2023-06-09,0.1826
"290",2023-06-12,0.1843
"291",2023-06-13,0.1944
"292",2023-06-14,0.2048
"293",2023-06-15,0.2049
"294",2023-06-16,0.2108
"295",2023-06-20,0.2015
"296",2023-06-21,0.2066
"297",2023-06-22,0.2082
"298",2023-06-23,0.2064
"299",2023-06-26,0.2039
"300",2023-06-27,0.2115
"301",2023-06-28,0.2139
"302",2023-06-29,0.2186
