"","date","XOM"
"1",2019-06-10,0.2339
"2",2019-06-11,0.2181
"3",2019-06-12,0.203
"4",2019-06-13,0.1985
"5",2019-06-14,0.199
"6",2019-06-17,0.1988
"7",2019-06-18,0.1911
"8",2019-06-19,0.1624
"9",2019-06-20,0.1652
"10",2019-06-21,0.1535
"11",2019-06-24,0.1503
"12",2019-06-25,0.1548
"13",2019-06-26,0.1574
"14",2019-06-27,0.1694
"15",2019-06-28,0.1859
"16",2019-07-01,0.2001
"17",2019-07-02,0.2181
"18",2019-07-03,0.2558
"19",2019-07-05,0.2756
"20",2019-07-08,0.2717
"21",2019-07-09,0.2666
"22",2019-07-10,0.2094
"23",2019-07-11,0.1883
"24",2019-07-12,0.1897
"25",2019-07-15,0.1838
"26",2019-07-16,0.202
"27",2019-07-17,0.2074
"28",2019-07-18,0.1965
"29",2019-07-19,0.2179
"30",2019-07-22,0.2308
"31",2019-07-23,0.2185
"32",2019-07-24,0.198
"33",2019-07-25,0.1907
"34",2019-07-26,0.192
"35",2019-07-29,0.188
"36",2019-07-30,0.1934
"37",2019-07-31,0.1906
"38",2019-08-01,0.1664
"39",2019-08-02,0.1769
"40",2019-08-05,0.1758
"41",2019-08-06,0.1725
"42",2019-08-07,0.1736
"43",2019-08-08,0.161
"44",2019-08-09,0.1584
"45",2019-08-12,0.1723
"46",2019-08-13,0.1915
"47",2019-08-14,0.1935
"48",2019-08-15,0.1935
"49",2019-08-16,0.1951
"50",2019-08-19,0.177
"51",2019-08-20,0.1709
"52",2019-08-21,0.1679
"53",2019-08-22,0.1694
"54",2019-08-23,0.1883
"55",2019-08-26,0.1979
"56",2019-08-27,0.2053
"57",2019-08-28,0.2167
"58",2019-08-29,0.2254
"59",2019-08-30,0.2389
"60",2019-09-03,0.2243
"61",2019-09-04,0.2153
"62",2019-09-05,0.204
"63",2019-09-06,0.2052
"64",2019-09-09,0.1902
"65",2019-09-10,0.1934
"66",2019-09-11,0.2003
"67",2019-09-12,0.1841
"68",2019-09-13,0.1776
"69",2019-09-16,0.1911
"70",2019-09-17,0.2016
"71",2019-09-18,0.2081
"72",2019-09-19,0.2312
"73",2019-09-20,0.2388
"74",2019-09-23,0.241
"75",2019-09-24,0.2354
"76",2019-09-25,0.2308
"77",2019-09-26,0.2386
"78",2019-09-27,0.2545
"79",2019-09-30,0.2613
"80",2019-10-01,0.2283
"81",2019-10-02,0.234
"82",2019-10-03,0.2509
"83",2019-10-04,0.2493
"84",2019-10-07,0.2453
"85",2019-10-08,0.2298
"86",2019-10-09,0.1965
"87",2019-10-10,0.1683
"88",2019-10-11,0.1175
"89",2019-10-14,0.1095
"90",2019-10-15,0.1116
"91",2019-10-16,0.1147
"92",2019-10-17,0.1228
"93",2019-10-18,0.1503
"94",2019-10-21,0.1778
"95",2019-10-22,0.2016
"96",2019-10-23,0.2248
"97",2019-10-24,0.2073
"98",2019-10-25,0.2012
"99",2019-10-28,0.2022
"100",2019-10-29,0.2055
"101",2019-10-30,0.1904
"102",2019-10-31,0.1917
"103",2019-11-01,0.1974
"104",2019-11-04,0.2053
"105",2019-11-05,0.2279
"106",2019-11-06,0.245
"107",2019-11-07,0.2532
"108",2019-11-08,0.2483
"109",2019-11-11,0.258
