"","date","JNJ"
"1",2019-06-10,0.2336
"2",2019-06-11,0.2178
"3",2019-06-12,0.2383
"4",2019-06-13,0.2312
"5",2019-06-14,0.2195
"6",2019-06-17,0.1963
"7",2019-06-18,0.1949
"8",2019-06-19,0.1659
"9",2019-06-20,0.1567
"10",2019-06-21,0.1519
"11",2019-06-24,0.1963
"12",2019-06-25,0.1958
"13",2019-06-26,0.2158
"14",2019-06-27,0.236
"15",2019-06-28,0.1852
"16",2019-07-01,0.1468
"17",2019-07-02,0.1772
"18",2019-07-03,0.1725
"19",2019-07-05,0.15
"20",2019-07-08,0.1286
"21",2019-07-09,0.1571
"22",2019-07-10,0.1598
"23",2019-07-11,0.154
"24",2019-07-12,0.1244
"25",2019-07-15,0.1367
"26",2019-07-16,0.15
"27",2019-07-17,0.1795
"28",2019-07-18,0.1585
"29",2019-07-19,0.1498
"30",2019-07-22,0.0916
"31",2019-07-23,0.0815
"32",2019-07-24,0.0603
"33",2019-07-25,0.1035
"34",2019-07-26,0.1326
"35",2019-07-29,0.1526
"36",2019-07-30,0.1206
"37",2019-07-31,0.1167
"38",2019-08-01,0.1234
"39",2019-08-02,0.1416
"40",2019-08-05,0.1219
"41",2019-08-06,0.1114
"42",2019-08-07,0.0939
"43",2019-08-08,0.1082
"44",2019-08-09,0.1105
"45",2019-08-12,0.1135
"46",2019-08-13,0.1344
"47",2019-08-14,0.1545
"48",2019-08-15,0.1313
"49",2019-08-16,0.1407
"50",2019-08-19,0.1308
"51",2019-08-20,0.1508
"52",2019-08-21,0.1428
"53",2019-08-22,0.1357
"54",2019-08-23,0.1414
"55",2019-08-26,0.1706
"56",2019-08-27,0.1785
"57",2019-08-28,0.1866
"58",2019-08-29,0.1488
"59",2019-08-30,0.1766
"60",2019-09-03,0.1448
"61",2019-09-04,0.1915
"62",2019-09-05,0.2395
"63",2019-09-06,0.2454
"64",2019-09-09,0.1991
"65",2019-09-10,0.2073
"66",2019-09-11,0.2363
"67",2019-09-12,0.2442
"68",2019-09-13,0.2337
"69",2019-09-16,0.2349
"70",2019-09-17,0.2183
"71",2019-09-18,0.2291
"72",2019-09-19,0.1979
"73",2019-09-20,0.241
"74",2019-09-23,0.2616
"75",2019-09-24,0.2485
"76",2019-09-25,0.2504
"77",2019-09-26,0.2503
"78",2019-09-27,0.2267
"79",2019-09-30,0.2292
"80",2019-10-01,0.194
"81",2019-10-02,0.2338
"82",2019-10-03,0.2575
"83",2019-10-04,0.271
"84",2019-10-07,0.2486
"85",2019-10-08,0.2418
"86",2019-10-09,0.1975
"87",2019-10-10,0.2103
"88",2019-10-11,0.2175
"89",2019-10-14,0.2361
"90",2019-10-15,0.2217
"91",2019-10-16,0.2242
"92",2019-10-17,0.2255
"93",2019-10-18,0.2193
"94",2019-10-21,0.2142
"95",2019-10-22,0.2014
"96",2019-10-23,0.1437
"97",2019-10-24,0.1327
"98",2019-10-25,0.1522
"99",2019-10-28,0.1685
"100",2019-10-29,0.1186
"101",2019-10-30,0.1257
"102",2019-10-31,0.1248
"103",2019-11-01,0.112
"104",2019-11-04,0.1162
"105",2019-11-05,0.1231
"106",2019-11-06,0.121
"107",2019-11-07,0.1368
"108",2019-11-08,0.1051
"109",2019-11-11,0.1208
"110",2019-11-12,0.121
"111",2019-11-13,0.145
"112",2019-11-14,0.1291
"113",2019-11-15,0.1136
"114",2019-11-18,0.0811
"115",2019-11-19,0.0976
"116",2019-11-20,0.1113
"117",2019-11-21,0.1202
"118",2019-11-22,0.127
"119",2019-11-25,0.1077
"120",2019-11-26,0.0717
"121",2019-11-27,0.1063
"122",2019-11-29,0.1394
"123",2019-12-02,0.1485
"124",2019-12-03,0.1514
"125",2019-12-04,0.1457
"126",2019-12-05,0.1405
"127",2019-12-06,0.1348
"128",2019-12-09,0.1072
"129",2019-12-10,0.1266
"130",2019-12-11,0.1124
"131",2019-12-12,0.1485
"132",2019-12-13,0.1556
"133",2019-12-16,0.1647
"134",2019-12-17,0.1654
"135",2019-12-18,0.1553
"136",2019-12-19,0.1441
"137",2019-12-20,0.1646
"138",2019-12-23,0.1778
"139",2019-12-24,0.1949
"140",2019-12-26,0.1703
"141",2019-12-27,0.1677
"142",2019-12-30,0.1781
"143",2019-12-31,0.2026
"144",2020-01-02,0.183
"145",2020-01-03,0.1815
"146",2020-01-06,0.2026
"147",2020-01-07,0.2294
"148",2020-01-08,0.2338
"149",2020-01-09,0.2314
"150",2020-01-10,0.2292
"151",2020-01-13,0.255
"152",2020-01-14,0.2608
"153",2020-01-15,0.2894
"154",2020-01-16,0.3036
"155",2020-01-17,0.2873
"156",2020-01-21,0.2543
"157",2020-01-22,0.2836
"158",2020-01-23,0.2953
"159",2020-01-24,0.3058
"160",2020-01-27,0.2881
"161",2020-01-28,0.3047
"162",2020-01-29,0.2928
"163",2020-01-30,0.2857
"164",2020-01-31,0.2959
"165",2020-02-03,0.3109
"166",2020-02-04,0.3172
"167",2020-02-05,0.3066
"168",2020-02-06,0.2853
"169",2020-02-07,0.2849
"170",2020-02-10,0.2742
"171",2020-02-11,0.294
"172",2020-02-12,0.2959
"173",2020-02-13,0.2896
"174",2020-02-14,0.2711
"175",2020-02-18,0.2559
"176",2020-02-19,0.2466
"177",2020-02-20,0.2484
"178",2020-02-21,0.2502
"179",2020-02-24,0.2494
"180",2020-02-25,0.2071
"181",2020-02-26,0.229
"182",2020-02-27,0.2237
"183",2020-02-28,0.2341
"184",2020-03-02,0.2229
"185",2020-03-03,0.2151
"186",2020-03-04,0.2198
"187",2020-03-05,0.2379
"188",2020-03-06,0.2074
"189",2020-03-09,0.2147
"190",2020-03-10,0.1984
"191",2020-03-11,0.2129
"192",2020-03-12,0.2132
"193",2020-03-13,0.2207
"194",2020-03-16,0.2166
"195",2020-03-17,0.2314
"196",2020-03-18,0.2495
"197",2020-03-19,0.2314
"198",2020-03-20,0.2364
"199",2020-03-23,0.2887
"200",2020-03-24,0.2963
"201",2020-03-25,0.3055
"202",2020-03-26,0.3093
"203",2020-03-27,0.3125
"204",2020-03-30,0.3494
"205",2020-03-31,0.3523
"206",2020-04-01,0.3457
"207",2020-04-02,0.371
"208",2020-04-03,0.352
"209",2020-04-06,0.3636
"210",2020-04-07,0.3671
"211",2020-04-08,0.3727
"212",2020-04-09,0.3657
"213",2020-04-13,0.3728
"214",2020-04-14,0.3799
"215",2020-04-15,0.3662
"216",2020-04-16,0.3681
"217",2020-04-17,0.3567
"218",2020-04-20,0.3516
"219",2020-04-21,0.3519
"220",2020-04-22,0.3196
"221",2020-04-23,0.3082
"222",2020-04-24,0.3322
"223",2020-04-27,0.3659
"224",2020-04-28,0.3834
"225",2020-04-29,0.3777
"226",2020-04-30,0.3524
"227",2020-05-01,0.3417
"228",2020-05-04,0.35
"229",2020-05-05,0.3934
"230",2020-05-06,0.366
"231",2020-05-07,0.3785
"232",2020-05-08,0.3762
"233",2020-05-11,0.3532
"234",2020-05-12,0.3886
"235",2020-05-13,0.4119
"236",2020-05-14,0.4041
"237",2020-05-15,0.4127
"238",2020-05-18,0.4102
"239",2020-05-19,0.4072
"240",2020-05-20,0.3577
"241",2020-05-21,0.3173
"242",2020-05-22,0.3006
"243",2020-05-26,0.2878
"244",2020-05-27,0.2856
"245",2020-05-28,0.2645
"246",2020-05-29,0.2652
"247",2020-06-01,0.2563
"248",2020-06-02,0.2285
"249",2020-06-03,0.2151
"250",2020-06-04,0.208
"251",2020-06-05,0.2311
"252",2020-06-08,0.2496
"253",2020-06-09,0.2541
"254",2020-06-10,0.2584
"255",2020-06-11,0.2586
"256",2020-06-12,0.2306
"257",2020-06-15,0.202
"258",2020-06-16,0.1971
"259",2020-06-17,0.2185
"260",2020-06-18,0.2222
"261",2020-06-19,0.236
"262",2020-06-22,0.2428
"263",2020-06-23,0.2328
"264",2020-06-24,0.2794
"265",2020-06-25,0.2932
"266",2020-06-26,0.2742
"267",2020-06-29,0.2359
"268",2020-06-30,0.1927
"269",2020-07-01,0.1681
"270",2020-07-02,0.1513
"271",2020-07-06,0.1587
"272",2020-07-07,0.1558
"273",2020-07-08,0.1985
"274",2020-07-09,0.2283
"275",2020-07-10,0.2137
"276",2020-07-13,0.2197
"277",2020-07-14,0.2012
"278",2020-07-15,0.1902
"279",2020-07-16,0.232
"280",2020-07-17,0.2125
"281",2020-07-20,0.1832
"282",2020-07-21,0.1817
"283",2020-07-22,0.1948
"284",2020-07-23,0.2116
"285",2020-07-24,0.1958
"286",2020-07-27,0.1881
"287",2020-07-28,0.1848
"288",2020-07-29,0.197
"289",2020-07-30,0.2139
"290",2020-07-31,0.2033
"291",2020-08-03,0.221
"292",2020-08-04,0.2186
"293",2020-08-05,0.1944
"294",2020-08-06,0.2182
"295",2020-08-07,0.2416
"296",2020-08-10,0.2118
"297",2020-08-11,0.2061
"298",2020-08-12,0.1983
"299",2020-08-13,0.2212
"300",2020-08-14,0.2349
"301",2020-08-17,0.2274
"302",2020-08-18,0.2078
"303",2020-08-19,0.1865
"304",2020-08-20,0.1925
"305",2020-08-21,0.1647
"306",2020-08-24,0.1883
"307",2020-08-25,0.1961
"308",2020-08-26,0.1968
"309",2020-08-27,0.2083
"310",2020-08-28,0.2163
"311",2020-08-31,0.2352
"312",2020-09-01,0.2686
"313",2020-09-02,0.2802
"314",2020-09-03,0.2829
"315",2020-09-04,0.2761
