"","date","GOOG"
"1",2019-06-10,0.261
"2",2019-06-11,0.2499
"3",2019-06-12,0.2118
"4",2019-06-13,0.2186
"5",2019-06-14,0.2285
"6",2019-06-17,0.2361
"7",2019-06-18,0.2348
"8",2019-06-19,0.2328
"9",2019-06-20,0.2311
"10",2019-06-21,0.2406
"11",2019-06-24,0.2288
"12",2019-06-25,0.2009
"13",2019-06-26,0.1657
"14",2019-06-27,0.1615
"15",2019-06-28,0.1842
"16",2019-07-01,0.1881
"17",2019-07-02,0.2188
"18",2019-07-03,0.2495
"19",2019-07-05,0.2848
"20",2019-07-08,0.2759
"21",2019-07-09,0.2385
"22",2019-07-10,0.1952
"23",2019-07-11,0.1895
"24",2019-07-12,0.188
"25",2019-07-15,0.1444
"26",2019-07-16,0.1661
"27",2019-07-17,0.1638
"28",2019-07-18,0.1679
"29",2019-07-19,0.1716
"30",2019-07-22,0.1846
"31",2019-07-23,0.2038
"32",2019-07-24,0.2075
"33",2019-07-25,0.1614
"34",2019-07-26,0.1455
"35",2019-07-29,0.1808
"36",2019-07-30,0.1698
"37",2019-07-31,0.1802
"38",2019-08-01,0.1923
"39",2019-08-02,0.173
"40",2019-08-05,0.1942
"41",2019-08-06,0.2017
"42",2019-08-07,0.185
"43",2019-08-08,0.188
"44",2019-08-09,0.1944
"45",2019-08-12,0.1825
"46",2019-08-13,0.1865
"47",2019-08-14,0.1889
"48",2019-08-15,0.1849
"49",2019-08-16,0.176
"50",2019-08-19,0.1913
"51",2019-08-20,0.2248
"52",2019-08-21,0.1991
"53",2019-08-22,0.1432
"54",2019-08-23,0.1487
"55",2019-08-26,0.1411
"56",2019-08-27,0.145
"57",2019-08-28,0.1346
"58",2019-08-29,0.1369
"59",2019-08-30,0.1514
"60",2019-09-03,0.1329
"61",2019-09-04,0.1257
"62",2019-09-05,0.1242
"63",2019-09-06,0.109
"64",2019-09-09,0.1167
"65",2019-09-10,0.1563
"66",2019-09-11,0.1697
"67",2019-09-12,0.1545
"68",2019-09-13,0.1573
"69",2019-09-16,0.1374
"70",2019-09-17,0.1605
"71",2019-09-18,0.1863
"72",2019-09-19,0.1621
"73",2019-09-20,0.1343
"74",2019-09-23,0.1451
"75",2019-09-24,0.1381
"76",2019-09-25,0.1663
"77",2019-09-26,0.1796
"78",2019-09-27,0.1799
"79",2019-09-30,0.1807
"80",2019-10-01,0.1774
"81",2019-10-02,0.1589
"82",2019-10-03,0.1543
"83",2019-10-04,0.1619
"84",2019-10-07,0.1686
"85",2019-10-08,0.1652
"86",2019-10-09,0.1521
"87",2019-10-10,0.1681
"88",2019-10-11,0.1772
"89",2019-10-14,0.1853
"90",2019-10-15,0.1877
"91",2019-10-16,0.1904
"92",2019-10-17,0.1892
"93",2019-10-18,0.1445
"94",2019-10-21,0.1547
"95",2019-10-22,0.1641
"96",2019-10-23,0.1685
"97",2019-10-24,0.1688
"98",2019-10-25,0.1899
"99",2019-10-28,0.1792
"100",2019-10-29,0.1905
