"","date","HD"
"1",2019-06-10,0.2171
"2",2019-06-11,0.2114
"3",2019-06-12,0.2017
"4",2019-06-13,0.2207
"5",2019-06-14,0.2445
"6",2019-06-17,0.2394
"7",2019-06-18,0.2341
"8",2019-06-19,0.2298
"9",2019-06-20,0.2472
"10",2019-06-21,0.2228
"11",2019-06-24,0.2057
"12",2019-06-25,0.1783
"13",2019-06-26,0.1683
"14",2019-06-27,0.1805
"15",2019-06-28,0.2096
"16",2019-07-01,0.2247
"17",2019-07-02,0.233
"18",2019-07-03,0.2222
"19",2019-07-05,0.2215
"20",2019-07-08,0.2344
"21",2019-07-09,0.2281
"22",2019-07-10,0.2209
"23",2019-07-11,0.2098
"24",2019-07-12,0.2011
"25",2019-07-15,0.2096
"26",2019-07-16,0.2264
"27",2019-07-17,0.2588
"28",2019-07-18,0.2633
"29",2019-07-19,0.2903
"30",2019-07-22,0.2784
"31",2019-07-23,0.2446
"32",2019-07-24,0.2238
"33",2019-07-25,0.2294
"34",2019-07-26,0.2415
"35",2019-07-29,0.2516
"36",2019-07-30,0.2358
"37",2019-07-31,0.2397
"38",2019-08-01,0.2391
"39",2019-08-02,0.2436
"40",2019-08-05,0.2316
"41",2019-08-06,0.2296
"42",2019-08-07,0.2344
"43",2019-08-08,0.2096
"44",2019-08-09,0.21
"45",2019-08-12,0.2088
"46",2019-08-13,0.1921
"47",2019-08-14,0.1782
"48",2019-08-15,0.1622
"49",2019-08-16,0.1626
"50",2019-08-19,0.1681
"51",2019-08-20,0.1497
"52",2019-08-21,0.1356
"53",2019-08-22,0.1326
"54",2019-08-23,0.1313
"55",2019-08-26,0.1552
"56",2019-08-27,0.1553
"57",2019-08-28,0.1516
"58",2019-08-29,0.1285
"59",2019-08-30,0.1525
"60",2019-09-03,0.164
"61",2019-09-04,0.164
"62",2019-09-05,0.1731
"63",2019-09-06,0.1665
"64",2019-09-09,0.1683
"65",2019-09-10,0.1856
"66",2019-09-11,0.1917
"67",2019-09-12,0.1786
"68",2019-09-13,0.1711
"69",2019-09-16,0.1989
"70",2019-09-17,0.2177
"71",2019-09-18,0.223
"72",2019-09-19,0.2231
"73",2019-09-20,0.2147
"74",2019-09-23,0.2111
"75",2019-09-24,0.2143
"76",2019-09-25,0.2129
"77",2019-09-26,0.2308
"78",2019-09-27,0.2077
"79",2019-09-30,0.2088
"80",2019-10-01,0.2109
"81",2019-10-02,0.2212
"82",2019-10-03,0.2324
"83",2019-10-04,0.235
"84",2019-10-07,0.2231
"85",2019-10-08,0.2098
"86",2019-10-09,0.2161
"87",2019-10-10,0.216
"88",2019-10-11,0.2171
"89",2019-10-14,0.239
"90",2019-10-15,0.2465
"91",2019-10-16,0.2212
"92",2019-10-17,0.2288
"93",2019-10-18,0.2429
"94",2019-10-21,0.24
"95",2019-10-22,0.2465
"96",2019-10-23,0.2299
"97",2019-10-24,0.2371
"98",2019-10-25,0.2284
"99",2019-10-28,0.2391
"100",2019-10-29,0.2375
"101",2019-10-30,0.2222
"102",2019-10-31,0.1976
"103",2019-11-01,0.1851
"104",2019-11-04,0.1803
"105",2019-11-05,0.1791
"106",2019-11-06,0.1908
"107",2019-11-07,0.204
"108",2019-11-08,0.2086
"109",2019-11-11,0.2392
"110",2019-11-12,0.2693
"111",2019-11-13,0.2893
"112",2019-11-14,0.2874
"113",2019-11-15,0.2932
"114",2019-11-18,0.2937
"115",2019-11-19,0.2822
"116",2019-11-20,0.2714
"117",2019-11-21,0.274
"118",2019-11-22,0.2729
"119",2019-11-25,0.2921
"120",2019-11-26,0.2851
"121",2019-11-27,0.2871
"122",2019-11-29,0.2992
"123",2019-12-02,0.2903
"124",2019-12-03,0.302
"125",2019-12-04,0.3632
"126",2019-12-05,0.3696
"127",2019-12-06,0.3509
"128",2019-12-09,0.3323
"129",2019-12-10,0.3151
"130",2019-12-11,0.3059
"131",2019-12-12,0.2898
"132",2019-12-13,0.2947
"133",2019-12-16,0.2748
"134",2019-12-17,0.2715
"135",2019-12-18,0.2751
"136",2019-12-19,0.2608
"137",2019-12-20,0.2617
"138",2019-12-23,0.2379
"139",2019-12-24,0.2305
"140",2019-12-26,0.2391
"141",2019-12-27,0.2509
"142",2019-12-30,0.2528
"143",2019-12-31,0.2486
"144",2020-01-02,0.2151
"145",2020-01-03,0.2124
"146",2020-01-06,0.226
"147",2020-01-07,0.242
"148",2020-01-08,0.2322
"149",2020-01-09,0.2258
"150",2020-01-10,0.222
"151",2020-01-13,0.1949
"152",2020-01-14,0.2047
"153",2020-01-15,0.2171
"154",2020-01-16,0.2405
"155",2020-01-17,0.2421
"156",2020-01-21,0.2335
"157",2020-01-22,0.2342
"158",2020-01-23,0.2439
"159",2020-01-24,0.2672
"160",2020-01-27,0.302
"161",2020-01-28,0.3121
"162",2020-01-29,0.305
"163",2020-01-30,0.2891
"164",2020-01-31,0.2794
"165",2020-02-03,0.29
"166",2020-02-04,0.2795
"167",2020-02-05,0.2773
"168",2020-02-06,0.2703
"169",2020-02-07,0.2734
"170",2020-02-10,0.2932
"171",2020-02-11,0.2953
"172",2020-02-12,0.2986
"173",2020-02-13,0.2876
"174",2020-02-14,0.2817
"175",2020-02-18,0.2676
"176",2020-02-19,0.2732
"177",2020-02-20,0.272
"178",2020-02-21,0.2576
"179",2020-02-24,0.2417
"180",2020-02-25,0.2525
"181",2020-02-26,0.2533
"182",2020-02-27,0.2654
"183",2020-02-28,0.2827
"184",2020-03-02,0.2685
"185",2020-03-03,0.2768
"186",2020-03-04,0.2899
"187",2020-03-05,0.2858
"188",2020-03-06,0.2824
"189",2020-03-09,0.2928
"190",2020-03-10,0.3065
"191",2020-03-11,0.3224
"192",2020-03-12,0.3703
"193",2020-03-13,0.379
"194",2020-03-16,0.469
"195",2020-03-17,0.4733
"196",2020-03-18,0.4763
"197",2020-03-19,0.4903
"198",2020-03-20,0.4881
"199",2020-03-23,0.4872
"200",2020-03-24,0.5621
"201",2020-03-25,0.5688
"202",2020-03-26,0.6231
"203",2020-03-27,0.6116
"204",2020-03-30,0.6534
"205",2020-03-31,0.643
"206",2020-04-01,0.648
"207",2020-04-02,0.6462
"208",2020-04-03,0.6354
