"","date","META"
"1",2022-04-18,0.2381
"2",2022-04-19,0.2347
"3",2022-04-20,0.2308
"4",2022-04-21,0.2271
"5",2022-04-22,0.2282
"6",2022-04-25,0.2262
"7",2022-04-26,0.2305
"8",2022-04-27,0.2292
"9",2022-04-28,0.2306
"10",2022-04-29,0.2239
"11",2022-05-02,0.2297
"12",2022-05-03,0.2327
"13",2022-05-04,0.2459
"14",2022-05-05,0.247
"15",2022-05-06,0.2383
"16",2022-05-09,0.231
"17",2022-05-10,0.2311
"18",2022-05-11,0.2247
"19",2022-05-12,0.2342
"20",2022-05-13,0.2314
"21",2022-05-16,0.2282
"22",2022-05-17,0.2155
"23",2022-05-18,0.2196
"24",2022-05-19,0.2222
"25",2022-05-20,0.2307
"26",2022-05-23,0.2347
"27",2022-05-24,0.2358
"28",2022-05-25,0.2327
"29",2022-05-26,0.2258
"30",2022-05-27,0.2224
"31",2022-05-31,0.2317
"32",2022-06-01,0.235
"33",2022-06-02,0.2394
"34",2022-06-03,0.2385
"35",2022-06-06,0.2394
"36",2022-06-07,0.2376
"37",2022-06-08,0.2431
"38",2022-06-09,0.2352
"39",2022-06-10,0.2342
"40",2022-06-13,0.2311
"41",2022-06-14,0.2338
"42",2022-06-15,0.2252
"43",2022-06-16,0.2278
"44",2022-06-17,0.2246
"45",2022-06-21,0.2269
"46",2022-06-22,0.2259
"47",2022-06-23,0.2325
"48",2022-06-24,0.234
"49",2022-06-27,0.2375
"50",2022-06-28,0.228
"51",2022-06-29,0.2249
"52",2022-06-30,0.2273
"53",2022-07-01,0.2339
"54",2022-07-05,0.2295
"55",2022-07-06,0.2297
"56",2022-07-07,0.2333
"57",2022-07-08,0.2336
"58",2022-07-11,0.2336
"59",2022-07-12,0.2375
"60",2022-07-13,0.2352
"61",2022-07-14,0.2395
"62",2022-07-15,0.2327
"63",2022-07-18,0.2364
"64",2022-07-19,0.2327
"65",2022-07-20,0.2412
"66",2022-07-21,0.243
"67",2022-07-22,0.2435
"68",2022-07-25,0.2345
"69",2022-07-26,0.2327
"70",2022-07-27,0.2257
"71",2022-07-28,0.2352
"72",2022-07-29,0.2384
"73",2022-08-01,0.2463
"74",2022-08-02,0.2479
"75",2022-08-03,0.2424
"76",2022-08-04,0.2414
"77",2022-08-05,0.2385
"78",2022-08-08,0.2314
"79",2022-08-09,0.2461
"80",2022-08-10,0.2412
"81",2022-08-11,0.2465
"82",2022-08-12,0.2497
"83",2022-08-15,0.2502
"84",2022-08-16,0.2461
"85",2022-08-17,0.2487
"86",2022-08-18,0.2446
"87",2022-08-19,0.2434
"88",2022-08-22,0.2424
"89",2022-08-23,0.2466
"90",2022-08-24,0.237
"91",2022-08-25,0.2452
"92",2022-08-26,0.2419
"93",2022-08-29,0.2392
"94",2022-08-30,0.2318
"95",2022-08-31,0.2314
"96",2022-09-01,0.2315
"97",2022-09-02,0.2402
"98",2022-09-06,0.2373
"99",2022-09-07,0.2299
"100",2022-09-08,0.2209
"101",2022-09-09,0.2218
