"","date","AMZN"
"1",2020-11-10,0.2638
"2",2020-11-11,0.2618
"3",2020-11-12,0.2524
"4",2020-11-13,0.2585
"5",2020-11-16,0.2569
"6",2020-11-17,0.2569
"7",2020-11-18,0.2558
"8",2020-11-19,0.2557
"9",2020-11-20,0.2479
"10",2020-11-23,0.2386
"11",2020-11-24,0.2337
"12",2020-11-25,0.2436
"13",2020-11-27,0.2428
"14",2020-11-30,0.2575
"15",2020-12-01,0.2561
"16",2020-12-02,0.2525
"17",2020-12-03,0.2616
"18",2020-12-04,0.2705
"19",2020-12-07,0.2584
"20",2020-12-08,0.2572
"21",2020-12-09,0.2619
"22",2020-12-10,0.2608
"23",2020-12-11,0.2631
"24",2020-12-14,0.2595
"25",2020-12-15,0.264
"26",2020-12-16,0.2816
"27",2020-12-17,0.2762
"28",2020-12-18,0.2765
"29",2020-12-21,0.2822
"30",2020-12-22,0.2861
"31",2020-12-23,0.2814
"32",2020-12-24,0.2788
"33",2020-12-28,0.2824
"34",2020-12-29,0.2885
"35",2020-12-30,0.2951
"36",2020-12-31,0.304
"37",2021-01-04,0.2984
"38",2021-01-05,0.3001
"39",2021-01-06,0.2969
"40",2021-01-07,0.2984
"41",2021-01-08,0.3026
"42",2021-01-11,0.3047
"43",2021-01-12,0.2981
"44",2021-01-13,0.2949
"45",2021-01-14,0.2938
"46",2021-01-15,0.308
"47",2021-01-19,0.3016
"48",2021-01-20,0.3002
"49",2021-01-21,0.2955
"50",2021-01-22,0.2933
"51",2021-01-25,0.2851
"52",2021-01-26,0.2759
"53",2021-01-27,0.2745
"54",2021-01-28,0.2692
"55",2021-01-29,0.2606
"56",2021-02-01,0.2665
"57",2021-02-02,0.2659
"58",2021-02-03,0.2528
"59",2021-02-04,0.2556
"60",2021-02-05,0.2629
"61",2021-02-08,0.2629
"62",2021-02-09,0.2653
"63",2021-02-10,0.2618
"64",2021-02-11,0.2599
"65",2021-02-12,0.2649
"66",2021-02-16,0.2675
"67",2021-02-17,0.2569
"68",2021-02-18,0.2565
"69",2021-02-19,0.2612
"70",2021-02-22,0.2679
"71",2021-02-23,0.2729
"72",2021-02-24,0.282
"73",2021-02-25,0.2778
"74",2021-02-26,0.2822
"75",2021-03-01,0.2701
"76",2021-03-02,0.2645
"77",2021-03-03,0.2651
"78",2021-03-04,0.2721
"79",2021-03-05,0.2751
"80",2021-03-08,0.2796
"81",2021-03-09,0.285
"82",2021-03-10,0.2856
"83",2021-03-11,0.286
"84",2021-03-12,0.2846
"85",2021-03-15,0.2925
"86",2021-03-16,0.2924
"87",2021-03-17,0.2777
"88",2021-03-18,0.2682
"89",2021-03-19,0.2698
"90",2021-03-22,0.2701
"91",2021-03-23,0.2761
"92",2021-03-24,0.285
"93",2021-03-25,0.2815
"94",2021-03-26,0.2851
"95",2021-03-29,0.2845
"96",2021-03-30,0.2878
"97",2021-03-31,0.2729
"98",2021-04-01,0.2822
"99",2021-04-05,0.2763
"100",2021-04-06,0.2713
"101",2021-04-07,0.2728
"102",2021-04-08,0.2785
"103",2021-04-09,0.2771
"104",2021-04-12,0.2719
"105",2021-04-13,0.274
"106",2021-04-14,0.279
"107",2021-04-15,0.2787
"108",2021-04-16,0.2762
"109",2021-04-19,0.2713
"110",2021-04-20,0.2697
"111",2021-04-21,0.2745
"112",2021-04-22,0.2728
"113",2021-04-23,0.2781
"114",2021-04-26,0.272
"115",2021-04-27,0.2614
"116",2021-04-28,0.2682
"117",2021-04-29,0.2706
"118",2021-04-30,0.2698
"119",2021-05-03,0.2694
"120",2021-05-04,0.2707
"121",2021-05-05,0.2774
"122",2021-05-06,0.2732
"123",2021-05-07,0.2632
"124",2021-05-10,0.2667
"125",2021-05-11,0.28
"126",2021-05-12,0.2951
"127",2021-05-13,0.2874
"128",2021-05-14,0.2814
"129",2021-05-17,0.2809
"130",2021-05-18,0.2812
"131",2021-05-19,0.2816
"132",2021-05-20,0.2807
"133",2021-05-21,0.2699
"134",2021-05-24,0.2669
"135",2021-05-25,0.2626
"136",2021-05-26,0.259
"137",2021-05-27,0.2602
"138",2021-05-28,0.2623
"139",2021-06-01,0.26
"140",2021-06-02,0.2593
"141",2021-06-03,0.2606
"142",2021-06-04,0.2594
"143",2021-06-07,0.2603
"144",2021-06-08,0.2597
"145",2021-06-09,0.2527
"146",2021-06-10,0.2581
"147",2021-06-11,0.2538
"148",2021-06-14,0.2416
"149",2021-06-15,0.2392
"150",2021-06-16,0.2344
"151",2021-06-17,0.2345
"152",2021-06-18,0.2246
"153",2021-06-21,0.221
"154",2021-06-22,0.2214
"155",2021-06-23,0.2198
"156",2021-06-24,0.2208
"157",2021-06-25,0.2122
"158",2021-06-28,0.2162
"159",2021-06-29,0.2072
"160",2021-06-30,0.2031
"161",2021-07-01,0.215
"162",2021-07-02,0.2172
"163",2021-07-06,0.2087
"164",2021-07-07,0.193
"165",2021-07-08,0.1844
"166",2021-07-09,0.1891
"167",2021-07-12,0.1858
"168",2021-07-13,0.1902
"169",2021-07-14,0.195
"170",2021-07-15,0.1964
"171",2021-07-16,0.1897
"172",2021-07-19,0.1832
"173",2021-07-20,0.1889
"174",2021-07-21,0.1822
"175",2021-07-22,0.1806
"176",2021-07-23,0.1906
"177",2021-07-26,0.1939
"178",2021-07-27,0.1869
"179",2021-07-28,0.1871
"180",2021-07-29,0.1975
"181",2021-07-30,0.198
"182",2021-08-02,0.2054
"183",2021-08-03,0.2069
"184",2021-08-04,0.1979
"185",2021-08-05,0.197
"186",2021-08-06,0.2132
"187",2021-08-09,0.2115
"188",2021-08-10,0.2119
"189",2021-08-11,0.2237
"190",2021-08-12,0.2329
"191",2021-08-13,0.2441
"192",2021-08-16,0.245
"193",2021-08-17,0.2412
"194",2021-08-18,0.242
"195",2021-08-19,0.2414
"196",2021-08-20,0.2468
"197",2021-08-23,0.2514
"198",2021-08-24,0.254
"199",2021-08-25,0.2594
"200",2021-08-26,0.2609
"201",2021-08-27,0.2605
"202",2021-08-30,0.2618
"203",2021-08-31,0.2656
"204",2021-09-01,0.264
"205",2021-09-02,0.2609
"206",2021-09-03,0.2683
"207",2021-09-07,0.2553
"208",2021-09-08,0.255
"209",2021-09-09,0.2538
"210",2021-09-10,0.2519
"211",2021-09-13,0.2531
"212",2021-09-14,0.2519
"213",2021-09-15,0.2533
"214",2021-09-16,0.2537
"215",2021-09-17,0.2604
"216",2021-09-20,0.2626
"217",2021-09-21,0.2579
"218",2021-09-22,0.2557
"219",2021-09-23,0.2551
"220",2021-09-24,0.2527
"221",2021-09-27,0.2635
"222",2021-09-28,0.2739
"223",2021-09-29,0.2712
"224",2021-09-30,0.2658
"225",2021-10-01,0.266
"226",2021-10-04,0.2648
"227",2021-10-05,0.2534
"228",2021-10-06,0.2567
"229",2021-10-07,0.2499
"230",2021-10-08,0.2498
"231",2021-10-11,0.2539
"232",2021-10-12,0.2529
"233",2021-10-13,0.2558
"234",2021-10-14,0.2579
"235",2021-10-15,0.2582
"236",2021-10-18,0.2595
"237",2021-10-19,0.2656
"238",2021-10-20,0.2698
"239",2021-10-21,0.2655
"240",2021-10-22,0.2461
"241",2021-10-25,0.2401
"242",2021-10-26,0.2433
"243",2021-10-27,0.232
"244",2021-10-28,0.2271
"245",2021-10-29,0.2313
"246",2021-11-01,0.235
"247",2021-11-02,0.2258
"248",2021-11-03,0.213
"249",2021-11-04,0.2086
"250",2021-11-05,0.2063
"251",2021-11-08,0.2133
"252",2021-11-09,0.2205
"253",2021-11-10,0.2181
"254",2021-11-11,0.2231
"255",2021-11-12,0.2206
"256",2021-11-15,0.2251
"257",2021-11-16,0.2254
"258",2021-11-17,0.2249
"259",2021-11-18,0.2287
"260",2021-11-19,0.2265
"261",2021-11-22,0.2307
"262",2021-11-23,0.2217
"263",2021-11-24,0.224
"264",2021-11-26,0.2257
"265",2021-11-29,0.2275
"266",2021-11-30,0.2298
"267",2021-12-01,0.2321
"268",2021-12-02,0.2257
"269",2021-12-03,0.2257
"270",2021-12-06,0.2306
"271",2021-12-07,0.2304
"272",2021-12-08,0.2363
"273",2021-12-09,0.234
"274",2021-12-10,0.2308
"275",2021-12-13,0.2345
"276",2021-12-14,0.2362
"277",2021-12-15,0.2328
"278",2021-12-16,0.2332
"279",2021-12-17,0.2351
"280",2021-12-20,0.238
"281",2021-12-21,0.2464
"282",2021-12-22,0.2407
"283",2021-12-23,0.232
"284",2021-12-27,0.223
"285",2021-12-28,0.2229
"286",2021-12-29,0.2255
"287",2021-12-30,0.2301
"288",2021-12-31,0.2296
"289",2022-01-03,0.2317
"290",2022-01-04,0.2266
"291",2022-01-05,0.2173
"292",2022-01-06,0.2108
"293",2022-01-07,0.2165
"294",2022-01-10,0.2162
"295",2022-01-11,0.2156
"296",2022-01-12,0.2097
"297",2022-01-13,0.2082
"298",2022-01-14,0.2083
"299",2022-01-18,0.2075
"300",2022-01-19,0.2068
"301",2022-01-20,0.2158
"302",2022-01-21,0.2232
"303",2022-01-24,0.2211
"304",2022-01-25,0.2109
"305",2022-01-26,0.211
"306",2022-01-27,0.2286
"307",2022-01-28,0.2198
"308",2022-01-31,0.2136
"309",2022-02-01,0.2105
"310",2022-02-02,0.2053
"311",2022-02-03,0.209
"312",2022-02-04,0.2196
"313",2022-02-07,0.2135
"314",2022-02-08,0.2096
"315",2022-02-09,0.2055
"316",2022-02-10,0.2063
"317",2022-02-11,0.2044
"318",2022-02-14,0.2006
"319",2022-02-15,0.2005
"320",2022-02-16,0.1954
"321",2022-02-17,0.1931
"322",2022-02-18,0.1958
"323",2022-02-22,0.1996
"324",2022-02-23,0.1916
"325",2022-02-24,0.1841
"326",2022-02-25,0.1791
"327",2022-02-28,0.1842
"328",2022-03-01,0.1912
"329",2022-03-02,0.1982
"330",2022-03-03,0.2006
"331",2022-03-04,0.2024
"332",2022-03-07,0.2056
"333",2022-03-08,0.2115
"334",2022-03-09,0.2122
"335",2022-03-10,0.2118
"336",2022-03-11,0.2072
"337",2022-03-14,0.2083
"338",2022-03-15,0.2031
"339",2022-03-16,0.1975
"340",2022-03-17,0.2044
"341",2022-03-18,0.2129
"342",2022-03-21,0.2198
"343",2022-03-22,0.2221
"344",2022-03-23,0.2121
"345",2022-03-24,0.2134
"346",2022-03-25,0.2093
"347",2022-03-28,0.207
"348",2022-03-29,0.2028
"349",2022-03-30,0.2094
"350",2022-03-31,0.215
"351",2022-04-01,0.2089
"352",2022-04-04,0.2121
"353",2022-04-05,0.2165
"354",2022-04-06,0.2108
"355",2022-04-07,0.2131
"356",2022-04-08,0.207
"357",2022-04-11,0.2058
"358",2022-04-12,0.2112
"359",2022-04-13,0.2157
"360",2022-04-14,0.2117
"361",2022-04-18,0.2058
"362",2022-04-19,0.2062
"363",2022-04-20,0.2075
"364",2022-04-21,0.2059
"365",2022-04-22,0.2081
"366",2022-04-25,0.2077
"367",2022-04-26,0.2115
"368",2022-04-27,0.212
"369",2022-04-28,0.2141
"370",2022-04-29,0.2178
"371",2022-05-02,0.2216
"372",2022-05-03,0.223
"373",2022-05-04,0.2219
"374",2022-05-05,0.2108
"375",2022-05-06,0.2093
"376",2022-05-09,0.2137
"377",2022-05-10,0.2192
"378",2022-05-11,0.2214
"379",2022-05-12,0.228
"380",2022-05-13,0.2245
"381",2022-05-16,0.2212
"382",2022-05-17,0.2298
"383",2022-05-18,0.2293
