"","date","NVDA"
"1",2020-11-10,0.049
"2",2020-11-11,0.0453999999999999
"3",2020-11-12,0.0417
"4",2020-11-13,0.0431
"5",2020-11-16,0.0401
"6",2020-11-17,0.0348
"7",2020-11-18,0.0335
"8",2020-11-19,0.0403999999999999
"9",2020-11-20,0.0422999999999999
"10",2020-11-23,0.044
"11",2020-11-24,0.0384
"12",2020-11-25,0.0352
"13",2020-11-27,0.0302
"14",2020-11-30,0.0376
"15",2020-12-01,0.0421
"16",2020-12-02,0.0477
"17",2020-12-03,0.0493
"18",2020-12-04,0.0434
"19",2020-12-07,0.0381
"20",2020-12-08,0.0454
"21",2020-12-09,0.0477
"22",2020-12-10,0.0472
"23",2020-12-11,0.0435
"24",2020-12-14,0.0495
"25",2020-12-15,0.0453999999999999
"26",2020-12-16,0.0473
"27",2020-12-17,0.0497
"28",2020-12-18,0.0586
"29",2020-12-21,0.0648
"30",2020-12-22,0.0710999999999999
"31",2020-12-23,0.0697
"32",2020-12-24,0.0914
"33",2020-12-28,0.0847000000000001
"34",2020-12-29,0.0931
"35",2020-12-30,0.1014
"36",2020-12-31,0.1093
"37",2021-01-04,0.1179
"38",2021-01-05,0.1203
"39",2021-01-06,0.1231
"40",2021-01-07,0.1244
"41",2021-01-08,0.128
"42",2021-01-11,0.1303
"43",2021-01-12,0.1376
"44",2021-01-13,0.1491
"45",2021-01-14,0.1466
"46",2021-01-15,0.1406
"47",2021-01-19,0.1386
"48",2021-01-20,0.1511
"49",2021-01-21,0.1492
"50",2021-01-22,0.1677
"51",2021-01-25,0.1689
"52",2021-01-26,0.1641
"53",2021-01-27,0.1626
"54",2021-01-28,0.165
"55",2021-01-29,0.16
"56",2021-02-01,0.1729
"57",2021-02-02,0.1699
"58",2021-02-03,0.17
"59",2021-02-04,0.1746
"60",2021-02-05,0.1812
"61",2021-02-08,0.1796
"62",2021-02-09,0.1831
"63",2021-02-10,0.1847
"64",2021-02-11,0.1897
"65",2021-02-12,0.188
"66",2021-02-16,0.1826
"67",2021-02-17,0.1789
"68",2021-02-18,0.1828
"69",2021-02-19,0.1755
"70",2021-02-22,0.1757
"71",2021-02-23,0.1763
"72",2021-02-24,0.1804
"73",2021-02-25,0.1774
"74",2021-02-26,0.1863
"75",2021-03-01,0.1832
"76",2021-03-02,0.1861
"77",2021-03-03,0.1864
"78",2021-03-04,0.1785
"79",2021-03-05,0.1831
"80",2021-03-08,0.1949
"81",2021-03-09,0.1994
"82",2021-03-10,0.1942
"83",2021-03-11,0.1864
"84",2021-03-12,0.1933
"85",2021-03-15,0.1886
"86",2021-03-16,0.1952
"87",2021-03-17,0.1954
"88",2021-03-18,0.1878
"89",2021-03-19,0.1895
"90",2021-03-22,0.1896
"91",2021-03-23,0.1793
"92",2021-03-24,0.1939
"93",2021-03-25,0.1877
"94",2021-03-26,0.1885
"95",2021-03-29,0.1829
"96",2021-03-30,0.1845
"97",2021-03-31,0.1793
"98",2021-04-01,0.1951
"99",2021-04-05,0.2012
"100",2021-04-06,0.1994
"101",2021-04-07,0.1939
"102",2021-04-08,0.1821
"103",2021-04-09,0.1794
"104",2021-04-12,0.1941
"105",2021-04-13,0.201
"106",2021-04-14,0.1973
"107",2021-04-15,0.197
"108",2021-04-16,0.1913
"109",2021-04-19,0.1843
"110",2021-04-20,0.1838
"111",2021-04-21,0.1806
"112",2021-04-22,0.1872
"113",2021-04-23,0.1779
"114",2021-04-26,0.178
"115",2021-04-27,0.1704
"116",2021-04-28,0.1745
"117",2021-04-29,0.1678
"118",2021-04-30,0.1717
"119",2021-05-03,0.1817
"120",2021-05-04,0.2033
"121",2021-05-05,0.1989
"122",2021-05-06,0.1992
"123",2021-05-07,0.1964
"124",2021-05-10,0.1878
"125",2021-05-11,0.1964
"126",2021-05-12,0.1957
"127",2021-05-13,0.2133
"128",2021-05-14,0.2207
"129",2021-05-17,0.2142
"130",2021-05-18,0.2055
"131",2021-05-19,0.2045
"132",2021-05-20,0.2001
"133",2021-05-21,0.1889
"134",2021-05-24,0.1922
"135",2021-05-25,0.1855
"136",2021-05-26,0.1844
"137",2021-05-27,0.1767
"138",2021-05-28,0.1751
"139",2021-06-01,0.1702
"140",2021-06-02,0.1812
"141",2021-06-03,0.1805
"142",2021-06-04,0.1759
"143",2021-06-07,0.1707
"144",2021-06-08,0.1815
"145",2021-06-09,0.1806
"146",2021-06-10,0.181
"147",2021-06-11,0.1797
"148",2021-06-14,0.1772
"149",2021-06-15,0.18
"150",2021-06-16,0.1674
"151",2021-06-17,0.161
"152",2021-06-18,0.1581
"153",2021-06-21,0.1562
"154",2021-06-22,0.1543
"155",2021-06-23,0.1521
"156",2021-06-24,0.1451
"157",2021-06-25,0.1341
"158",2021-06-28,0.1359
"159",2021-06-29,0.136
"160",2021-06-30,0.135
"161",2021-07-01,0.1331
"162",2021-07-02,0.126
"163",2021-07-06,0.1235
"164",2021-07-07,0.1333
"165",2021-07-08,0.1193
"166",2021-07-09,0.1075
"167",2021-07-12,0.0989
"168",2021-07-13,0.0919
"169",2021-07-14,0.083
"170",2021-07-15,0.0847
"171",2021-07-16,0.0805
"172",2021-07-19,0.0674
"173",2021-07-20,0.0554
"174",2021-07-21,0.0488000000000001
"175",2021-07-22,0.0457
"176",2021-07-23,0.0506
"177",2021-07-26,0.0491999999999999
"178",2021-07-27,0.0436
"179",2021-07-28,0.0401
"180",2021-07-29,0.0413
"181",2021-07-30,0.0375
"182",2021-08-02,0.0419999999999999
"183",2021-08-03,0.0397000000000001
"184",2021-08-04,0.039
"185",2021-08-05,0.0389
"186",2021-08-06,0.0364
"187",2021-08-09,0.0313
"188",2021-08-10,0.0377
"189",2021-08-11,0.0394
"190",2021-08-12,0.0386
"191",2021-08-13,0.0438000000000001
"192",2021-08-16,0.0518
"193",2021-08-17,0.0583
"194",2021-08-18,0.0729
"195",2021-08-19,0.0775
"196",2021-08-20,0.0853
"197",2021-08-23,0.0972999999999999
"198",2021-08-24,0.0994
"199",2021-08-25,0.105
"200",2021-08-26,0.1184
"201",2021-08-27,0.1209
"202",2021-08-30,0.136
"203",2021-08-31,0.149
"204",2021-09-01,0.1679
"205",2021-09-02,0.1685
"206",2021-09-03,0.1687
"207",2021-09-07,0.1733
"208",2021-09-08,0.1727
"209",2021-09-09,0.1656
"210",2021-09-10,0.1763
"211",2021-09-13,0.1867
"212",2021-09-14,0.1978
"213",2021-09-15,0.2003
"214",2021-09-16,0.2104
"215",2021-09-17,0.2279
"216",2021-09-20,0.2423
"217",2021-09-21,0.2517
"218",2021-09-22,0.2646
"219",2021-09-23,0.2774
"220",2021-09-24,0.2759
"221",2021-09-27,0.2644
"222",2021-09-28,0.2498
"223",2021-09-29,0.2412
"224",2021-09-30,0.2541
"225",2021-10-01,0.257
"226",2021-10-04,0.2559
"227",2021-10-05,0.2513
"228",2021-10-06,0.2481
"229",2021-10-07,0.2439
"230",2021-10-08,0.2573
"231",2021-10-11,0.2505
"232",2021-10-12,0.2526
"233",2021-10-13,0.2477
"234",2021-10-14,0.2426
"235",2021-10-15,0.2361
"236",2021-10-18,0.2412
"237",2021-10-19,0.246
"238",2021-10-20,0.2468
"239",2021-10-21,0.2457
"240",2021-10-22,0.2517
"241",2021-10-25,0.2522
"242",2021-10-26,0.2536
"243",2021-10-27,0.2486
"244",2021-10-28,0.2506
"245",2021-10-29,0.2449
"246",2021-11-01,0.2461
"247",2021-11-02,0.2388
"248",2021-11-03,0.2486
"249",2021-11-04,0.2463
"250",2021-11-05,0.2446
"251",2021-11-08,0.2396
"252",2021-11-09,0.2478
"253",2021-11-10,0.2472
"254",2021-11-11,0.2518
"255",2021-11-12,0.257
"256",2021-11-15,0.2551
"257",2021-11-16,0.26
"258",2021-11-17,0.2606
"259",2021-11-18,0.2577
"260",2021-11-19,0.2657
"261",2021-11-22,0.2644
"262",2021-11-23,0.2642
"263",2021-11-24,0.2622
"264",2021-11-26,0.258
"265",2021-11-29,0.2447
"266",2021-11-30,0.2569
"267",2021-12-01,0.2488
"268",2021-12-02,0.2444
"269",2021-12-03,0.2436
"270",2021-12-06,0.2523
"271",2021-12-07,0.2522
"272",2021-12-08,0.264
