"","date","XOM"
"1",2022-04-18,0.182
"2",2022-04-19,0.1797
"3",2022-04-20,0.176
"4",2022-04-21,0.1687
"5",2022-04-22,0.1638
"6",2022-04-25,0.1647
"7",2022-04-26,0.158
"8",2022-04-27,0.1475
"9",2022-04-28,0.1484
"10",2022-04-29,0.1514
"11",2022-05-02,0.151
"12",2022-05-03,0.1547
"13",2022-05-04,0.1514
"14",2022-05-05,0.1481
"15",2022-05-06,0.1488
"16",2022-05-09,0.1494
"17",2022-05-10,0.1496
"18",2022-05-11,0.1455
"19",2022-05-12,0.1344
"20",2022-05-13,0.1211
"21",2022-05-16,0.1213
"22",2022-05-17,0.1133
"23",2022-05-18,0.104
"24",2022-05-19,0.1067
"25",2022-05-20,0.1059
"26",2022-05-23,0.1046
"27",2022-05-24,0.109
"28",2022-05-25,0.1037
"29",2022-05-26,0.1135
"30",2022-05-27,0.1164
"31",2022-05-31,0.1129
"32",2022-06-01,0.1157
"33",2022-06-02,0.1171
"34",2022-06-03,0.1244
"35",2022-06-06,0.1253
"36",2022-06-07,0.1305
"37",2022-06-08,0.1319
"38",2022-06-09,0.1268
"39",2022-06-10,0.1379
"40",2022-06-13,0.1394
"41",2022-06-14,0.1423
"42",2022-06-15,0.1499
"43",2022-06-16,0.1501
"44",2022-06-17,0.1491
"45",2022-06-21,0.1524
"46",2022-06-22,0.15
"47",2022-06-23,0.1417
"48",2022-06-24,0.1398
"49",2022-06-27,0.1422
"50",2022-06-28,0.1419
"51",2022-06-29,0.1433
"52",2022-06-30,0.1439
"53",2022-07-01,0.1353
"54",2022-07-05,0.1379
"55",2022-07-06,0.1392
"56",2022-07-07,0.1345
"57",2022-07-08,0.137
"58",2022-07-11,0.1393
"59",2022-07-12,0.1442
"60",2022-07-13,0.1434
"61",2022-07-14,0.147
"62",2022-07-15,0.1448
"63",2022-07-18,0.1431
"64",2022-07-19,0.1366
"65",2022-07-20,0.137
"66",2022-07-21,0.1423
"67",2022-07-22,0.1362
"68",2022-07-25,0.1313
"69",2022-07-26,0.1354
"70",2022-07-27,0.1331
"71",2022-07-28,0.1315
"72",2022-07-29,0.1375
"73",2022-08-01,0.1362
"74",2022-08-02,0.1356
"75",2022-08-03,0.132
"76",2022-08-04,0.1352
"77",2022-08-05,0.1384
"78",2022-08-08,0.1423
"79",2022-08-09,0.1416
"80",2022-08-10,0.136
"81",2022-08-11,0.1483
"82",2022-08-12,0.1542
"83",2022-08-15,0.1499
"84",2022-08-16,0.1522
"85",2022-08-17,0.1559
"86",2022-08-18,0.1565
"87",2022-08-19,0.166
"88",2022-08-22,0.1622
"89",2022-08-23,0.1622
"90",2022-08-24,0.1639
"91",2022-08-25,0.1587
"92",2022-08-26,0.1555
"93",2022-08-29,0.1577
"94",2022-08-30,0.1629
"95",2022-08-31,0.1633
"96",2022-09-01,0.1651
"97",2022-09-02,0.1608
"98",2022-09-06,0.1583
"99",2022-09-07,0.163
"100",2022-09-08,0.1598
"101",2022-09-09,0.1634
"102",2022-09-12,0.1728
"103",2022-09-13,0.1678
"104",2022-09-14,0.1697
"105",2022-09-15,0.1755
"106",2022-09-16,0.1828
"107",2022-09-19,0.183
"108",2022-09-20,0.1756
"109",2022-09-21,0.1765
"110",2022-09-22,0.1727
"111",2022-09-23,0.1741
"112",2022-09-26,0.1752
"113",2022-09-27,0.1718
"114",2022-09-28,0.1745
"115",2022-09-29,0.1714
"116",2022-09-30,0.166
"117",2022-10-03,0.1676
"118",2022-10-04,0.1641
"119",2022-10-05,0.1614
"120",2022-10-06,0.1725
"121",2022-10-07,0.1795
"122",2022-10-10,0.1825
"123",2022-10-11,0.1831
"124",2022-10-12,0.1835
"125",2022-10-13,0.1874
"126",2022-10-14,0.1899
"127",2022-10-17,0.1877
"128",2022-10-18,0.1802
"129",2022-10-19,0.1855
"130",2022-10-20,0.1777
"131",2022-10-21,0.1743
"132",2022-10-24,0.1752
"133",2022-10-25,0.1713
"134",2022-10-26,0.1673
"135",2022-10-27,0.1703
"136",2022-10-28,0.173
"137",2022-10-31,0.1725
"138",2022-11-01,0.1766
"139",2022-11-02,0.1764
"140",2022-11-03,0.1673
"141",2022-11-04,0.1727
"142",2022-11-07,0.179
"143",2022-11-08,0.1796
"144",2022-11-09,0.1843
"145",2022-11-10,0.1863
"146",2022-11-11,0.1882
"147",2022-11-14,0.1877
"148",2022-11-15,0.1806
"149",2022-11-16,0.1843
"150",2022-11-17,0.1855
"151",2022-11-18,0.1848
"152",2022-11-21,0.1823
"153",2022-11-22,0.1922
"154",2022-11-23,0.2049
"155",2022-11-25,0.2054
"156",2022-11-28,0.2074
"157",2022-11-29,0.2061
"158",2022-11-30,0.1975
"159",2022-12-01,0.1925
"160",2022-12-02,0.1868
"161",2022-12-05,0.1917
"162",2022-12-06,0.2026
"163",2022-12-07,0.1973
"164",2022-12-08,0.1988
"165",2022-12-09,0.2091
"166",2022-12-12,0.2108
"167",2022-12-13,0.2086
"168",2022-12-14,0.1993
"169",2022-12-15,0.2012
"170",2022-12-16,0.1921
"171",2022-12-19,0.2009
"172",2022-12-20,0.2024
"173",2022-12-21,0.1967
"174",2022-12-22,0.1969
"175",2022-12-23,0.1993
"176",2022-12-27,0.1984
"177",2022-12-28,0.2015
"178",2022-12-29,0.2021
"179",2022-12-30,0.199
"180",2023-01-03,0.205
"181",2023-01-04,0.2078
"182",2023-01-05,0.2054
"183",2023-01-06,0.2058
"184",2023-01-09,0.2086
"185",2023-01-10,0.2091
"186",2023-01-11,0.2168
"187",2023-01-12,0.2116
"188",2023-01-13,0.2068
"189",2023-01-17,0.2116
"190",2023-01-18,0.207
"191",2023-01-19,0.2034
"192",2023-01-20,0.2062
"193",2023-01-23,0.2046
"194",2023-01-24,0.2026
"195",2023-01-25,0.2016
"196",2023-01-26,0.1965
"197",2023-01-27,0.1999
"198",2023-01-30,0.2015
"199",2023-01-31,0.2008
"200",2023-02-01,0.1935
"201",2023-02-02,0.2011
"202",2023-02-03,0.2067
"203",2023-02-06,0.2072
"204",2023-02-07,0.2129
"205",2023-02-08,0.2174
"206",2023-02-09,0.2112
"207",2023-02-10,0.206
"208",2023-02-13,0.2008
"209",2023-02-14,0.2029
"210",2023-02-15,0.2043
"211",2023-02-16,0.2044
"212",2023-02-17,0.201
"213",2023-02-21,0.2042
"214",2023-02-22,0.2063
"215",2023-02-23,0.2022
"216",2023-02-24,0.2065
"217",2023-02-27,0.2033
"218",2023-02-28,0.1954
"219",2023-03-01,0.2005
"220",2023-03-02,0.2
"221",2023-03-03,0.2046
"222",2023-03-06,0.2087
"223",2023-03-07,0.2002
"224",2023-03-08,0.2007
"225",2023-03-09,0.2091
"226",2023-03-10,0.216
"227",2023-03-13,0.2124
"228",2023-03-14,0.2062
"229",2023-03-15,0.203
"230",2023-03-16,0.1993
"231",2023-03-17,0.2037
"232",2023-03-20,0.2025
"233",2023-03-21,0.1983
"234",2023-03-22,0.2005
"235",2023-03-23,0.2015
"236",2023-03-24,0.1978
"237",2023-03-27,0.2079
"238",2023-03-28,0.2081
"239",2023-03-29,0.2124
"240",2023-03-30,0.2138
"241",2023-03-31,0.2251
"242",2023-04-03,0.2263
