"","date","GOOGL"
"1",2022-04-18,0.1927
"2",2022-04-19,0.1908
"3",2022-04-20,0.1868
"4",2022-04-21,0.1876
"5",2022-04-22,0.1924
"6",2022-04-25,0.1956
"7",2022-04-26,0.1948
"8",2022-04-27,0.192
"9",2022-04-28,0.1935
"10",2022-04-29,0.1965
"11",2022-05-02,0.1998
"12",2022-05-03,0.1973
"13",2022-05-04,0.1958
"14",2022-05-05,0.2
"15",2022-05-06,0.2023
"16",2022-05-09,0.2075
"17",2022-05-10,0.2068
"18",2022-05-11,0.2039
"19",2022-05-12,0.2056
"20",2022-05-13,0.2063
"21",2022-05-16,0.2064
"22",2022-05-17,0.1955
"23",2022-05-18,0.1919
"24",2022-05-19,0.1963
"25",2022-05-20,0.1917
"26",2022-05-23,0.1865
"27",2022-05-24,0.1852
"28",2022-05-25,0.1844
"29",2022-05-26,0.1919
"30",2022-05-27,0.194
"31",2022-05-31,0.1982
"32",2022-06-01,0.1969
"33",2022-06-02,0.1894
"34",2022-06-03,0.1906
"35",2022-06-06,0.1944
"36",2022-06-07,0.2001
"37",2022-06-08,0.1997
"38",2022-06-09,0.1952
"39",2022-06-10,0.1945
"40",2022-06-13,0.1987
"41",2022-06-14,0.2044
"42",2022-06-15,0.2047
"43",2022-06-16,0.201
"44",2022-06-17,0.2016
"45",2022-06-21,0.2047
"46",2022-06-22,0.2001
"47",2022-06-23,0.1975
"48",2022-06-24,0.1987
"49",2022-06-27,0.1979
"50",2022-06-28,0.1974
"51",2022-06-29,0.1971
"52",2022-06-30,0.1958
"53",2022-07-01,0.1961
"54",2022-07-05,0.1992
"55",2022-07-06,0.2012
"56",2022-07-07,0.1977
"57",2022-07-08,0.1969
"58",2022-07-11,0.2004
"59",2022-07-12,0.2061
"60",2022-07-13,0.2026
"61",2022-07-14,0.2056
"62",2022-07-15,0.2064
"63",2022-07-18,0.2038
"64",2022-07-19,0.2043
"65",2022-07-20,0.2093
"66",2022-07-21,0.2116
"67",2022-07-22,0.2087
"68",2022-07-25,0.209
"69",2022-07-26,0.2108
"70",2022-07-27,0.211
"71",2022-07-28,0.2121
"72",2022-07-29,0.2093
"73",2022-08-01,0.2021
"74",2022-08-02,0.2004
"75",2022-08-03,0.2023
"76",2022-08-04,0.2125
"77",2022-08-05,0.2124
"78",2022-08-08,0.2158
"79",2022-08-09,0.2238
"80",2022-08-10,0.2231
"81",2022-08-11,0.2251
"82",2022-08-12,0.2156
"83",2022-08-15,0.212
"84",2022-08-16,0.2174
"85",2022-08-17,0.218
"86",2022-08-18,0.2181
"87",2022-08-19,0.2202
"88",2022-08-22,0.2173
"89",2022-08-23,0.2204
"90",2022-08-24,0.2186
"91",2022-08-25,0.2167
"92",2022-08-26,0.217
"93",2022-08-29,0.2136
"94",2022-08-30,0.2179
"95",2022-08-31,0.2238
"96",2022-09-01,0.2283
"97",2022-09-02,0.2288
"98",2022-09-06,0.2245
"99",2022-09-07,0.2238
"100",2022-09-08,0.2234
"101",2022-09-09,0.2288
"102",2022-09-12,0.2241
"103",2022-09-13,0.2182
"104",2022-09-14,0.2171
"105",2022-09-15,0.2211
"106",2022-09-16,0.2272
"107",2022-09-19,0.2288
"108",2022-09-20,0.2265
"109",2022-09-21,0.2267
"110",2022-09-22,0.2263
"111",2022-09-23,0.2282
"112",2022-09-26,0.2265
"113",2022-09-27,0.2216
"114",2022-09-28,0.2198
"115",2022-09-29,0.2198
"116",2022-09-30,0.2164
"117",2022-10-03,0.2161
"118",2022-10-04,0.217
"119",2022-10-05,0.2203
"120",2022-10-06,0.2292
"121",2022-10-07,0.2253
"122",2022-10-10,0.2228
"123",2022-10-11,0.2198
"124",2022-10-12,0.2211
"125",2022-10-13,0.2257
"126",2022-10-14,0.2246
"127",2022-10-17,0.2248
"128",2022-10-18,0.2227
"129",2022-10-19,0.2225
"130",2022-10-20,0.2197
"131",2022-10-21,0.2244
"132",2022-10-24,0.2224
"133",2022-10-25,0.2193
"134",2022-10-26,0.2177
"135",2022-10-27,0.2169
"136",2022-10-28,0.2187
"137",2022-10-31,0.216
"138",2022-11-01,0.2124
"139",2022-11-02,0.2182
"140",2022-11-03,0.2218
"141",2022-11-04,0.2223
"142",2022-11-07,0.2193
"143",2022-11-08,0.2166
"144",2022-11-09,0.2197
"145",2022-11-10,0.2208
"146",2022-11-11,0.2234
"147",2022-11-14,0.2234
"148",2022-11-15,0.226
"149",2022-11-16,0.2331
"150",2022-11-17,0.2342
"151",2022-11-18,0.2314
"152",2022-11-21,0.2242
"153",2022-11-22,0.2213
"154",2022-11-23,0.2196
"155",2022-11-25,0.2225
"156",2022-11-28,0.2264
"157",2022-11-29,0.2223
"158",2022-11-30,0.2192
"159",2022-12-01,0.222
"160",2022-12-02,0.2207
"161",2022-12-05,0.224
"162",2022-12-06,0.2225
"163",2022-12-07,0.2173
"164",2022-12-08,0.2193
"165",2022-12-09,0.2215
"166",2022-12-12,0.2207
"167",2022-12-13,0.2213
"168",2022-12-14,0.2148
"169",2022-12-15,0.2143
"170",2022-12-16,0.2151
"171",2022-12-19,0.2186
"172",2022-12-20,0.2149
"173",2022-12-21,0.2091
"174",2022-12-22,0.2139
"175",2022-12-23,0.2223
"176",2022-12-27,0.2208
"177",2022-12-28,0.2173
"178",2022-12-29,0.2188
"179",2022-12-30,0.217
"180",2023-01-03,0.2158
"181",2023-01-04,0.2167
"182",2023-01-05,0.2094
"183",2023-01-06,0.2028
"184",2023-01-09,0.2069
"185",2023-01-10,0.2143
"186",2023-01-11,0.2131
"187",2023-01-12,0.2064
"188",2023-01-13,0.2066
"189",2023-01-17,0.2066
"190",2023-01-18,0.2033
"191",2023-01-19,0.2066
"192",2023-01-20,0.2062
"193",2023-01-23,0.1997
"194",2023-01-24,0.1965
"195",2023-01-25,0.1974
"196",2023-01-26,0.2016
"197",2023-01-27,0.2031
"198",2023-01-30,0.1984
"199",2023-01-31,0.1965
"200",2023-02-01,0.1949
"201",2023-02-02,0.1985
"202",2023-02-03,0.1944
"203",2023-02-06,0.1945
"204",2023-02-07,0.1983
"205",2023-02-08,0.2021
"206",2023-02-09,0.2058
"207",2023-02-10,0.2053
"208",2023-02-13,0.2022
"209",2023-02-14,0.2039
"210",2023-02-15,0.2024
"211",2023-02-16,0.2047
"212",2023-02-17,0.1997
"213",2023-02-21,0.1967
"214",2023-02-22,0.1968
"215",2023-02-23,0.2015
"216",2023-02-24,0.2034
"217",2023-02-27,0.1992
"218",2023-02-28,0.2036
"219",2023-03-01,0.2078
"220",2023-03-02,0.2097
"221",2023-03-03,0.2114
"222",2023-03-06,0.2135
"223",2023-03-07,0.2119
"224",2023-03-08,0.2081
"225",2023-03-09,0.2046
"226",2023-03-10,0.2022
"227",2023-03-13,0.2037
"228",2023-03-14,0.2008
"229",2023-03-15,0.2035
"230",2023-03-16,0.2078
"231",2023-03-17,0.2125
"232",2023-03-20,0.2146
"233",2023-03-21,0.2097
"234",2023-03-22,0.2076
"235",2023-03-23,0.2124
"236",2023-03-24,0.2111
"237",2023-03-27,0.2124
"238",2023-03-28,0.2114
"239",2023-03-29,0.2193
"240",2023-03-30,0.2242
"241",2023-03-31,0.2251
"242",2023-04-03,0.2183
"243",2023-04-04,0.2137
"244",2023-04-05,0.2161
"245",2023-04-06,0.2203
"246",2023-04-10,0.2219
"247",2023-04-11,0.2206
"248",2023-04-12,0.2198
"249",2023-04-13,0.2234
"250",2023-04-14,0.2227
"251",2023-04-17,0.2224
"252",2023-04-18,0.2225
"253",2023-04-19,0.2194
"254",2023-04-20,0.2182
"255",2023-04-21,0.2201
"256",2023-04-24,0.2202
"257",2023-04-25,0.2231
"258",2023-04-26,0.2205
"259",2023-04-27,0.2221
"260",2023-04-28,0.2253
"261",2023-05-01,0.2289
"262",2023-05-02,0.2255
"263",2023-05-03,0.2256
"264",2023-05-04,0.2239
"265",2023-05-05,0.231
