"","date","NVDA"
"1",2022-04-18,0.1815
"2",2022-04-19,0.1814
"3",2022-04-20,0.1799
"4",2022-04-21,0.182
"5",2022-04-22,0.1816
"6",2022-04-25,0.182
"7",2022-04-26,0.1822
"8",2022-04-27,0.1888
"9",2022-04-28,0.1898
"10",2022-04-29,0.1928
"11",2022-05-02,0.1905
"12",2022-05-03,0.1887
"13",2022-05-04,0.1845
"14",2022-05-05,0.1925
"15",2022-05-06,0.198
"16",2022-05-09,0.202
"17",2022-05-10,0.2036
"18",2022-05-11,0.2008
"19",2022-05-12,0.1989
"20",2022-05-13,0.2043
"21",2022-05-16,0.2037
"22",2022-05-17,0.2041
"23",2022-05-18,0.2032
"24",2022-05-19,0.2058
"25",2022-05-20,0.2004
"26",2022-05-23,0.1985
"27",2022-05-24,0.1997
"28",2022-05-25,0.2029
"29",2022-05-26,0.204
"30",2022-05-27,0.205
"31",2022-05-31,0.2022
"32",2022-06-01,0.2106
"33",2022-06-02,0.2042
"34",2022-06-03,0.2064
"35",2022-06-06,0.2104
"36",2022-06-07,0.2126
"37",2022-06-08,0.2143
"38",2022-06-09,0.2131
"39",2022-06-10,0.2108
"40",2022-06-13,0.2087
"41",2022-06-14,0.2091
"42",2022-06-15,0.208
"43",2022-06-16,0.2106
"44",2022-06-17,0.2121
"45",2022-06-21,0.2063
"46",2022-06-22,0.2016
"47",2022-06-23,0.2008
"48",2022-06-24,0.2053
"49",2022-06-27,0.2016
"50",2022-06-28,0.2091
"51",2022-06-29,0.2092
"52",2022-06-30,0.2068
"53",2022-07-01,0.2054
"54",2022-07-05,0.2062
"55",2022-07-06,0.203
"56",2022-07-07,0.2072
"57",2022-07-08,0.2041
"58",2022-07-11,0.204
"59",2022-07-12,0.2044
"60",2022-07-13,0.2059
"61",2022-07-14,0.2044
"62",2022-07-15,0.2058
"63",2022-07-18,0.2077
"64",2022-07-19,0.2094
"65",2022-07-20,0.2096
"66",2022-07-21,0.2076
"67",2022-07-22,0.204
"68",2022-07-25,0.2028
"69",2022-07-26,0.1968
"70",2022-07-27,0.1974
"71",2022-07-28,0.1978
"72",2022-07-29,0.1972
"73",2022-08-01,0.1949
"74",2022-08-02,0.1969
"75",2022-08-03,0.1969
"76",2022-08-04,0.199
"77",2022-08-05,0.1987
"78",2022-08-08,0.1943
"79",2022-08-09,0.1981
"80",2022-08-10,0.2047
"81",2022-08-11,0.2038
"82",2022-08-12,0.2001
"83",2022-08-15,0.1971
"84",2022-08-16,0.1997
"85",2022-08-17,0.1958
"86",2022-08-18,0.1983
"87",2022-08-19,0.1969
