"","date","AAPL"
"1",2022-04-18,0.1404
"2",2022-04-19,0.1448
"3",2022-04-20,0.1392
"4",2022-04-21,0.1389
"5",2022-04-22,0.1378
"6",2022-04-25,0.1508
"7",2022-04-26,0.1476
"8",2022-04-27,0.1456
"9",2022-04-28,0.1374
"10",2022-04-29,0.1363
"11",2022-05-02,0.1352
"12",2022-05-03,0.139
"13",2022-05-04,0.1303
"14",2022-05-05,0.132
"15",2022-05-06,0.1269
"16",2022-05-09,0.1331
"17",2022-05-10,0.1334
"18",2022-05-11,0.1356
"19",2022-05-12,0.1337
"20",2022-05-13,0.1396
"21",2022-05-16,0.1402
"22",2022-05-17,0.1454
"23",2022-05-18,0.1426
"24",2022-05-19,0.1443
"25",2022-05-20,0.1348
"26",2022-05-23,0.1372
"27",2022-05-24,0.1348
"28",2022-05-25,0.1343
"29",2022-05-26,0.1389
"30",2022-05-27,0.143
"31",2022-05-31,0.1428
"32",2022-06-01,0.1483
"33",2022-06-02,0.1462
"34",2022-06-03,0.1467
"35",2022-06-06,0.1441
"36",2022-06-07,0.1498
"37",2022-06-08,0.1475
"38",2022-06-09,0.1519
"39",2022-06-10,0.1507
"40",2022-06-13,0.1504
"41",2022-06-14,0.1508
"42",2022-06-15,0.1603
"43",2022-06-16,0.1522
"44",2022-06-17,0.1517
"45",2022-06-21,0.1527
"46",2022-06-22,0.1593
"47",2022-06-23,0.1533
"48",2022-06-24,0.153
"49",2022-06-27,0.1442
"50",2022-06-28,0.1503
"51",2022-06-29,0.1489
"52",2022-06-30,0.1531
"53",2022-07-01,0.1502
"54",2022-07-05,0.1574
"55",2022-07-06,0.1616
"56",2022-07-07,0.1677
"57",2022-07-08,0.1621
"58",2022-07-11,0.1585
"59",2022-07-12,0.1598
"60",2022-07-13,0.1617
"61",2022-07-14,0.1564
"62",2022-07-15,0.1624
"63",2022-07-18,0.1573
"64",2022-07-19,0.157
"65",2022-07-20,0.1605
"66",2022-07-21,0.1742
"67",2022-07-22,0.1722
"68",2022-07-25,0.174
"69",2022-07-26,0.1688
"70",2022-07-27,0.1687
"71",2022-07-28,0.1696
"72",2022-07-29,0.1707
"73",2022-08-01,0.1609
"74",2022-08-02,0.161
"75",2022-08-03,0.1551
"76",2022-08-04,0.1642
"77",2022-08-05,0.1642
"78",2022-08-08,0.1719
"79",2022-08-09,0.1724
"80",2022-08-10,0.1739
"81",2022-08-11,0.1781
"82",2022-08-12,0.1826
"83",2022-08-15,0.1852
"84",2022-08-16,0.1916
"85",2022-08-17,0.1962
"86",2022-08-18,0.2017
"87",2022-08-19,0.1983
"88",2022-08-22,0.1945
"89",2022-08-23,0.1941
"90",2022-08-24,0.1988
"91",2022-08-25,0.1908
"92",2022-08-26,0.1883
"93",2022-08-29,0.1799
"94",2022-08-30,0.1789
"95",2022-08-31,0.1746
"96",2022-09-01,0.1812
"97",2022-09-02,0.1772
"98",2022-09-06,0.1826
"99",2022-09-07,0.1822
"100",2022-09-08,0.1809
"101",2022-09-09,0.1787
"102",2022-09-12,0.1811
"103",2022-09-13,0.1719
"104",2022-09-14,0.1744
"105",2022-09-15,0.1761
"106",2022-09-16,0.1848
"107",2022-09-19,0.1858
"108",2022-09-20,0.1841
"109",2022-09-21,0.176
"110",2022-09-22,0.1814
"111",2022-09-23,0.1789
"112",2022-09-26,0.1797
"113",2022-09-27,0.1708
"114",2022-09-28,0.1731
"115",2022-09-29,0.1717
"116",2022-09-30,0.1744
"117",2022-10-03,0.1718
"118",2022-10-04,0.1708
"119",2022-10-05,0.1694
"120",2022-10-06,0.1719
"121",2022-10-07,0.1703
"122",2022-10-10,0.1769
"123",2022-10-11,0.1747
"124",2022-10-12,0.1749
"125",2022-10-13,0.1729
"126",2022-10-14,0.1777
"127",2022-10-17,0.1739
"128",2022-10-18,0.1714
"129",2022-10-19,0.1706
"130",2022-10-20,0.1685
"131",2022-10-21,0.166
"132",2022-10-24,0.177
"133",2022-10-25,0.1673
"134",2022-10-26,0.1669
"135",2022-10-27,0.1581
"136",2022-10-28,0.1604
"137",2022-10-31,0.1597
"138",2022-11-01,0.162
"139",2022-11-02,0.1579
"140",2022-11-03,0.158
"141",2022-11-04,0.1551
"142",2022-11-07,0.157
"143",2022-11-08,0.1569
"144",2022-11-09,0.1591
"145",2022-11-10,0.1548
"146",2022-11-11,0.1642
"147",2022-11-14,0.1579
"148",2022-11-15,0.1526
"149",2022-11-16,0.1547
"150",2022-11-17,0.1605
"151",2022-11-18,0.1533
"152",2022-11-21,0.1474
"153",2022-11-22,0.1418
"154",2022-11-23,0.1441
"155",2022-11-25,0.1437
"156",2022-11-28,0.1497
"157",2022-11-29,0.1445
"158",2022-11-30,0.1479
"159",2022-12-01,0.1445
"160",2022-12-02,0.1401
"161",2022-12-05,0.1386
"162",2022-12-06,0.1438
"163",2022-12-07,0.137
"164",2022-12-08,0.1377
"165",2022-12-09,0.1367
"166",2022-12-12,0.1401
"167",2022-12-13,0.1369
"168",2022-12-14,0.1347
"169",2022-12-15,0.1265
"170",2022-12-16,0.1302
"171",2022-12-19,0.1301
"172",2022-12-20,0.137
"173",2022-12-21,0.133
"174",2022-12-22,0.1394
"175",2022-12-23,0.1377
"176",2022-12-27,0.1447
"177",2022-12-28,0.1422
"178",2022-12-29,0.1394
"179",2022-12-30,0.1307
"180",2023-01-03,0.132
"181",2023-01-04,0.1308
"182",2023-01-05,0.1344
"183",2023-01-06,0.1302
"184",2023-01-09,0.13
"185",2023-01-10,0.1371
"186",2023-01-11,0.147
"187",2023-01-12,0.1465
"188",2023-01-13,0.1483
"189",2023-01-17,0.147
"190",2023-01-18,0.1435
"191",2023-01-19,0.1427
"192",2023-01-20,0.1516
"193",2023-01-23,0.1478
"194",2023-01-24,0.154
"195",2023-01-25,0.1562
"196",2023-01-26,0.1616
"197",2023-01-27,0.1632
"198",2023-01-30,0.1715
"199",2023-01-31,0.1716
"200",2023-02-01,0.1724
"201",2023-02-02,0.1698
"202",2023-02-03,0.1761
"203",2023-02-06,0.1754
"204",2023-02-07,0.1809
"205",2023-02-08,0.1774
"206",2023-02-09,0.1842
"207",2023-02-10,0.1822
"208",2023-02-13,0.1828
"209",2023-02-14,0.1906
"210",2023-02-15,0.1987
"211",2023-02-16,0.1959
"212",2023-02-17,0.1969
"213",2023-02-21,0.1931
"214",2023-02-22,0.1955
"215",2023-02-23,0.1983
"216",2023-02-24,0.2041
"217",2023-02-27,0.1975
"218",2023-02-28,0.1983
"219",2023-03-01,0.1992
"220",2023-03-02,0.1997
"221",2023-03-03,0.1965
"222",2023-03-06,0.203
"223",2023-03-07,0.1903
"224",2023-03-08,0.1876
"225",2023-03-09,0.1849
"226",2023-03-10,0.1883
"227",2023-03-13,0.1889
"228",2023-03-14,0.1898
"229",2023-03-15,0.1852
"230",2023-03-16,0.1869
"231",2023-03-17,0.1829
"232",2023-03-20,0.1825
"233",2023-03-21,0.1766
"234",2023-03-22,0.1803
"235",2023-03-23,0.1793
"236",2023-03-24,0.1836
"237",2023-03-27,0.1826
"238",2023-03-28,0.1791
"239",2023-03-29,0.1745
"240",2023-03-30,0.1728
