"","date","JPM"
"1",2019-06-10,0.2794
"2",2019-06-11,0.2837
"3",2019-06-12,0.2687
"4",2019-06-13,0.2799
"5",2019-06-14,0.2418
"6",2019-06-17,0.2332
"7",2019-06-18,0.2419
"8",2019-06-19,0.264
"9",2019-06-20,0.2603
"10",2019-06-21,0.267
"11",2019-06-24,0.2613
"12",2019-06-25,0.2576
"13",2019-06-26,0.2325
"14",2019-06-27,0.2787
"15",2019-06-28,0.2462
"16",2019-07-01,0.2368
"17",2019-07-02,0.2536
"18",2019-07-03,0.2488
"19",2019-07-05,0.2669
"20",2019-07-08,0.2657
"21",2019-07-09,0.2608
"22",2019-07-10,0.2579
"23",2019-07-11,0.2432
"24",2019-07-12,0.2658
"25",2019-07-15,0.2294
"26",2019-07-16,0.2339
"27",2019-07-17,0.2301
"28",2019-07-18,0.2113
"29",2019-07-19,0.2035
"30",2019-07-22,0.235
"31",2019-07-23,0.2152
"32",2019-07-24,0.2258
"33",2019-07-25,0.2306
"34",2019-07-26,0.2654
"35",2019-07-29,0.2497
"36",2019-07-30,0.2316
"37",2019-07-31,0.224
"38",2019-08-01,0.2118
"39",2019-08-02,0.1933
"40",2019-08-05,0.1905
"41",2019-08-06,0.1972
"42",2019-08-07,0.2224
"43",2019-08-08,0.2334
"44",2019-08-09,0.3066
"45",2019-08-12,0.2844
"46",2019-08-13,0.2444
"47",2019-08-14,0.2457
"48",2019-08-15,0.2337
"49",2019-08-16,0.2098
"50",2019-08-19,0.2245
"51",2019-08-20,0.2043
"52",2019-08-21,0.2362
"53",2019-08-22,0.2074
"54",2019-08-23,0.2508
"55",2019-08-26,0.2406
"56",2019-08-27,0.2413
"57",2019-08-28,0.2493
"58",2019-08-29,0.2402
"59",2019-08-30,0.2325
"60",2019-09-03,0.2334
"61",2019-09-04,0.2202
"62",2019-09-05,0.2296
"63",2019-09-06,0.2395
"64",2019-09-09,0.2409
"65",2019-09-10,0.2288
"66",2019-09-11,0.2471
"67",2019-09-12,0.262
"68",2019-09-13,0.2624
"69",2019-09-16,0.2461
"70",2019-09-17,0.2484
"71",2019-09-18,0.2317
"72",2019-09-19,0.2553
"73",2019-09-20,0.2611
"74",2019-09-23,0.332
"75",2019-09-24,0.2893
"76",2019-09-25,0.2672
"77",2019-09-26,0.2656
"78",2019-09-27,0.2609
"79",2019-09-30,0.2596
"80",2019-10-01,0.2703
"81",2019-10-02,0.2527
"82",2019-10-03,0.2506
"83",2019-10-04,0.2503
"84",2019-10-07,0.2812
"85",2019-10-08,0.2533
"86",2019-10-09,0.2767
"87",2019-10-10,0.2966
"88",2019-10-11,0.2806
"89",2019-10-14,0.2717
"90",2019-10-15,0.2759
"91",2019-10-16,0.2608
"92",2019-10-17,0.2786
"93",2019-10-18,0.2804
"94",2019-10-21,0.3046
"95",2019-10-22,0.2939
"96",2019-10-23,0.2807
"97",2019-10-24,0.2731
"98",2019-10-25,0.2664
"99",2019-10-28,0.2695
"100",2019-10-29,0.2763
"101",2019-10-30,0.2535
"102",2019-10-31,0.284
"103",2019-11-01,0.2717
"104",2019-11-04,0.297
"105",2019-11-05,0.2861
"106",2019-11-06,0.2927
"107",2019-11-07,0.3092
"108",2019-11-08,0.3101
"109",2019-11-11,0.3006
"110",2019-11-12,0.2934
"111",2019-11-13,0.2826
"112",2019-11-14,0.2884
"113",2019-11-15,0.2731
"114",2019-11-18,0.2972
"115",2019-11-19,0.2962
"116",2019-11-20,0.302
"117",2019-11-21,0.3213
"118",2019-11-22,0.3132
"119",2019-11-25,0.3148
"120",2019-11-26,0.3257
"121",2019-11-27,0.317
"122",2019-11-29,0.346
"123",2019-12-02,0.3283
"124",2019-12-03,0.31
"125",2019-12-04,0.2875
"126",2019-12-05,0.3234
"127",2019-12-06,0.3293
"128",2019-12-09,0.3246
"129",2019-12-10,0.3053
"130",2019-12-11,0.2999
"131",2019-12-12,0.2918
"132",2019-12-13,0.3071
"133",2019-12-16,0.2869
"134",2019-12-17,0.2768
"135",2019-12-18,0.2496
"136",2019-12-19,0.2295
"137",2019-12-20,0.225
"138",2019-12-23,0.2397
"139",2019-12-24,0.243
"140",2019-12-26,0.2591
"141",2019-12-27,0.2581
"142",2019-12-30,0.2706
"143",2019-12-31,0.2702
"144",2020-01-02,0.2796
"145",2020-01-03,0.2712
"146",2020-01-06,0.2835
"147",2020-01-07,0.2991
"148",2020-01-08,0.2783
"149",2020-01-09,0.2688
"150",2020-01-10,0.2856
"151",2020-01-13,0.2716
"152",2020-01-14,0.2986
"153",2020-01-15,0.3181
"154",2020-01-16,0.3532
"155",2020-01-17,0.3202
"156",2020-01-21,0.3203
"157",2020-01-22,0.3202
"158",2020-01-23,0.2998
"159",2020-01-24,0.2731
"160",2020-01-27,0.2789
"161",2020-01-28,0.2675
"162",2020-01-29,0.2854
"163",2020-01-30,0.3042
"164",2020-01-31,0.3444
"165",2020-02-03,0.3398
"166",2020-02-04,0.3223
"167",2020-02-05,0.2989
"168",2020-02-06,0.2735
"169",2020-02-07,0.2579
"170",2020-02-10,0.2763
"171",2020-02-11,0.2628
"172",2020-02-12,0.2478
"173",2020-02-13,0.2383
"174",2020-02-14,0.2753
"175",2020-02-18,0.2779
"176",2020-02-19,0.2832
"177",2020-02-20,0.2873
"178",2020-02-21,0.2644
"179",2020-02-24,0.2403
"180",2020-02-25,0.2652
"181",2020-02-26,0.2628
"182",2020-02-27,0.2895
"183",2020-02-28,0.2956
"184",2020-03-02,0.2847
"185",2020-03-03,0.2723
"186",2020-03-04,0.3063
"187",2020-03-05,0.3108
"188",2020-03-06,0.2762
"189",2020-03-09,0.3368
"190",2020-03-10,0.3347
"191",2020-03-11,0.3428
"192",2020-03-12,0.3827
"193",2020-03-13,0.4079
"194",2020-03-16,0.3914
"195",2020-03-17,0.3768
"196",2020-03-18,0.3823
"197",2020-03-19,0.4224
"198",2020-03-20,0.4289
"199",2020-03-23,0.4132
"200",2020-03-24,0.4247
"201",2020-03-25,0.4578
"202",2020-03-26,0.51
"203",2020-03-27,0.5091
"204",2020-03-30,0.5371
"205",2020-03-31,0.5278
"206",2020-04-01,0.5298
"207",2020-04-02,0.5221
"208",2020-04-03,0.4793
"209",2020-04-06,0.4852
"210",2020-04-07,0.5229
"211",2020-04-08,0.5123
"212",2020-04-09,0.5358
"213",2020-04-13,0.5423
"214",2020-04-14,0.5321
"215",2020-04-15,0.5291
"216",2020-04-16,0.5473
"217",2020-04-17,0.5341
"218",2020-04-20,0.4971
"219",2020-04-21,0.488
"220",2020-04-22,0.5047
"221",2020-04-23,0.4934
"222",2020-04-24,0.5245
"223",2020-04-27,0.4744
"224",2020-04-28,0.4816
"225",2020-04-29,0.4807
"226",2020-04-30,0.4961
"227",2020-05-01,0.4848
"228",2020-05-04,0.4608
"229",2020-05-05,0.4269
"230",2020-05-06,0.4423
"231",2020-05-07,0.4305
"232",2020-05-08,0.4096
"233",2020-05-11,0.3524
"234",2020-05-12,0.3441
"235",2020-05-13,0.3163
"236",2020-05-14,0.3195
"237",2020-05-15,0.3403
"238",2020-05-18,0.326
"239",2020-05-19,0.308
"240",2020-05-20,0.3114
"241",2020-05-21,0.3055
"242",2020-05-22,0.3298
"243",2020-05-26,0.3294
"244",2020-05-27,0.3044
"245",2020-05-28,0.2869
"246",2020-05-29,0.2841
"247",2020-06-01,0.2527
"248",2020-06-02,0.2465
"249",2020-06-03,0.2308
"250",2020-06-04,0.2337
"251",2020-06-05,0.2094
