"","date","AVGO"
"188",2021-08-10,0.2572
"189",2021-08-11,0.2564
"190",2021-08-12,0.2487
"191",2021-08-13,0.2416
"192",2021-08-16,0.2408
"193",2021-08-17,0.2103
"194",2021-08-18,0.2149
"195",2021-08-19,0.2159
"196",2021-08-20,0.2288
"197",2021-08-23,0.2383
"198",2021-08-24,0.237
"199",2021-08-25,0.2383
"200",2021-08-26,0.239
"201",2021-08-27,0.2281
"202",2021-08-30,0.2417
"203",2021-08-31,0.2397
"204",2021-09-01,0.2524
"205",2021-09-02,0.2464
"206",2021-09-03,0.2519
"207",2021-09-07,0.2476
"208",2021-09-08,0.2486
"209",2021-09-09,0.2629
"210",2021-09-10,0.266
"211",2021-09-13,0.2599
"212",2021-09-14,0.2582
"213",2021-09-15,0.2429
"214",2021-09-16,0.2399
"215",2021-09-17,0.2296
"216",2021-09-20,0.239
"217",2021-09-21,0.2208
"218",2021-09-22,0.2361
"219",2021-09-23,0.2451
"220",2021-09-24,0.2527
"221",2021-09-27,0.2489
"222",2021-09-28,0.2565
"223",2021-09-29,0.2394
"224",2021-09-30,0.2582
"225",2021-10-01,0.258
"226",2021-10-04,0.2727
"227",2021-10-05,0.2698
"228",2021-10-06,0.2572
"229",2021-10-07,0.25
"230",2021-10-08,0.2475
"231",2021-10-11,0.2332
"232",2021-10-12,0.2414
"233",2021-10-13,0.2225
"234",2021-10-14,0.2173
"235",2021-10-15,0.2184
"236",2021-10-18,0.2264
"237",2021-10-19,0.2309
"238",2021-10-20,0.2366
"239",2021-10-21,0.2615
"240",2021-10-22,0.2667
"241",2021-10-25,0.2587
"242",2021-10-26,0.2575
"243",2021-10-27,0.2363
"244",2021-10-28,0.232
"245",2021-10-29,0.2109
"246",2021-11-01,0.2125
"247",2021-11-02,0.2063
"248",2021-11-03,0.2218
"249",2021-11-04,0.2305
"250",2021-11-05,0.235
"251",2021-11-08,0.2218
"252",2021-11-09,0.2251
"253",2021-11-10,0.1941
"254",2021-11-11,0.1948
"255",2021-11-12,0.2022
"256",2021-11-15,0.2123
"257",2021-11-16,0.2144
"258",2021-11-17,0.2184
"259",2021-11-18,0.2213
"260",2021-11-19,0.2377
"261",2021-11-22,0.2411
"262",2021-11-23,0.2451
"263",2021-11-24,0.2297
"264",2021-11-26,0.2112
"265",2021-11-29,0.1831
"266",2021-11-30,0.1935
"267",2021-12-01,0.1706
"268",2021-12-02,0.1821
"269",2021-12-03,0.1935
"270",2021-12-06,0.1783
"271",2021-12-07,0.1738
"272",2021-12-08,0.1891
"273",2021-12-09,0.1762
"274",2021-12-10,0.2009
"275",2021-12-13,0.2113
"276",2021-12-14,0.2145
"277",2021-12-15,0.2022
"278",2021-12-16,0.1875
"279",2021-12-17,0.1911
"280",2021-12-20,0.181
"281",2021-12-21,0.1755
"282",2021-12-22,0.191
"283",2021-12-23,0.1758
"284",2021-12-27,0.1805
"285",2021-12-28,0.1755
"286",2021-12-29,0.1749
"287",2021-12-30,0.1661
"288",2021-12-31,0.1809
"289",2022-01-03,0.1686
"290",2022-01-04,0.1872
"291",2022-01-05,0.1856
"292",2022-01-06,0.1924
"293",2022-01-07,0.176
"294",2022-01-10,0.1839
"295",2022-01-11,0.1837
"296",2022-01-12,0.1922
"297",2022-01-13,0.1823
"298",2022-01-14,0.1688
"299",2022-01-18,0.1789
"300",2022-01-19,0.1719
"301",2022-01-20,0.1746
"302",2022-01-21,0.1835
"303",2022-01-24,0.1621
"304",2022-01-25,0.1757
"305",2022-01-26,0.1795
"306",2022-01-27,0.1735
"307",2022-01-28,0.1865
"308",2022-01-31,0.1973
"309",2022-02-01,0.2074
"310",2022-02-02,0.2124
"311",2022-02-03,0.1988
"312",2022-02-04,0.1947
"313",2022-02-07,0.1638
"314",2022-02-08,0.1744
"315",2022-02-09,0.1634
"316",2022-02-10,0.1719
"317",2022-02-11,0.1666
"318",2022-02-14,0.1708
"319",2022-02-15,0.1647
"320",2022-02-16,0.18
"321",2022-02-17,0.1823
"322",2022-02-18,0.1907
"323",2022-02-22,0.1908
"324",2022-02-23,0.2003
"325",2022-02-24,0.1829
"326",2022-02-25,0.186
"327",2022-02-28,0.1886
"328",2022-03-01,0.1918
"329",2022-03-02,0.1949
"330",2022-03-03,0.1939
"331",2022-03-04,0.1893
"332",2022-03-07,0.1874
