"","date","AVGO"
"1",2019-06-10,0.2835
"2",2019-06-11,0.2688
"3",2019-06-12,0.264
"4",2019-06-13,0.2841
"5",2019-06-14,0.276
"6",2019-06-17,0.267
"7",2019-06-18,0.2685
"8",2019-06-19,0.2747
"9",2019-06-20,0.2956
"10",2019-06-21,0.2849
"11",2019-06-24,0.2509
"12",2019-06-25,0.2103
"13",2019-06-26,0.254
"14",2019-06-27,0.2558
"15",2019-06-28,0.2629
"16",2019-07-01,0.2689
"17",2019-07-02,0.2549
"18",2019-07-03,0.2493
"19",2019-07-05,0.2424
"20",2019-07-08,0.2325
"21",2019-07-09,0.2429
"22",2019-07-10,0.2189
"23",2019-07-11,0.2181
"24",2019-07-12,0.2207
"25",2019-07-15,0.2306
"26",2019-07-16,0.2134
"27",2019-07-17,0.1864
"28",2019-07-18,0.1947
"29",2019-07-19,0.2087
"30",2019-07-22,0.2125
"31",2019-07-23,0.2311
"32",2019-07-24,0.2189
"33",2019-07-25,0.2047
"34",2019-07-26,0.203
"35",2019-07-29,0.2218
"36",2019-07-30,0.2086
"37",2019-07-31,0.2211
"38",2019-08-01,0.2399
"39",2019-08-02,0.2613
"40",2019-08-05,0.2555
"41",2019-08-06,0.247
"42",2019-08-07,0.2304
"43",2019-08-08,0.2478
"44",2019-08-09,0.2495
"45",2019-08-12,0.2597
"46",2019-08-13,0.2825
"47",2019-08-14,0.2501
"48",2019-08-15,0.2449
"49",2019-08-16,0.2804
"50",2019-08-19,0.276
"51",2019-08-20,0.2789
"52",2019-08-21,0.2627
"53",2019-08-22,0.2682
"54",2019-08-23,0.2659
"55",2019-08-26,0.2581
"56",2019-08-27,0.2635
"57",2019-08-28,0.2707
"58",2019-08-29,0.268
"59",2019-08-30,0.2661
"60",2019-09-03,0.2516
"61",2019-09-04,0.2741
"62",2019-09-05,0.2501
"63",2019-09-06,0.2609
"64",2019-09-09,0.2828
"65",2019-09-10,0.2743
"66",2019-09-11,0.2473
"67",2019-09-12,0.2437
"68",2019-09-13,0.2484
"69",2019-09-16,0.2661
"70",2019-09-17,0.2727
"71",2019-09-18,0.2578
"72",2019-09-19,0.2215
"73",2019-09-20,0.2356
"74",2019-09-23,0.2515
"75",2019-09-24,0.2541
"76",2019-09-25,0.2577
"77",2019-09-26,0.2449
"78",2019-09-27,0.2484
"79",2019-09-30,0.2627
"80",2019-10-01,0.2637
"81",2019-10-02,0.2883
"82",2019-10-03,0.2682
"83",2019-10-04,0.2653
"84",2019-10-07,0.2571
"85",2019-10-08,0.2958
"86",2019-10-09,0.2981
"87",2019-10-10,0.2879
"88",2019-10-11,0.276
"89",2019-10-14,0.2794
"90",2019-10-15,0.2845
"91",2019-10-16,0.2895
"92",2019-10-17,0.267
"93",2019-10-18,0.2743
"94",2019-10-21,0.2976
"95",2019-10-22,0.3067
"96",2019-10-23,0.2923
"97",2019-10-24,0.2905
"98",2019-10-25,0.2751
"99",2019-10-28,0.2639
"100",2019-10-29,0.2749
"101",2019-10-30,0.2801
"102",2019-10-31,0.2515
"103",2019-11-01,0.2591
"104",2019-11-04,0.255
"105",2019-11-05,0.2466
"106",2019-11-06,0.2293
"107",2019-11-07,0.1905
"108",2019-11-08,0.1715
"109",2019-11-11,0.1905
"110",2019-11-12,0.1849
"111",2019-11-13,0.1936
"112",2019-11-14,0.1941
"113",2019-11-15,0.1823
"114",2019-11-18,0.1817
"115",2019-11-19,0.1769
"116",2019-11-20,0.1751
