"","date","MA"
"1",2019-06-10,0.3144
"2",2019-06-11,0.3279
"3",2019-06-12,0.2434
"4",2019-06-13,0.2343
"5",2019-06-14,0.2472
"6",2019-06-17,0.2592
"7",2019-06-18,0.2581
"8",2019-06-19,0.2629
"9",2019-06-20,0.2561
"10",2019-06-21,0.25
"11",2019-06-24,0.2473
"12",2019-06-25,0.2394
"13",2019-06-26,0.1835
"14",2019-06-27,0.1644
"15",2019-06-28,0.1638
"16",2019-07-01,0.1924
"17",2019-07-02,0.1955
"18",2019-07-03,0.2072
"19",2019-07-05,0.2091
"20",2019-07-08,0.2342
"21",2019-07-09,0.2152
"22",2019-07-10,0.1988
"23",2019-07-11,0.1645
"24",2019-07-12,0.1952
"25",2019-07-15,0.129
"26",2019-07-16,0.1661
"27",2019-07-17,0.1403
"28",2019-07-18,0.1575
"29",2019-07-19,0.1803
"30",2019-07-22,0.19
"31",2019-07-23,0.2084
"32",2019-07-24,0.2191
"33",2019-07-25,0.1483
"34",2019-07-26,0.1307
"35",2019-07-29,0.1561
"36",2019-07-30,0.1386
"37",2019-07-31,0.129
"38",2019-08-01,0.1498
"39",2019-08-02,0.1241
"40",2019-08-05,0.1501
"41",2019-08-06,0.1792
"42",2019-08-07,0.1857
"43",2019-08-08,0.1744
"44",2019-08-09,0.2003
"45",2019-08-12,0.1701
"46",2019-08-13,0.1944
"47",2019-08-14,0.147
"48",2019-08-15,0.1433
"49",2019-08-16,0.1288
"50",2019-08-19,0.1685
"51",2019-08-20,0.2135
"52",2019-08-21,0.2171
"53",2019-08-22,0.1744
"54",2019-08-23,0.1742
"55",2019-08-26,0.1875
"56",2019-08-27,0.2216
"57",2019-08-28,0.192
"58",2019-08-29,0.1756
"59",2019-08-30,0.1875
"60",2019-09-03,0.1981
"61",2019-09-04,0.1917
"62",2019-09-05,0.2236
"63",2019-09-06,0.1873
"64",2019-09-09,0.2022
"65",2019-09-10,0.2285
"66",2019-09-11,0.2389
"67",2019-09-12,0.1987
"68",2019-09-13,0.2478
"69",2019-09-16,0.2021
"70",2019-09-17,0.225
"71",2019-09-18,0.2568
"72",2019-09-19,0.2603
"73",2019-09-20,0.219
"74",2019-09-23,0.2298
"75",2019-09-24,0.2455
"76",2019-09-25,0.2802
"77",2019-09-26,0.2766
"78",2019-09-27,0.26
"79",2019-09-30,0.2675
"80",2019-10-01,0.2712
