"","date","FANG"
"1",2020-11-10,0.1313
"2",2020-11-11,0.1128
"3",2020-11-12,0.111
"4",2020-11-13,0.1115
"5",2020-11-16,0.1132
"6",2020-11-17,0.1127
"7",2020-11-18,0.1193
"8",2020-11-19,0.1321
"9",2020-11-20,0.1118
"10",2020-11-23,0.1107
"11",2020-11-24,0.1229
"12",2020-11-25,0.1326
"13",2020-11-27,0.1326
"14",2020-11-30,0.1302
"15",2020-12-01,0.1246
"16",2020-12-02,0.1248
"17",2020-12-03,0.1281
"18",2020-12-04,0.1226
"19",2020-12-07,0.122
"20",2020-12-08,0.1063
"21",2020-12-09,0.1187
"22",2020-12-10,0.1208
"23",2020-12-11,0.1169
"24",2020-12-14,0.1227
"25",2020-12-15,0.1206
"26",2020-12-16,0.1105
"27",2020-12-17,0.1079
"28",2020-12-18,0.1004
"29",2020-12-21,0.1162
"30",2020-12-22,0.1139
"31",2020-12-23,0.1148
"32",2020-12-24,0.1214
"33",2020-12-28,0.1348
"34",2020-12-29,0.1379
"35",2020-12-30,0.1332
"36",2020-12-31,0.1296
"37",2021-01-04,0.1246
"38",2021-01-05,0.1138
"39",2021-01-06,0.1351
"40",2021-01-07,0.1405
"41",2021-01-08,0.1356
"42",2021-01-11,0.1328
"43",2021-01-12,0.1345
"44",2021-01-13,0.1192
"45",2021-01-14,0.1316
"46",2021-01-15,0.1315
"47",2021-01-19,0.1297
"48",2021-01-20,0.1212
"49",2021-01-21,0.133
"50",2021-01-22,0.1381
"51",2021-01-25,0.1382
"52",2021-01-26,0.1243
"53",2021-01-27,0.1088
"54",2021-01-28,0.1085
"55",2021-01-29,0.1158
"56",2021-02-01,0.1287
"57",2021-02-02,0.1381
"58",2021-02-03,0.1357
"59",2021-02-04,0.1505
"60",2021-02-05,0.155
"61",2021-02-08,0.1545
"62",2021-02-09,0.1461
"63",2021-02-10,0.1472
"64",2021-02-11,0.144
"65",2021-02-12,0.1549
"66",2021-02-16,0.1574
"67",2021-02-17,0.1442
"68",2021-02-18,0.127
"69",2021-02-19,0.1495
"70",2021-02-22,0.1516
"71",2021-02-23,0.1469
"72",2021-02-24,0.1346
"73",2021-02-25,0.1305
"74",2021-02-26,0.1303
"75",2021-03-01,0.1327
"76",2021-03-02,0.1465
"77",2021-03-03,0.15
"78",2021-03-04,0.1482
"79",2021-03-05,0.1558
"80",2021-03-08,0.1477
"81",2021-03-09,0.1646
"82",2021-03-10,0.1664
"83",2021-03-11,0.1618
"84",2021-03-12,0.1612
"85",2021-03-15,0.1597
"86",2021-03-16,0.1473
"87",2021-03-17,0.1565
"88",2021-03-18,0.1466
"89",2021-03-19,0.156
"90",2021-03-22,0.16
"91",2021-03-23,0.1543
"92",2021-03-24,0.1449
"93",2021-03-25,0.1474
"94",2021-03-26,0.1554
"95",2021-03-29,0.1614
"96",2021-03-30,0.1607
"97",2021-03-31,0.149
"98",2021-04-01,0.1373
"99",2021-04-05,0.1485
"100",2021-04-06,0.1489
"101",2021-04-07,0.1653
"102",2021-04-08,0.1726
"103",2021-04-09,0.1793
"104",2021-04-12,0.1795
"105",2021-04-13,0.182
"106",2021-04-14,0.1682
"107",2021-04-15,0.1591
"108",2021-04-16,0.1477
"109",2021-04-19,0.1668
"110",2021-04-20,0.1689
"111",2021-04-21,0.1706
"112",2021-04-22,0.1727
"113",2021-04-23,0.1622
"114",2021-04-26,0.1582
"115",2021-04-27,0.1502
"116",2021-04-28,0.1333
"117",2021-04-29,0.1432
"118",2021-04-30,0.138
"119",2021-05-03,0.1467
"120",2021-05-04,0.1642
"121",2021-05-05,0.1681
"122",2021-05-06,0.1651
"123",2021-05-07,0.163
"124",2021-05-10,0.1699
"125",2021-05-11,0.1754
"126",2021-05-12,0.1738
"127",2021-05-13,0.1635
"128",2021-05-14,0.1421
"129",2021-05-17,0.1628
"130",2021-05-18,0.1609
"131",2021-05-19,0.1723
"132",2021-05-20,0.159
"133",2021-05-21,0.1584
"134",2021-05-24,0.1512
"135",2021-05-25,0.1556
"136",2021-05-26,0.1547
"137",2021-05-27,0.153
"138",2021-05-28,0.1482
"139",2021-06-01,0.1506
"140",2021-06-02,0.1435
"141",2021-06-03,0.1478
"142",2021-06-04,0.1555
"143",2021-06-07,0.1579
"144",2021-06-08,0.1653
"145",2021-06-09,0.1655
"146",2021-06-10,0.1694
