"","date","INTU"
"215",2020-04-15,0.3153
"216",2020-04-16,0.3479
"217",2020-04-17,0.3255
"218",2020-04-20,0.3131
"219",2020-04-21,0.2986
"220",2020-04-22,0.3049
"221",2020-04-23,0.3299
"222",2020-04-24,0.3475
"223",2020-04-27,0.3001
"224",2020-04-28,0.3411
"225",2020-04-29,0.3372
"226",2020-04-30,0.3738
"227",2020-05-01,0.3746
"228",2020-05-04,0.3437
"229",2020-05-05,0.2872
"230",2020-05-06,0.2966
"231",2020-05-07,0.3014
"232",2020-05-08,0.3058
"233",2020-05-11,0.2821
"234",2020-05-12,0.2676
"235",2020-05-13,0.2444
"236",2020-05-14,0.2549
"237",2020-05-15,0.2639
"238",2020-05-18,0.2703
"239",2020-05-19,0.2461
"240",2020-05-20,0.2196
"241",2020-05-21,0.2238
"242",2020-05-22,0.25
"243",2020-05-26,0.2218
"244",2020-05-27,0.1973
"245",2020-05-28,0.1661
"246",2020-05-29,0.1715
"247",2020-06-01,0.1256
"248",2020-06-02,0.1415
"249",2020-06-03,0.1357
"250",2020-06-04,0.1743
"251",2020-06-05,0.1616
"252",2020-06-08,0.2014
"253",2020-06-09,0.1888
"254",2020-06-10,0.1879
"255",2020-06-11,0.1825
"256",2020-06-12,0.1708
"257",2020-06-15,0.1564
"258",2020-06-16,0.1465
"259",2020-06-17,0.1091
"260",2020-06-18,0.1465
"261",2020-06-19,0.1768
"262",2020-06-22,0.2005
"263",2020-06-23,0.2349
"264",2020-06-24,0.2257
"265",2020-06-25,0.185
"266",2020-06-26,0.2156
"267",2020-06-29,0.1824
"268",2020-06-30,0.1629
"269",2020-07-01,0.1442
"270",2020-07-02,0.1508
"271",2020-07-06,0.158
"272",2020-07-07,0.1795
"273",2020-07-08,0.1742
"274",2020-07-09,0.2153
"275",2020-07-10,0.2234
"276",2020-07-13,0.2544
"277",2020-07-14,0.2251
"278",2020-07-15,0.209
"279",2020-07-16,0.1769
"280",2020-07-17,0.1719
"281",2020-07-20,0.1947
"282",2020-07-21,0.2124
"283",2020-07-22,0.1847
"284",2020-07-23,0.1926
"285",2020-07-24,0.2013
"286",2020-07-27,0.2402
"287",2020-07-28,0.22
"288",2020-07-29,0.1896
"289",2020-07-30,0.157
"290",2020-07-31,0.1767
"291",2020-08-03,0.1876
"292",2020-08-04,0.2037
"293",2020-08-05,0.1919
"294",2020-08-06,0.2034
"295",2020-08-07,0.1573
"296",2020-08-10,0.1871
"297",2020-08-11,0.1968
"298",2020-08-12,0.1883
"299",2020-08-13,0.1587
"300",2020-08-14,0.1455
"301",2020-08-17,0.1434
"302",2020-08-18,0.1753
"303",2020-08-19,0.1475
"304",2020-08-20,0.1458
"305",2020-08-21,0.139
"306",2020-08-24,0.1303
"307",2020-08-25,0.1456
"308",2020-08-26,0.1655
"309",2020-08-27,0.1639
"310",2020-08-28,0.1893
"311",2020-08-31,0.1983
"312",2020-09-01,0.2018
"313",2020-09-02,0.1614
"314",2020-09-03,0.1716
"315",2020-09-04,0.1789
"316",2020-09-08,0.1722
"317",2020-09-09,0.1466
"318",2020-09-10,0.1539
"319",2020-09-11,0.1162
"320",2020-09-14,0.1523
"321",2020-09-15,0.1608
"322",2020-09-16,0.1844
"323",2020-09-17,0.1973
"324",2020-09-18,0.1868
"325",2020-09-21,0.1558
"326",2020-09-22,0.182
"327",2020-09-23,0.1716
"328",2020-09-24,0.1466
"329",2020-09-25,0.1129
"330",2020-09-28,0.1129
"331",2020-09-29,0.1282
"332",2020-09-30,0.1284
"333",2020-10-01,0.1153
"334",2020-10-02,0.1115
"335",2020-10-05,0.0715
"336",2020-10-06,0.0898
"337",2020-10-07,0.0928
"338",2020-10-08,0.1132
"339",2020-10-09,0.0861
