"","date","FANG"
"215",2020-04-15,0.5287
"216",2020-04-16,0.5387
"217",2020-04-17,0.5006
"218",2020-04-20,0.4684
"219",2020-04-21,0.5153
"220",2020-04-22,0.5373
"221",2020-04-23,0.5376
"222",2020-04-24,0.4989
"223",2020-04-27,0.45
"224",2020-04-28,0.4309
"225",2020-04-29,0.4227
"226",2020-04-30,0.4294
"227",2020-05-01,0.418
"228",2020-05-04,0.3504
"229",2020-05-05,0.3762
"230",2020-05-06,0.3875
"231",2020-05-07,0.3919
"232",2020-05-08,0.3639
"233",2020-05-11,0.3333
"234",2020-05-12,0.3313
"235",2020-05-13,0.275
"236",2020-05-14,0.2425
"237",2020-05-15,0.2653
"238",2020-05-18,0.2368
"239",2020-05-19,0.265
"240",2020-05-20,0.2443
"241",2020-05-21,0.2701
"242",2020-05-22,0.2219
"243",2020-05-26,0.211
"244",2020-05-27,0.1755
"245",2020-05-28,0.1673
"246",2020-05-29,0.1773
"247",2020-06-01,0.1379
"248",2020-06-02,0.1443
"249",2020-06-03,0.1326
"250",2020-06-04,0.1407
"251",2020-06-05,0.1601
"252",2020-06-08,0.1475
"253",2020-06-09,0.1509
"254",2020-06-10,0.1573
"255",2020-06-11,0.1451
"256",2020-06-12,0.161
"257",2020-06-15,0.1764
"258",2020-06-16,0.1908
"259",2020-06-17,0.1933
"260",2020-06-18,0.1994
"261",2020-06-19,0.184
"262",2020-06-22,0.1927
"263",2020-06-23,0.1566
"264",2020-06-24,0.1387
"265",2020-06-25,0.1363
"266",2020-06-26,0.1391
"267",2020-06-29,0.1628
"268",2020-06-30,0.1988
"269",2020-07-01,0.1728
"270",2020-07-02,0.1653
"271",2020-07-06,0.1623
"272",2020-07-07,0.1562
"273",2020-07-08,0.1324
"274",2020-07-09,0.1376
"275",2020-07-10,0.1302
"276",2020-07-13,0.1268
"277",2020-07-14,0.1209
"278",2020-07-15,0.1034
"279",2020-07-16,0.1295
"280",2020-07-17,0.1394
"281",2020-07-20,0.1375
"282",2020-07-21,0.1266
"283",2020-07-22,0.1235
"284",2020-07-23,0.1124
"285",2020-07-24,0.1462
"286",2020-07-27,0.1488
"287",2020-07-28,0.1416
"288",2020-07-29,0.1283
"289",2020-07-30,0.1562
"290",2020-07-31,0.1604
"291",2020-08-03,0.163
"292",2020-08-04,0.1579
"293",2020-08-05,0.1558
"294",2020-08-06,0.159
"295",2020-08-07,0.1387
"296",2020-08-10,0.1342
"297",2020-08-11,0.1667
"298",2020-08-12,0.1491
"299",2020-08-13,0.1705
"300",2020-08-14,0.1694
"301",2020-08-17,0.1493
"302",2020-08-18,0.1478
"303",2020-08-19,0.151
"304",2020-08-20,0.1601
"305",2020-08-21,0.1618
"306",2020-08-24,0.1525
"307",2020-08-25,0.1564
"308",2020-08-26,0.133
"309",2020-08-27,0.1752
"310",2020-08-28,0.1686
"311",2020-08-31,0.2031
"312",2020-09-01,0.1759
"313",2020-09-02,0.1712
"314",2020-09-03,0.1522
"315",2020-09-04,0.1623
"316",2020-09-08,0.1483
"317",2020-09-09,0.1261
"318",2020-09-10,0.1356
"319",2020-09-11,0.1558
"320",2020-09-14,0.1629
"321",2020-09-15,0.1913
"322",2020-09-16,0.2016
"323",2020-09-17,0.1977
"324",2020-09-18,0.2184
"325",2020-09-21,0.2544
"326",2020-09-22,0.2332
"327",2020-09-23,0.1862
"328",2020-09-24,0.1411
"329",2020-09-25,0.1941
"330",2020-09-28,0.213
"331",2020-09-29,0.1886
"332",2020-09-30,0.1569
"333",2020-10-01,0.1934
"334",2020-10-02,0.2042
"335",2020-10-05,0.218
"336",2020-10-06,0.2321
"337",2020-10-07,0.234
"338",2020-10-08,0.1673
"339",2020-10-09,0.1897
"340",2020-10-12,0.1741
"341",2020-10-13,0.2056
"342",2020-10-14,0.2184
"343",2020-10-15,0.2046
"344",2020-10-16,0.1895
"345",2020-10-19,0.1812
"346",2020-10-20,0.1883
"347",2020-10-21,0.1626
"348",2020-10-22,0.1273
"349",2020-10-23,0.1546
"350",2020-10-26,0.1638
"351",2020-10-27,0.2116
"352",2020-10-28,0.1925
"353",2020-10-29,0.2315
"354",2020-10-30,0.2306
"355",2020-11-02,0.1988
"356",2020-11-03,0.1803
"357",2020-11-04,0.1792
"358",2020-11-05,0.1425
"359",2020-11-06,0.1429
"360",2020-11-09,0.1439
"361",2020-11-10,0.14
"362",2020-11-11,0.1588
"363",2020-11-12,0.1779
"364",2020-11-13,0.1677
"365",2020-11-16,0.1425
"366",2020-11-17,0.1255
"367",2020-11-18,0.1361
"368",2020-11-19,0.1002
"369",2020-11-20,0.1852
"370",2020-11-23,0.2002
"371",2020-11-24,0.1975
"372",2020-11-25,0.1997
"373",2020-11-27,0.2264
"374",2020-11-30,0.2483
"375",2020-12-01,0.2391
"376",2020-12-02,0.2315
"377",2020-12-03,0.1992
"378",2020-12-04,0.1729
"379",2020-12-07,0.1944
"380",2020-12-08,0.2137
"381",2020-12-09,0.2888
"382",2020-12-10,0.2741
"383",2020-12-11,0.2678
"384",2020-12-14,0.2904
"385",2020-12-15,0.2939
"386",2020-12-16,0.2872
"387",2020-12-17,0.2436
"388",2020-12-18,0.1927
"389",2020-12-21,0.2524
"390",2020-12-22,0.2777
"391",2020-12-23,0.2683
"392",2020-12-24,0.2755
"393",2020-12-28,0.309
"394",2020-12-29,0.3191
"395",2020-12-30,0.3628
"396",2020-12-31,0.3581
"397",2021-01-04,0.3455
"398",2021-01-05,0.2921
"399",2021-01-06,0.3199
"400",2021-01-07,0.3013
"401",2021-01-08,0.2988
"402",2021-01-11,0.3231
"403",2021-01-12,0.3
"404",2021-01-13,0.2632
"405",2021-01-14,0.2915
"406",2021-01-15,0.3465
"407",2021-01-19,0.3368
"408",2021-01-20,0.3212
"409",2021-01-21,0.3676
"410",2021-01-22,0.3443
"411",2021-01-25,0.3525
"412",2021-01-26,0.3212
"413",2021-01-27,0.3369
"414",2021-01-28,0.3683
"415",2021-01-29,0.3621
"416",2021-02-01,0.3864
"417",2021-02-02,0.4119
"418",2021-02-03,0.3906
"419",2021-02-04,0.416
"420",2021-02-05,0.4114
"421",2021-02-08,0.434
"422",2021-02-09,0.4012
"423",2021-02-10,0.4255
"424",2021-02-11,0.4159
"425",2021-02-12,0.4252
"426",2021-02-16,0.4385
"427",2021-02-17,0.4196
"428",2021-02-18,0.4063
"429",2021-02-19,0.441
"430",2021-02-22,0.4205
"431",2021-02-23,0.397
"432",2021-02-24,0.3973
"433",2021-02-25,0.3952
"434",2021-02-26,0.3864
"435",2021-03-01,0.376
"436",2021-03-02,0.3426
"437",2021-03-03,0.336
"438",2021-03-04,0.3069
"439",2021-03-05,0.3376
"440",2021-03-08,0.3425
"441",2021-03-09,0.4014
"442",2021-03-10,0.3938
"443",2021-03-11,0.3522
"444",2021-03-12,0.3477
"445",2021-03-15,0.3564
"446",2021-03-16,0.3697
"447",2021-03-17,0.3773
"448",2021-03-18,0.3397
"449",2021-03-19,0.3597
"450",2021-03-22,0.395
"451",2021-03-23,0.4014
"452",2021-03-24,0.3773
"453",2021-03-25,0.3972
"454",2021-03-26,0.4212
"455",2021-03-29,0.4223
"456",2021-03-30,0.4163
"457",2021-03-31,0.3976
"458",2021-04-01,0.3861
"459",2021-04-05,0.4184
"460",2021-04-06,0.4197
"461",2021-04-07,0.4587
"462",2021-04-08,0.4624
"463",2021-04-09,0.4516
"464",2021-04-12,0.426
"465",2021-04-13,0.5214
"466",2021-04-14,0.5089
"467",2021-04-15,0.4966
"468",2021-04-16,0.4683
"469",2021-04-19,0.5079
"470",2021-04-20,0.519
"471",2021-04-21,0.5464
"472",2021-04-22,0.5507
"473",2021-04-23,0.6077
"474",2021-04-26,0.6242
"475",2021-04-27,0.5893
"476",2021-04-28,0.5552
"477",2021-04-29,0.5459
"478",2021-04-30,0.4825
"479",2021-05-03,0.5026
"480",2021-05-04,0.4944
"481",2021-05-05,0.5022
"482",2021-05-06,0.4476
"483",2021-05-07,0.4572
"484",2021-05-10,0.5317
"485",2021-05-11,0.5134
"486",2021-05-12,0.5776
"487",2021-05-13,0.5217
"488",2021-05-14,0.4418
"489",2021-05-17,0.4615
"490",2021-05-18,0.4437
"491",2021-05-19,0.4294
"492",2021-05-20,0.3993
"493",2021-05-21,0.4298
"494",2021-05-24,0.3851
"495",2021-05-25,0.3473
"496",2021-05-26,0.2899
"497",2021-05-27,0.2435
"498",2021-05-28,0.2089
"499",2021-06-01,0.2114
"500",2021-06-02,0.1888
"501",2021-06-03,0.2102
"502",2021-06-04,0.2118
"503",2021-06-07,0.1902
"504",2021-06-08,0.1982
"505",2021-06-09,0.2026
"506",2021-06-10,0.1546
"507",2021-06-11,0.1336
"508",2021-06-14,0.1131
"509",2021-06-15,0.12
"510",2021-06-16,0.1161
"511",2021-06-17,0.1096
"512",2021-06-18,0.092
"513",2021-06-21,0.0896
"514",2021-06-22,0.0815
"515",2021-06-23,0.0992000000000001
"516",2021-06-24,0.1137
"517",2021-06-25,0.1309
"518",2021-06-28,0.1455
"519",2021-06-29,0.1408
"520",2021-06-30,0.1506
"521",2021-07-01,0.1552
"522",2021-07-02,0.1643
"523",2021-07-06,0.1913
"524",2021-07-07,0.2174
"525",2021-07-08,0.2103
"526",2021-07-09,0.2265
"527",2021-07-12,0.2135
"528",2021-07-13,0.2096
"529",2021-07-14,0.2125
"530",2021-07-15,0.2269
"531",2021-07-16,0.2249
"532",2021-07-19,0.2334
"533",2021-07-20,0.2317
"534",2021-07-21,0.2159
"535",2021-07-22,0.2042
"536",2021-07-23,0.1921
"537",2021-07-26,0.1603
"538",2021-07-27,0.1245
"539",2021-07-28,0.1001
"540",2021-07-29,0.1097
"541",2021-07-30,0.1303
"542",2021-08-02,0.1453
"543",2021-08-03,0.1834
"544",2021-08-04,0.2363
"545",2021-08-05,0.2992
"546",2021-08-06,0.3554
"547",2021-08-09,0.3654
"548",2021-08-10,0.2886
"549",2021-08-11,0.309
"550",2021-08-12,0.3007
"551",2021-08-13,0.2642
"552",2021-08-16,0.2314
"553",2021-08-17,0.1272
"554",2021-08-18,0.0659
"555",2021-08-19,0.0648
"556",2021-08-20,0.0667
"557",2021-08-23,0.0857000000000001
"558",2021-08-24,0.0922
"559",2021-08-25,0.0811
"560",2021-08-26,0.0765
"561",2021-08-27,0.0776
"562",2021-08-30,0.0716
"563",2021-08-31,0.0814
"564",2021-09-01,0.0867000000000001
"565",2021-09-02,0.0882999999999999
"566",2021-09-03,0.056
"567",2021-09-07,0.0689
"568",2021-09-08,0.075
"569",2021-09-09,0.0821000000000001
"570",2021-09-10,0.1069
"571",2021-09-13,0.0677
"572",2021-09-14,0.041
"573",2021-09-15,0.018
"574",2021-09-16,0.0152
"575",2021-09-17,0.0165
"576",2021-09-20,0.0188
"577",2021-09-21,0.0312
"578",2021-09-22,0.0385
"579",2021-09-23,0.023
"580",2021-09-24,0.0491
"581",2021-09-27,0.0447
"582",2021-09-28,0.0503
"583",2021-09-29,0.0349
"584",2021-09-30,0.0285
"585",2021-10-01,0.0464
