"","date","ABEV3"
"1",2020-03-19,0.4314
"2",2020-03-20,0.4503
"3",2020-03-23,0.4708
"4",2020-03-24,0.4779
"5",2020-03-25,0.4759
"6",2020-03-26,0.519
"7",2020-03-27,0.4909
"8",2020-03-30,0.4949
"9",2020-03-31,0.5111
"10",2020-04-01,0.4971
"11",2020-04-02,0.5023
"12",2020-04-03,0.4938
"13",2020-04-06,0.5065
"14",2020-04-07,0.5024
"15",2020-04-08,0.499
"16",2020-04-09,0.5033
"17",2020-04-13,0.487
"18",2020-04-14,0.4725
"19",2020-04-15,0.4219
"20",2020-04-16,0.4757
"21",2020-04-17,0.4892
"22",2020-04-20,0.4924
"23",2020-04-22,0.4873
"24",2020-04-23,0.4612
"25",2020-04-24,0.4433
"26",2020-04-27,0.5031
"27",2020-04-28,0.503
"28",2020-04-29,0.4866
"29",2020-04-30,0.4561
"30",2020-05-04,0.4442
"31",2020-05-05,0.4327
"32",2020-05-06,0.4326
"33",2020-05-07,0.464
"34",2020-05-08,0.4516
"35",2020-05-11,0.4208
"36",2020-05-12,0.4571
"37",2020-05-13,0.4581
"38",2020-05-14,0.4555
"39",2020-05-15,0.4365
"40",2020-05-18,0.4154
"41",2020-05-19,0.4337
"42",2020-05-20,0.4242
"43",2020-05-21,0.4421
"44",2020-05-22,0.4525
"45",2020-05-25,0.4558
"46",2020-05-26,0.4558
"47",2020-05-27,0.4262
"48",2020-05-28,0.4372
"49",2020-05-29,0.4108
"50",2020-06-01,0.4317
"51",2020-06-02,0.4375
"52",2020-06-03,0.4389
"53",2020-06-04,0.4447
"54",2020-06-05,0.4394
"55",2020-06-08,0.3883
"56",2020-06-09,0.4105
"57",2020-06-10,0.4182
"58",2020-06-12,0.4316
"59",2020-06-15,0.4374
"60",2020-06-16,0.4252
"61",2020-06-17,0.4126
"62",2020-06-18,0.4326
"63",2020-06-19,0.4519
"64",2020-06-22,0.4389
"65",2020-06-23,0.4265
"66",2020-06-24,0.4163
"67",2020-06-25,0.3782
"68",2020-06-26,0.394
"69",2020-06-29,0.386
"70",2020-06-30,0.3959
"71",2020-07-01,0.4048
"72",2020-07-02,0.4271
"73",2020-07-03,0.4376
"74",2020-07-06,0.4102
"75",2020-07-07,0.3933
"76",2020-07-08,0.4129
"77",2020-07-09,0.4198
"78",2020-07-10,0.4318
"79",2020-07-13,0.4139
"80",2020-07-14,0.4229
"81",2020-07-15,0.4415
"82",2020-07-16,0.4278
"83",2020-07-17,0.4387
"84",2020-07-20,0.4192
"85",2020-07-21,0.4053
"86",2020-07-22,0.4422
"87",2020-07-23,0.4302
"88",2020-07-24,0.4204
"89",2020-07-27,0.4023
"90",2020-07-28,0.4056
"91",2020-07-29,0.369
"92",2020-07-30,0.3971
"93",2020-07-31,0.427
"94",2020-08-03,0.4113
"95",2020-08-04,0.3727
"96",2020-08-05,0.4028
"97",2020-08-06,0.3876
"98",2020-08-07,0.373
"99",2020-08-10,0.3309
"100",2020-08-11,0.3126
"101",2020-08-12,0.318
"102",2020-08-13,0.3091
"103",2020-08-14,0.3035
"104",2020-08-17,0.3167
"105",2020-08-18,0.328
"106",2020-08-19,0.3472
"107",2020-08-20,0.3266
"108",2020-08-21,0.3181
"109",2020-08-24,0.3245
"110",2020-08-25,0.3427
"111",2020-08-26,0.3804
"112",2020-08-27,0.3605
"113",2020-08-28,0.3646
"114",2020-08-31,0.361
"115",2020-09-01,0.3313
"116",2020-09-02,0.3695
"117",2020-09-03,0.3586
"118",2020-09-04,0.381
"119",2020-09-08,0.3801
"120",2020-09-09,0.3898
"121",2020-09-10,0.3863
"122",2020-09-11,0.3929
"123",2020-09-14,0.4
"124",2020-09-15,0.3993
"125",2020-09-16,0.4073
"126",2020-09-17,0.4287
"127",2020-09-18,0.4122
"128",2020-09-21,0.4362
"129",2020-09-22,0.4253
"130",2020-09-23,0.4127
"131",2020-09-24,0.4207
"132",2020-09-25,0.4464
"133",2020-09-28,0.4496
"134",2020-09-29,0.45
"135",2020-09-30,0.4635
"136",2020-10-01,0.4807
"137",2020-10-02,0.4666
"138",2020-10-05,0.4457
"139",2020-10-06,0.4066
"140",2020-10-07,0.4217
"141",2020-10-08,0.4494
"142",2020-10-09,0.4672
"143",2020-10-13,0.4565
"144",2020-10-14,0.4242
"145",2020-10-15,0.3906
"146",2020-10-16,0.4123
"147",2020-10-19,0.4123
"148",2020-10-20,0.4391
"149",2020-10-21,0.4455
"150",2020-10-22,0.4446
"151",2020-10-23,0.425
"152",2020-10-26,0.4586
"153",2020-10-27,0.5512
"154",2020-10-28,0.5171
"155",2020-10-29,0.4911
"156",2020-10-30,0.4962
"157",2020-11-03,0.4733
"158",2020-11-04,0.4785
"159",2020-11-05,0.4437
"160",2020-11-06,0.4366
"161",2020-11-09,0.431
"162",2020-11-10,0.4377
"163",2020-11-11,0.424
"164",2020-11-12,0.4148
"165",2020-11-13,0.3937
"166",2020-11-16,0.4109
"167",2020-11-17,0.3971
"168",2020-11-18,0.4104
"169",2020-11-19,0.4156
"170",2020-11-23,0.4227
"171",2020-11-24,0.4387
"172",2020-11-25,0.4299
