"","date","LREN3"
"1",2021-09-01,0.125
"2",2021-09-02,0.1315
"3",2021-09-03,0.1374
"4",2021-09-06,0.1419
"5",2021-09-08,0.1345
"6",2021-09-09,0.1445
"7",2021-09-10,0.141
"8",2021-09-13,0.1492
"9",2021-09-14,0.1441
"10",2021-09-15,0.1471
"11",2021-09-16,0.1435
"12",2021-09-17,0.1442
"13",2021-09-20,0.1462
"14",2021-09-21,0.1497
"15",2021-09-22,0.1565
"16",2021-09-23,0.1583
"17",2021-09-24,0.147
"18",2021-09-27,0.1514
"19",2021-09-28,0.1412
"20",2021-09-29,0.1448
"21",2021-09-30,0.1354
"22",2021-10-01,0.1406
"23",2021-10-04,0.1471
"24",2021-10-05,0.1543
"25",2021-10-06,0.1502
"26",2021-10-07,0.1551
"27",2021-10-08,0.1464
"28",2021-10-11,0.1515
"29",2021-10-13,0.1481
"30",2021-10-14,0.161
"31",2021-10-15,0.1606
"32",2021-10-18,0.1548
"33",2021-10-19,0.1517
"34",2021-10-20,0.146
"35",2021-10-21,0.1465
"36",2021-10-22,0.157
"37",2021-10-25,0.1475
"38",2021-10-26,0.1501
"39",2021-10-27,0.1454
"40",2021-10-28,0.1562
"41",2021-10-29,0.1611
"42",2021-11-01,0.157
"43",2021-11-03,0.1634
"44",2021-11-04,0.1648
"45",2021-11-05,0.1671
"46",2021-11-08,0.1762
"47",2021-11-09,0.1641
"48",2021-11-10,0.1717
"49",2021-11-11,0.1512
"50",2021-11-12,0.1535
"51",2021-11-16,0.151
"52",2021-11-17,0.1629
"53",2021-11-18,0.1617
"54",2021-11-19,0.1733
"55",2021-11-22,0.1761
"56",2021-11-23,0.1761
"57",2021-11-24,0.1616
"58",2021-11-25,0.1651
"59",2021-11-26,0.1663
"60",2021-11-29,0.1647
"61",2021-11-30,0.168
"62",2021-12-01,0.1786
"63",2021-12-02,0.1841
"64",2021-12-03,0.1838
"65",2021-12-06,0.1829
"66",2021-12-07,0.1881
"67",2021-12-08,0.1843
"68",2021-12-09,0.1864
"69",2021-12-10,0.1814
"70",2021-12-13,0.1839
"71",2021-12-14,0.1769
"72",2021-12-15,0.1889
"73",2021-12-16,0.1848
"74",2021-12-17,0.184
"75",2021-12-20,0.1861
"76",2021-12-21,0.187
"77",2021-12-22,0.1728
"78",2021-12-23,0.177
"79",2021-12-27,0.1746
"80",2021-12-28,0.1843
"81",2021-12-29,0.1793
"82",2021-12-30,0.1724
"83",2022-01-03,0.1717
"84",2022-01-04,0.1617
"85",2022-01-05,0.1549
"86",2022-01-06,0.1566
"87",2022-01-07,0.1525
"88",2022-01-10,0.1624
"89",2022-01-11,0.1597
"90",2022-01-12,0.167
"91",2022-01-13,0.158
"92",2022-01-14,0.1556
"93",2022-01-17,0.1483
"94",2022-01-18,0.1575
"95",2022-01-19,0.1598
"96",2022-01-20,0.169
"97",2022-01-21,0.1571
