"","date","INTU"
"1",2020-11-10,0.1794
"2",2020-11-11,0.1914
"3",2020-11-12,0.1883
"4",2020-11-13,0.1919
"5",2020-11-16,0.183
"6",2020-11-17,0.187
"7",2020-11-18,0.1738
"8",2020-11-19,0.1787
"9",2020-11-20,0.1615
"10",2020-11-23,0.175
"11",2020-11-24,0.1828
"12",2020-11-25,0.1908
"13",2020-11-27,0.1689
"14",2020-11-30,0.1813
"15",2020-12-01,0.1761
"16",2020-12-02,0.1867
"17",2020-12-03,0.1887
"18",2020-12-04,0.2013
"19",2020-12-07,0.184
"20",2020-12-08,0.1854
"21",2020-12-09,0.193
"22",2020-12-10,0.2054
"23",2020-12-11,0.1995
"24",2020-12-14,0.2039
"25",2020-12-15,0.1819
"26",2020-12-16,0.1873
"27",2020-12-17,0.1768
"28",2020-12-18,0.1689
"29",2020-12-21,0.1776
"30",2020-12-22,0.1874
"31",2020-12-23,0.1818
"32",2020-12-24,0.2048
"33",2020-12-28,0.2042
"34",2020-12-29,0.2156
"35",2020-12-30,0.207
"36",2020-12-31,0.2102
"37",2021-01-04,0.2037
"38",2021-01-05,0.2054
"39",2021-01-06,0.1983
"40",2021-01-07,0.2049
"41",2021-01-08,0.2056
"42",2021-01-11,0.2189
"43",2021-01-12,0.2078
"44",2021-01-13,0.2261
"45",2021-01-14,0.2314
"46",2021-01-15,0.2411
"47",2021-01-19,0.2271
"48",2021-01-20,0.2269
"49",2021-01-21,0.2011
"50",2021-01-22,0.2148
"51",2021-01-25,0.2233
"52",2021-01-26,0.2336
"53",2021-01-27,0.2247
"54",2021-01-28,0.2384
"55",2021-01-29,0.2282
"56",2021-02-01,0.2419
"57",2021-02-02,0.2419
"58",2021-02-03,0.2485
"59",2021-02-04,0.2413
"60",2021-02-05,0.2504
"61",2021-02-08,0.246
"62",2021-02-09,0.2514
"63",2021-02-10,0.2458
"64",2021-02-11,0.2401
"65",2021-02-12,0.2413
"66",2021-02-16,0.2547
"67",2021-02-17,0.2403
"68",2021-02-18,0.2516
"69",2021-02-19,0.2332
"70",2021-02-22,0.2417
"71",2021-02-23,0.2455
"72",2021-02-24,0.2444
"73",2021-02-25,0.2311
"74",2021-02-26,0.2354
"75",2021-03-01,0.215
"76",2021-03-02,0.2222
