"","date","FANG"
"1",2022-04-18,0.1735
"2",2022-04-19,0.1601
"3",2022-04-20,0.1588
"4",2022-04-21,0.1539
"5",2022-04-22,0.1618
"6",2022-04-25,0.1606
"7",2022-04-26,0.1488
"8",2022-04-27,0.1305
"9",2022-04-28,0.1462
"10",2022-04-29,0.1611
"11",2022-05-02,0.1709
"12",2022-05-03,0.1776
"13",2022-05-04,0.1769
"14",2022-05-05,0.175
"15",2022-05-06,0.1716
"16",2022-05-09,0.1734
"17",2022-05-10,0.1775
"18",2022-05-11,0.1737
"19",2022-05-12,0.172
"20",2022-05-13,0.161
"21",2022-05-16,0.1703
"22",2022-05-17,0.1725
"23",2022-05-18,0.1696
"24",2022-05-19,0.1747
"25",2022-05-20,0.1734
"26",2022-05-23,0.1664
"27",2022-05-24,0.1652
"28",2022-05-25,0.1593
"29",2022-05-26,0.1702
"30",2022-05-27,0.1683
"31",2022-05-31,0.1686
"32",2022-06-01,0.1738
"33",2022-06-02,0.1821
"34",2022-06-03,0.184
"35",2022-06-06,0.1809
"36",2022-06-07,0.1784
"37",2022-06-08,0.1757
"38",2022-06-09,0.1682
"39",2022-06-10,0.1836
"40",2022-06-13,0.1884
"41",2022-06-14,0.1851
"42",2022-06-15,0.1823
"43",2022-06-16,0.1816
"44",2022-06-17,0.1685
"45",2022-06-21,0.1789
"46",2022-06-22,0.18
"47",2022-06-23,0.1797
"48",2022-06-24,0.1743
"49",2022-06-27,0.1817
"50",2022-06-28,0.1839
"51",2022-06-29,0.1825
"52",2022-06-30,0.172
"53",2022-07-01,0.1599
"54",2022-07-05,0.1584
"55",2022-07-06,0.1645
"56",2022-07-07,0.1736
"57",2022-07-08,0.1807
"58",2022-07-11,0.1794
"59",2022-07-12,0.1893
"60",2022-07-13,0.1917
"61",2022-07-14,0.1917
"62",2022-07-15,0.1861
"63",2022-07-18,0.1869
"64",2022-07-19,0.1833
"65",2022-07-20,0.1902
"66",2022-07-21,0.191
"67",2022-07-22,0.1793
"68",2022-07-25,0.1668
"69",2022-07-26,0.184
"70",2022-07-27,0.186
"71",2022-07-28,0.1829
"72",2022-07-29,0.1731
"73",2022-08-01,0.1694
"74",2022-08-02,0.1692
"75",2022-08-03,0.1717
"76",2022-08-04,0.1826
"77",2022-08-05,0.1846
"78",2022-08-08,0.182
"79",2022-08-09,0.1854
"80",2022-08-10,0.1795
"81",2022-08-11,0.1921
"82",2022-08-12,0.1939
"83",2022-08-15,0.1908
"84",2022-08-16,0.1897
"85",2022-08-17,0.1883
"86",2022-08-18,0.1785
"87",2022-08-19,0.1864
"88",2022-08-22,0.1804
"89",2022-08-23,0.1867
"90",2022-08-24,0.1902
"91",2022-08-25,0.1855
"92",2022-08-26,0.1788
"93",2022-08-29,0.1815
"94",2022-08-30,0.1882
"95",2022-08-31,0.1931
"96",2022-09-01,0.1924
"97",2022-09-02,0.1834
"98",2022-09-06,0.1745
"99",2022-09-07,0.1826
"100",2022-09-08,0.1829
"101",2022-09-09,0.1974
"102",2022-09-12,0.2021
"103",2022-09-13,0.2047
"104",2022-09-14,0.205
"105",2022-09-15,0.2072
"106",2022-09-16,0.1972
"107",2022-09-19,0.1916
"108",2022-09-20,0.1851
"109",2022-09-21,0.2018
"110",2022-09-22,0.2039
"111",2022-09-23,0.2033
"112",2022-09-26,0.2045
"113",2022-09-27,0.1957
"114",2022-09-28,0.1925
"115",2022-09-29,0.1871
"116",2022-09-30,0.1741
"117",2022-10-03,0.1818
"118",2022-10-04,0.1797
"119",2022-10-05,0.1857
"120",2022-10-06,0.2019
"121",2022-10-07,0.2052
"122",2022-10-10,0.2036
"123",2022-10-11,0.2026
"124",2022-10-12,0.2071
"125",2022-10-13,0.2106
"126",2022-10-14,0.2089
"127",2022-10-17,0.1986
"128",2022-10-18,0.1822
"129",2022-10-19,0.2011
"130",2022-10-20,0.2028
"131",2022-10-21,0.2163
"132",2022-10-24,0.2032
"133",2022-10-25,0.2005
"134",2022-10-26,0.1938
"135",2022-10-27,0.1983
"136",2022-10-28,0.1984
"137",2022-10-31,0.1962
"138",2022-11-01,0.1916
"139",2022-11-02,0.1922
"140",2022-11-03,0.1863
"141",2022-11-04,0.1893
"142",2022-11-07,0.1952
"143",2022-11-08,0.1989
"144",2022-11-09,0.2063
"145",2022-11-10,0.2079
"146",2022-11-11,0.2113
"147",2022-11-14,0.2058
"148",2022-11-15,0.1933
"149",2022-11-16,0.2002
"150",2022-11-17,0.2034
"151",2022-11-18,0.1981
"152",2022-11-21,0.1867
"153",2022-11-22,0.2026
"154",2022-11-23,0.2062
"155",2022-11-25,0.2056
"156",2022-11-28,0.1982
"157",2022-11-29,0.1869
"158",2022-11-30,0.173
"159",2022-12-01,0.1899
"160",2022-12-02,0.1994
"161",2022-12-05,0.2054
"162",2022-12-06,0.2037
"163",2022-12-07,0.1936
"164",2022-12-08,0.1958
"165",2022-12-09,0.2118
"166",2022-12-12,0.2154
"167",2022-12-13,0.2071
"168",2022-12-14,0.1989
"169",2022-12-15,0.204
"170",2022-12-16,0.1952
"171",2022-12-19,0.2008
"172",2022-12-20,0.2032
"173",2022-12-21,0.1955
"174",2022-12-22,0.1902
"175",2022-12-23,0.1975
"176",2022-12-27,0.1986
"177",2022-12-28,0.2046
"178",2022-12-29,0.2011
"179",2022-12-30,0.2024
"180",2023-01-03,0.2002
"181",2023-01-04,0.2092
"182",2023-01-05,0.2154
"183",2023-01-06,0.2131
"184",2023-01-09,0.2023
"185",2023-01-10,0.2114
"186",2023-01-11,0.214
"187",2023-01-12,0.2023
"188",2023-01-13,0.1864
"189",2023-01-17,0.2
"190",2023-01-18,0.1972
"191",2023-01-19,0.1929
"192",2023-01-20,0.1952
"193",2023-01-23,0.192
"194",2023-01-24,0.1897
"195",2023-01-25,0.184
"196",2023-01-26,0.172
"197",2023-01-27,0.1692
"198",2023-01-30,0.1659
"199",2023-01-31,0.1777
"200",2023-02-01,0.1805
"201",2023-02-02,0.1877
"202",2023-02-03,0.1882
"203",2023-02-06,0.1846
"204",2023-02-07,0.1864
"205",2023-02-08,0.1836
"206",2023-02-09,0.1727
"207",2023-02-10,0.1696
"208",2023-02-13,0.17
"209",2023-02-14,0.1822
"210",2023-02-15,0.1804
"211",2023-02-16,0.1748
"212",2023-02-17,0.1588
"213",2023-02-21,0.1662
"214",2023-02-22,0.1684
"215",2023-02-23,0.1728
"216",2023-02-24,0.1722
"217",2023-02-27,0.1629
"218",2023-02-28,0.1511
"219",2023-03-01,0.1673
"220",2023-03-02,0.1761
"221",2023-03-03,0.1808
"222",2023-03-06,0.1787
"223",2023-03-07,0.1682
"224",2023-03-08,0.1626
"225",2023-03-09,0.1651
"226",2023-03-10,0.1663
"227",2023-03-13,0.1646
"228",2023-03-14,0.1527
"229",2023-03-15,0.1589
"230",2023-03-16,0.1658
"231",2023-03-17,0.1676
"232",2023-03-20,0.1647
"233",2023-03-21,0.1577
"234",2023-03-22,0.1568
"235",2023-03-23,0.1531
"236",2023-03-24,0.1489
"237",2023-03-27,0.1615
"238",2023-03-28,0.1638
"239",2023-03-29,0.1703
"240",2023-03-30,0.1655
"241",2023-03-31,0.1708
"242",2023-04-03,0.1626
"243",2023-04-04,0.1634
"244",2023-04-05,0.1604
"245",2023-04-06,0.1648
"246",2023-04-10,0.1616
"247",2023-04-11,0.1516
"248",2023-04-12,0.1377
"249",2023-04-13,0.146
"250",2023-04-14,0.1511
"251",2023-04-17,0.1489
"252",2023-04-18,0.156
"253",2023-04-19,0.1538
"254",2023-04-20,0.1515
"255",2023-04-21,0.1592
"256",2023-04-24,0.1631
"257",2023-04-25,0.1636
"258",2023-04-26,0.1565
"259",2023-04-27,0.1535
"260",2023-04-28,0.1446
"261",2023-05-01,0.1501
"262",2023-05-02,0.1435
"263",2023-05-03,0.1519
"264",2023-05-04,0.1582
"265",2023-05-05,0.1603
"266",2023-05-08,0.1585
"267",2023-05-09,0.1507
"268",2023-05-10,0.1388
"269",2023-05-11,0.145
"270",2023-05-12,0.1472
"271",2023-05-15,0.1511
"272",2023-05-16,0.1502
"273",2023-05-17,0.152
"274",2023-05-18,0.1602
"275",2023-05-19,0.1575
"276",2023-05-22,0.1576
"277",2023-05-23,0.1571
"278",2023-05-24,0.1461
"279",2023-05-25,0.1587
"280",2023-05-26,0.1623
"281",2023-05-30,0.163
"282",2023-05-31,0.1566
"283",2023-06-01,0.151
"284",2023-06-02,0.1432
"285",2023-06-05,0.1581
"286",2023-06-06,0.1609
"287",2023-06-07,0.1584
"288",2023-06-08,0.1545
"289",2023-06-09,0.1676
"290",2023-06-12,0.1742
"291",2023-06-13,0.1761
"292",2023-06-14,0.1727
"293",2023-06-15,0.1708
"294",2023-06-16,0.1721
"295",2023-06-20,0.1643
"296",2023-06-21,0.1646
"297",2023-06-22,0.1843
"298",2023-06-23,0.1802
"299",2023-06-26,0.1872
"300",2023-06-27,0.182
"301",2023-06-28,0.1769
"302",2023-06-29,0.1781
