"","date","OXY"
"1",2022-04-18,0.3008
"2",2022-04-19,0.2831
"3",2022-04-20,0.2945
"4",2022-04-21,0.2842
"5",2022-04-22,0.2928
"6",2022-04-25,0.295
"7",2022-04-26,0.2898
"8",2022-04-27,0.2659
"9",2022-04-28,0.285
"10",2022-04-29,0.3031
"11",2022-05-02,0.322
"12",2022-05-03,0.3266
"13",2022-05-04,0.327
"14",2022-05-05,0.3228
"15",2022-05-06,0.3112
"16",2022-05-09,0.3097
"17",2022-05-10,0.3189
"18",2022-05-11,0.315
"19",2022-05-12,0.3122
"20",2022-05-13,0.2959
"21",2022-05-16,0.3184
"22",2022-05-17,0.328
"23",2022-05-18,0.3319
"24",2022-05-19,0.3415
"25",2022-05-20,0.3451
"26",2022-05-23,0.3394
"27",2022-05-24,0.3364
"28",2022-05-25,0.3247
"29",2022-05-26,0.338
"30",2022-05-27,0.3341
"31",2022-05-31,0.3393
"32",2022-06-01,0.3472
"33",2022-06-02,0.3495
"34",2022-06-03,0.3477
"35",2022-06-06,0.3434
"36",2022-06-07,0.3437
"37",2022-06-08,0.3458
"38",2022-06-09,0.3328
"39",2022-06-10,0.3552
"40",2022-06-13,0.3552
"41",2022-06-14,0.3434
"42",2022-06-15,0.3333
"43",2022-06-16,0.333
"44",2022-06-17,0.3185
"45",2022-06-21,0.3477
"46",2022-06-22,0.3545
"47",2022-06-23,0.3583
"48",2022-06-24,0.34
"49",2022-06-27,0.3437
"50",2022-06-28,0.3375
"51",2022-06-29,0.3351
"52",2022-06-30,0.3156
"53",2022-07-01,0.2933
"54",2022-07-05,0.2932
"55",2022-07-06,0.3018
"56",2022-07-07,0.3061
"57",2022-07-08,0.3097
"58",2022-07-11,0.3097
"59",2022-07-12,0.3202
"60",2022-07-13,0.3082
"61",2022-07-14,0.3012
"62",2022-07-15,0.2867
"63",2022-07-18,0.2762
"64",2022-07-19,0.2559
"65",2022-07-20,0.2518
"66",2022-07-21,0.2441
"67",2022-07-22,0.2244
"68",2022-07-25,0.2025
"69",2022-07-26,0.2283
"70",2022-07-27,0.2219
"71",2022-07-28,0.2198
"72",2022-07-29,0.199
"73",2022-08-01,0.1998
"74",2022-08-02,0.2035
"75",2022-08-03,0.2042
"76",2022-08-04,0.2152
"77",2022-08-05,0.2137
"78",2022-08-08,0.2044
"79",2022-08-09,0.1997
"80",2022-08-10,0.188
"81",2022-08-11,0.2036
"82",2022-08-12,0.2046
"83",2022-08-15,0.1997
"84",2022-08-16,0.1985
"85",2022-08-17,0.1956
"86",2022-08-18,0.1824
"87",2022-08-19,0.1976
"88",2022-08-22,0.1927
"89",2022-08-23,0.2027
"90",2022-08-24,0.2085
"91",2022-08-25,0.2026
"92",2022-08-26,0.193
"93",2022-08-29,0.2013
"94",2022-08-30,0.2104
"95",2022-08-31,0.2149
"96",2022-09-01,0.2091
"97",2022-09-02,0.1933
"98",2022-09-06,0.1827
"99",2022-09-07,0.1932
"100",2022-09-08,0.1922
"101",2022-09-09,0.211
"102",2022-09-12,0.2189
"103",2022-09-13,0.2212
"104",2022-09-14,0.2168
"105",2022-09-15,0.2164
"106",2022-09-16,0.2016
"107",2022-09-19,0.1993
"108",2022-09-20,0.1917
"109",2022-09-21,0.2166
"110",2022-09-22,0.2177
"111",2022-09-23,0.2185
"112",2022-09-26,0.2194
"113",2022-09-27,0.212
"114",2022-09-28,0.2097
"115",2022-09-29,0.2034
"116",2022-09-30,0.1892
"117",2022-10-03,0.2025
"118",2022-10-04,0.1987
"119",2022-10-05,0.2035
"120",2022-10-06,0.2211
"121",2022-10-07,0.2249
"122",2022-10-10,0.2226
"123",2022-10-11,0.2225
"124",2022-10-12,0.2288
"125",2022-10-13,0.23
"126",2022-10-14,0.226
"127",2022-10-17,0.2091
"128",2022-10-18,0.1828
"129",2022-10-19,0.2094
"130",2022-10-20,0.2057
"131",2022-10-21,0.2186
"132",2022-10-24,0.2105
"133",2022-10-25,0.2196
"134",2022-10-26,0.2168
"135",2022-10-27,0.2268
"136",2022-10-28,0.2293
"137",2022-10-31,0.2294
"138",2022-11-01,0.2221
"139",2022-11-02,0.2181
"140",2022-11-03,0.2029
"141",2022-11-04,0.2049
"142",2022-11-07,0.2078
"143",2022-11-08,0.2141
"144",2022-11-09,0.2231
"145",2022-11-10,0.2235
"146",2022-11-11,0.2298
"147",2022-11-14,0.2246
"148",2022-11-15,0.2085
"149",2022-11-16,0.2197
"150",2022-11-17,0.226
"151",2022-11-18,0.2217
"152",2022-11-21,0.2078
"153",2022-11-22,0.2326
"154",2022-11-23,0.237
"155",2022-11-25,0.2335
"156",2022-11-28,0.2206
"157",2022-11-29,0.2099
"158",2022-11-30,0.1979
"159",2022-12-01,0.2214
"160",2022-12-02,0.2293
"161",2022-12-05,0.2344
"162",2022-12-06,0.2302
"163",2022-12-07,0.2176
"164",2022-12-08,0.2194
"165",2022-12-09,0.2379
"166",2022-12-12,0.2406
"167",2022-12-13,0.2369
"168",2022-12-14,0.2229
"169",2022-12-15,0.2235
"170",2022-12-16,0.2095
"171",2022-12-19,0.2215
"172",2022-12-20,0.2267
"173",2022-12-21,0.221
"174",2022-12-22,0.2171
"175",2022-12-23,0.2282
"176",2022-12-27,0.2255
"177",2022-12-28,0.2326
"178",2022-12-29,0.2286
"179",2022-12-30,0.2327
"180",2023-01-03,0.23
"181",2023-01-04,0.2374
"182",2023-01-05,0.2352
"183",2023-01-06,0.2344
"184",2023-01-09,0.2237
"185",2023-01-10,0.2288
"186",2023-01-11,0.2338
"187",2023-01-12,0.2207
"188",2023-01-13,0.202
"189",2023-01-17,0.2289
"190",2023-01-18,0.2311
"191",2023-01-19,0.2319
"192",2023-01-20,0.2388
"193",2023-01-23,0.2408
"194",2023-01-24,0.2376
"195",2023-01-25,0.227
"196",2023-01-26,0.207
"197",2023-01-27,0.2089
"198",2023-01-30,0.2081
"199",2023-01-31,0.224
"200",2023-02-01,0.2255
"201",2023-02-02,0.2373
"202",2023-02-03,0.2361
"203",2023-02-06,0.2316
"204",2023-02-07,0.2357
"205",2023-02-08,0.2307
"206",2023-02-09,0.2182
"207",2023-02-10,0.212
"208",2023-02-13,0.2112
"209",2023-02-14,0.2253
"210",2023-02-15,0.2182
"211",2023-02-16,0.2112
"212",2023-02-17,0.1927
"213",2023-02-21,0.2165
"214",2023-02-22,0.2219
"215",2023-02-23,0.2263
"216",2023-02-24,0.2244
"217",2023-02-27,0.2107
"218",2023-02-28,0.189
"219",2023-03-01,0.2118
"220",2023-03-02,0.2181
"221",2023-03-03,0.2239
"222",2023-03-06,0.2173
"223",2023-03-07,0.2022
"224",2023-03-08,0.1938
"225",2023-03-09,0.1995
"226",2023-03-10,0.2022
"227",2023-03-13,0.2032
"228",2023-03-14,0.1886
"229",2023-03-15,0.1971
"230",2023-03-16,0.2062
"231",2023-03-17,0.209
"232",2023-03-20,0.2026
"233",2023-03-21,0.194
"234",2023-03-22,0.1976
"235",2023-03-23,0.1911
"236",2023-03-24,0.1798
"237",2023-03-27,0.1946
"238",2023-03-28,0.1897
"239",2023-03-29,0.194
"240",2023-03-30,0.1822
"241",2023-03-31,0.1924
"242",2023-04-03,0.1852
"243",2023-04-04,0.1911
"244",2023-04-05,0.1892
"245",2023-04-06,0.1951
"246",2023-04-10,0.1877
"247",2023-04-11,0.1742
"248",2023-04-12,0.1531
"249",2023-04-13,0.1668
"250",2023-04-14,0.1726
"251",2023-04-17,0.1683
"252",2023-04-18,0.1758
"253",2023-04-19,0.18
"254",2023-04-20,0.1793
"255",2023-04-21,0.1909
"256",2023-04-24,0.1913
"257",2023-04-25,0.1832
"258",2023-04-26,0.1738
"259",2023-04-27,0.1649
"260",2023-04-28,0.1502
"261",2023-05-01,0.1564
"262",2023-05-02,0.1472
"263",2023-05-03,0.1648
"264",2023-05-04,0.176
"265",2023-05-05,0.1795
"266",2023-05-08,0.177
"267",2023-05-09,0.1688
"268",2023-05-10,0.1546
"269",2023-05-11,0.1656
"270",2023-05-12,0.1683
"271",2023-05-15,0.1682
"272",2023-05-16,0.1623
"273",2023-05-17,0.1644
"274",2023-05-18,0.172
"275",2023-05-19,0.1638
"276",2023-05-22,0.1654
"277",2023-05-23,0.1679
"278",2023-05-24,0.1581
"279",2023-05-25,0.1762
"280",2023-05-26,0.1798
"281",2023-05-30,0.1808
"282",2023-05-31,0.1714
"283",2023-06-01,0.168
"284",2023-06-02,0.157
"285",2023-06-05,0.1782
"286",2023-06-06,0.18
"287",2023-06-07,0.1747
"288",2023-06-08,0.1664
"289",2023-06-09,0.1858
"290",2023-06-12,0.1929
"291",2023-06-13,0.2003
"292",2023-06-14,0.2034
"293",2023-06-15,0.2045
"294",2023-06-16,0.1984
"295",2023-06-20,0.1812
"296",2023-06-21,0.1821
"297",2023-06-22,0.2058
"298",2023-06-23,0.2101
"299",2023-06-26,0.225
"300",2023-06-27,0.2157
"301",2023-06-28,0.2148
"302",2023-06-29,0.2167
