"","date","TOTS3"
"1",2020-03-19,0.1615
"2",2020-03-20,0.1759
"3",2020-03-23,0.164
"4",2020-03-24,0.1734
"5",2020-03-25,0.2297
"6",2020-03-26,0.2525
"7",2020-03-27,0.2597
"8",2020-03-30,0.3079
"9",2020-03-31,0.3034
"10",2020-04-01,0.3096
"11",2020-04-02,0.2601
"12",2020-04-03,0.2564
"13",2020-04-06,0.28
"14",2020-04-07,0.304
"15",2020-04-08,0.3299
"16",2020-04-09,0.3068
"17",2020-04-13,0.2739
"18",2020-04-14,0.2878
"19",2020-04-15,0.246
"20",2020-04-16,0.2806
"21",2020-04-17,0.2701
"22",2020-04-20,0.2525
"23",2020-04-22,0.253
"24",2020-04-23,0.28
"25",2020-04-24,0.3068
"26",2020-04-27,0.2963
"27",2020-04-28,0.2593
"28",2020-04-29,0.2638
"29",2020-04-30,0.2174
"30",2020-05-04,0.2243
"31",2020-05-05,0.1958
"32",2020-05-06,0.1745
"33",2020-05-07,0.1265
"34",2020-05-08,0.1309
"35",2020-05-11,0.1572
"36",2020-05-12,0.1654
"37",2020-05-13,0.1571
"38",2020-05-14,0.1569
"39",2020-05-15,0.123
"40",2020-05-18,0.133
"41",2020-05-19,0.1124
"42",2020-05-20,0.0884
"43",2020-05-21,0.0661
"44",2020-05-22,0.0648
"45",2020-05-25,0.0741
"46",2020-05-26,0.0894
"47",2020-05-27,0.0645
"48",2020-05-28,0.0697
"49",2020-05-29,0.0911
"50",2020-06-01,0.0856
"51",2020-06-02,0.1045
"52",2020-06-03,0.1029
"53",2020-06-04,0.1098
"54",2020-06-05,0.1084
"55",2020-06-08,0.1219
"56",2020-06-09,0.121
"57",2020-06-10,0.1282
"58",2020-06-12,0.1363
"59",2020-06-15,0.156
"60",2020-06-16,0.1551
"61",2020-06-17,0.1531
"62",2020-06-18,0.1441
"63",2020-06-19,0.1466
"64",2020-06-22,0.1485
"65",2020-06-23,0.147
"66",2020-06-24,0.1581
"67",2020-06-25,0.1588
"68",2020-06-26,0.1444
"69",2020-06-29,0.1654
"70",2020-06-30,0.1394
"71",2020-07-01,0.1509
"72",2020-07-02,0.159
"73",2020-07-03,0.1708
"74",2020-07-06,0.1785
"75",2020-07-07,0.17
"76",2020-07-08,0.1666
"77",2020-07-09,0.1518
"78",2020-07-10,0.1363
"79",2020-07-13,0.1342
"80",2020-07-14,0.1097
"81",2020-07-15,0.1091
"82",2020-07-16,0.1034
"83",2020-07-17,0.118
"84",2020-07-20,0.1134
"85",2020-07-21,0.0977
"86",2020-07-22,0.0923
"87",2020-07-23,0.0983
"88",2020-07-24,0.0871
"89",2020-07-27,0.0888
"90",2020-07-28,0.0703
"91",2020-07-29,0.0747
"92",2020-07-30,0.0681
"93",2020-07-31,0.0645999999999999
"94",2020-08-03,0.0593
"95",2020-08-04,0.0782
"96",2020-08-05,0.0786999999999999
"97",2020-08-06,0.0741000000000001
"98",2020-08-07,0.0674
"99",2020-08-10,0.0769
"100",2020-08-11,0.0592
"101",2020-08-12,0.0595
"102",2020-08-13,0.0598
"103",2020-08-14,0.0629
"104",2020-08-17,0.0601
"105",2020-08-18,0.0723
"106",2020-08-19,0.0604
"107",2020-08-20,0.0763
"108",2020-08-21,0.0707
"109",2020-08-24,0.0748
"110",2020-08-25,0.0638
"111",2020-08-26,0.0675999999999999
"112",2020-08-27,0.0629000000000001
"113",2020-08-28,0.0608
"114",2020-08-31,0.0644
"115",2020-09-01,0.0609
"116",2020-09-02,0.0609999999999999
"117",2020-09-03,0.0726
"118",2020-09-04,0.0797
"119",2020-09-08,0.0814
"120",2020-09-09,0.0819
"121",2020-09-10,0.0954
"122",2020-09-11,0.0791000000000001
"123",2020-09-14,0.075
"124",2020-09-15,0.0708
"125",2020-09-16,0.0594
"126",2020-09-17,0.0657
"127",2020-09-18,0.0772
"128",2020-09-21,0.0712
"129",2020-09-22,0.0847
"130",2020-09-23,0.0805
"131",2020-09-24,0.0801999999999999
"132",2020-09-25,0.0972
"133",2020-09-28,0.0996
"134",2020-09-29,0.0903
"135",2020-09-30,0.0821000000000001
"136",2020-10-01,0.084
"137",2020-10-02,0.1031
"138",2020-10-05,0.1056
"139",2020-10-06,0.1231
"140",2020-10-07,0.116
"141",2020-10-08,0.131
"142",2020-10-09,0.1332
"143",2020-10-13,0.1385
"144",2020-10-14,0.1279
"145",2020-10-15,0.1237
"146",2020-10-16,0.1263
"147",2020-10-19,0.1482
"148",2020-10-20,0.1514
"149",2020-10-21,0.1707
"150",2020-10-22,0.1562
"151",2020-10-23,0.1594
"152",2020-10-26,0.1698
"153",2020-10-27,0.1709
"154",2020-10-28,0.1731
"155",2020-10-29,0.1492
"156",2020-10-30,0.1388
"157",2020-11-03,0.1429
"158",2020-11-04,0.1415
"159",2020-11-05,0.1576
"160",2020-11-06,0.1451
"161",2020-11-09,0.1502
"162",2020-11-10,0.1581
"163",2020-11-11,0.1744
"164",2020-11-12,0.1751
"165",2020-11-13,0.1782
"166",2020-11-16,0.1599
"167",2020-11-17,0.1588
"168",2020-11-18,0.1507
"169",2020-11-19,0.1537
"170",2020-11-23,0.1348
"171",2020-11-24,0.1442
"172",2020-11-25,0.135
"173",2020-11-26,0.1186
"174",2020-11-27,0.1101
"175",2020-11-30,0.1029
"176",2020-12-01,0.0945
"177",2020-12-02,0.0983000000000001
"178",2020-12-03,0.0802
"179",2020-12-04,0.0865
"180",2020-12-07,0.0839
"181",2020-12-08,0.1
"182",2020-12-09,0.0982000000000001
"183",2020-12-10,0.0918
"184",2020-12-11,0.0886
"185",2020-12-14,0.0636
"186",2020-12-15,0.0698
"187",2020-12-16,0.0907999999999999
"188",2020-12-17,0.0767
"189",2020-12-18,0.1014
"190",2020-12-21,0.129
"191",2020-12-22,0.1168
"192",2020-12-23,0.0959
"193",2020-12-28,0.0866000000000001
"194",2020-12-29,0.087
"195",2020-12-30,0.0811
"196",2021-01-04,0.0766000000000001
"197",2021-01-05,0.0928
"198",2021-01-06,0.0998
"199",2021-01-07,0.109
"200",2021-01-08,0.0919
"201",2021-01-11,0.1003
"202",2021-01-12,0.1041
"203",2021-01-13,0.1063
"204",2021-01-14,0.1134
"205",2021-01-15,0.1166
"206",2021-01-18,0.1106
"207",2021-01-19,0.1358
"208",2021-01-20,0.1089
"209",2021-01-21,0.0948
"210",2021-01-22,0.1074
"211",2021-01-26,0.1158
"212",2021-01-27,0.117
"213",2021-01-28,0.1234
"214",2021-01-29,0.1295
"215",2021-02-01,0.1311
"216",2021-02-02,0.1363
"217",2021-02-03,0.1691
"218",2021-02-04,0.1653
"219",2021-02-05,0.1877
"220",2021-02-08,0.1742
"221",2021-02-09,0.1529
"222",2021-02-10,0.1351
"223",2021-02-11,0.1363
"224",2021-02-12,0.1407
"225",2021-02-17,0.1393
"226",2021-02-18,0.1514
"227",2021-02-19,0.1552
"228",2021-02-22,0.1517
"229",2021-02-23,0.1827
"230",2021-02-24,0.156
"231",2021-02-25,0.1784
"232",2021-02-26,0.1706
"233",2021-03-01,0.1552
"234",2021-03-02,0.15
"235",2021-03-03,0.1376
"236",2021-03-04,0.1558
"237",2021-03-05,0.1838
"238",2021-03-08,0.1736
"239",2021-03-09,0.1747
"240",2021-03-10,0.1789
"241",2021-03-11,0.2081
"242",2021-03-12,0.2229
"243",2021-03-15,0.2103
"244",2021-03-16,0.1944
"245",2021-03-17,0.1663
"246",2021-03-18,0.1698
"247",2021-03-19,0.1942
"248",2021-03-22,0.1729
"249",2021-03-23,0.214
"250",2021-03-24,0.2252
"251",2021-03-25,0.223
"252",2021-03-26,0.2396
"253",2021-03-29,0.2506
"254",2021-03-30,0.2311
"255",2021-03-31,0.2042
"256",2021-04-01,0.1875
"257",2021-04-05,0.1936
"258",2021-04-06,0.1875
"259",2021-04-07,0.206
"260",2021-04-08,0.1701
"261",2021-04-09,0.1475
"262",2021-04-12,0.1518
"263",2021-04-13,0.1126
"264",2021-04-14,0.1099
"265",2021-04-15,0.0981
"266",2021-04-16,0.0745
"267",2021-04-19,0.0651
"268",2021-04-20,0.0614
"269",2021-04-22,0.0591
"270",2021-04-23,0.0662
"271",2021-04-26,0.0679
"272",2021-04-27,0.0694
"273",2021-04-28,0.0842000000000001
"274",2021-04-29,0.1281
"275",2021-04-30,0.1346
"276",2021-05-03,0.1324
"277",2021-05-04,0.0881
"278",2021-05-05,0.1185
"279",2021-05-06,0.0993
"280",2021-05-07,0.1051
"281",2021-05-10,0.0992999999999999
"282",2021-05-11,0.0851
"283",2021-05-12,0.0946
"284",2021-05-13,0.069
"285",2021-05-14,0.0846000000000001
"286",2021-05-17,0.0753
"287",2021-05-18,0.098
"288",2021-05-19,0.083
"289",2021-05-20,0.0508000000000001
"290",2021-05-21,0.0583
"291",2021-05-24,0.0468
"292",2021-05-25,0.0402
"293",2021-05-26,0.0534
"294",2021-05-27,0.0557000000000001
"295",2021-05-28,0.0510999999999999
"296",2021-05-31,0.0541
"297",2021-06-01,0.0467
"298",2021-06-02,0.0487
"299",2021-06-04,0.0505
"300",2021-06-07,0.0702
"301",2021-06-08,0.0499999999999999
"302",2021-06-09,0.0506
"303",2021-06-10,0.0579999999999999
"304",2021-06-11,0.0568
"305",2021-06-14,0.0397000000000001
"306",2021-06-15,0.0514
"307",2021-06-16,0.0606
"308",2021-06-17,0.0684
"309",2021-06-18,0.0575
"310",2021-06-21,0.0439000000000001
"311",2021-06-22,0.0610000000000001
"312",2021-06-23,0.0621
"313",2021-06-24,0.0710999999999999
"314",2021-06-25,0.0577
"315",2021-06-28,0.0545
"316",2021-06-29,0.0563
"317",2021-06-30,0.0719
"318",2021-07-01,0.0777
"319",2021-07-02,0.0771999999999999
"320",2021-07-05,0.0676
"321",2021-07-06,0.0678
"322",2021-07-07,0.0651
"323",2021-07-08,0.0793
"324",2021-07-12,0.0784
"325",2021-07-13,0.084
"326",2021-07-14,0.0834999999999999
"327",2021-07-15,0.1014
"328",2021-07-16,0.1082
"329",2021-07-19,0.1059
"330",2021-07-20,0.0953000000000001
"331",2021-07-21,0.0962000000000001
"332",2021-07-22,0.0955999999999999
"333",2021-07-23,0.0927
"334",2021-07-26,0.1027
"335",2021-07-27,0.1015
"336",2021-07-28,0.1207
"337",2021-07-29,0.1527
"338",2021-07-30,0.1482
"339",2021-08-02,0.147
"340",2021-08-03,0.1389
"341",2021-08-04,0.1126
"342",2021-08-05,0.0866
"343",2021-08-06,0.0538999999999999
"344",2021-08-09,0.0807
"345",2021-08-10,0.1416
"346",2021-08-11,0.1724
"347",2021-08-12,0.1715
"348",2021-08-13,0.215
"349",2021-08-16,0.2451
"350",2021-08-17,0.2923
"351",2021-08-18,0.3476
"352",2021-08-19,0.4046
"353",2021-08-20,0.4392
"354",2021-08-23,0.4695
"355",2021-08-24,0.4972
"356",2021-08-25,0.4823
"357",2021-08-26,0.4038
"358",2021-08-27,0.3875
"359",2021-08-30,0.3567
"360",2021-08-31,0.3645
"361",2021-09-01,0.351
"362",2021-09-02,0.3661
"363",2021-09-03,0.3923
"364",2021-09-06,0.4175
"365",2021-09-08,0.3879
"366",2021-09-09,0.2878
"367",2021-09-10,0.2729
"368",2021-09-13,0.2769
"369",2021-09-14,0.2897
"370",2021-09-15,0.2954
"371",2021-09-16,0.3256
"372",2021-09-17,0.2698
"373",2021-09-20,0.2213
"374",2021-09-21,0.2166
"375",2021-09-22,0.2231
"376",2021-09-23,0.207
"377",2021-09-24,0.2109
"378",2021-09-27,0.2463
