"","date","NEM"
"1",2019-06-10,0.1241
"2",2019-06-11,0.1275
"3",2019-06-12,0.1347
"4",2019-06-13,0.1412
"5",2019-06-14,0.1157
"6",2019-06-17,0.1072
"7",2019-06-18,0.1044
"8",2019-06-19,0.1095
"9",2019-06-20,0.1022
"10",2019-06-21,0.1145
"11",2019-06-24,0.1336
"12",2019-06-25,0.1148
"13",2019-06-26,0.1138
"14",2019-06-27,0.0982
"15",2019-06-28,0.102
"16",2019-07-01,0.0866999999999999
"17",2019-07-02,0.0846
"18",2019-07-03,0.0916000000000001
"19",2019-07-05,0.0847000000000001
"20",2019-07-08,0.0874
"21",2019-07-09,0.0974
"22",2019-07-10,0.0944
"23",2019-07-11,0.0822000000000001
"24",2019-07-12,0.0558
"25",2019-07-15,0.038
"26",2019-07-16,0.0624
"27",2019-07-17,0.0580999999999999
"28",2019-07-18,0.0653
"29",2019-07-19,0.0601
"30",2019-07-22,0.0766
"31",2019-07-23,0.1004
"32",2019-07-24,0.1315
"33",2019-07-25,0.1497
"34",2019-07-26,0.1175
"35",2019-07-29,0.0846
"36",2019-07-30,0.0777
"37",2019-07-31,0.0994
"38",2019-08-01,0.1022
"39",2019-08-02,0.1027
"40",2019-08-05,0.1145
"41",2019-08-06,0.1183
"42",2019-08-07,0.1125
"43",2019-08-08,0.1237
"44",2019-08-09,0.135
"45",2019-08-12,0.1247
"46",2019-08-13,0.1363
"47",2019-08-14,0.1388
"48",2019-08-15,0.1512
"49",2019-08-16,0.1241
"50",2019-08-19,0.116
"51",2019-08-20,0.1175
"52",2019-08-21,0.1168
"53",2019-08-22,0.1261
"54",2019-08-23,0.0958
"55",2019-08-26,0.0737
"56",2019-08-27,0.0343
"57",2019-08-28,0.0178
"58",2019-08-29,0.0175999999999999
"59",2019-08-30,0.0196
"60",2019-09-03,0.0237999999999999
"61",2019-09-04,0.0224
"62",2019-09-05,0.0201
"63",2019-09-06,0.037
"64",2019-09-09,0.0663
"65",2019-09-10,0.091
"66",2019-09-11,0.1003
"67",2019-09-12,0.1798
"68",2019-09-13,0.2055
"69",2019-09-16,0.2052
"70",2019-09-17,0.1793
"71",2019-09-18,0.1704
"72",2019-09-19,0.1522
"73",2019-09-20,0.1267
"74",2019-09-23,0.1239
"75",2019-09-24,0.1417
"76",2019-09-25,0.1347
"77",2019-09-26,0.1094
"78",2019-09-27,0.1159
"79",2019-09-30,0.0985
"80",2019-10-01,0.0730999999999999
"81",2019-10-02,0.0324
"82",2019-10-03,0.0264
"83",2019-10-04,0.0132
"84",2019-10-07,0.0128
"85",2019-10-08,0.0122
"86",2019-10-09,0.0179
"87",2019-10-10,0.0397
"88",2019-10-11,0.0658
"89",2019-10-14,0.0425
"90",2019-10-15,0.0508
"91",2019-10-16,0.0649999999999999
"92",2019-10-17,0.094
"93",2019-10-18,0.1051
"94",2019-10-21,0.0974
"95",2019-10-22,0.0971
"96",2019-10-23,0.1023
"97",2019-10-24,0.103
"98",2019-10-25,0.1231
"99",2019-10-28,0.1256
"100",2019-10-29,0.1235
"101",2019-10-30,0.1429
"102",2019-10-31,0.1472
"103",2019-11-01,0.1705
"104",2019-11-04,0.1456
"105",2019-11-05,0.1072
"106",2019-11-06,0.1028
"107",2019-11-07,0.0979
"108",2019-11-08,0.0787
"109",2019-11-11,0.0859
"110",2019-11-12,0.1063
"111",2019-11-13,0.1051
"112",2019-11-14,0.1122
"113",2019-11-15,0.1261
"114",2019-11-18,0.1285
"115",2019-11-19,0.102
"116",2019-11-20,0.1054
"117",2019-11-21,0.116
"118",2019-11-22,0.1039
"119",2019-11-25,0.0819
"120",2019-11-26,0.0672
"121",2019-11-27,0.0750999999999999
"122",2019-11-29,0.054
"123",2019-12-02,0.0826
"124",2019-12-03,0.0779
"125",2019-12-04,0.0705
"126",2019-12-05,0.0619999999999999
"127",2019-12-06,0.0555
"128",2019-12-09,0.0573
"129",2019-12-10,0.0346
"130",2019-12-11,0.0343
"131",2019-12-12,0.0379
"132",2019-12-13,0.0434
"133",2019-12-16,0.0311999999999999
"134",2019-12-17,0.0178999999999999
"135",2019-12-18,0.0191
"136",2019-12-19,0.0148999999999999
"137",2019-12-20,0.0253
"138",2019-12-23,0.0161
"139",2019-12-24,0.0164
"140",2019-12-26,0.0189
"141",2019-12-27,0.0126000000000001
"142",2019-12-30,0.0157
"143",2019-12-31,0.0567
"144",2020-01-02,0.0308999999999999
"145",2020-01-03,0.0167999999999999
"146",2020-01-06,0.0166000000000001
"147",2020-01-07,0.0545
"148",2020-01-08,0.0584
"149",2020-01-09,0.0581999999999999
