"","date","ALPA4"
"1",2021-09-01,0.1848
"2",2021-09-02,0.187
"3",2021-09-03,0.1892
"4",2021-09-06,0.2008
"5",2021-09-08,0.1993
"6",2021-09-09,0.2064
"7",2021-09-10,0.1894
"8",2021-09-13,0.2071
"9",2021-09-14,0.2019
"10",2021-09-15,0.2028
"11",2021-09-16,0.2016
"12",2021-09-17,0.2007
"13",2021-09-20,0.2067
"14",2021-09-21,0.2101
"15",2021-09-22,0.2042
"16",2021-09-23,0.2034
"17",2021-09-24,0.195
"18",2021-09-27,0.2027
"19",2021-09-28,0.1826
"20",2021-09-29,0.2003
"21",2021-09-30,0.1915
"22",2021-10-01,0.2034
"23",2021-10-04,0.2134
"24",2021-10-05,0.2238
"25",2021-10-06,0.2201
"26",2021-10-07,0.2287
"27",2021-10-08,0.2033
"28",2021-10-11,0.2207
"29",2021-10-13,0.2171
"30",2021-10-14,0.2277
"31",2021-10-15,0.2254
"32",2021-10-18,0.2274
"33",2021-10-19,0.223
"34",2021-10-20,0.2275
"35",2021-10-21,0.2224
"36",2021-10-22,0.2211
"37",2021-10-25,0.2111
"38",2021-10-26,0.2159
"39",2021-10-27,0.1995
"40",2021-10-28,0.2128
"41",2021-10-29,0.2218
"42",2021-11-01,0.2274
"43",2021-11-03,0.2296
"44",2021-11-04,0.2419
"45",2021-11-05,0.2451
"46",2021-11-08,0.2423
"47",2021-11-09,0.2271
"48",2021-11-10,0.2343
"49",2021-11-11,0.2137
"50",2021-11-12,0.225
"51",2021-11-16,0.222
"52",2021-11-17,0.2321
"53",2021-11-18,0.2298
"54",2021-11-19,0.2384
"55",2021-11-22,0.2272
"56",2021-11-23,0.233
"57",2021-11-24,0.2202
"58",2021-11-25,0.232
"59",2021-11-26,0.2306
"60",2021-11-29,0.23
"61",2021-11-30,0.2248
"62",2021-12-01,0.2254
"63",2021-12-02,0.2225
"64",2021-12-03,0.2445
"65",2021-12-06,0.2532
"66",2021-12-07,0.2549
"67",2021-12-08,0.2335
"68",2021-12-09,0.2456
"69",2021-12-10,0.2216
"70",2021-12-13,0.2303
"71",2021-12-14,0.231
"72",2021-12-15,0.2394
"73",2021-12-16,0.2505
"74",2021-12-17,0.247
"75",2021-12-20,0.2364
"76",2021-12-21,0.2513
"77",2021-12-22,0.2443
"78",2021-12-23,0.2614
"79",2021-12-27,0.2468
"80",2021-12-28,0.2574
"81",2021-12-29,0.2576
"82",2021-12-30,0.245
"83",2022-01-03,0.2393
"84",2022-01-04,0.2303
"85",2022-01-05,0.2217
"86",2022-01-06,0.2306
"87",2022-01-07,0.2077
"88",2022-01-10,0.2199
"89",2022-01-11,0.2117
"90",2022-01-12,0.2216
"91",2022-01-13,0.2031
"92",2022-01-14,0.2115
"93",2022-01-17,0.2063
"94",2022-01-18,0.2109
"95",2022-01-19,0.2081
"96",2022-01-20,0.209
"97",2022-01-21,0.1902
"98",2022-01-24,0.1967
"99",2022-01-25,0.1833
"100",2022-01-26,0.195
"101",2022-01-27,0.1928
"102",2022-01-28,0.1891
"103",2022-01-31,0.1895
"104",2022-02-01,0.1915
"105",2022-02-02,0.1656
"106",2022-02-03,0.1702
"107",2022-02-04,0.1495
"108",2022-02-07,0.1588
"109",2022-02-08,0.1476
"110",2022-02-09,0.149
"111",2022-02-10,0.1469
"112",2022-02-11,0.1523
"113",2022-02-14,0.1612
"114",2022-02-15,0.1618
"115",2022-02-16,0.1455
"116",2022-02-17,0.1434
"117",2022-02-18,0.1269
"118",2022-02-21,0.131
"119",2022-02-22,0.1253
"120",2022-02-23,0.1386
"121",2022-02-24,0.1346
"122",2022-02-25,0.1446
"123",2022-03-02,0.1326
"124",2022-03-03,0.151
"125",2022-03-04,0.1614
"126",2022-03-07,0.1579
"127",2022-03-08,0.1356
"128",2022-03-09,0.1489
"129",2022-03-10,0.1334
"130",2022-03-11,0.1399
"131",2022-03-14,0.1331
"132",2022-03-15,0.1383
"133",2022-03-16,0.1301
"134",2022-03-17,0.1357
"135",2022-03-18,0.1292
"136",2022-03-21,0.1366
"137",2022-03-22,0.1238
"138",2022-03-23,0.1265
"139",2022-03-24,0.113
"140",2022-03-25,0.1165
"141",2022-03-28,0.1154
"142",2022-03-29,0.1198
"143",2022-03-30,0.1244
"144",2022-03-31,0.1229
"145",2022-04-01,0.1201
"146",2022-04-04,0.1172
"147",2022-04-05,0.1034
"148",2022-04-06,0.1001
"149",2022-04-07,0.0998
"150",2022-04-08,0.1059
"151",2022-04-11,0.0999
"152",2022-04-12,0.1036
"153",2022-04-13,0.1007
"154",2022-04-14,0.1037
"155",2022-04-18,0.1094
"156",2022-04-19,0.1167
"157",2022-04-20,0.1114
"158",2022-04-22,0.1192
"159",2022-04-25,0.1061
"160",2022-04-26,0.1111
"161",2022-04-27,0.1137
"162",2022-04-28,0.1137
"163",2022-04-29,0.1133
"164",2022-05-02,0.1177
"165",2022-05-03,0.1114
"166",2022-05-04,0.1147
"167",2022-05-05,0.1126
"168",2022-05-06,0.1179
"169",2022-05-09,0.1204
"170",2022-05-10,0.1233
"171",2022-05-11,0.1272
"172",2022-05-12,0.1305
"173",2022-05-13,0.1412
"174",2022-05-16,0.1533
"175",2022-05-17,0.1419
"176",2022-05-18,0.1561
"177",2022-05-19,0.1474
"178",2022-05-20,0.1631
"179",2022-05-23,0.1541
"180",2022-05-24,0.1669
"181",2022-05-25,0.161
"182",2022-05-26,0.1687
"183",2022-05-27,0.1734
"184",2022-05-30,0.1965
"185",2022-05-31,0.2114
"186",2022-06-01,0.2085
"187",2022-06-02,0.1904
"188",2022-06-03,0.2008
"189",2022-06-06,0.179
"190",2022-06-07,0.1902
"191",2022-06-08,0.1951
"192",2022-06-09,0.1922
"193",2022-06-10,0.1891
"194",2022-06-13,0.1993
"195",2022-06-14,0.1879
"196",2022-06-15,0.2015
"197",2022-06-17,0.2032
"198",2022-06-20,0.2232
"199",2022-06-21,0.2143
"200",2022-06-22,0.2236
"201",2022-06-23,0.217
"202",2022-06-24,0.2242
"203",2022-06-27,0.2141
"204",2022-06-28,0.2194
"205",2022-06-29,0.2123
"206",2022-06-30,0.2079
"207",2022-07-01,0.206
"208",2022-07-04,0.2226
"209",2022-07-05,0.2236
"210",2022-07-06,0.2328
"211",2022-07-07,0.2296
"212",2022-07-08,0.2376
"213",2022-07-11,0.2334
"214",2022-07-12,0.2305
"215",2022-07-13,0.2269
"216",2022-07-14,0.2327
"217",2022-07-15,0.2151
"218",2022-07-18,0.2288
"219",2022-07-19,0.2061
"220",2022-07-20,0.2283
"221",2022-07-21,0.2369
"222",2022-07-22,0.2409
"223",2022-07-25,0.231
"224",2022-07-26,0.2392
"225",2022-07-27,0.2332
"226",2022-07-28,0.2323
"227",2022-07-29,0.2248
"228",2022-08-01,0.2306
"229",2022-08-02,0.2209
"230",2022-08-03,0.2389
"231",2022-08-04,0.228
"232",2022-08-05,0.2477
"233",2022-08-08,0.2596
