"","date","FTNT"
"1",2020-11-10,0.1169
"2",2020-11-11,0.119
"3",2020-11-12,0.1194
"4",2020-11-13,0.1127
"5",2020-11-16,0.1164
"6",2020-11-17,0.1181
"7",2020-11-18,0.1181
"8",2020-11-19,0.1166
"9",2020-11-20,0.1181
"10",2020-11-23,0.1217
"11",2020-11-24,0.1209
"12",2020-11-25,0.126
"13",2020-11-27,0.1267
"14",2020-11-30,0.1328
"15",2020-12-01,0.1377
"16",2020-12-02,0.1438
"17",2020-12-03,0.1472
"18",2020-12-04,0.1417
"19",2020-12-07,0.1382
"20",2020-12-08,0.146
"21",2020-12-09,0.1521
"22",2020-12-10,0.1588
"23",2020-12-11,0.1507
"24",2020-12-14,0.146
"25",2020-12-15,0.1352
"26",2020-12-16,0.1335
"27",2020-12-17,0.1366
"28",2020-12-18,0.1376
"29",2020-12-21,0.1472
"30",2020-12-22,0.1514
"31",2020-12-23,0.1518
"32",2020-12-24,0.1726
"33",2020-12-28,0.1803
"34",2020-12-29,0.1828
"35",2020-12-30,0.197
"36",2020-12-31,0.1992
"37",2021-01-04,0.2033
"38",2021-01-05,0.2081
"39",2021-01-06,0.214
"40",2021-01-07,0.2285
"41",2021-01-08,0.2376
"42",2021-01-11,0.2505
"43",2021-01-12,0.2474
"44",2021-01-13,0.2388
"45",2021-01-14,0.2403
"46",2021-01-15,0.2386
"47",2021-01-19,0.2426
"48",2021-01-20,0.2527
"49",2021-01-21,0.2523
"50",2021-01-22,0.2563
"51",2021-01-25,0.2606
"52",2021-01-26,0.2726
"53",2021-01-27,0.2718
"54",2021-01-28,0.2771
"55",2021-01-29,0.2774
"56",2021-02-01,0.2882
"57",2021-02-02,0.2984
"58",2021-02-03,0.2994
"59",2021-02-04,0.3114
"60",2021-02-05,0.3157
"61",2021-02-08,0.3061
"62",2021-02-09,0.3143
"63",2021-02-10,0.3159
"64",2021-02-11,0.3127
"65",2021-02-12,0.3189
"66",2021-02-16,0.3307
"67",2021-02-17,0.3309
"68",2021-02-18,0.3349
"69",2021-02-19,0.3371
"70",2021-02-22,0.3372
"71",2021-02-23,0.3345
"72",2021-02-24,0.3325
"73",2021-02-25,0.3263
"74",2021-02-26,0.3304
"75",2021-03-01,0.328
"76",2021-03-02,0.3387
"77",2021-03-03,0.3433
"78",2021-03-04,0.3422
"79",2021-03-05,0.3468
"80",2021-03-08,0.3566
"81",2021-03-09,0.3606
"82",2021-03-10,0.3687
"83",2021-03-11,0.356
"84",2021-03-12,0.3565
"85",2021-03-15,0.3505
"86",2021-03-16,0.3447
"87",2021-03-17,0.3493
"88",2021-03-18,0.3396
"89",2021-03-19,0.331
"90",2021-03-22,0.3319
"91",2021-03-23,0.3295
"92",2021-03-24,0.3441
"93",2021-03-25,0.3446
"94",2021-03-26,0.3365
"95",2021-03-29,0.3304
"96",2021-03-30,0.3277
"97",2021-03-31,0.3214
"98",2021-04-01,0.3296
"99",2021-04-05,0.3304
"100",2021-04-06,0.3245
"101",2021-04-07,0.3289
"102",2021-04-08,0.3248
"103",2021-04-09,0.3187
"104",2021-04-12,0.3214
"105",2021-04-13,0.3195
"106",2021-04-14,0.3145
"107",2021-04-15,0.3096
"108",2021-04-16,0.2982
"109",2021-04-19,0.2942
