"","date","AMD"
"1",2019-06-10,0.2107
"2",2019-06-11,0.1978
"3",2019-06-12,0.2205
"4",2019-06-13,0.2203
"5",2019-06-14,0.2436
"6",2019-06-17,0.2311
"7",2019-06-18,0.2241
"8",2019-06-19,0.2362
"9",2019-06-20,0.2231
"10",2019-06-21,0.2076
"11",2019-06-24,0.2146
"12",2019-06-25,0.2256
"13",2019-06-26,0.2476
"14",2019-06-27,0.2329
"15",2019-06-28,0.2219
"16",2019-07-01,0.2285
"17",2019-07-02,0.2373
"18",2019-07-03,0.2504
"19",2019-07-05,0.2469
"20",2019-07-08,0.2576
"21",2019-07-09,0.275
"22",2019-07-10,0.2691
"23",2019-07-11,0.2719
"24",2019-07-12,0.262
"25",2019-07-15,0.2575
"26",2019-07-16,0.2384
"27",2019-07-17,0.2482
"28",2019-07-18,0.259
"29",2019-07-19,0.2494
"30",2019-07-22,0.2156
"31",2019-07-23,0.2257
"32",2019-07-24,0.2552
"33",2019-07-25,0.2727
"34",2019-07-26,0.2572
"35",2019-07-29,0.2438
"36",2019-07-30,0.2382
"37",2019-07-31,0.2136
"38",2019-08-01,0.2062
"39",2019-08-02,0.2182
"40",2019-08-05,0.1969
"41",2019-08-06,0.1877
"42",2019-08-07,0.1836
"43",2019-08-08,0.195
"44",2019-08-09,0.2165
"45",2019-08-12,0.2009
"46",2019-08-13,0.1882
"47",2019-08-14,0.2122
"48",2019-08-15,0.2251
"49",2019-08-16,0.2053
"50",2019-08-19,0.1724
"51",2019-08-20,0.1587
"52",2019-08-21,0.1553
"53",2019-08-22,0.1535
"54",2019-08-23,0.1407
"55",2019-08-26,0.1289
"56",2019-08-27,0.1301
"57",2019-08-28,0.1159
"58",2019-08-29,0.1155
"59",2019-08-30,0.1135
"60",2019-09-03,0.1134
"61",2019-09-04,0.1028
"62",2019-09-05,0.0995
"63",2019-09-06,0.1089
"64",2019-09-09,0.1065
"65",2019-09-10,0.1146
"66",2019-09-11,0.1108
"67",2019-09-12,0.1174
"68",2019-09-13,0.1277
"69",2019-09-16,0.1241
"70",2019-09-17,0.118
"71",2019-09-18,0.1285
"72",2019-09-19,0.1412
"73",2019-09-20,0.1525
"74",2019-09-23,0.1562
"75",2019-09-24,0.1399
"76",2019-09-25,0.1393
"77",2019-09-26,0.1442
"78",2019-09-27,0.1506
"79",2019-09-30,0.1827
"80",2019-10-01,0.2237
"81",2019-10-02,0.2694
"82",2019-10-03,0.2768
"83",2019-10-04,0.2928
"84",2019-10-07,0.2874
"85",2019-10-08,0.2693
"86",2019-10-09,0.2608
"87",2019-10-10,0.2584
"88",2019-10-11,0.2431
"89",2019-10-14,0.2301
"90",2019-10-15,0.2337
"91",2019-10-16,0.2378
"92",2019-10-17,0.2542
"93",2019-10-18,0.255
"94",2019-10-21,0.2561
"95",2019-10-22,0.2452
"96",2019-10-23,0.2562
"97",2019-10-24,0.263
"98",2019-10-25,0.2569
"99",2019-10-28,0.2412
"100",2019-10-29,0.2113
"101",2019-10-30,0.199
"102",2019-10-31,0.2219
"103",2019-11-01,0.2438
"104",2019-11-04,0.2825
"105",2019-11-05,0.2839
"106",2019-11-06,0.2778
"107",2019-11-07,0.2807
"108",2019-11-08,0.2885
"109",2019-11-11,0.2873
"110",2019-11-12,0.2786
"111",2019-11-13,0.2975
"112",2019-11-14,0.3027
"113",2019-11-15,0.3035
"114",2019-11-18,0.3006
"115",2019-11-19,0.2918
"116",2019-11-20,0.3199
"117",2019-11-21,0.3394
"118",2019-11-22,0.3243
"119",2019-11-25,0.3212
"120",2019-11-26,0.3224
"121",2019-11-27,0.2851
"122",2019-11-29,0.2929
"123",2019-12-02,0.2985
"124",2019-12-03,0.2826
"125",2019-12-04,0.2494
"126",2019-12-05,0.2208
"127",2019-12-06,0.218
"128",2019-12-09,0.223
"129",2019-12-10,0.2002
"130",2019-12-11,0.1823
"131",2019-12-12,0.1615
"132",2019-12-13,0.1644
"133",2019-12-16,0.1396
"134",2019-12-17,0.1215
"135",2019-12-18,0.1092
"136",2019-12-19,0.0899
"137",2019-12-20,0.1025
"138",2019-12-23,0.1109
"139",2019-12-24,0.1133
"140",2019-12-26,0.1081
"141",2019-12-27,0.0977
"142",2019-12-30,0.0902999999999999
"143",2019-12-31,0.0832000000000001
"144",2020-01-02,0.0780000000000001
"145",2020-01-03,0.0743
"146",2020-01-06,0.0944
"147",2020-01-07,0.0976999999999999
"148",2020-01-08,0.0971000000000001
"149",2020-01-09,0.0844
"150",2020-01-10,0.0787
"151",2020-01-13,0.0825
"152",2020-01-14,0.0878000000000001
"153",2020-01-15,0.0923
"154",2020-01-16,0.0985
"155",2020-01-17,0.0875
"156",2020-01-21,0.1012
"157",2020-01-22,0.1119
"158",2020-01-23,0.1139
"159",2020-01-24,0.1398
"160",2020-01-27,0.1549
"161",2020-01-28,0.1869
"162",2020-01-29,0.214
"163",2020-01-30,0.2404
"164",2020-01-31,0.2871
"165",2020-02-03,0.291
"166",2020-02-04,0.2839
"167",2020-02-05,0.3083
"168",2020-02-06,0.34
"169",2020-02-07,0.3241
"170",2020-02-10,0.318
"171",2020-02-11,0.3246
"172",2020-02-12,0.3199
"173",2020-02-13,0.3219
"174",2020-02-14,0.332
"175",2020-02-18,0.3213
"176",2020-02-19,0.3149
"177",2020-02-20,0.3107
"178",2020-02-21,0.287
"179",2020-02-24,0.2679
"180",2020-02-25,0.2615
"181",2020-02-26,0.2533
"182",2020-02-27,0.269
"183",2020-02-28,0.2568
"184",2020-03-02,0.2427
"185",2020-03-03,0.2414
"186",2020-03-04,0.2499
"187",2020-03-05,0.2797
"188",2020-03-06,0.2954
"189",2020-03-09,0.3081
"190",2020-03-10,0.3211
"191",2020-03-11,0.3069
"192",2020-03-12,0.3163
"193",2020-03-13,0.3297
"194",2020-03-16,0.326
"195",2020-03-17,0.3268
"196",2020-03-18,0.3207
"197",2020-03-19,0.3303
"198",2020-03-20,0.3518
"199",2020-03-23,0.3723
"200",2020-03-24,0.4113
"201",2020-03-25,0.4329
"202",2020-03-26,0.4468
"203",2020-03-27,0.4677
"204",2020-03-30,0.4643
"205",2020-03-31,0.3887
"206",2020-04-01,0.3684
"207",2020-04-02,0.3692
"208",2020-04-03,0.349
"209",2020-04-06,0.3477
"210",2020-04-07,0.3401
"211",2020-04-08,0.3248
"212",2020-04-09,0.3254
"213",2020-04-13,0.3223
"214",2020-04-14,0.3049
"215",2020-04-15,0.2912
"216",2020-04-16,0.3273
"217",2020-04-17,0.3322
"218",2020-04-20,0.3266
"219",2020-04-21,0.33
"220",2020-04-22,0.3225
"221",2020-04-23,0.316
"222",2020-04-24,0.322
"223",2020-04-27,0.338
"224",2020-04-28,0.3523
"225",2020-04-29,0.3268
"226",2020-04-30,0.3269
"227",2020-05-01,0.3206
"228",2020-05-04,0.3099
"229",2020-05-05,0.3091
"230",2020-05-06,0.3203
"231",2020-05-07,0.3078
"232",2020-05-08,0.3152
"233",2020-05-11,0.3261
"234",2020-05-12,0.3397
"235",2020-05-13,0.3388
"236",2020-05-14,0.3514
"237",2020-05-15,0.3685
"238",2020-05-18,0.3648
"239",2020-05-19,0.3485
"240",2020-05-20,0.3382
"241",2020-05-21,0.327
"242",2020-05-22,0.3332
"243",2020-05-26,0.3239
"244",2020-05-27,0.2958
"245",2020-05-28,0.3005
"246",2020-05-29,0.3105
"247",2020-06-01,0.3201
"248",2020-06-02,0.3168
"249",2020-06-03,0.3184
"250",2020-06-04,0.3079
"251",2020-06-05,0.282
"252",2020-06-08,0.3049
"253",2020-06-09,0.2777
"254",2020-06-10,0.2896
"255",2020-06-11,0.2977
"256",2020-06-12,0.2921
"257",2020-06-15,0.2806
"258",2020-06-16,0.2762
"259",2020-06-17,0.2738
