"","date","MPWR"
"1",2019-06-10,0.1553
"2",2019-06-11,0.1855
"3",2019-06-12,0.185
"4",2019-06-13,0.1677
"5",2019-06-14,0.1561
"6",2019-06-17,0.1809
"7",2019-06-18,0.1593
"8",2019-06-19,0.158
"9",2019-06-20,0.1602
"10",2019-06-21,0.1822
"11",2019-06-24,0.1712
"12",2019-06-25,0.1805
"13",2019-06-26,0.1847
"14",2019-06-27,0.1869
"15",2019-06-28,0.1985
"16",2019-07-01,0.2076
"17",2019-07-02,0.2086
"18",2019-07-03,0.2242
"19",2019-07-05,0.2003
"20",2019-07-08,0.2238
"21",2019-07-09,0.2199
"22",2019-07-10,0.1988
"23",2019-07-11,0.1826
"24",2019-07-12,0.1879
"25",2019-07-15,0.1915
"26",2019-07-16,0.2058
"27",2019-07-17,0.1913
"28",2019-07-18,0.1879
"29",2019-07-19,0.1684
"30",2019-07-22,0.2148
"31",2019-07-23,0.2017
"32",2019-07-24,0.1945
"33",2019-07-25,0.194
"34",2019-07-26,0.1889
"35",2019-07-29,0.2022
"36",2019-07-30,0.2111
"37",2019-07-31,0.1862
"38",2019-08-01,0.1907
"39",2019-08-02,0.1901
"40",2019-08-05,0.2087
"41",2019-08-06,0.2049
"42",2019-08-07,0.2228
"43",2019-08-08,0.2128
"44",2019-08-09,0.1999
"45",2019-08-12,0.2014
"46",2019-08-13,0.2217
"47",2019-08-14,0.1987
"48",2019-08-15,0.1728
"49",2019-08-16,0.1428
"50",2019-08-19,0.172
"51",2019-08-20,0.1706
"52",2019-08-21,0.1487
"53",2019-08-22,0.1201
"54",2019-08-23,0.1083
"55",2019-08-26,0.0452
"56",2019-08-27,0.0407
"57",2019-08-28,0.0654
"58",2019-08-29,0.0433
"59",2019-08-30,0.0342
"60",2019-09-03,0.0533
"61",2019-09-04,0.0416000000000001
"62",2019-09-05,0.0606
"63",2019-09-06,0.0609999999999999
"64",2019-09-09,0.0608
"65",2019-09-10,0.0534
"66",2019-09-11,0.0571
"67",2019-09-12,0.0407000000000001
"68",2019-09-13,0.0654
"69",2019-09-16,0.0808
"70",2019-09-17,0.0927
"71",2019-09-18,0.0862999999999999
"72",2019-09-19,0.0965
"73",2019-09-20,0.0841
"74",2019-09-23,0.0945
"75",2019-09-24,0.0879
"76",2019-09-25,0.1047
"77",2019-09-26,0.0982000000000001
"78",2019-09-27,0.0963999999999999
"79",2019-09-30,0.1002
"80",2019-10-01,0.1222
"81",2019-10-02,0.1022
"82",2019-10-03,0.0850000000000001
"83",2019-10-04,0.0613
"84",2019-10-07,0.0646
"85",2019-10-08,0.0977
"86",2019-10-09,0.0981
"87",2019-10-10,0.0759000000000001
"88",2019-10-11,0.0634
"89",2019-10-14,0.0473
"90",2019-10-15,0.1743
"91",2019-10-16,0.1562
"92",2019-10-17,0.1236
"93",2019-10-18,0.1013
"94",2019-10-21,0.0730999999999999
"95",2019-10-22,0.0557
"96",2019-10-23,0.0427
"97",2019-10-24,0.034
"98",2019-10-25,0.0264
"99",2019-10-28,0.0225
"100",2019-10-29,0.0446
"101",2019-10-30,0.0605
"102",2019-10-31,0.0559000000000001
"103",2019-11-01,0.0557
"104",2019-11-04,0.0657
"105",2019-11-05,0.0758000000000001
"106",2019-11-06,0.0798
"107",2019-11-07,0.0736
"108",2019-11-08,0.0681999999999999
"109",2019-11-11,0.0773
"110",2019-11-12,0.1051
"111",2019-11-13,0.0994
"112",2019-11-14,0.1044
"113",2019-11-15,0.0919000000000001
"114",2019-11-18,0.1037
"115",2019-11-19,0.1065
"116",2019-11-20,0.1291
"117",2019-11-21,0.1235
"118",2019-11-22,0.1256
"119",2019-11-25,0.1116
"120",2019-11-26,0.1174
"121",2019-11-27,0.1157
"122",2019-11-29,0.1237
"123",2019-12-02,0.129
"124",2019-12-03,0.1262
"125",2019-12-04,0.1245
"126",2019-12-05,0.1189
"127",2019-12-06,0.1224
"128",2019-12-09,0.1148
"129",2019-12-10,0.1134
"130",2019-12-11,0.1214
"131",2019-12-12,0.1029
"132",2019-12-13,0.0946999999999999
"133",2019-12-16,0.1013
"134",2019-12-17,0.1212
"135",2019-12-18,0.1067
"136",2019-12-19,0.1247
"137",2019-12-20,0.1102
"138",2019-12-23,0.1057
"139",2019-12-24,0.1057
"140",2019-12-26,0.1227
"141",2019-12-27,0.1237
"142",2019-12-30,0.1262
"143",2019-12-31,0.1192
"144",2020-01-02,0.1068
"145",2020-01-03,0.1097
"146",2020-01-06,0.1165
"147",2020-01-07,0.1195
"148",2020-01-08,0.1084
"149",2020-01-09,0.0942000000000001
"150",2020-01-10,0.0931
"151",2020-01-13,0.0958000000000001
"152",2020-01-14,0.1173
"153",2020-01-15,0.1199
"154",2020-01-16,0.1076
"155",2020-01-17,0.0908
"156",2020-01-21,0.1067
"157",2020-01-22,0.0904
"158",2020-01-23,0.0765
