"","date","ETN"
"1",2022-04-18,0.2408
"2",2022-04-19,0.2541
"3",2022-04-20,0.2511
"4",2022-04-21,0.2495
"5",2022-04-22,0.2565
"6",2022-04-25,0.2625
"7",2022-04-26,0.2501
"8",2022-04-27,0.2448
"9",2022-04-28,0.2403
"10",2022-04-29,0.2522
"11",2022-05-02,0.257
"12",2022-05-03,0.2684
"13",2022-05-04,0.2548
"14",2022-05-05,0.2539
"15",2022-05-06,0.2545
"16",2022-05-09,0.2622
"17",2022-05-10,0.2628
"18",2022-05-11,0.2689
"19",2022-05-12,0.2561
"20",2022-05-13,0.2554
"21",2022-05-16,0.2673
"22",2022-05-17,0.2777
"23",2022-05-18,0.2727
"24",2022-05-19,0.2754
"25",2022-05-20,0.2676
"26",2022-05-23,0.2627
"27",2022-05-24,0.2608
"28",2022-05-25,0.2617
"29",2022-05-26,0.2665
"30",2022-05-27,0.2738
"31",2022-05-31,0.2604
"32",2022-06-01,0.2616
"33",2022-06-02,0.2595
"34",2022-06-03,0.261
"35",2022-06-06,0.2611
"36",2022-06-07,0.2658
"37",2022-06-08,0.2616
"38",2022-06-09,0.2652
"39",2022-06-10,0.2601
"40",2022-06-13,0.2656
"41",2022-06-14,0.2718
"42",2022-06-15,0.2726
"43",2022-06-16,0.2693
"44",2022-06-17,0.2711
"45",2022-06-21,0.2735
"46",2022-06-22,0.2756
"47",2022-06-23,0.2644
"48",2022-06-24,0.2678
"49",2022-06-27,0.2584
"50",2022-06-28,0.2592
"51",2022-06-29,0.2639
"52",2022-06-30,0.2709
"53",2022-07-01,0.2594
"54",2022-07-05,0.2653
"55",2022-07-06,0.2599
"56",2022-07-07,0.2626
"57",2022-07-08,0.2666
"58",2022-07-11,0.2694
"59",2022-07-12,0.2599
"60",2022-07-13,0.2649
"61",2022-07-14,0.2683
"62",2022-07-15,0.2701
"63",2022-07-18,0.2622
"64",2022-07-19,0.2529
"65",2022-07-20,0.2548
"66",2022-07-21,0.2631
"67",2022-07-22,0.2586
"68",2022-07-25,0.268
"69",2022-07-26,0.2701
"70",2022-07-27,0.2685
"71",2022-07-28,0.2732
