"","date","INTU"
"1",2022-04-18,0.252
"2",2022-04-19,0.2572
"3",2022-04-20,0.2517
"4",2022-04-21,0.2575
"5",2022-04-22,0.2541
"6",2022-04-25,0.2504
"7",2022-04-26,0.2402
"8",2022-04-27,0.2412
"9",2022-04-28,0.2304
"10",2022-04-29,0.2402
"11",2022-05-02,0.2408
"12",2022-05-03,0.2423
"13",2022-05-04,0.2336
"14",2022-05-05,0.2403
"15",2022-05-06,0.2339
"16",2022-05-09,0.2387
"17",2022-05-10,0.2384
"18",2022-05-11,0.2442
"19",2022-05-12,0.2371
"20",2022-05-13,0.2395
"21",2022-05-16,0.2431
"22",2022-05-17,0.2469
"23",2022-05-18,0.246
"24",2022-05-19,0.2427
"25",2022-05-20,0.2265
"26",2022-05-23,0.2244
"27",2022-05-24,0.22
"28",2022-05-25,0.2283
"29",2022-05-26,0.2301
"30",2022-05-27,0.2316
"31",2022-05-31,0.2295
"32",2022-06-01,0.2399
"33",2022-06-02,0.2372
"34",2022-06-03,0.2381
"35",2022-06-06,0.2341
"36",2022-06-07,0.2366
"37",2022-06-08,0.2293
"38",2022-06-09,0.2298
"39",2022-06-10,0.2215
"40",2022-06-13,0.2279
"41",2022-06-14,0.2286
"42",2022-06-15,0.2337
"43",2022-06-16,0.2277
"44",2022-06-17,0.2296
"45",2022-06-21,0.2318
"46",2022-06-22,0.2351
"47",2022-06-23,0.2287
"48",2022-06-24,0.2315
"49",2022-06-27,0.2232
"50",2022-06-28,0.2225
"51",2022-06-29,0.2212
"52",2022-06-30,0.2327
"53",2022-07-01,0.2289
"54",2022-07-05,0.2324
"55",2022-07-06,0.2273
"56",2022-07-07,0.2312
"57",2022-07-08,0.2272
"58",2022-07-11,0.2306
"59",2022-07-12,0.227
"60",2022-07-13,0.23
"61",2022-07-14,0.2267
"62",2022-07-15,0.2296
"63",2022-07-18,0.223
"64",2022-07-19,0.222
"65",2022-07-20,0.2266
"66",2022-07-21,0.2313
"67",2022-07-22,0.2224
"68",2022-07-25,0.2294
"69",2022-07-26,0.2257
"70",2022-07-27,0.233
"71",2022-07-28,0.2306
"72",2022-07-29,0.2225
"73",2022-08-01,0.2115
"74",2022-08-02,0.2076
"75",2022-08-03,0.2023
"76",2022-08-04,0.2158
"77",2022-08-05,0.2141
"78",2022-08-08,0.2145
"79",2022-08-09,0.2111
"80",2022-08-10,0.2105
"81",2022-08-11,0.2129
"82",2022-08-12,0.2164
"83",2022-08-15,0.2151
"84",2022-08-16,0.2233
"85",2022-08-17,0.2078
"86",2022-08-18,0.2093
"87",2022-08-19,0.2092
"88",2022-08-22,0.2207
"89",2022-08-23,0.2166
"90",2022-08-24,0.215
"91",2022-08-25,0.2053
"92",2022-08-26,0.2031
"93",2022-08-29,0.2021
"94",2022-08-30,0.2077
"95",2022-08-31,0.2045
"96",2022-09-01,0.2044
"97",2022-09-02,0.1947
"98",2022-09-06,0.2033
"99",2022-09-07,0.198
"100",2022-09-08,0.2045
"101",2022-09-09,0.2168
"102",2022-09-12,0.2166
"103",2022-09-13,0.2098
"104",2022-09-14,0.2091
"105",2022-09-15,0.2045
"106",2022-09-16,0.2067
"107",2022-09-19,0.204
"108",2022-09-20,0.2022
"109",2022-09-21,0.1969
"110",2022-09-22,0.2024
"111",2022-09-23,0.1977
"112",2022-09-26,0.2135
"113",2022-09-27,0.2081
"114",2022-09-28,0.2078
"115",2022-09-29,0.1998
"116",2022-09-30,0.1963
"117",2022-10-03,0.1938
"118",2022-10-04,0.1963
"119",2022-10-05,0.1909
"120",2022-10-06,0.2073
"121",2022-10-07,0.2011
"122",2022-10-10,0.2058
"123",2022-10-11,0.2052
"124",2022-10-12,0.2038
"125",2022-10-13,0.2007
"126",2022-10-14,0.2032
"127",2022-10-17,0.2025
"128",2022-10-18,0.2039
"129",2022-10-19,0.2029
"130",2022-10-20,0.2051
"131",2022-10-21,0.2081
"132",2022-10-24,0.2136
"133",2022-10-25,0.2078
"134",2022-10-26,0.2031
"135",2022-10-27,0.1915
"136",2022-10-28,0.1941
"137",2022-10-31,0.1913
"138",2022-11-01,0.1923
"139",2022-11-02,0.186
"140",2022-11-03,0.2001
"141",2022-11-04,0.2018
"142",2022-11-07,0.2071
"143",2022-11-08,0.2074
"144",2022-11-09,0.2127
"145",2022-11-10,0.2062
"146",2022-11-11,0.2139
"147",2022-11-14,0.2053
"148",2022-11-15,0.214
"149",2022-11-16,0.2106
"150",2022-11-17,0.2083
"151",2022-11-18,0.2051
"152",2022-11-21,0.1992
"153",2022-11-22,0.2032
"154",2022-11-23,0.2121
"155",2022-11-25,0.2106
"156",2022-11-28,0.2093
"157",2022-11-29,0.2041
"158",2022-11-30,0.2068
"159",2022-12-01,0.2041
"160",2022-12-02,0.2069
"161",2022-12-05,0.2104
"162",2022-12-06,0.2053
"163",2022-12-07,0.1996
"164",2022-12-08,0.2064
"165",2022-12-09,0.2102
"166",2022-12-12,0.2196
"167",2022-12-13,0.2154
"168",2022-12-14,0.2156
"169",2022-12-15,0.2011
"170",2022-12-16,0.2023
"171",2022-12-19,0.205
"172",2022-12-20,0.2124
"173",2022-12-21,0.2092
"174",2022-12-22,0.2094
