date,FANG,INTU,FTNT,ETN,AMD,IDXX,META,CDNS,MPWR,FCX,NEM,PANW,LLY,OXY
2022-06-15,0.1823,0.2337,0.2911,0.2726,0.1266,0.2789,0.2252,0.3105,0.2812,0.0828,0.264,0.3235,0.2107,0.3333
2022-06-16,0.1816,0.2277,0.2833,0.2693,0.1236,0.2697,0.2278,0.3134,0.2772,0.081,0.2658,0.3152,0.21,0.333
2022-06-17,0.1685,0.2296,0.2749,0.2711,0.1278,0.2775,0.2246,0.3233,0.2702,0.0846,0.268,0.3088,0.2074,0.3185
2022-06-21,0.1789,0.2318,0.2782,0.2735,0.123,0.2859,0.2269,0.3243,0.2697,0.0837,0.2646,0.31,0.204,0.3477
2022-06-22,0.18,0.2351,0.2765,0.2756,0.1207,0.2905,0.2259,0.3244,0.2686,0.0854,0.2597,0.3092,0.2065,0.3545
2022-06-23,0.1797,0.2287,0.2801,0.2644,0.1285,0.2783,0.2325,0.3168,0.2655,0.0834,0.2612,0.3202,0.2107,0.3583
2022-06-24,0.1743,0.2315,0.2835,0.2678,0.1291,0.273,0.234,0.3175,0.2678,0.0836000000000001,0.2665,0.316,0.2135,0.34
2022-06-27,0.1817,0.2232,0.2814,0.2584,0.1227,0.2631,0.2375,0.3119,0.2662,0.0821000000000001,0.2696,0.3197,0.2068,0.3437
2022-06-28,0.1839,0.2225,0.2799,0.2592,0.1207,0.2591,0.228,0.3208,0.2748,0.0895,0.275,0.3246,0.2094,0.3375
2022-06-29,0.1825,0.2212,0.2818,0.2639,0.1182,0.265,0.2249,0.3187,0.2783,0.0923,0.2725,0.3279,0.2087,0.3351
2022-06-30,0.172,0.2327,0.2874,0.2709,0.1165,0.2694,0.2273,0.3242,0.2771,0.0972,0.2685,0.3266,0.2125,0.3156
2022-07-01,0.1599,0.2289,0.2849,0.2594,0.1175,0.2631,0.2339,0.3167,0.2764,0.0949,0.268,0.321,0.2138,0.2933
2022-07-05,0.1584,0.2324,0.2816,0.2653,0.1126,0.2678,0.2295,0.3154,0.2867,0.1032,0.2629,0.3261,0.2182,0.2932
2022-07-06,0.1645,0.2273,0.2782,0.2599,0.1066,0.2702,0.2297,0.3154,0.2856,0.0981,0.2572,0.3283,0.2204,0.3018
2022-07-07,0.1736,0.2312,0.2791,0.2626,0.1106,0.2718,0.2333,0.326,0.2904,0.1002,0.262,0.3282,0.2197,0.3061
2022-07-08,0.1807,0.2272,0.2823,0.2666,0.1103,0.2721,0.2336,0.319,0.2935,0.0989,0.2611,0.335,0.2285,0.3097
2022-07-11,0.1794,0.2306,0.2833,0.2694,0.1119,0.274,0.2336,0.3243,0.2914,0.0968,0.2607,0.3252,0.2282,0.3097
