date,NEM,ABEV3,FTNT,ENGI11,IDXX,LREN3,OXY,INTU,LLY,PANW,TOTS3,FCX,FANG,META,ALPA4,MPWR,ETN,AMD,CDNS
2020-04-02,0.3269,0.5023,0.425,0.3208,0.3631,0.3534,0.6754,0.2938,0.4825,0.608,0.2601,0.4459,0.5242,0.1813,0.4435,0.3396,0.6286,0.3692,0.2683
2020-04-03,0.3277,0.4938,0.4226,0.2977,0.3589,0.3501,0.6575,0.2803,0.451,0.5706,0.2564,0.4478,0.5074,0.19,0.4424,0.3288,0.6425,0.349,0.2619
2020-04-06,0.3432,0.5065,0.4475,0.3045,0.3322,0.3591,0.7456,0.2583,0.4245,0.5658,0.28,0.4801,0.5408,0.2069,0.4581,0.3556,0.6389,0.3477,0.2574
2020-04-07,0.35,0.5024,0.4567,0.3283,0.3695,0.3898,0.7098,0.2809,0.4308,0.6027,0.304,0.5186,0.5371,0.1961,0.4504,0.3615,0.6694,0.3401,0.2878
2020-04-08,0.3609,0.499,0.4536,0.3492,0.4065,0.416,0.7342,0.3085,0.4494,0.6238,0.3299,0.5166,0.5194,0.1776,0.4662,0.3808,0.6824,0.3248,0.2747
2020-04-09,0.3656,0.5033,0.4461,0.3627,0.4163,0.4095,0.6286,0.3234,0.457,0.604,0.3068,0.5201,0.4746,0.1865,0.445,0.3479,0.6872,0.3254,0.292
2020-04-13,0.3709,0.487,0.4298,0.345,0.4067,0.3732,0.7451,0.3249,0.4794,0.5931,0.2739,0.4981,0.5342,0.2021,0.4074,0.3475,0.6671,0.3223,0.2791
2020-04-14,0.3295,0.4725,0.4205,0.3505,0.4074,0.3773,0.7554,0.3379,0.481,0.5657,0.2878,0.4863,0.5321,0.2057,0.4193,0.3446,0.6569,0.3049,0.2675
2020-04-15,0.3333,0.4219,0.4061,0.3247,0.3832,0.3475,0.7762,0.3153,0.4571,0.5533,0.246,0.4793,0.5287,0.193,0.4044,0.3383,0.6404,0.2912,0.232
2020-04-16,0.3408,0.4757,0.4317,0.3365,0.3961,0.3603,0.7532,0.3479,0.4762,0.5788,0.2806,0.4983,0.5387,0.2139,0.4216,0.3508,0.6872,0.3273,0.2593
2020-04-17,0.3678,0.4892,0.445,0.313,0.3626,0.3152,0.6955,0.3255,0.5126,0.5591,0.2701,0.4574,0.5006,0.2358,0.41,0.3424,0.6636,0.3322,0.2286
2020-04-20,0.3399,0.4924,0.4276,0.2949,0.3367,0.324,0.5491,0.3131,0.4959,0.5233,0.2525,0.4542,0.4684,0.226,0.4274,0.3525,0.6284,0.3266,0.2311
2020-04-22,0.3224,0.4873,0.4548,0.2764,0.3482,0.3219,0.6791,0.3049,0.4503,0.4844,0.253,0.4881,0.5373,0.212,0.4352,0.3617,0.6402,0.3225,0.2699
2020-04-23,0.3317,0.4612,0.453,0.2834,0.401,0.344,0.696,0.3299,0.4427,0.4681,0.28,0.4923,0.5376,0.2188,0.4379,0.36,0.6651,0.316,0.2757
2020-04-24,0.331,0.4433,0.4713,0.2632,0.4235,0.337,0.6639,0.3475,0.4587,0.4827,0.3068,0.4942,0.4989,0.2162,0.4382,0.3781,0.6995,0.322,0.2819
2020-04-27,0.3594,0.5031,0.4294,0.2879,0.3779,0.3429,0.6002,0.3001,0.45,0.455,0.2963,0.4701,0.45,0.2027,0.4527,0.332,0.6415,0.338,0.2693
2020-04-28,0.3653,0.503,0.4563,0.2668,0.381,0.3115,0.531,0.3411,0.4571,0.4545,0.2593,0.4942,0.4309,0.2262,0.3953,0.3709,0.6325,0.3523,0.2911
2020-04-29,0.3383,0.4866,0.4433,0.2516,0.3815,0.3177,0.5281,0.3372,0.4377,0.4554,0.2638,0.4963,0.4227,0.2189,0.4019,0.374,0.6649,0.3268,0.259
2020-04-30,0.3175,0.4561,0.4148,0.2244,0.4315,0.317,0.5325,0.3738,0.4365,0.4532,0.2174,0.4959,0.4294,0.202,0.396,0.3684,0.6946,0.3269,0.2637
2020-05-04,0.2846,0.4442,0.3925,0.2223,0.4399,0.3394,0.4602,0.3437,0.4636,0.4338,0.2243,0.4229,0.3504,0.1568,0.3935,0.3487,0.6667,0.3099,0.2136
2020-05-05,0.2727,0.4327,0.3756,0.1997,0.3678,0.3239,0.4602,0.2872,0.4563,0.4174,0.1958,0.3989,0.3762,0.1642,0.3854,0.3479,0.6076,0.3091,0.1736
2020-05-06,0.287,0.4326,0.4014,0.1906,0.3348,0.3014,0.4868,0.2966,0.4436,0.4181,0.1745,0.3984,0.3875,0.1646,0.3774,0.3442,0.6242,0.3203,0.1857
2020-05-07,0.298,0.464,0.39,0.2016,0.3479,0.2674,0.4884,0.3014,0.4183,0.4022,0.1265,0.374,0.3919,0.1486,0.3626,0.3417,0.6194,0.3078,0.1822
2020-05-08,0.2813,0.4516,0.3792,0.2017,0.3539,0.2424,0.4457,0.3058,0.4043,0.3799,0.1309,0.341,0.3639,0.138,0.3672,0.3357,0.6201,0.3152,0.2264
2020-05-11,0.2913,0.4208,0.3729,0.1753,0.3187,0.2286,0.3633,0.2821,0.3858,0.3422,0.1572,0.3147,0.3333,0.1299,0.3592,0.3097,0.6174,0.3261,0.1895
2020-05-12,0.2896,0.4571,0.3631,0.1773,0.2996,0.2504,0.3329,0.2676,0.3671,0.3534,0.1654,0.3171,0.3313,0.1205,0.3553,0.2728,0.6,0.3397,0.1753
2020-05-13,0.2991,0.4581,0.358,0.1667,0.2672,0.2291,0.2922,0.2444,0.3518,0.3534,0.1571,0.3003,0.275,0.1293,0.3194,0.2409,0.5669,0.3388,0.1545
2020-05-14,0.2987,0.4555,0.3738,0.1787,0.2738,0.2242,0.2359,0.2549,0.3472,0.3588,0.1569,0.3228,0.2425,0.1254,0.2943,0.219,0.5788,0.3514,0.1601
2020-05-15,0.3244,0.4365,0.3909,0.1434,0.2836,0.2131,0.296,0.2639,0.3632,0.38,0.123,0.3432,0.2653,0.1254,0.2934,0.2439,0.5773,0.3685,0.1665
2020-05-18,0.3156,0.4154,0.3927,0.1396,0.2974,0.2284,0.2563,0.2703,0.3547,0.3529,0.133,0.314,0.2368,0.1238,0.2934,0.2475,0.5959,0.3648,0.1695
2020-05-19,0.3138,0.4337,0.3856,0.1166,0.2769,0.2352,0.2861,0.2461,0.3528,0.3382,0.1124,0.297,0.265,0.1115,0.3058,0.2284,0.5736,0.3485,0.1501
2020-05-20,0.2969,0.4242,0.3527,0.1078,0.2933,0.2157,0.219,0.2196,0.3529,0.3441,0.0884,0.3132,0.2443,0.0983999999999999,0.3096,0.21,0.5487,0.3382,0.1473
2020-05-21,0.3233,0.4421,0.3421,0.1103,0.3016,0.2098,0.2522,0.2238,0.3498,0.3691,0.0661,0.3133,0.2701,0.1171,0.3233,0.2172,0.5511,0.327,0.1274
2020-05-22,0.331,0.4525,0.3185,0.1128,0.3092,0.2012,0.2227,0.25,0.3482,0.3569,0.0648,0.3141,0.2219,0.1085,0.3336,0.2323,0.5604,0.3332,0.1511
2020-05-26,0.3364,0.4558,0.298,0.1102,0.3085,0.2149,0.2511,0.2218,0.3412,0.3296,0.0894,0.2836,0.211,0.08,0.3211,0.2159,0.5308,0.3239,0.1392
2020-05-27,0.3039,0.4262,0.2995,0.0878,0.3053,0.1785,0.2445,0.1973,0.323,0.316,0.0645,0.2515,0.1755,0.0509999999999999,0.2822,0.2205,0.5198,0.2958,0.1066
2020-05-28,0.3243,0.4372,0.3014,0.0856,0.2499,0.1805,0.2678,0.1661,0.3028,0.2968,0.0697,0.2438,0.1673,0.033,0.2731,0.2131,0.5063,0.3005,0.0692
2020-05-29,0.3117,0.4108,0.2845,0.0741000000000001,0.2462,0.1321,0.255,0.1715,0.3282,0.3193,0.0911,0.2592,0.1773,0.0216999999999999,0.2407,0.2102,0.5154,0.3105,0.0613
2020-06-01,0.3267,0.4317,0.2677,0.0749,0.2043,0.1418,0.2238,0.1256,0.3413,0.3042,0.0856,0.2292,0.1379,0.0223,0.2457,0.1646,0.4614,0.3201,0.0474
2020-06-02,0.3376,0.4375,0.2637,0.0713,0.1953,0.1315,0.1356,0.1415,0.3196,0.3096,0.1045,0.2494,0.1443,0.0224,0.2427,0.1665,0.4801,0.3168,0.0552
2020-06-03,0.335,0.4389,0.2709,0.0714,0.1906,0.1478,0.1856,0.1357,0.2908,0.302,0.1029,0.2667,0.1326,0.0281,0.2479,0.181,0.4873,0.3184,0.0358999999999999
2020-06-04,0.3207,0.4447,0.2805,0.0659000000000001,0.2159,0.1362,0.2086,0.1743,0.3141,0.2694,0.1098,0.2829,0.1407,0.0229999999999999,0.2353,0.1802,0.5158,0.3079,0.0462
2020-06-05,0.3056,0.4394,0.2733,0.0718000000000001,0.2307,0.1489,0.1743,0.1616,0.3269,0.2383,0.1084,0.2666,0.1601,0.0348999999999999,0.2464,0.1775,0.5029,0.282,0.0353000000000001
2020-06-08,0.3281,0.3883,0.3003,0.0629000000000001,0.2463,0.1401,0.1934,0.2014,0.341,0.278,0.1219,0.2652,0.1475,0.0321,0.2294,0.214,0.5318,0.3049,0.0676
2020-06-09,0.3666,0.4105,0.2885,0.0827999999999999,0.2069,0.1334,0.1944,0.1888,0.3609,0.2626,0.121,0.2291,0.1509,0.0497,0.2145,0.18,0.4922,0.2777,0.0775
2020-06-10,0.3543,0.4182,0.2687,0.0744,0.191,0.0854,0.175,0.1879,0.3555,0.272,0.1282,0.2331,0.1573,0.0493,0.1763,0.1771,0.4857,0.2896,0.1013
2020-06-12,0.3246,0.4316,0.2837,0.0659,0.1498,0.0801,0.2013,0.1708,0.2964,0.2844,0.1363,0.2538,0.161,0.0566,0.1765,0.1703,0.4936,0.2921,0.0837
2020-06-15,0.3288,0.4374,0.3047,0.0696,0.1597,0.0859,0.1934,0.1564,0.284,0.28,0.156,0.2667,0.1764,0.0527,0.179,0.2092,0.4853,0.2806,0.0574
2020-06-16,0.3092,0.4252,0.3016,0.0767,0.1726,0.0911000000000001,0.1777,0.1465,0.3068,0.2764,0.1551,0.2671,0.1908,0.0639999999999999,0.1574,0.22,0.5105,0.2762,0.0536
2020-06-17,0.3149,0.4126,0.2793,0.0974,0.1358,0.0845,0.1698,0.1091,0.3158,0.241,0.1531,0.2399,0.1933,0.0702,0.1522,0.216,0.4643,0.2738,0.0315
2020-06-18,0.3227,0.4326,0.3003,0.0902000000000001,0.1504,0.1005,0.1419,0.1465,0.336,0.2553,0.1441,0.2724,0.1994,0.0616,0.1451,0.1938,0.4568,0.2922,0.0454
2020-06-19,0.3152,0.4519,0.3235,0.0954,0.2056,0.0902999999999999,0.1427,0.1768,0.3436,0.2958,0.1466,0.3045,0.184,0.0468000000000001,0.116,0.2186,0.5133,0.2859,0.0557
2020-06-22,0.2738,0.4389,0.3068,0.1042,0.2376,0.085,0.1151,0.2005,0.3439,0.2897,0.1485,0.3111,0.1927,0.0549999999999999,0.1198,0.226,0.5276,0.2853,0.0679999999999999
2020-06-23,0.2776,0.4265,0.3109,0.111,0.2524,0.0911,0.1896,0.2349,0.3498,0.2667,0.147,0.3242,0.1566,0.0502,0.1426,0.2434,0.5249,0.2936,0.0725
