"","date","NEM"
"1",2020-11-10,0.2467
"2",2020-11-11,0.2539
"3",2020-11-12,0.2638
"4",2020-11-13,0.2542
"5",2020-11-16,0.2444
"6",2020-11-17,0.237
"7",2020-11-18,0.2458
"8",2020-11-19,0.2451
"9",2020-11-20,0.2383
"10",2020-11-23,0.2413
"11",2020-11-24,0.2486
"12",2020-11-25,0.2489
"13",2020-11-27,0.2724
"14",2020-11-30,0.2843
"15",2020-12-01,0.2795
"16",2020-12-02,0.274
"17",2020-12-03,0.2748
"18",2020-12-04,0.272
"19",2020-12-07,0.2639
"20",2020-12-08,0.2669
"21",2020-12-09,0.281
"22",2020-12-10,0.2793
"23",2020-12-11,0.2691
"24",2020-12-14,0.2592
"25",2020-12-15,0.2557
"26",2020-12-16,0.2646
"27",2020-12-17,0.2694
"28",2020-12-18,0.2757
"29",2020-12-21,0.2817
"30",2020-12-22,0.2793
"31",2020-12-23,0.2814
"32",2020-12-24,0.2973
"33",2020-12-28,0.314
"34",2020-12-29,0.3101
"35",2020-12-30,0.3034
"36",2020-12-31,0.297
"37",2021-01-04,0.298
"38",2021-01-05,0.2871
"39",2021-01-06,0.284
"40",2021-01-07,0.2847
"41",2021-01-08,0.2887
"42",2021-01-11,0.2864
"43",2021-01-12,0.2964
"44",2021-01-13,0.3012
"45",2021-01-14,0.2948
"46",2021-01-15,0.2895
"47",2021-01-19,0.2935
"48",2021-01-20,0.2975
"49",2021-01-21,0.3025
"50",2021-01-22,0.3058
"51",2021-01-25,0.3014
"52",2021-01-26,0.2959
"53",2021-01-27,0.2933
"54",2021-01-28,0.2801
"55",2021-01-29,0.2713
"56",2021-02-01,0.2701
"57",2021-02-02,0.2704
"58",2021-02-03,0.2712
"59",2021-02-04,0.2821
"60",2021-02-05,0.2842
"61",2021-02-08,0.2914
"62",2021-02-09,0.2924
"63",2021-02-10,0.302
"64",2021-02-11,0.2902
"65",2021-02-12,0.2914
"66",2021-02-16,0.2992
"67",2021-02-17,0.3028
"68",2021-02-18,0.3109
"69",2021-02-19,0.315
"70",2021-02-22,0.3236
"71",2021-02-23,0.3139
"72",2021-02-24,0.312
"73",2021-02-25,0.3264
"74",2021-02-26,0.3185
"75",2021-03-01,0.3111
"76",2021-03-02,0.3104
"77",2021-03-03,0.3267
"78",2021-03-04,0.3231
"79",2021-03-05,0.3297
"80",2021-03-08,0.3419
"81",2021-03-09,0.3527
"82",2021-03-10,0.3503
"83",2021-03-11,0.3575
"84",2021-03-12,0.3617
"85",2021-03-15,0.3616
"86",2021-03-16,0.3545
"87",2021-03-17,0.351
"88",2021-03-18,0.3418
"89",2021-03-19,0.3285
"90",2021-03-22,0.3231
"91",2021-03-23,0.3325
"92",2021-03-24,0.3468
"93",2021-03-25,0.3528
"94",2021-03-26,0.3385
"95",2021-03-29,0.3256
"96",2021-03-30,0.3208
"97",2021-03-31,0.3205
"98",2021-04-01,0.331
"99",2021-04-05,0.3275
"100",2021-04-06,0.3142
"101",2021-04-07,0.3108
"102",2021-04-08,0.3076
"103",2021-04-09,0.318
"104",2021-04-12,0.3188
"105",2021-04-13,0.3168
"106",2021-04-14,0.3087
"107",2021-04-15,0.3044
"108",2021-04-16,0.2814
"109",2021-04-19,0.2807
"110",2021-04-20,0.283
"111",2021-04-21,0.2864
"112",2021-04-22,0.293
"113",2021-04-23,0.3074
"114",2021-04-26,0.3067
"115",2021-04-27,0.2917
"116",2021-04-28,0.2852
"117",2021-04-29,0.2859
"118",2021-04-30,0.2769
"119",2021-05-03,0.2704
"120",2021-05-04,0.2697
"121",2021-05-05,0.2824
"122",2021-05-06,0.2767
