"","date","FTNT"
"1",2019-06-10,0.1715
"2",2019-06-11,0.1809
"3",2019-06-12,0.1736
"4",2019-06-13,0.1778
"5",2019-06-14,0.1894
"6",2019-06-17,0.1845
"7",2019-06-18,0.1922
"8",2019-06-19,0.1995
"9",2019-06-20,0.2127
"10",2019-06-21,0.2244
"11",2019-06-24,0.2023
"12",2019-06-25,0.2019
"13",2019-06-26,0.1839
"14",2019-06-27,0.1853
"15",2019-06-28,0.2043
"16",2019-07-01,0.2148
"17",2019-07-02,0.2236
"18",2019-07-03,0.2379
"19",2019-07-05,0.2411
"20",2019-07-08,0.2488
"21",2019-07-09,0.2303
"22",2019-07-10,0.241
"23",2019-07-11,0.2271
"24",2019-07-12,0.1972
"25",2019-07-15,0.1726
"26",2019-07-16,0.1661
"27",2019-07-17,0.1388
"28",2019-07-18,0.151
"29",2019-07-19,0.1487
"30",2019-07-22,0.1372
"31",2019-07-23,0.1198
"32",2019-07-24,0.1099
"33",2019-07-25,0.099
"34",2019-07-26,0.0967
"35",2019-07-29,0.1036
"36",2019-07-30,0.083
"37",2019-07-31,0.0823
"38",2019-08-01,0.1051
"39",2019-08-02,0.0988
"40",2019-08-05,0.111
"41",2019-08-06,0.089
"42",2019-08-07,0.0937
"43",2019-08-08,0.0776
"44",2019-08-09,0.0805
"45",2019-08-12,0.0929
"46",2019-08-13,0.0725
"47",2019-08-14,0.0551
"48",2019-08-15,0.0576
"49",2019-08-16,0.0488
"50",2019-08-19,0.0483000000000001
"51",2019-08-20,0.0457
"52",2019-08-21,0.0514000000000001
"53",2019-08-22,0.0421
"54",2019-08-23,0.045
"55",2019-08-26,0.0447
"56",2019-08-27,0.0405
"57",2019-08-28,0.0376
"58",2019-08-29,0.0297999999999999
"59",2019-08-30,0.0373
"60",2019-09-03,0.0439000000000001
"61",2019-09-04,0.0411
"62",2019-09-05,0.0479
"63",2019-09-06,0.0528
"64",2019-09-09,0.0583000000000001
"65",2019-09-10,0.0593
"66",2019-09-11,0.0695000000000001
"67",2019-09-12,0.0853
"68",2019-09-13,0.1076
"69",2019-09-16,0.1143
"70",2019-09-17,0.1411
"71",2019-09-18,0.1527
"72",2019-09-19,0.1669
"73",2019-09-20,0.1572
"74",2019-09-23,0.1762
"75",2019-09-24,0.177
"76",2019-09-25,0.1868
"77",2019-09-26,0.1984
"78",2019-09-27,0.2205
"79",2019-09-30,0.2256
"80",2019-10-01,0.2439
"81",2019-10-02,0.2395
"82",2019-10-03,0.2659
"83",2019-10-04,0.267
"84",2019-10-07,0.2712
"85",2019-10-08,0.2787
"86",2019-10-09,0.2769
"87",2019-10-10,0.2582
"88",2019-10-11,0.2711
"89",2019-10-14,0.2712
"90",2019-10-15,0.2879
"91",2019-10-16,0.3041
"92",2019-10-17,0.3345
"93",2019-10-18,0.3374
"94",2019-10-21,0.336
"95",2019-10-22,0.3263
"96",2019-10-23,0.3235
"97",2019-10-24,0.3171
"98",2019-10-25,0.3211
"99",2019-10-28,0.3212
"100",2019-10-29,0.3226
"101",2019-10-30,0.3177
"102",2019-10-31,0.2983
"103",2019-11-01,0.2959
"104",2019-11-04,0.3012
"105",2019-11-05,0.2992
"106",2019-11-06,0.3078
"107",2019-11-07,0.3047
"108",2019-11-08,0.2979
"109",2019-11-11,0.3128
"110",2019-11-12,0.3227
"111",2019-11-13,0.308
"112",2019-11-14,0.3152
"113",2019-11-15,0.2914
"114",2019-11-18,0.2908
"115",2019-11-19,0.2874
"116",2019-11-20,0.2832
"117",2019-11-21,0.2781
"118",2019-11-22,0.2919
"119",2019-11-25,0.2911
"120",2019-11-26,0.3249
"121",2019-11-27,0.3189
"122",2019-11-29,0.3355
"123",2019-12-02,0.313
"124",2019-12-03,0.2987
"125",2019-12-04,0.3039
