"","date","BNB"
"1",2019-12-21,0.3893
"2",2019-12-22,0.3771
"3",2019-12-23,0.3367
"4",2019-12-24,0.2514
"5",2019-12-25,0.2604
"6",2019-12-26,0.2469
"7",2019-12-27,0.2359
"8",2019-12-28,0.2433
"9",2019-12-29,0.2572
"10",2019-12-30,0.2499
"11",2019-12-31,0.2793
"12",2020-01-01,0.2906
"13",2020-01-02,0.2824
"14",2020-01-03,0.2963
"15",2020-01-04,0.3049
"16",2020-01-05,0.3374
"17",2020-01-06,0.3333
"18",2020-01-07,0.3388
"19",2020-01-08,0.3441
"20",2020-01-09,0.3404
"21",2020-01-10,0.3612
"22",2020-01-11,0.3641
"23",2020-01-12,0.3476
"24",2020-01-13,0.3531
"25",2020-01-14,0.3618
"26",2020-01-15,0.3638
"27",2020-01-16,0.3761
"28",2020-01-17,0.3669
"29",2020-01-18,0.3802
"30",2020-01-19,0.3619
"31",2020-01-20,0.3629
"32",2020-01-21,0.3542
"33",2020-01-22,0.3369
"34",2020-01-23,0.3277
"35",2020-01-24,0.3172
"36",2020-01-25,0.3336
"37",2020-01-26,0.3468
"38",2020-01-27,0.3551
"39",2020-01-28,0.3334
"40",2020-01-29,0.2114
"41",2020-01-30,0.2276
"42",2020-01-31,0.2405
"43",2020-02-01,0.2142
"44",2020-02-02,0.2098
"45",2020-02-03,0.2039
"46",2020-02-04,0.1999
"47",2020-02-05,0.1982
"48",2020-02-06,0.2128
"49",2020-02-07,0.2417
"50",2020-02-08,0.2367
"51",2020-02-09,0.2465
"52",2020-02-10,0.2473
"53",2020-02-11,0.2311
"54",2020-02-12,0.2348
"55",2020-02-13,0.2275
"56",2020-02-14,0.2153
"57",2020-02-15,0.2231
"58",2020-02-16,0.2272
"59",2020-02-17,0.2236
"60",2020-02-18,0.2371
"61",2020-02-19,0.2448
"62",2020-02-20,0.2545
"63",2020-02-21,0.2323
"64",2020-02-22,0.2347
"65",2020-02-23,0.2376
"66",2020-02-24,0.2317
"67",2020-02-25,0.2255
"68",2020-02-26,0.2346
"69",2020-02-27,0.2358
"70",2020-02-28,0.2269
"71",2020-02-29,0.2479
"72",2020-03-01,0.2371
"73",2020-03-02,0.225
"74",2020-03-03,0.2263
"75",2020-03-04,0.2195
"76",2020-03-05,0.2069
"77",2020-03-06,0.203
"78",2020-03-07,0.2044
"79",2020-03-08,0.1992
"80",2020-03-09,0.2048
"81",2020-03-10,0.2272
"82",2020-03-11,0.2327
"83",2020-03-12,0.2244
"84",2020-03-13,0.2354
"85",2020-03-14,0.2403
"86",2020-03-15,0.2284
"87",2020-03-16,0.2124
"88",2020-03-17,0.2208
"89",2020-03-18,0.2285
"90",2020-03-19,0.2367
"91",2020-03-20,0.254
"92",2020-03-21,0.2534
"93",2020-03-22,0.26
"94",2020-03-23,0.2434
"95",2020-03-24,0.2368
"96",2020-03-25,0.2377
"97",2020-03-26,0.2385
"98",2020-03-27,0.2278
"99",2020-03-28,0.2339
"100",2020-03-29,0.2358
"101",2020-03-30,0.2564
"102",2020-03-31,0.2474
"103",2020-04-01,0.2263
"104",2020-04-02,0.2359
"105",2020-04-03,0.2139
"106",2020-04-04,0.2188
"107",2020-04-05,0.2366
"108",2020-04-06,0.2341
"109",2020-04-07,0.2341
"110",2020-04-08,0.2448
"111",2020-04-09,0.2351
"112",2020-04-10,0.2197
"113",2020-04-11,0.217
"114",2020-04-12,0.2244
"115",2020-04-13,0.235
"116",2020-04-14,0.1991
"117",2020-04-15,0.2003
"118",2020-04-16,0.1918
"119",2020-04-17,0.1992
"120",2020-04-18,0.2028
"121",2020-04-19,0.2254
"122",2020-04-20,0.2158
"123",2020-04-21,0.2025
"124",2020-04-22,0.2111
"125",2020-04-23,0.2027
"126",2020-04-24,0.2114
"127",2020-04-25,0.1937
"128",2020-04-26,0.2044
"129",2020-04-27,0.1999
"130",2020-04-28,0.1685
"131",2020-04-29,0.1812
"132",2020-04-30,0.188
"133",2020-05-01,0.1905
