"","date","XRP"
"1",2020-12-15,0.427
"2",2020-12-16,0.4173
"3",2020-12-17,0.4282
"4",2020-12-18,0.4419
"5",2020-12-19,0.4584
"6",2020-12-20,0.462
"7",2020-12-21,0.4605
"8",2020-12-22,0.4605
"9",2020-12-23,0.4749
"10",2020-12-24,0.471
"11",2020-12-25,0.4826
"12",2020-12-26,0.4845
"13",2020-12-27,0.4944
"14",2020-12-28,0.4954
"15",2020-12-29,0.5056
"16",2020-12-30,0.4965
"17",2020-12-31,0.4905
"18",2021-01-01,0.4884
"19",2021-01-02,0.4933
"20",2021-01-03,0.4915
"21",2021-01-04,0.4887
"22",2021-01-05,0.4899
"23",2021-01-06,0.4977
"24",2021-01-07,0.5057
"25",2021-01-08,0.5195
"26",2021-01-09,0.5069
"27",2021-01-10,0.5103
"28",2021-01-11,0.5053
"29",2021-01-12,0.5134
"30",2021-01-13,0.5062
"31",2021-01-14,0.503
"32",2021-01-15,0.4933
"33",2021-01-16,0.5051
"34",2021-01-17,0.504
"35",2021-01-18,0.5036
"36",2021-01-19,0.5031
"37",2021-01-20,0.4959
"38",2021-01-21,0.4871
"39",2021-01-22,0.5006
"40",2021-01-23,0.5005
"41",2021-01-24,0.5021
"42",2021-01-25,0.4918
"43",2021-01-26,0.4894
"44",2021-01-27,0.4918
"45",2021-01-28,0.503
"46",2021-01-29,0.494
"47",2021-01-30,0.4901
"48",2021-01-31,0.4946
"49",2021-02-01,0.5134
"50",2021-02-02,0.5015
"51",2021-02-03,0.5009
"52",2021-02-04,0.4943
"53",2021-02-05,0.4933
"54",2021-02-06,0.4967
"55",2021-02-07,0.4986
"56",2021-02-08,0.4947
"57",2021-02-09,0.4972
"58",2021-02-10,0.4902
"59",2021-02-11,0.4872
"60",2021-02-12,0.4904
"61",2021-02-13,0.4935
"62",2021-02-14,0.4876
"63",2021-02-15,0.4868
"64",2021-02-16,0.4868
"65",2021-02-17,0.491
"66",2021-02-18,0.4809
"67",2021-02-19,0.4813
"68",2021-02-20,0.4706
"69",2021-02-21,0.4887
"70",2021-02-22,0.4857
"71",2021-02-23,0.4872
"72",2021-02-24,0.4823
"73",2021-02-25,0.4786
"74",2021-02-26,0.4732
"75",2021-02-27,0.4762
"76",2021-02-28,0.4694
"77",2021-03-01,0.4771
"78",2021-03-02,0.4813
"79",2021-03-03,0.479
"80",2021-03-04,0.4729
"81",2021-03-05,0.4778
"82",2021-03-06,0.4706
"83",2021-03-07,0.4685
"84",2021-03-08,0.4732
"85",2021-03-09,0.4731
"86",2021-03-10,0.4556
"87",2021-03-11,0.4512
"88",2021-03-12,0.4585
"89",2021-03-13,0.4655
"90",2021-03-14,0.4615
"91",2021-03-15,0.4627
"92",2021-03-16,0.4653
"93",2021-03-17,0.476
"94",2021-03-18,0.4599
"95",2021-03-19,0.4633
"96",2021-03-20,0.4595
"97",2021-03-21,0.4617
"98",2021-03-22,0.4488
"99",2021-03-23,0.4642
"100",2021-03-24,0.4598
"101",2021-03-25,0.4614
"102",2021-03-26,0.4627
"103",2021-03-27,0.4645
"104",2021-03-28,0.469
"105",2021-03-29,0.4721
"106",2021-03-30,0.4631
"107",2021-03-31,0.4529
"108",2021-04-01,0.4469
"109",2021-04-02,0.4538
"110",2021-04-03,0.4522
"111",2021-04-04,0.4525
"112",2021-04-05,0.4447
"113",2021-04-06,0.4479
"114",2021-04-07,0.4537
"115",2021-04-08,0.4676
"116",2021-04-09,0.4611
"117",2021-04-10,0.4642
"118",2021-04-11,0.4584
"119",2021-04-12,0.4545
"120",2021-04-13,0.4553
"121",2021-04-14,0.4617
"122",2021-04-15,0.4553
"123",2021-04-16,0.4653
"124",2021-04-17,0.4726
"125",2021-04-18,0.4811
"126",2021-04-19,0.4745
"127",2021-04-20,0.4702
"128",2021-04-21,0.4644
"129",2021-04-22,0.4794
"130",2021-04-23,0.4718
"131",2021-04-24,0.4696
"132",2021-04-25,0.4729
"133",2021-04-26,0.477
"134",2021-04-27,0.4715
"135",2021-04-28,0.473
"136",2021-04-29,0.4704
"137",2021-04-30,0.4773
