"","date","LTC"
"1",2020-12-15,0.1835
"2",2020-12-16,0.1851
"3",2020-12-17,0.1798
"4",2020-12-18,0.1804
"5",2020-12-19,0.1908
"6",2020-12-20,0.1875
"7",2020-12-21,0.1832
"8",2020-12-22,0.1864
"9",2020-12-23,0.1809
"10",2020-12-24,0.1819
"11",2020-12-25,0.1942
"12",2020-12-26,0.2016
"13",2020-12-27,0.1976
"14",2020-12-28,0.194
"15",2020-12-29,0.1923
"16",2020-12-30,0.1917
"17",2020-12-31,0.1868
"18",2021-01-01,0.187
"19",2021-01-02,0.1883
"20",2021-01-03,0.1849
"21",2021-01-04,0.1839
"22",2021-01-05,0.1894
"23",2021-01-06,0.1879
"24",2021-01-07,0.1864
"25",2021-01-08,0.1865
"26",2021-01-09,0.1818
"27",2021-01-10,0.1835
"28",2021-01-11,0.1789
"29",2021-01-12,0.1902
"30",2021-01-13,0.1895
"31",2021-01-14,0.1866
"32",2021-01-15,0.192
"33",2021-01-16,0.1886
"34",2021-01-17,0.1838
"35",2021-01-18,0.1853
"36",2021-01-19,0.188
"37",2021-01-20,0.1725
"38",2021-01-21,0.1784
"39",2021-01-22,0.1647
"40",2021-01-23,0.1631
"41",2021-01-24,0.1666
"42",2021-01-25,0.1633
"43",2021-01-26,0.1563
"44",2021-01-27,0.1508
"45",2021-01-28,0.1434
"46",2021-01-29,0.1413
"47",2021-01-30,0.1468
"48",2021-01-31,0.153
"49",2021-02-01,0.1625
"50",2021-02-02,0.1583
"51",2021-02-03,0.1561
"52",2021-02-04,0.1585
"53",2021-02-05,0.1579
"54",2021-02-06,0.1627
"55",2021-02-07,0.1633
"56",2021-02-08,0.1565
"57",2021-02-09,0.1536
"58",2021-02-10,0.1517
"59",2021-02-11,0.157
"60",2021-02-12,0.1653
"61",2021-02-13,0.1625
"62",2021-02-14,0.1704
"63",2021-02-15,0.1624
"64",2021-02-16,0.1677
"65",2021-02-17,0.1709
"66",2021-02-18,0.1682
"67",2021-02-19,0.1704
"68",2021-02-20,0.1782
"69",2021-02-21,0.175
"70",2021-02-22,0.1714
"71",2021-02-23,0.1791
"72",2021-02-24,0.1787
"73",2021-02-25,0.1779
"74",2021-02-26,0.1846
"75",2021-02-27,0.1966
