"","date","TRX"
"1",2020-12-15,0.3572
"2",2020-12-16,0.3068
"3",2020-12-17,0.2567
"4",2020-12-18,0.2626
"5",2020-12-19,0.275
"6",2020-12-20,0.2834
"7",2020-12-21,0.2815
"8",2020-12-22,0.294
"9",2020-12-23,0.2949
"10",2020-12-24,0.2967
"11",2020-12-25,0.3008
"12",2020-12-26,0.305
"13",2020-12-27,0.3024
"14",2020-12-28,0.3027
"15",2020-12-29,0.3001
"16",2020-12-30,0.2915
"17",2020-12-31,0.2844
"18",2021-01-01,0.2879
"19",2021-01-02,0.2923
"20",2021-01-03,0.294
"21",2021-01-04,0.2874
"22",2021-01-05,0.285
"23",2021-01-06,0.284
"24",2021-01-07,0.2917
"25",2021-01-08,0.2907
"26",2021-01-09,0.2915
"27",2021-01-10,0.2851
"28",2021-01-11,0.2855
"29",2021-01-12,0.2931
"30",2021-01-13,0.2841
"31",2021-01-14,0.2764
"32",2021-01-15,0.272
"33",2021-01-16,0.2668
"34",2021-01-17,0.2618
"35",2021-01-18,0.2606
"36",2021-01-19,0.2712
"37",2021-01-20,0.2613
"38",2021-01-21,0.2617
"39",2021-01-22,0.258
"40",2021-01-23,0.2589
"41",2021-01-24,0.2608
"42",2021-01-25,0.2577
"43",2021-01-26,0.2556
"44",2021-01-27,0.2631
"45",2021-01-28,0.2532
"46",2021-01-29,0.253
"47",2021-01-30,0.2546
"48",2021-01-31,0.2588
"49",2021-02-01,0.25
"50",2021-02-02,0.2471
"51",2021-02-03,0.2424
"52",2021-02-04,0.2366
"53",2021-02-05,0.2425
"54",2021-02-06,0.2436
"55",2021-02-07,0.242
"56",2021-02-08,0.2446
"57",2021-02-09,0.2444
"58",2021-02-10,0.2395
"59",2021-02-11,0.2384
"60",2021-02-12,0.2456
"61",2021-02-13,0.2436
"62",2021-02-14,0.2395
"63",2021-02-15,0.237
"64",2021-02-16,0.2388
"65",2021-02-17,0.2333
"66",2021-02-18,0.231
"67",2021-02-19,0.2294
"68",2021-02-20,0.2398
"69",2021-02-21,0.2387
"70",2021-02-22,0.2425
"71",2021-02-23,0.2411
"72",2021-02-24,0.2429
"73",2021-02-25,0.2462
"74",2021-02-26,0.252
"75",2021-02-27,0.2572
"76",2021-02-28,0.2637
"77",2021-03-01,0.2687
"78",2021-03-02,0.2727
"79",2021-03-03,0.2759
"80",2021-03-04,0.2815
"81",2021-03-05,0.2771
"82",2021-03-06,0.2729
"83",2021-03-07,0.2813
"84",2021-03-08,0.287
"85",2021-03-09,0.2869
"86",2021-03-10,0.2847
"87",2021-03-11,0.2803
"88",2021-03-12,0.2773
"89",2021-03-13,0.2839
"90",2021-03-14,0.2894
"91",2021-03-15,0.2865
"92",2021-03-16,0.2963
"93",2021-03-17,0.2995
"94",2021-03-18,0.3033
"95",2021-03-19,0.3107
"96",2021-03-20,0.3233
"97",2021-03-21,0.3187
"98",2021-03-22,0.3205
"99",2021-03-23,0.3264
"100",2021-03-24,0.331
"101",2021-03-25,0.3413
"102",2021-03-26,0.3414
"103",2021-03-27,0.344
"104",2021-03-28,0.3461
"105",2021-03-29,0.3401
"106",2021-03-30,0.3435
"107",2021-03-31,0.3432
"108",2021-04-01,0.342
"109",2021-04-02,0.3404
"110",2021-04-03,0.3416
"111",2021-04-04,0.3353
"112",2021-04-05,0.3317
"113",2021-04-06,0.3275
"114",2021-04-07,0.3273
"115",2021-04-08,0.3244
"116",2021-04-09,0.3263
"117",2021-04-10,0.3224
"118",2021-04-11,0.3214
"119",2021-04-12,0.3245
"120",2021-04-13,0.3273
"121",2021-04-14,0.318
"122",2021-04-15,0.3112
"123",2021-04-16,0.3137
"124",2021-04-17,0.3178
"125",2021-04-18,0.3193
"126",2021-04-19,0.3202
"127",2021-04-20,0.3227
"128",2021-04-21,0.3304
"129",2021-04-22,0.3277
"130",2021-04-23,0.3219
"131",2021-04-24,0.3301
"132",2021-04-25,0.3356
"133",2021-04-26,0.3325
"134",2021-04-27,0.3347
"135",2021-04-28,0.3269
"136",2021-04-29,0.3264
"137",2021-04-30,0.3277
"138",2021-05-01,0.3302
"139",2021-05-02,0.3259
"140",2021-05-03,0.33
"141",2021-05-04,0.3282
"142",2021-05-05,0.3197
"143",2021-05-06,0.3255
"144",2021-05-07,0.3315
"145",2021-05-08,0.3314
"146",2021-05-09,0.3257
"147",2021-05-10,0.3167
"148",2021-05-11,0.3224
"149",2021-05-12,0.3233
"150",2021-05-13,0.3262
"151",2021-05-14,0.3259
"152",2021-05-15,0.326
"153",2021-05-16,0.3251
"154",2021-05-17,0.3237
"155",2021-05-18,0.3281
"156",2021-05-19,0.3345
"157",2021-05-20,0.3313
"158",2021-05-21,0.3361
"159",2021-05-22,0.3388
"160",2021-05-23,0.3383
"161",2021-05-24,0.3404
"162",2021-05-25,0.3427
"163",2021-05-26,0.338
"164",2021-05-27,0.3384
"165",2021-05-28,0.3367
"166",2021-05-29,0.3363
"167",2021-05-30,0.3381
"168",2021-05-31,0.342
"169",2021-06-01,0.3413
"170",2021-06-02,0.3414
"171",2021-06-03,0.338
"172",2021-06-04,0.3413
"173",2021-06-05,0.3489
"174",2021-06-06,0.3498
"175",2021-06-07,0.3418
"176",2021-06-08,0.3443
"177",2021-06-09,0.3316
"178",2021-06-10,0.3221
"179",2021-06-11,0.3257
"180",2021-06-12,0.3309
"181",2021-06-13,0.3282
"182",2021-06-14,0.3273
"183",2021-06-15,0.3316
"184",2021-06-16,0.3387
"185",2021-06-17,0.336
"186",2021-06-18,0.3382
"187",2021-06-19,0.3398
"188",2021-06-20,0.3438
"189",2021-06-21,0.3425
"190",2021-06-22,0.3395
"191",2021-06-23,0.3402
"192",2021-06-24,0.3471
"193",2021-06-25,0.3448
"194",2021-06-26,0.3451
"195",2021-06-27,0.3384
"196",2021-06-28,0.3385
"197",2021-06-29,0.3385
"198",2021-06-30,0.3379
"199",2021-07-01,0.33
"200",2021-07-02,0.3362
"201",2021-07-03,0.3358
"202",2021-07-04,0.3276
"203",2021-07-05,0.3299
"204",2021-07-06,0.3355
"205",2021-07-07,0.3336
"206",2021-07-08,0.3337
"207",2021-07-09,0.329
"208",2021-07-10,0.3318
"209",2021-07-11,0.3373
"210",2021-07-12,0.3341
"211",2021-07-13,0.3355
"212",2021-07-14,0.3337
"213",2021-07-15,0.3317
"214",2021-07-16,0.3324
"215",2021-07-17,0.3332
"216",2021-07-18,0.3396
"217",2021-07-19,0.3316
"218",2021-07-20,0.3325
"219",2021-07-21,0.3291
"220",2021-07-22,0.3319
"221",2021-07-23,0.3339
"222",2021-07-24,0.3359
"223",2021-07-25,0.3349
"224",2021-07-26,0.3346
"225",2021-07-27,0.3247
"226",2021-07-28,0.3183
"227",2021-07-29,0.318
"228",2021-07-30,0.3296
"229",2021-07-31,0.3257
"230",2021-08-01,0.3216
"231",2021-08-02,0.3296
"232",2021-08-03,0.3209
"233",2021-08-04,0.3233
