"","date","ETH"
"1",2019-12-21,0.1989
"2",2019-12-22,0.1936
"3",2019-12-23,0.1867
"4",2019-12-24,0.1853
"5",2019-12-25,0.1859
"6",2019-12-26,0.1701
"7",2019-12-27,0.1652
"8",2019-12-28,0.1608
"9",2019-12-29,0.1546
"10",2019-12-30,0.1554
"11",2019-12-31,0.1646
"12",2020-01-01,0.1698
"13",2020-01-02,0.1641
"14",2020-01-03,0.1546
"15",2020-01-04,0.1617
"16",2020-01-05,0.1578
"17",2020-01-06,0.1456
"18",2020-01-07,0.1525
"19",2020-01-08,0.1549
"20",2020-01-09,0.1525
"21",2020-01-10,0.1532
"22",2020-01-11,0.1571
"23",2020-01-12,0.1423
"24",2020-01-13,0.1488
"25",2020-01-14,0.143
"26",2020-01-15,0.1263
"27",2020-01-16,0.1294
"28",2020-01-17,0.1333
"29",2020-01-18,0.14
"30",2020-01-19,0.1406
"31",2020-01-20,0.1415
"32",2020-01-21,0.1267
"33",2020-01-22,0.1321
"34",2020-01-23,0.125
"35",2020-01-24,0.1305
"36",2020-01-25,0.1449
"37",2020-01-26,0.1318
"38",2020-01-27,0.1325
"39",2020-01-28,0.1256
"40",2020-01-29,0.1224
"41",2020-01-30,0.1279
"42",2020-01-31,0.1203
"43",2020-02-01,0.1203
"44",2020-02-02,0.1145
"45",2020-02-03,0.1036
"46",2020-02-04,0.1089
"47",2020-02-05,0.1076
"48",2020-02-06,0.1249
"49",2020-02-07,0.1401
"50",2020-02-08,0.1445
"51",2020-02-09,0.1479
"52",2020-02-10,0.1461
"53",2020-02-11,0.1327
"54",2020-02-12,0.1427
"55",2020-02-13,0.1452
"56",2020-02-14,0.1354
"57",2020-02-15,0.141
"58",2020-02-16,0.1319
"59",2020-02-17,0.1374
"60",2020-02-18,0.1608
"61",2020-02-19,0.1621
"62",2020-02-20,0.1542
"63",2020-02-21,0.1552
"64",2020-02-22,0.1626
"65",2020-02-23,0.1722
"66",2020-02-24,0.1711
"67",2020-02-25,0.1736
"68",2020-02-26,0.1744
"69",2020-02-27,0.177
"70",2020-02-28,0.173
"71",2020-02-29,0.1771
"72",2020-03-01,0.1751
"73",2020-03-02,0.1675
"74",2020-03-03,0.1681
"75",2020-03-04,0.1731
"76",2020-03-05,0.16
"77",2020-03-06,0.1612
"78",2020-03-07,0.1663
"79",2020-03-08,0.1659
"80",2020-03-09,0.166
"81",2020-03-10,0.1635
"82",2020-03-11,0.1701
"83",2020-03-12,0.1847
"84",2020-03-13,0.1945
"85",2020-03-14,0.1886
"86",2020-03-15,0.1647
"87",2020-03-16,0.1694
"88",2020-03-17,0.1942
"89",2020-03-18,0.2025
"90",2020-03-19,0.2186
"91",2020-03-20,0.226
"92",2020-03-21,0.223
"93",2020-03-22,0.2396
"94",2020-03-23,0.2238
"95",2020-03-24,0.2348
"96",2020-03-25,0.2471
"97",2020-03-26,0.2352
"98",2020-03-27,0.2294
"99",2020-03-28,0.2456
"100",2020-03-29,0.248
"101",2020-03-30,0.2615
"102",2020-03-31,0.2526
"103",2020-04-01,0.2654
"104",2020-04-02,0.2624
"105",2020-04-03,0.2468
"106",2020-04-04,0.2456
"107",2020-04-05,0.2473
"108",2020-04-06,0.2411
"109",2020-04-07,0.23
"110",2020-04-08,0.2489
"111",2020-04-09,0.2414
"112",2020-04-10,0.2283
"113",2020-04-11,0.2278
"114",2020-04-12,0.2333
"115",2020-04-13,0.245
"116",2020-04-14,0.2173
"117",2020-04-15,0.2179
"118",2020-04-16,0.2043
"119",2020-04-17,0.2128
"120",2020-04-18,0.2187
"121",2020-04-19,0.2261
"122",2020-04-20,0.1966
"123",2020-04-21,0.2188
"124",2020-04-22,0.2232
"125",2020-04-23,0.2185
"126",2020-04-24,0.225
"127",2020-04-25,0.2194
"128",2020-04-26,0.2254
"129",2020-04-27,0.2105
"130",2020-04-28,0.196
"131",2020-04-29,0.2056
"132",2020-04-30,0.2203
"133",2020-05-01,0.2116
"134",2020-05-02,0.2169
"135",2020-05-03,0.2212
"136",2020-05-04,0.2182
"137",2020-05-05,0.2265
"138",2020-05-06,0.2284
"139",2020-05-07,0.2276
"140",2020-05-08,0.2404
"141",2020-05-09,0.2354
"142",2020-05-10,0.2024
"143",2020-05-11,0.2329
"144",2020-05-12,0.2331
"145",2020-05-13,0.2378
"146",2020-05-14,0.2188
"147",2020-05-15,0.2158
"148",2020-05-16,0.236
"149",2020-05-17,0.2294
"150",2020-05-18,0.2386
"151",2020-05-19,0.2328
"152",2020-05-20,0.2153
"153",2020-05-21,0.2117
"154",2020-05-22,0.2187
"155",2020-05-23,0.2294
"156",2020-05-24,0.2271
"157",2020-05-25,0.2199
"158",2020-05-26,0.2132
"159",2020-05-27,0.2381
"160",2020-05-28,0.235
"161",2020-05-29,0.2329
"162",2020-05-30,0.2269
"163",2020-05-31,0.235
"164",2020-06-01,0.2237
"165",2020-06-02,0.2265
"166",2020-06-03,0.2204
"167",2020-06-04,0.2284
"168",2020-06-05,0.2434
"169",2020-06-06,0.252
"170",2020-06-07,0.2485
"171",2020-06-08,0.2346
"172",2020-06-09,0.2178
"173",2020-06-10,0.2339
"174",2020-06-11,0.2363
"175",2020-06-12,0.231
"176",2020-06-13,0.2371
"177",2020-06-14,0.2226
"178",2020-06-15,0.2023
"179",2020-06-16,0.2218
"180",2020-06-17,0.246
"181",2020-06-18,0.2516
"182",2020-06-19,0.2392
"183",2020-06-20,0.2527
"184",2020-06-21,0.2518
"185",2020-06-22,0.2351
"186",2020-06-23,0.2252
"187",2020-06-24,0.246
"188",2020-06-25,0.2476
"189",2020-06-26,0.2421
"190",2020-06-27,0.2347
"191",2020-06-28,0.2365
"192",2020-06-29,0.2451
"193",2020-06-30,0.2425
"194",2020-07-01,0.2376
"195",2020-07-02,0.2458
"196",2020-07-03,0.2384
"197",2020-07-04,0.2315
"198",2020-07-05,0.2451
"199",2020-07-06,0.2414
"200",2020-07-07,0.2454
"201",2020-07-08,0.2486
"202",2020-07-09,0.2223
"203",2020-07-10,0.2508
"204",2020-07-11,0.2488
"205",2020-07-12,0.2492
