"","date","BTC"
"1",2019-12-21,0.3741
"2",2019-12-22,0.3806
"3",2019-12-23,0.3693
"4",2019-12-24,0.3766
"5",2019-12-25,0.3831
"6",2019-12-26,0.3735
"7",2019-12-27,0.366
"8",2019-12-28,0.3715
"9",2019-12-29,0.3662
"10",2019-12-30,0.3644
"11",2019-12-31,0.3806
"12",2020-01-01,0.3866
"13",2020-01-02,0.3745
"14",2020-01-03,0.3819
"15",2020-01-04,0.3865
"16",2020-01-05,0.3953
"17",2020-01-06,0.3886
"18",2020-01-07,0.3909
"19",2020-01-08,0.3816
"20",2020-01-09,0.3897
"21",2020-01-10,0.3965
"22",2020-01-11,0.4041
"23",2020-01-12,0.3915
"24",2020-01-13,0.4141
"25",2020-01-14,0.4022
"26",2020-01-15,0.3979
"27",2020-01-16,0.4047
"28",2020-01-17,0.411
"29",2020-01-18,0.4121
"30",2020-01-19,0.4055
"31",2020-01-20,0.3965
"32",2020-01-21,0.3819
"33",2020-01-22,0.3656
"34",2020-01-23,0.3574
"35",2020-01-24,0.3573
"36",2020-01-25,0.3859
"37",2020-01-26,0.3852
"38",2020-01-27,0.3832
"39",2020-01-28,0.3636
"40",2020-01-29,0.3619
"41",2020-01-30,0.3767
"42",2020-01-31,0.3684
"43",2020-02-01,0.3551
"44",2020-02-02,0.3518
"45",2020-02-03,0.3372
"46",2020-02-04,0.342
"47",2020-02-05,0.3332
"48",2020-02-06,0.3602
"49",2020-02-07,0.3694
"50",2020-02-08,0.3711
"51",2020-02-09,0.369
"52",2020-02-10,0.366
"53",2020-02-11,0.3583
"54",2020-02-12,0.3662
"55",2020-02-13,0.3575
"56",2020-02-14,0.3581
"57",2020-02-15,0.3619
"58",2020-02-16,0.3558
"59",2020-02-17,0.3554
"60",2020-02-18,0.3797
"61",2020-02-19,0.376
"62",2020-02-20,0.3639
"63",2020-02-21,0.3572
"64",2020-02-22,0.3628
"65",2020-02-23,0.3532
"66",2020-02-24,0.3554
"67",2020-02-25,0.3578
"68",2020-02-26,0.3774
"69",2020-02-27,0.372
"70",2020-02-28,0.3862
"71",2020-02-29,0.3935
"72",2020-03-01,0.385
"73",2020-03-02,0.3647
"74",2020-03-03,0.3641
"75",2020-03-04,0.3646
"76",2020-03-05,0.3543
"77",2020-03-06,0.3521
"78",2020-03-07,0.3673
"79",2020-03-08,0.3674
"80",2020-03-09,0.3814
"81",2020-03-10,0.3851
"82",2020-03-11,0.3879
"83",2020-03-12,0.3895
"84",2020-03-13,0.4032
"85",2020-03-14,0.3997
"86",2020-03-15,0.3876
"87",2020-03-16,0.3775
"88",2020-03-17,0.3906
"89",2020-03-18,0.4042
"90",2020-03-19,0.4268
"91",2020-03-20,0.4364
"92",2020-03-21,0.4375
"93",2020-03-22,0.4445
"94",2020-03-23,0.4236
"95",2020-03-24,0.4207
"96",2020-03-25,0.4419
"97",2020-03-26,0.4346
"98",2020-03-27,0.4185
"99",2020-03-28,0.422
"100",2020-03-29,0.429
"101",2020-03-30,0.455
"102",2020-03-31,0.4356
"103",2020-04-01,0.4278
"104",2020-04-02,0.44
"105",2020-04-03,0.4213
"106",2020-04-04,0.4254
"107",2020-04-05,0.4307
"108",2020-04-06,0.4438
"109",2020-04-07,0.4295
"110",2020-04-08,0.4498
"111",2020-04-09,0.4471
"112",2020-04-10,0.4353
"113",2020-04-11,0.4337
"114",2020-04-12,0.4473
"115",2020-04-13,0.4606
"116",2020-04-14,0.4386
"117",2020-04-15,0.4281
"118",2020-04-16,0.4192
"119",2020-04-17,0.4214
"120",2020-04-18,0.4337
"121",2020-04-19,0.4412
"122",2020-04-20,0.4178
"123",2020-04-21,0.4271
"124",2020-04-22,0.429
"125",2020-04-23,0.4203
"126",2020-04-24,0.4249
"127",2020-04-25,0.4066
"128",2020-04-26,0.4086
"129",2020-04-27,0.3914
"130",2020-04-28,0.373
"131",2020-04-29,0.3786
"132",2020-04-30,0.3963
"133",2020-05-01,0.3877
"134",2020-05-02,0.3926
"135",2020-05-03,0.3763
"136",2020-05-04,0.372
"137",2020-05-05,0.3765
"138",2020-05-06,0.373
"139",2020-05-07,0.3606
"140",2020-05-08,0.3863
"141",2020-05-09,0.3853
"142",2020-05-10,0.3379
