"","date","BTC"
"1",2018-12-26,0.3757
"2",2018-12-27,0.4164
"3",2018-12-28,0.3885
"4",2018-12-29,0.3602
"5",2018-12-30,0.3788
"6",2018-12-31,0.3513
"7",2019-01-01,0.3312
"8",2019-01-02,0.3728
"9",2019-01-03,0.3718
"10",2019-01-04,0.3854
"11",2019-01-05,0.3997
"12",2019-01-06,0.4039
"13",2019-01-07,0.3695
"14",2019-01-08,0.3988
"15",2019-01-09,0.3727
"16",2019-01-10,0.4217
"17",2019-01-11,0.3927
"18",2019-01-12,0.4248
"19",2019-01-13,0.3909
"20",2019-01-14,0.398
"21",2019-01-15,0.4159
"22",2019-01-16,0.416
"23",2019-01-17,0.363
"24",2019-01-18,0.4055
"25",2019-01-19,0.3775
"26",2019-01-20,0.3755
"27",2019-01-21,0.3961
"28",2019-01-22,0.4157
"29",2019-01-23,0.4228
"30",2019-01-24,0.3903
"31",2019-01-25,0.3819
"32",2019-01-26,0.3512
"33",2019-01-27,0.2871
"34",2019-01-28,0.2521
"35",2019-01-29,0.2307
"36",2019-01-30,0.2876
"37",2019-01-31,0.292
"38",2019-02-01,0.3096
"39",2019-02-02,0.2708
"40",2019-02-03,0.273
"41",2019-02-04,0.3295
"42",2019-02-05,0.3206
"43",2019-02-06,0.2788
"44",2019-02-07,0.2712
"45",2019-02-08,0.2145
"46",2019-02-09,0.2147
"47",2019-02-10,0.1871
"48",2019-02-11,0.241
"49",2019-02-12,0.2648
"50",2019-02-13,0.2747
"51",2019-02-14,0.2575
"52",2019-02-15,0.2277
"53",2019-02-16,0.2106
"54",2019-02-17,0.2401
"55",2019-02-18,0.2087
"56",2019-02-19,0.1939
"57",2019-02-20,0.1851
"58",2019-02-21,0.182
"59",2019-02-22,0.158
"60",2019-02-23,0.1916
"61",2019-02-24,0.195
"62",2019-02-25,0.2085
"63",2019-02-26,0.2013
"64",2019-02-27,0.2236
"65",2019-02-28,0.1826
"66",2019-03-01,0.1831
"67",2019-03-02,0.2122
"68",2019-03-03,0.2628
"69",2019-03-04,0.2388
"70",2019-03-05,0.2409
"71",2019-03-06,0.2677
"72",2019-03-07,0.2511
"73",2019-03-08,0.232
"74",2019-03-09,0.2494
"75",2019-03-10,0.2362
"76",2019-03-11,0.22
"77",2019-03-12,0.1939
"78",2019-03-13,0.2392
"79",2019-03-14,0.2467
"80",2019-03-15,0.3013
"81",2019-03-16,0.319
"82",2019-03-17,0.3332
"83",2019-03-18,0.2645
"84",2019-03-19,0.292
"85",2019-03-20,0.2686
"86",2019-03-21,0.2414
"87",2019-03-22,0.2108
"88",2019-03-23,0.2101
"89",2019-03-24,0.2098
"90",2019-03-25,0.2264
"91",2019-03-26,0.2444
"92",2019-03-27,0.2569
"93",2019-03-28,0.2735
"94",2019-03-29,0.2326
"95",2019-03-30,0.2112
"96",2019-03-31,0.2589
"97",2019-04-01,0.2642
"98",2019-04-02,0.2672
"99",2019-04-03,0.2697
"100",2019-04-04,0.2905
"101",2019-04-05,0.3449
"102",2019-04-06,0.3389
"103",2019-04-07,0.2852
"104",2019-04-08,0.3196
"105",2019-04-09,0.2911
"106",2019-04-10,0.2893
"107",2019-04-11,0.2733
"108",2019-04-12,0.3063
"109",2019-04-13,0.3002
"110",2019-04-14,0.3083
"111",2019-04-15,0.2998
"112",2019-04-16,0.3108
"113",2019-04-17,0.2877
"114",2019-04-18,0.2895
"115",2019-04-19,0.3245
"116",2019-04-20,0.2798
"117",2019-04-21,0.2697
"118",2019-04-22,0.2853
"119",2019-04-23,0.2744
"120",2019-04-24,0.3039
"121",2019-04-25,0.3095
"122",2019-04-26,0.2902
"123",2019-04-27,0.2828
"124",2019-04-28,0.2861
"125",2019-04-29,0.2776
"126",2019-04-30,0.3109
"127",2019-05-01,0.2615
"128",2019-05-02,0.2523
"129",2019-05-03,0.2446
"130",2019-05-04,0.2418
"131",2019-05-05,0.2246
"132",2019-05-06,0.248
"133",2019-05-07,0.2159
"134",2019-05-08,0.2394
"135",2019-05-09,0.2223
"136",2019-05-10,0.2069
"137",2019-05-11,0.2345
"138",2019-05-12,0.2277
"139",2019-05-13,0.2209
"140",2019-05-14,0.2444
"141",2019-05-15,0.257
"142",2019-05-16,0.2199
"143",2019-05-17,0.1878
"144",2019-05-18,0.2291
"145",2019-05-19,0.2526
"146",2019-05-20,0.2514
"147",2019-05-21,0.2474
"148",2019-05-22,0.2952
"149",2019-05-23,0.275
"150",2019-05-24,0.2667
"151",2019-05-25,0.2828
"152",2019-05-26,0.2866
"153",2019-05-27,0.26
"154",2019-05-28,0.289
"155",2019-05-29,0.2763
"156",2019-05-30,0.3161
"157",2019-05-31,0.3146
"158",2019-06-01,0.3316
"159",2019-06-02,0.3368
"160",2019-06-03,0.3137
"161",2019-06-04,0.3293
"162",2019-06-05,0.355
"163",2019-06-06,0.3361
"164",2019-06-07,0.3309
"165",2019-06-08,0.3293
"166",2019-06-09,0.3224
"167",2019-06-10,0.3278
"168",2019-06-11,0.3683
"169",2019-06-12,0.3671
"170",2019-06-13,0.381
"171",2019-06-14,0.3604
"172",2019-06-15,0.3441
"173",2019-06-16,0.3341
"174",2019-06-17,0.3453
"175",2019-06-18,0.3136
"176",2019-06-19,0.3283
"177",2019-06-20,0.3115
"178",2019-06-21,0.325
"179",2019-06-22,0.3155
"180",2019-06-23,0.3662
"181",2019-06-24,0.3921
"182",2019-06-25,0.3717
"183",2019-06-26,0.3476
"184",2019-06-27,0.3535
"185",2019-06-28,0.348
"186",2019-06-29,0.3357
"187",2019-06-30,0.3436
"188",2019-07-01,0.3553
"189",2019-07-02,0.3689
"190",2019-07-03,0.3873
"191",2019-07-04,0.3939
"192",2019-07-05,0.4408
"193",2019-07-06,0.404
"194",2019-07-07,0.3908
"195",2019-07-08,0.3829
"196",2019-07-09,0.3815
"197",2019-07-10,0.3751
"198",2019-07-11,0.394
"199",2019-07-12,0.3693
"200",2019-07-13,0.3985
"201",2019-07-14,0.4176
"202",2019-07-15,0.4014
"203",2019-07-16,0.4063
"204",2019-07-17,0.4284
"205",2019-07-18,0.396
"206",2019-07-19,0.3985
"207",2019-07-20,0.3594
"208",2019-07-21,0.3662
"209",2019-07-22,0.3699
"210",2019-07-23,0.3741
"211",2019-07-24,0.3941
"212",2019-07-25,0.3798
"213",2019-07-26,0.3589
"214",2019-07-27,0.3655
"215",2019-07-28,0.2944
"216",2019-07-29,0.2717
"217",2019-07-30,0.2658
"218",2019-07-31,0.2756
"219",2019-08-01,0.249
"220",2019-08-02,0.2563
"221",2019-08-03,0.2647
"222",2019-08-04,0.2931
"223",2019-08-05,0.27
"224",2019-08-06,0.2806
"225",2019-08-07,0.2862
"226",2019-08-08,0.2338
"227",2019-08-09,0.2109
"228",2019-08-10,0.2575
"229",2019-08-11,0.2397
"230",2019-08-12,0.2433
"231",2019-08-13,0.2801
"232",2019-08-14,0.272
"233",2019-08-15,0.2426
"234",2019-08-16,0.2524
"235",2019-08-17,0.2519
"236",2019-08-18,0.3049
"237",2019-08-19,0.2888
"238",2019-08-20,0.2974
"239",2019-08-21,0.3035
"240",2019-08-22,0.3597
"241",2019-08-23,0.3724
"242",2019-08-24,0.3833
"243",2019-08-25,0.3458
"244",2019-08-26,0.3646
"245",2019-08-27,0.3787
"246",2019-08-28,0.3761
"247",2019-08-29,0.3573
"248",2019-08-30,0.3055
"249",2019-08-31,0.3346
"250",2019-09-01,0.3593
"251",2019-09-02,0.3631
"252",2019-09-03,0.3811
"253",2019-09-04,0.3649
"254",2019-09-05,0.362
"255",2019-09-06,0.3412
"256",2019-09-07,0.3467
"257",2019-09-08,0.36
"258",2019-09-09,0.4014
"259",2019-09-10,0.3716
"260",2019-09-11,0.3843
"261",2019-09-12,0.4061
"262",2019-09-13,0.4146
"263",2019-09-14,0.3891
"264",2019-09-15,0.4236
"265",2019-09-16,0.4048
"266",2019-09-17,0.415
"267",2019-09-18,0.4226
"268",2019-09-19,0.4345
"269",2019-09-20,0.4701
"270",2019-09-21,0.4717
"271",2019-09-22,0.4764
"272",2019-09-23,0.4678
"273",2019-09-24,0.4379
