date,XRP,BNB,BTC,DOGE,ADA,ETH,TRX,LTC
2020-02-25,0.3395,0.2255,0.3578,0.2789,0.0866,0.1736,0.1322,0.1589
2020-02-26,0.3267,0.2346,0.3774,0.2885,0.0944,0.1744,0.1383,0.1596
2020-02-27,0.3494,0.2358,0.372,0.3187,0.095,0.177,0.1357,0.1521
2020-02-28,0.3575,0.2269,0.3862,0.3385,0.0912999999999999,0.173,0.1364,0.1566
2020-02-29,0.3608,0.2479,0.3935,0.3435,0.0952999999999999,0.1771,0.1286,0.1733
2020-03-01,0.351,0.2371,0.385,0.3151,0.1009,0.1751,0.1274,0.1794
2020-03-02,0.3493,0.225,0.3647,0.3018,0.1004,0.1675,0.1235,0.1648
2020-03-03,0.3371,0.2263,0.3641,0.3126,0.0991,0.1681,0.125,0.1682
2020-03-04,0.3434,0.2195,0.3646,0.3303,0.098,0.1731,0.136,0.1709
2020-03-05,0.3424,0.2069,0.3543,0.3439,0.0963000000000001,0.16,0.1461,0.1637
2020-03-06,0.3479,0.203,0.3521,0.3292,0.0915,0.1612,0.146,0.1707
2020-03-07,0.3598,0.2044,0.3673,0.3244,0.09,0.1663,0.1617,0.1746
2020-03-08,0.3652,0.1992,0.3674,0.3192,0.0839,0.1659,0.1658,0.169
2020-03-09,0.3596,0.2048,0.3814,0.3261,0.0955,0.166,0.1621,0.166
2020-03-10,0.3571,0.2272,0.3851,0.324,0.0913999999999999,0.1635,0.1582,0.1712
2020-03-11,0.3464,0.2327,0.3879,0.3185,0.0913,0.1701,0.1531,0.181
2020-03-12,0.3365,0.2244,0.3895,0.3155,0.0990000000000001,0.1847,0.1597,0.1642
2020-03-13,0.3501,0.2354,0.4032,0.344,0.1036,0.1945,0.1639,0.1646
2020-03-14,0.3754,0.2403,0.3997,0.3591,0.1076,0.1886,0.1697,0.1714
2020-03-15,0.351,0.2284,0.3876,0.3338,0.1024,0.1647,0.169,0.1559
2020-03-16,0.3436,0.2124,0.3775,0.3192,0.1048,0.1694,0.1653,0.1492
2020-03-17,0.3513,0.2208,0.3906,0.3249,0.1269,0.1942,0.1567,0.1617
2020-03-18,0.3703,0.2285,0.4042,0.3271,0.1367,0.2025,0.1618,0.1636
2020-03-19,0.3704,0.2367,0.4268,0.3373,0.1457,0.2186,0.1731,0.1716
2020-03-20,0.3838,0.254,0.4364,0.344,0.1526,0.226,0.172,0.1796
2020-03-21,0.3872,0.2534,0.4375,0.3474,0.1668,0.223,0.1882,0.1876
2020-03-22,0.3988,0.26,0.4445,0.3416,0.1768,0.2396,0.1968,0.1756
2020-03-23,0.3755,0.2434,0.4236,0.3412,0.1739,0.2238,0.2046,0.1657
2020-03-24,0.3876,0.2368,0.4207,0.3653,0.186,0.2348,0.2182,0.1578
2020-03-25,0.399,0.2377,0.4419,0.3641,0.1958,0.2471,0.234,0.1586
2020-03-26,0.4067,0.2385,0.4346,0.3216,0.1895,0.2352,0.2302,0.1475
2020-03-27,0.3847,0.2278,0.4185,0.3143,0.193,0.2294,0.2328,0.1394
2020-03-28,0.4,0.2339,0.422,0.3199,0.1918,0.2456,0.2516,0.1401
2020-03-29,0.4033,0.2358,0.429,0.3352,0.1971,0.248,0.2628,0.1351
2020-03-30,0.3958,0.2564,0.455,0.3496,0.2053,0.2615,0.2775,0.1432
2020-03-31,0.3975,0.2474,0.4356,0.3497,0.2024,0.2526,0.2797,0.1434
2020-04-01,0.4044,0.2263,0.4278,0.3557,0.2077,0.2654,0.2922,0.1367
2020-04-02,0.4207,0.2359,0.44,0.3661,0.2061,0.2624,0.2999,0.1308
2020-04-03,0.4346,0.2139,0.4213,0.3555,0.1961,0.2468,0.3059,0.114
2020-04-04,0.4224,0.2188,0.4254,0.3318,0.1953,0.2456,0.3213,0.1167
2020-04-05,0.3961,0.2366,0.4307,0.3148,0.1935,0.2473,0.3207,0.118
2020-04-06,0.3696,0.2341,0.4438,0.311,0.192,0.2411,0.322,0.106
2020-04-07,0.3799,0.2341,0.4295,0.3222,0.1914,0.23,0.3194,0.104
2020-04-08,0.3862,0.2448,0.4498,0.3269,0.2065,0.2489,0.3215,0.1203
2020-04-09,0.3994,0.2351,0.4471,0.3101,0.2001,0.2414,0.308,0.1051
2020-04-10,0.395,0.2197,0.4353,0.3143,0.1964,0.2283,0.2855,0.1141
2020-04-11,0.3869,0.217,0.4337,0.3219,0.2009,0.2278,0.2723,0.1113
2020-04-12,0.394,0.2244,0.4473,0.3326,0.1957,0.2333,0.2765,0.1154
2020-04-13,0.4181,0.235,0.4606,0.3525,0.1981,0.245,0.2812,0.1317
2020-04-14,0.4045,0.1991,0.4386,0.333,0.1847,0.2173,0.2744,0.1047
2020-04-15,0.3993,0.2003,0.4281,0.3194,0.1794,0.2179,0.2704,0.1037
2020-04-16,0.3831,0.1918,0.4192,0.3235,0.1687,0.2043,0.2704,0.1027
2020-04-17,0.3805,0.1992,0.4214,0.3377,0.174,0.2128,0.2792,0.1143
2020-04-18,0.3787,0.2028,0.4337,0.3571,0.1762,0.2187,0.2918,0.1233
2020-04-19,0.4015,0.2254,0.4412,0.3453,0.1801,0.2261,0.2835,0.1255
2020-04-20,0.3877,0.2158,0.4178,0.3244,0.174,0.1966,0.2669,0.1193
2020-04-21,0.3872,0.2025,0.4271,0.3219,0.1758,0.2188,0.2735,0.1117
2020-04-22,0.3947,0.2111,0.429,0.3453,0.1789,0.2232,0.2768,0.116
2020-04-23,0.4054,0.2027,0.4203,0.374,0.1732,0.2185,0.2774,0.1201
2020-04-24,0.4015,0.2114,0.4249,0.3632,0.171,0.225,0.2859,0.1212
2020-04-25,0.3965,0.1937,0.4066,0.3391,0.1689,0.2194,0.2876,0.1127
2020-04-26,0.3833,0.2044,0.4086,0.3486,0.182,0.2254,0.2936,0.1067
2020-04-27,0.3963,0.1999,0.3914,0.3651,0.1677,0.2105,0.2854,0.1035
2020-04-28,0.3884,0.1685,0.373,0.3792,0.1562,0.196,0.2721,0.1002
2020-04-29,0.3848,0.1812,0.3786,0.3838,0.1566,0.2056,0.283,0.1065
2020-04-30,0.3946,0.188,0.3963,0.3877,0.163,0.2203,0.2942,0.1286
2020-05-01,0.3981,0.1905,0.3877,0.3703,0.1606,0.2116,0.2915,0.1109
2020-05-02,0.3912,0.1875,0.3926,0.3754,0.1588,0.2169,0.2923,0.1065
2020-05-03,0.3944,0.1875,0.3763,0.3866,0.1568,0.2212,0.2908,0.1004
2020-05-04,0.3892,0.1902,0.372,0.3929,0.1586,0.2182,0.2889,0.0995
2020-05-05,0.392,0.2005,0.3765,0.3784,0.16,0.2265,0.2833,0.1061
2020-05-06,0.3811,0.1868,0.373,0.3628,0.1666,0.2284,0.2914,0.0997
2020-05-07,0.3939,0.1856,0.3606,0.3819,0.1666,0.2276,0.2952,0.1011
2020-05-08,0.4015,0.198,0.3863,0.4042,0.1776,0.2404,0.2983,0.1091
2020-05-09,0.4114,0.1972,0.3853,0.4045,0.1701,0.2354,0.2982,0.1069
2020-05-10,0.383,0.1689,0.3379,0.3864,0.1539,0.2024,0.2831,0.102
2020-05-11,0.3664,0.1736,0.3451,0.3874,0.1708,0.2329,0.2924,0.1061
2020-05-12,0.3756,0.1728,0.359,0.3941,0.1661,0.2331,0.2989,0.1057
2020-05-13,0.3966,0.186,0.3658,0.4084,0.1761,0.2378,0.3108,0.1201
2020-05-14,0.3757,0.1931,0.3566,0.3901,0.1775,0.2188,0.3062,0.1179
2020-05-15,0.3659,0.1918,0.368,0.3767,0.1676,0.2158,0.2964,0.1066
2020-05-16,0.3656,0.2072,0.3974,0.3905,0.1767,0.236,0.3038,0.1225
2020-05-17,0.3704,0.1913,0.3944,0.3889,0.1756,0.2294,0.3005,0.1192
2020-05-18,0.3633,0.1874,0.4031,0.3953,0.1773,0.2386,0.3022,0.1166
2020-05-19,0.3629,0.1751,0.3981,0.3902,0.1679,0.2328,0.2971,0.1212
2020-05-20,0.346,0.1649,0.3757,0.3751,0.1637,0.2153,0.2869,0.1208
2020-05-21,0.3391,0.1484,0.3571,0.3687,0.1579,0.2117,0.2895,0.1035
2020-05-22,0.3394,0.1528,0.3611,0.3876,0.1572,0.2187,0.2955,0.1067
2020-05-23,0.3527,0.1695,0.3687,0.4098,0.1693,0.2294,0.3045,0.1189
2020-05-24,0.3535,0.1706,0.3855,0.4029,0.169,0.2271,0.3116,0.1113
2020-05-25,0.3623,0.178,0.3781,0.3764,0.1744,0.2199,0.3005,0.1101
2020-05-26,0.3492,0.1745,0.3854,0.3697,0.1771,0.2132,0.3029,0.1088
2020-05-27,0.3663,0.2017,0.3962,0.3773,0.1888,0.2381,0.3141,0.1171
2020-05-28,0.3692,0.193,0.3995,0.385,0.1904,0.235,0.303,0.1005
2020-05-29,0.3667,0.2164,0.4067,0.3854,0.1855,0.2329,0.302,0.0964
2020-05-30,0.3577,0.2251,0.4037,0.3723,0.1805,0.2269,0.2981,0.1101
2020-05-31,0.3522,0.2198,0.4029,0.3567,0.1765,0.235,0.2952,0.099
2020-06-01,0.3395,0.2111,0.3949,0.3692,0.1721,0.2237,0.296,0.0942
2020-06-02,0.3584,0.2237,0.3974,0.3744,0.1743,0.2265,0.3047,0.1061
2020-06-03,0.3537,0.2233,0.4055,0.3606,0.1763,0.2204,0.3129,0.1109
2020-06-04,0.3395,0.225,0.4201,0.3521,0.1703,0.2284,0.3149,0.1185
2020-06-05,0.3448,0.2324,0.4383,0.3506,0.1804,0.2434,0.3195,0.1306
2020-06-06,0.3745,0.254,0.4401,0.3463,0.1914,0.252,0.3222,0.1411
