"","date","ETH"
"1",2020-12-15,0.2637
"2",2020-12-16,0.2524
"3",2020-12-17,0.2525
"4",2020-12-18,0.2513
"5",2020-12-19,0.2564
"6",2020-12-20,0.2519
"7",2020-12-21,0.2513
"8",2020-12-22,0.2544
"9",2020-12-23,0.2441
"10",2020-12-24,0.2387
"11",2020-12-25,0.2503
"12",2020-12-26,0.2506
"13",2020-12-27,0.2531
"14",2020-12-28,0.2465
"15",2020-12-29,0.2502
"16",2020-12-30,0.2495
"17",2020-12-31,0.2396
"18",2021-01-01,0.2442
"19",2021-01-02,0.2457
"20",2021-01-03,0.2433
"21",2021-01-04,0.2372
"22",2021-01-05,0.2331
"23",2021-01-06,0.2395
"24",2021-01-07,0.2421
"25",2021-01-08,0.2355
"26",2021-01-09,0.228
"27",2021-01-10,0.2294
"28",2021-01-11,0.2338
"29",2021-01-12,0.2441
"30",2021-01-13,0.2512
"31",2021-01-14,0.2504
"32",2021-01-15,0.2386
"33",2021-01-16,0.2503
"34",2021-01-17,0.239
"35",2021-01-18,0.2426
"36",2021-01-19,0.2497
"37",2021-01-20,0.2399
"38",2021-01-21,0.249
"39",2021-01-22,0.2437
"40",2021-01-23,0.2494
"41",2021-01-24,0.25
"42",2021-01-25,0.2385
"43",2021-01-26,0.2436
"44",2021-01-27,0.2457
"45",2021-01-28,0.2374
"46",2021-01-29,0.2337
"47",2021-01-30,0.2402
"48",2021-01-31,0.2497
"49",2021-02-01,0.2591
"50",2021-02-02,0.2592
"51",2021-02-03,0.2623
"52",2021-02-04,0.2537
"53",2021-02-05,0.2549
"54",2021-02-06,0.2555
"55",2021-02-07,0.2584
"56",2021-02-08,0.2556
"57",2021-02-09,0.2525
"58",2021-02-10,0.2452
"59",2021-02-11,0.2488
"60",2021-02-12,0.2623
"61",2021-02-13,0.256
"62",2021-02-14,0.2534
"63",2021-02-15,0.2582
"64",2021-02-16,0.2599
"65",2021-02-17,0.256
"66",2021-02-18,0.256
"67",2021-02-19,0.2602
"68",2021-02-20,0.271
"69",2021-02-21,0.2707
"70",2021-02-22,0.2654
"71",2021-02-23,0.2667
"72",2021-02-24,0.2585
"73",2021-02-25,0.2571
"74",2021-02-26,0.2556
"75",2021-02-27,0.2629
"76",2021-02-28,0.2523
"77",2021-03-01,0.2547
"78",2021-03-02,0.2594
"79",2021-03-03,0.2568
"80",2021-03-04,0.2561
"81",2021-03-05,0.2507
"82",2021-03-06,0.2443
"83",2021-03-07,0.2572
"84",2021-03-08,0.264
"85",2021-03-09,0.2591
"86",2021-03-10,0.2455
"87",2021-03-11,0.2379
"88",2021-03-12,0.2518
"89",2021-03-13,0.2557
"90",2021-03-14,0.2651
"91",2021-03-15,0.2684
"92",2021-03-16,0.2699
"93",2021-03-17,0.2823
"94",2021-03-18,0.2708
"95",2021-03-19,0.2742
"96",2021-03-20,0.2771
"97",2021-03-21,0.2659
"98",2021-03-22,0.2602
"99",2021-03-23,0.2646
"100",2021-03-24,0.2631
"101",2021-03-25,0.2741
"102",2021-03-26,0.2682
"103",2021-03-27,0.274
"104",2021-03-28,0.2739
"105",2021-03-29,0.262
"106",2021-03-30,0.2624
"107",2021-03-31,0.2585
"108",2021-04-01,0.2572
"109",2021-04-02,0.2477
"110",2021-04-03,0.2572
"111",2021-04-04,0.2551
"112",2021-04-05,0.2503
"113",2021-04-06,0.2527
"114",2021-04-07,0.2561
"115",2021-04-08,0.2626
"116",2021-04-09,0.2518
"117",2021-04-10,0.2537
"118",2021-04-11,0.2487
"119",2021-04-12,0.2518
"120",2021-04-13,0.2572
"121",2021-04-14,0.2604
"122",2021-04-15,0.2462
"123",2021-04-16,0.2606
"124",2021-04-17,0.2627
"125",2021-04-18,0.2622
"126",2021-04-19,0.2649
"127",2021-04-20,0.2624
"128",2021-04-21,0.2699
"129",2021-04-22,0.2626
"130",2021-04-23,0.2551
"131",2021-04-24,0.2595
"132",2021-04-25,0.2657
"133",2021-04-26,0.2659
"134",2021-04-27,0.2732
"135",2021-04-28,0.2727
"136",2021-04-29,0.2691
"137",2021-04-30,0.2726
"138",2021-05-01,0.2738
"139",2021-05-02,0.2708
"140",2021-05-03,0.2787
"141",2021-05-04,0.277
"142",2021-05-05,0.2575
"143",2021-05-06,0.275
"144",2021-05-07,0.2764
"145",2021-05-08,0.2779
"146",2021-05-09,0.2675
"147",2021-05-10,0.2663
"148",2021-05-11,0.2828
"149",2021-05-12,0.278
"150",2021-05-13,0.2855
"151",2021-05-14,0.2805
"152",2021-05-15,0.2738
"153",2021-05-16,0.2722
"154",2021-05-17,0.2727
"155",2021-05-18,0.2785
"156",2021-05-19,0.2795
"157",2021-05-20,0.2766
"158",2021-05-21,0.281
"159",2021-05-22,0.2944
"160",2021-05-23,0.2939
"161",2021-05-24,0.2981
