"","date","BNB"
"1",2020-12-15,0.3532
"2",2020-12-16,0.3363
"3",2020-12-17,0.3036
"4",2020-12-18,0.2554
"5",2020-12-19,0.2612
"6",2020-12-20,0.2506
"7",2020-12-21,0.2419
"8",2020-12-22,0.2458
"9",2020-12-23,0.2475
"10",2020-12-24,0.2401
"11",2020-12-25,0.2549
"12",2020-12-26,0.2534
"13",2020-12-27,0.244
"14",2020-12-28,0.2407
"15",2020-12-29,0.2373
"16",2020-12-30,0.2511
"17",2020-12-31,0.2432
"18",2021-01-01,0.2387
"19",2021-01-02,0.238
"20",2021-01-03,0.2291
"21",2021-01-04,0.2333
"22",2021-01-05,0.2297
"23",2021-01-06,0.2217
"24",2021-01-07,0.2227
"25",2021-01-08,0.2221
"26",2021-01-09,0.2204
"27",2021-01-10,0.2257
"28",2021-01-11,0.2178
"29",2021-01-12,0.2241
"30",2021-01-13,0.2147
"31",2021-01-14,0.2119
"32",2021-01-15,0.2066
"33",2021-01-16,0.1978
"34",2021-01-17,0.195
"35",2021-01-18,0.1892
"36",2021-01-19,0.1926
"37",2021-01-20,0.1942
"38",2021-01-21,0.2046
"39",2021-01-22,0.1927
"40",2021-01-23,0.1479
"41",2021-01-24,0.1545
"42",2021-01-25,0.1517
"43",2021-01-26,0.1486
"44",2021-01-27,0.1522
"45",2021-01-28,0.1406
"46",2021-01-29,0.1311
"47",2021-01-30,0.1405
"48",2021-01-31,0.145
"49",2021-02-01,0.1604
"50",2021-02-02,0.1516
"51",2021-02-03,0.1598
"52",2021-02-04,0.1529
"53",2021-02-05,0.1527
"54",2021-02-06,0.1554
"55",2021-02-07,0.1533
"56",2021-02-08,0.1483
"57",2021-02-09,0.1539
"58",2021-02-10,0.1609
"59",2021-02-11,0.1619
"60",2021-02-12,0.1727
"61",2021-02-13,0.1742
"62",2021-02-14,0.1804
"63",2021-02-15,0.1745
"64",2021-02-16,0.18
"65",2021-02-17,0.18
"66",2021-02-18,0.1813
"67",2021-02-19,0.1992
"68",2021-02-20,0.2119
"69",2021-02-21,0.2165
"70",2021-02-22,0.2067
"71",2021-02-23,0.2256
"72",2021-02-24,0.2218
"73",2021-02-25,0.224
"74",2021-02-26,0.2347
"75",2021-02-27,0.2354
"76",2021-02-28,0.2365
"77",2021-03-01,0.2368
"78",2021-03-02,0.2321
"79",2021-03-03,0.2265
"80",2021-03-04,0.2319
"81",2021-03-05,0.2493
"82",2021-03-06,0.2543
"83",2021-03-07,0.246
"84",2021-03-08,0.2516
"85",2021-03-09,0.2512
"86",2021-03-10,0.2468
"87",2021-03-11,0.2458
"88",2021-03-12,0.2417
"89",2021-03-13,0.2406
"90",2021-03-14,0.2427
"91",2021-03-15,0.2565
"92",2021-03-16,0.2589
"93",2021-03-17,0.2637
"94",2021-03-18,0.2505
"95",2021-03-19,0.237
"96",2021-03-20,0.232
"97",2021-03-21,0.2449
"98",2021-03-22,0.2481
"99",2021-03-23,0.2442
"100",2021-03-24,0.2381
"101",2021-03-25,0.2509
"102",2021-03-26,0.2583
"103",2021-03-27,0.2517
"104",2021-03-28,0.2586
"105",2021-03-29,0.2375
"106",2021-03-30,0.2389
"107",2021-03-31,0.2486
"108",2021-04-01,0.2425
"109",2021-04-02,0.2425
"110",2021-04-03,0.2416
"111",2021-04-04,0.2442
"112",2021-04-05,0.2433
"113",2021-04-06,0.2434
"114",2021-04-07,0.2444
"115",2021-04-08,0.245
"116",2021-04-09,0.2283
"117",2021-04-10,0.232
"118",2021-04-11,0.2313
"119",2021-04-12,0.2327
"120",2021-04-13,0.238
"121",2021-04-14,0.2477
"122",2021-04-15,0.2468
"123",2021-04-16,0.2333
"124",2021-04-17,0.2359
"125",2021-04-18,0.231
"126",2021-04-19,0.2329
"127",2021-04-20,0.2278
"128",2021-04-21,0.2268
"129",2021-04-22,0.2303
"130",2021-04-23,0.2242
"131",2021-04-24,0.2352
"132",2021-04-25,0.2407
"133",2021-04-26,0.2424
"134",2021-04-27,0.2458
"135",2021-04-28,0.2418
"136",2021-04-29,0.2317
"137",2021-04-30,0.2353
"138",2021-05-01,0.2239
"139",2021-05-02,0.2305
