"","date","ADA"
"1",2019-12-21,0.0626
"2",2019-12-22,0.0681999999999999
"3",2019-12-23,0.0656
"4",2019-12-24,0.0673
"5",2019-12-25,0.0732999999999999
"6",2019-12-26,0.0614
"7",2019-12-27,0.0584
"8",2019-12-28,0.0620000000000001
"9",2019-12-29,0.0518000000000001
"10",2019-12-30,0.05
"11",2019-12-31,0.0518999999999999
"12",2020-01-01,0.0719000000000001
"13",2020-01-02,0.0745
"14",2020-01-03,0.0713999999999999
"15",2020-01-04,0.0739
"16",2020-01-05,0.0787
"17",2020-01-06,0.0685
"18",2020-01-07,0.0627000000000001
"19",2020-01-08,0.0613
"20",2020-01-09,0.0709000000000001
"21",2020-01-10,0.0699000000000001
"22",2020-01-11,0.0725
"23",2020-01-12,0.0648
"24",2020-01-13,0.0677000000000001
"25",2020-01-14,0.0799
"26",2020-01-15,0.0842000000000001
"27",2020-01-16,0.0798000000000001
"28",2020-01-17,0.0854999999999999
"29",2020-01-18,0.0915999999999999
"30",2020-01-19,0.0818
"31",2020-01-20,0.0774
"32",2020-01-21,0.0837
"33",2020-01-22,0.0876
"34",2020-01-23,0.0814
"35",2020-01-24,0.0735
"36",2020-01-25,0.0863
"37",2020-01-26,0.0782
"38",2020-01-27,0.0797
"39",2020-01-28,0.0757
"40",2020-01-29,0.0787
"41",2020-01-30,0.0775
"42",2020-01-31,0.0835
"43",2020-02-01,0.0755
"44",2020-02-02,0.0760999999999999
"45",2020-02-03,0.0759000000000001
"46",2020-02-04,0.0732
"47",2020-02-05,0.0743999999999999
"48",2020-02-06,0.0781999999999999
"49",2020-02-07,0.0881
"50",2020-02-08,0.0982
"51",2020-02-09,0.0974999999999999
"52",2020-02-10,0.1018
"53",2020-02-11,0.0901999999999999
"54",2020-02-12,0.0931999999999999
"55",2020-02-13,0.0968
"56",2020-02-14,0.0953000000000001
"57",2020-02-15,0.0912999999999999
"58",2020-02-16,0.0964
"59",2020-02-17,0.1026
"60",2020-02-18,0.1081
"61",2020-02-19,0.1107
"62",2020-02-20,0.1154
"63",2020-02-21,0.1062
"64",2020-02-22,0.1079
"65",2020-02-23,0.1064
"66",2020-02-24,0.091
"67",2020-02-25,0.0866
"68",2020-02-26,0.0944
"69",2020-02-27,0.095
"70",2020-02-28,0.0912999999999999
"71",2020-02-29,0.0952999999999999
"72",2020-03-01,0.1009
"73",2020-03-02,0.1004
"74",2020-03-03,0.0991
"75",2020-03-04,0.098
"76",2020-03-05,0.0963000000000001
"77",2020-03-06,0.0915
"78",2020-03-07,0.09
"79",2020-03-08,0.0839
"80",2020-03-09,0.0955
"81",2020-03-10,0.0913999999999999
"82",2020-03-11,0.0913
"83",2020-03-12,0.0990000000000001
"84",2020-03-13,0.1036
"85",2020-03-14,0.1076
"86",2020-03-15,0.1024
"87",2020-03-16,0.1048
"88",2020-03-17,0.1269
"89",2020-03-18,0.1367
"90",2020-03-19,0.1457
"91",2020-03-20,0.1526
"92",2020-03-21,0.1668
"93",2020-03-22,0.1768
"94",2020-03-23,0.1739
"95",2020-03-24,0.186
"96",2020-03-25,0.1958
"97",2020-03-26,0.1895
"98",2020-03-27,0.193
"99",2020-03-28,0.1918
"100",2020-03-29,0.1971
"101",2020-03-30,0.2053
"102",2020-03-31,0.2024
"103",2020-04-01,0.2077
"104",2020-04-02,0.2061
"105",2020-04-03,0.1961
"106",2020-04-04,0.1953
"107",2020-04-05,0.1935
"108",2020-04-06,0.192
"109",2020-04-07,0.1914
"110",2020-04-08,0.2065
"111",2020-04-09,0.2001
"112",2020-04-10,0.1964
"113",2020-04-11,0.2009
"114",2020-04-12,0.1957
"115",2020-04-13,0.1981
"116",2020-04-14,0.1847
"117",2020-04-15,0.1794
"118",2020-04-16,0.1687
"119",2020-04-17,0.174
"120",2020-04-18,0.1762
"121",2020-04-19,0.1801
"122",2020-04-20,0.174
"123",2020-04-21,0.1758
"124",2020-04-22,0.1789
"125",2020-04-23,0.1732
"126",2020-04-24,0.171
"127",2020-04-25,0.1689
"128",2020-04-26,0.182
"129",2020-04-27,0.1677
"130",2020-04-28,0.1562
"131",2020-04-29,0.1566
"132",2020-04-30,0.163
"133",2020-05-01,0.1606
"134",2020-05-02,0.1588
"135",2020-05-03,0.1568
"136",2020-05-04,0.1586
"137",2020-05-05,0.16
"138",2020-05-06,0.1666
"139",2020-05-07,0.1666
"140",2020-05-08,0.1776
"141",2020-05-09,0.1701
"142",2020-05-10,0.1539
"143",2020-05-11,0.1708
"144",2020-05-12,0.1661
"145",2020-05-13,0.1761
"146",2020-05-14,0.1775
"147",2020-05-15,0.1676
"148",2020-05-16,0.1767
"149",2020-05-17,0.1756
"150",2020-05-18,0.1773
"151",2020-05-19,0.1679
"152",2020-05-20,0.1637
"153",2020-05-21,0.1579
"154",2020-05-22,0.1572
"155",2020-05-23,0.1693
"156",2020-05-24,0.169
"157",2020-05-25,0.1744
"158",2020-05-26,0.1771
"159",2020-05-27,0.1888
"160",2020-05-28,0.1904
"161",2020-05-29,0.1855
"162",2020-05-30,0.1805
"163",2020-05-31,0.1765
"164",2020-06-01,0.1721
"165",2020-06-02,0.1743
"166",2020-06-03,0.1763
"167",2020-06-04,0.1703
"168",2020-06-05,0.1804
"169",2020-06-06,0.1914
"170",2020-06-07,0.1958
"171",2020-06-08,0.1822
"172",2020-06-09,0.1833
"173",2020-06-10,0.1959
"174",2020-06-11,0.1906
"175",2020-06-12,0.1855
"176",2020-06-13,0.1871
"177",2020-06-14,0.1724
"178",2020-06-15,0.1577
"179",2020-06-16,0.1683
"180",2020-06-17,0.1797
"181",2020-06-18,0.1807
"182",2020-06-19,0.1808
"183",2020-06-20,0.1855
"184",2020-06-21,0.1841
"185",2020-06-22,0.1814
"186",2020-06-23,0.1671
"187",2020-06-24,0.1727
"188",2020-06-25,0.1797
"189",2020-06-26,0.1682
"190",2020-06-27,0.1645
"191",2020-06-28,0.1633
"192",2020-06-29,0.172
"193",2020-06-30,0.1698
"194",2020-07-01,0.1673
"195",2020-07-02,0.1611
"196",2020-07-03,0.1485
"197",2020-07-04,0.1376
"198",2020-07-05,0.1437
"199",2020-07-06,0.1405
"200",2020-07-07,0.138
"201",2020-07-08,0.1396
"202",2020-07-09,0.131
"203",2020-07-10,0.149
"204",2020-07-11,0.1442
"205",2020-07-12,0.148
"206",2020-07-13,0.1385
"207",2020-07-14,0.116
"208",2020-07-15,0.1094
"209",2020-07-16,0.1116
"210",2020-07-17,0.1091
"211",2020-07-18,0.1118
"212",2020-07-19,0.1143
"213",2020-07-20,0.1087
"214",2020-07-21,0.1049
"215",2020-07-22,0.1131
"216",2020-07-23,0.1126
"217",2020-07-24,0.1004
"218",2020-07-25,0.108
"219",2020-07-26,0.0964999999999999
"220",2020-07-27,0.1098
"221",2020-07-28,0.1119
"222",2020-07-29,0.1053
"223",2020-07-30,0.1051
"224",2020-07-31,0.0984999999999999
"225",2020-08-01,0.0972
"226",2020-08-02,0.0886
"227",2020-08-03,0.0962
"228",2020-08-04,0.0969
"229",2020-08-05,0.0954
"230",2020-08-06,0.0841
"231",2020-08-07,0.0921000000000001
"232",2020-08-08,0.0880000000000001
"233",2020-08-09,0.0913999999999999
"234",2020-08-10,0.0901000000000001
"235",2020-08-11,0.0894
"236",2020-08-12,0.0981
"237",2020-08-13,0.0972
"238",2020-08-14,0.0991
"239",2020-08-15,0.1001
"240",2020-08-16,0.1021
"241",2020-08-17,0.0930000000000001
"242",2020-08-18,0.0914
"243",2020-08-19,0.0901000000000001
"244",2020-08-20,0.099
"245",2020-08-21,0.1107
"246",2020-08-22,0.1058
"247",2020-08-23,0.0992999999999999
"248",2020-08-24,0.0989
"249",2020-08-25,0.0971
"250",2020-08-26,0.0984999999999999
"251",2020-08-27,0.0937
"252",2020-08-28,0.0837
"253",2020-08-29,0.1009
"254",2020-08-30,0.1023
"255",2020-08-31,0.0946
"256",2020-09-01,0.0876
"257",2020-09-02,0.0948
"258",2020-09-03,0.0938
"259",2020-09-04,0.0993000000000001
"260",2020-09-05,0.1056
"261",2020-09-06,0.0962
"262",2020-09-07,0.0875
"263",2020-09-08,0.112
"264",2020-09-09,0.1281
"265",2020-09-10,0.1298
"266",2020-09-11,0.1258
"267",2020-09-12,0.1249
"268",2020-09-13,0.1211
"269",2020-09-14,0.1139
"270",2020-09-15,0.1145
"271",2020-09-16,0.1235
"272",2020-09-17,0.122
"273",2020-09-18,0.1067
"274",2020-09-19,0.0940000000000001
"275",2020-09-20,0.1028
"276",2020-09-21,0.1008
"277",2020-09-22,0.0947
"278",2020-09-23,0.1047
"279",2020-09-24,0.0992
"280",2020-09-25,0.1035
