"","date","DOGE"
"1",2020-12-15,0.3947
"2",2020-12-16,0.3793
"3",2020-12-17,0.3737
"4",2020-12-18,0.3762
"5",2020-12-19,0.3965
"6",2020-12-20,0.3827
"7",2020-12-21,0.3748
"8",2020-12-22,0.3758
"9",2020-12-23,0.3733
"10",2020-12-24,0.3772
"11",2020-12-25,0.3965
"12",2020-12-26,0.3999
"13",2020-12-27,0.3887
"14",2020-12-28,0.3941
"15",2020-12-29,0.3955
"16",2020-12-30,0.3871
"17",2020-12-31,0.3757
"18",2021-01-01,0.3803
"19",2021-01-02,0.389
"20",2021-01-03,0.4004
"21",2021-01-04,0.3978
"22",2021-01-05,0.3953
"23",2021-01-06,0.3983
"24",2021-01-07,0.4094
"25",2021-01-08,0.4119
"26",2021-01-09,0.4073
"27",2021-01-10,0.4068
"28",2021-01-11,0.4043
"29",2021-01-12,0.4229
"30",2021-01-13,0.4235
"31",2021-01-14,0.425
"32",2021-01-15,0.4136
"33",2021-01-16,0.4075
"34",2021-01-17,0.4055
"35",2021-01-18,0.4161
"36",2021-01-19,0.4164
"37",2021-01-20,0.3997
"38",2021-01-21,0.3977
"39",2021-01-22,0.3976
"40",2021-01-23,0.405
"41",2021-01-24,0.4011
"42",2021-01-25,0.3977
"43",2021-01-26,0.397
"44",2021-01-27,0.4092
"45",2021-01-28,0.4429
"46",2021-01-29,0.4734
"47",2021-01-30,0.4944
"48",2021-01-31,0.511
"49",2021-02-01,0.5112
"50",2021-02-02,0.5113
"51",2021-02-03,0.5146
"52",2021-02-04,0.5184
"53",2021-02-05,0.5247
"54",2021-02-06,0.5239
"55",2021-02-07,0.5411
"56",2021-02-08,0.5347
"57",2021-02-09,0.5274
"58",2021-02-10,0.5175
"59",2021-02-11,0.5352
"60",2021-02-12,0.5452
"61",2021-02-13,0.5432
"62",2021-02-14,0.5528
"63",2021-02-15,0.5479
"64",2021-02-16,0.5489
"65",2021-02-17,0.56
"66",2021-02-18,0.558
"67",2021-02-19,0.5463
"68",2021-02-20,0.5262
"69",2021-02-21,0.5489
"70",2021-02-22,0.5675
"71",2021-02-23,0.5702
"72",2021-02-24,0.5729
"73",2021-02-25,0.5657
"74",2021-02-26,0.5481
"75",2021-02-27,0.5779
"76",2021-02-28,0.5945
"77",2021-03-01,0.5891
"78",2021-03-02,0.5854
"79",2021-03-03,0.5627
"80",2021-03-04,0.5597
"81",2021-03-05,0.5738
"82",2021-03-06,0.5788
"83",2021-03-07,0.5744
"84",2021-03-08,0.5524
"85",2021-03-09,0.5676
"86",2021-03-10,0.5732
"87",2021-03-11,0.5556
"88",2021-03-12,0.5489
"89",2021-03-13,0.5468
"90",2021-03-14,0.5451
"91",2021-03-15,0.5547
"92",2021-03-16,0.5565
"93",2021-03-17,0.5604
"94",2021-03-18,0.555
"95",2021-03-19,0.5677
"96",2021-03-20,0.5681
"97",2021-03-21,0.535
"98",2021-03-22,0.52
"99",2021-03-23,0.5337
"100",2021-03-24,0.539
"101",2021-03-25,0.5417
"102",2021-03-26,0.5571
"103",2021-03-27,0.5599
"104",2021-03-28,0.5364
"105",2021-03-29,0.5519
"106",2021-03-30,0.5637
"107",2021-03-31,0.5582
"108",2021-04-01,0.5557
"109",2021-04-02,0.5439
"110",2021-04-03,0.5347
"111",2021-04-04,0.5373
"112",2021-04-05,0.5278
"113",2021-04-06,0.5383
"114",2021-04-07,0.5338
"115",2021-04-08,0.5365
"116",2021-04-09,0.4965
"117",2021-04-10,0.5081
"118",2021-04-11,0.5292
"119",2021-04-12,0.5373
"120",2021-04-13,0.5479
"121",2021-04-14,0.5416
"122",2021-04-15,0.545
"123",2021-04-16,0.531
"124",2021-04-17,0.535
"125",2021-04-18,0.5576
"126",2021-04-19,0.5612
"127",2021-04-20,0.5469
"128",2021-04-21,0.5476
"129",2021-04-22,0.5576
"130",2021-04-23,0.5668
"131",2021-04-24,0.5727
"132",2021-04-25,0.5746
"133",2021-04-26,0.5588
"134",2021-04-27,0.544
"135",2021-04-28,0.5552
"136",2021-04-29,0.5508
"137",2021-04-30,0.5511
"138",2021-05-01,0.5481
"139",2021-05-02,0.5595
"140",2021-05-03,0.5644
"141",2021-05-04,0.5691
"142",2021-05-05,0.5577
"143",2021-05-06,0.5575
"144",2021-05-07,0.5468
"145",2021-05-08,0.5442
"146",2021-05-09,0.5469
"147",2021-05-10,0.5477
"148",2021-05-11,0.5512
"149",2021-05-12,0.5361
"150",2021-05-13,0.5469
"151",2021-05-14,0.5473
"152",2021-05-15,0.5451
"153",2021-05-16,0.5433
"154",2021-05-17,0.5478
"155",2021-05-18,0.5562
"156",2021-05-19,0.5476
"157",2021-05-20,0.5407
"158",2021-05-21,0.5444
"159",2021-05-22,0.5541
"160",2021-05-23,0.5539
"161",2021-05-24,0.5525
"162",2021-05-25,0.5378
"163",2021-05-26,0.5327
"164",2021-05-27,0.5168
"165",2021-05-28,0.5339
"166",2021-05-29,0.5448
"167",2021-05-30,0.5376
"168",2021-05-31,0.5437
"169",2021-06-01,0.5412
"170",2021-06-02,0.5413
"171",2021-06-03,0.5349
"172",2021-06-04,0.5318
"173",2021-06-05,0.5349
"174",2021-06-06,0.5327
"175",2021-06-07,0.5242
"176",2021-06-08,0.5321
"177",2021-06-09,0.5252
"178",2021-06-10,0.5096
"179",2021-06-11,0.5203
"180",2021-06-12,0.5289
"181",2021-06-13,0.5321
"182",2021-06-14,0.5335
"183",2021-06-15,0.5402
"184",2021-06-16,0.5325
"185",2021-06-17,0.5393
"186",2021-06-18,0.5292
"187",2021-06-19,0.5226
"188",2021-06-20,0.5055
"189",2021-06-21,0.508
"190",2021-06-22,0.5271
"191",2021-06-23,0.5269
"192",2021-06-24,0.5312
"193",2021-06-25,0.5113
"194",2021-06-26,0.5064
"195",2021-06-27,0.5258
"196",2021-06-28,0.5281
"197",2021-06-29,0.5193
"198",2021-06-30,0.5178
"199",2021-07-01,0.5072
"200",2021-07-02,0.4951
"201",2021-07-03,0.4971
"202",2021-07-04,0.5101
"203",2021-07-05,0.5157
"204",2021-07-06,0.5106
"205",2021-07-07,0.5079
"206",2021-07-08,0.4994
"207",2021-07-09,0.4963
"208",2021-07-10,0.4946
"209",2021-07-11,0.4944
"210",2021-07-12,0.4883
"211",2021-07-13,0.4779
"212",2021-07-14,0.4673
"213",2021-07-15,0.4766
"214",2021-07-16,0.4693
"215",2021-07-17,0.4883
"216",2021-07-18,0.4962
"217",2021-07-19,0.4773
"218",2021-07-20,0.4814
"219",2021-07-21,0.4816
"220",2021-07-22,0.4926
"221",2021-07-23,0.4859
"222",2021-07-24,0.4719
"223",2021-07-25,0.4625
"224",2021-07-26,0.456
"225",2021-07-27,0.467
"226",2021-07-28,0.4658
"227",2021-07-29,0.4587
"228",2021-07-30,0.4585
"229",2021-07-31,0.4603
"230",2021-08-01,0.4595
"231",2021-08-02,0.4551
"232",2021-08-03,0.4518
"233",2021-08-04,0.4368
"234",2021-08-05,0.4392
"235",2021-08-06,0.4518
"236",2021-08-07,0.4455
"237",2021-08-08,0.4401
"238",2021-08-09,0.4416
"239",2021-08-10,0.4427
"240",2021-08-11,0.4245
"241",2021-08-12,0.4171
"242",2021-08-13,0.414
"243",2021-08-14,0.4158
"244",2021-08-15,0.4093
"245",2021-08-16,0.4291
"246",2021-08-17,0.44
"247",2021-08-18,0.4251
"248",2021-08-19,0.4143
"249",2021-08-20,0.4131
"250",2021-08-21,0.4081
"251",2021-08-22,0.419
"252",2021-08-23,0.4245
"253",2021-08-24,0.408
"254",2021-08-25,0.3985
"255",2021-08-26,0.3958
"256",2021-08-27,0.4012
"257",2021-08-28,0.4031
"258",2021-08-29,0.4095
"259",2021-08-30,0.3974
"260",2021-08-31,0.3942
"261",2021-09-01,0.3967
"262",2021-09-02,0.4045
"263",2021-09-03,0.4011
"264",2021-09-04,0.3995
"265",2021-09-05,0.3997
"266",2021-09-06,0.3727
"267",2021-09-07,0.3853
"268",2021-09-08,0.3918
"269",2021-09-09,0.3929
"270",2021-09-10,0.3922
"271",2021-09-11,0.3952
"272",2021-09-12,0.3919
"273",2021-09-13,0.3881
"274",2021-09-14,0.3797
"275",2021-09-15,0.3987
"276",2021-09-16,0.3971
"277",2021-09-17,0.3753
"278",2021-09-18,0.3869
"279",2021-09-19,0.3898
"280",2021-09-20,0.4029
"281",2021-09-21,0.3984
"282",2021-09-22,0.3937
"283",2021-09-23,0.3847
"284",2021-09-24,0.3725
"285",2021-09-25,0.3904
"286",2021-09-26,0.3996
"287",2021-09-27,0.3867
"288",2021-09-28,0.3743
"289",2021-09-29,0.3732
"290",2021-09-30,0.3837
"291",2021-10-01,0.3896
"292",2021-10-02,0.3763
"293",2021-10-03,0.3898
"294",2021-10-04,0.3942
"295",2021-10-05,0.4029
"296",2021-10-06,0.3907
"297",2021-10-07,0.3857
"298",2021-10-08,0.3794
"299",2021-10-09,0.3742
"300",2021-10-10,0.3867
"301",2021-10-11,0.3884
"302",2021-10-12,0.3898
"303",2021-10-13,0.3831
"304",2021-10-14,0.3855
"305",2021-10-15,0.3835
"306",2021-10-16,0.384
"307",2021-10-17,0.3733
"308",2021-10-18,0.3707
"309",2021-10-19,0.3864
"310",2021-10-20,0.3863
"311",2021-10-21,0.3949
"312",2021-10-22,0.3993
"313",2021-10-23,0.3878
"314",2021-10-24,0.3788
"315",2021-10-25,0.3901
"316",2021-10-26,0.3964
"317",2021-10-27,0.3859
"318",2021-10-28,0.3678
"319",2021-10-29,0.371
"320",2021-10-30,0.3745
"321",2021-10-31,0.3669
"322",2021-11-01,0.3721
"323",2021-11-02,0.3824
"324",2021-11-03,0.3687
"325",2021-11-04,0.362
"326",2021-11-05,0.3649
"327",2021-11-06,0.3706
"328",2021-11-07,0.3824
"329",2021-11-08,0.3797
"330",2021-11-09,0.3885
"331",2021-11-10,0.375
"332",2021-11-11,0.3654
"333",2021-11-12,0.3754
"334",2021-11-13,0.3851
"335",2021-11-14,0.3985
"336",2021-11-15,0.3959
