"","date","TRX"
"1",2018-12-26,0.556
"2",2018-12-27,0.4648
"3",2018-12-28,0.2471
"4",2018-12-29,0.2156
"5",2018-12-30,0.2267
"6",2018-12-31,0.2272
"7",2019-01-01,0.2296
"8",2019-01-02,0.287
"9",2019-01-03,0.2934
"10",2019-01-04,0.2893
"11",2019-01-05,0.2556
"12",2019-01-06,0.2729
"13",2019-01-07,0.2908
"14",2019-01-08,0.3006
"15",2019-01-09,0.3195
"16",2019-01-10,0.3074
"17",2019-01-11,0.2733
"18",2019-01-12,0.3042
"19",2019-01-13,0.3
"20",2019-01-14,0.3232
"21",2019-01-15,0.3274
"22",2019-01-16,0.321
"23",2019-01-17,0.263
"24",2019-01-18,0.2942
"25",2019-01-19,0.2939
"26",2019-01-20,0.3068
"27",2019-01-21,0.2956
"28",2019-01-22,0.3368
"29",2019-01-23,0.3379
"30",2019-01-24,0.3042
"31",2019-01-25,0.2765
"32",2019-01-26,0.2624
"33",2019-01-27,0.244
"34",2019-01-28,0.2357
"35",2019-01-29,0.2526
"36",2019-01-30,0.2898
"37",2019-01-31,0.2462
"38",2019-02-01,0.2345
"39",2019-02-02,0.1734
"40",2019-02-03,0.1641
"41",2019-02-04,0.1561
"42",2019-02-05,0.1463
"43",2019-02-06,0.0993000000000001
"44",2019-02-07,0.0808000000000001
"45",2019-02-08,0.0831000000000001
"46",2019-02-09,0.1261
"47",2019-02-10,0.129
"48",2019-02-11,0.201
"49",2019-02-12,0.2071
"50",2019-02-13,0.2126
"51",2019-02-14,0.1719
"52",2019-02-15,0.1599
"53",2019-02-16,0.1442
"54",2019-02-17,0.1661
"55",2019-02-18,0.1535
"56",2019-02-19,0.1399
"57",2019-02-20,0.1771
"58",2019-02-21,0.1786
"59",2019-02-22,0.1658
"60",2019-02-23,0.196
"61",2019-02-24,0.2056
"62",2019-02-25,0.2255
"63",2019-02-26,0.2032
"64",2019-02-27,0.2382
"65",2019-02-28,0.2523
"66",2019-03-01,0.2704
"67",2019-03-02,0.2869
"68",2019-03-03,0.3371
"69",2019-03-04,0.3245
"70",2019-03-05,0.319
"71",2019-03-06,0.2897
"72",2019-03-07,0.2757
"73",2019-03-08,0.2515
"74",2019-03-09,0.2585
"75",2019-03-10,0.2601
"76",2019-03-11,0.2889
"77",2019-03-12,0.3031
"78",2019-03-13,0.3372
"79",2019-03-14,0.3369
"80",2019-03-15,0.3475
"81",2019-03-16,0.3234
"82",2019-03-17,0.2802
"83",2019-03-18,0.2313
"84",2019-03-19,0.2594
"85",2019-03-20,0.2674
"86",2019-03-21,0.2436
"87",2019-03-22,0.2368
"88",2019-03-23,0.1989
"89",2019-03-24,0.1867
"90",2019-03-25,0.2136
"91",2019-03-26,0.1828
"92",2019-03-27,0.1892
"93",2019-03-28,0.1838
"94",2019-03-29,0.18
"95",2019-03-30,0.1785
"96",2019-03-31,0.1783
"97",2019-04-01,0.1685
"98",2019-04-02,0.1635
"99",2019-04-03,0.1474
"100",2019-04-04,0.1447
"101",2019-04-05,0.164
"102",2019-04-06,0.1748
"103",2019-04-07,0.1642
"104",2019-04-08,0.1879
"105",2019-04-09,0.2249
"106",2019-04-10,0.2607
"107",2019-04-11,0.2708
"108",2019-04-12,0.3131
"109",2019-04-13,0.3523
